"var","categoria","Mejor","Igual","Peor","No sabe"
"P30","Buena",0.226,0.116,0.02,0.038
"P30","Ni buena ni mala",0.271,0.285,0.052,0.16
"P30","Mala",0.277,0.349,0.261,0.261
"P30","Muy mala",0.129,0.214,0.611,0.38
"P30","No sabe",0.024,0.019,0.006,0.033
"P31","Muy buena",0.487,0.345,0.088,0.192
"P31","Buena",0.138,0.149,0.055,0.132
"P31","Ni buena ni mala",0.078,0.121,0.081,0.127
"P31","Mala",0.076,0.082,0.077,0.084
"P31","Muy mala",0.211,0.293,0.692,0.436
"P31","No sabe",0.01,0.01,0.007,0.029
"P32","Muy buena",0.236,0.122,0.033,0.095
"P32","Buena",0.291,0.267,0.067,0.115
"P32","Ni buena ni mala",0.164,0.221,0.131,0.197
"P32","Mala",0.135,0.152,0.158,0.155
"P32","Muy mala",0.167,0.225,0.603,0.428
"P32","No sabe",0.007,0.013,0.008,0.01
"P33","Muy buena",0.129,0.065,0.029,0.056
"P33","Buena",0.222,0.185,0.049,0.078
"P33","Ni buena ni mala",0.268,0.327,0.155,0.242
"P33","Mala",0.165,0.157,0.206,0.214
"P33","Muy mala",0.171,0.217,0.526,0.345
"P33","No sabe",0.045,0.049,0.035,0.065
"P34","Muy buena",0.426,0.277,0.064,0.118
"P34","Buena",0.17,0.171,0.066,0.132
"P34","Ni buena ni mala",0.098,0.171,0.109,0.164
"P34","Mala",0.068,0.088,0.124,0.091
"P34","Muy mala",0.203,0.261,0.609,0.406
"P34","No sabe",0.035,0.032,0.028,0.089
"P35","Muy buena",0.052,0.063,0.157,0.123
"P35","Buena",0.085,0.095,0.175,0.107
"P35","Ni buena ni mala",0.086,0.14,0.228,0.172
"P35","Mala",0.138,0.168,0.174,0.214
"P35","Muy mala",0.622,0.52,0.254,0.341
"P35","No sabe",0.017,0.014,0.012,0.043
"P36","Muy buena",0.071,0.079,0.148,0.115
"P36","Buena",0.112,0.134,0.222,0.156
"P36","Ni buena ni mala",0.149,0.24,0.278,0.183
"P36","Mala",0.197,0.192,0.141,0.178
"P36","Muy mala",0.413,0.311,0.165,0.263
"P36","No sabe",0.058,0.044,0.046,0.105
"P37","Muy buena",0.065,0.074,0.168,0.137
"P37","Buena",0.077,0.119,0.22,0.197
"P37","Ni buena ni mala",0.116,0.172,0.227,0.09
"P37","Mala",0.16,0.159,0.143,0.189
"P37","Muy mala",0.556,0.443,0.212,0.309
"P37","No sabe",0.026,0.033,0.03,0.078
"P38","Muy buena",0.085,0.118,0.204,0.199
"P38","Buena",0.081,0.102,0.16,0.086
"P38","Ni buena ni mala",0.13,0.186,0.284,0.222
"P38","Mala",0.119,0.108,0.103,0.112
"P38","Muy mala",0.534,0.41,0.194,0.25
"P38","No sabe",0.051,0.076,0.055,0.131
"P39","Muy buena",0.094,0.115,0.34,0.18
"P39","Buena",0.081,0.106,0.199,0.121
"P39","Ni buena ni mala",0.076,0.141,0.168,0.154
"P39","Mala",0.11,0.108,0.084,0.117
"P39","Muy mala",0.585,0.479,0.177,0.218
"P39","No sabe",0.054,0.051,0.032,0.21
"P40","Muy buena",0.108,0.078,0.021,0.054
"P40","Buena",0.286,0.172,0.093,0.145
"P40","Ni buena ni mala",0.312,0.356,0.238,0.23
"P40","Mala",0.14,0.228,0.305,0.282
"P40","Muy mala",0.114,0.116,0.302,0.239
"P40","No sabe",0.04,0.05,0.041,0.05
"P41","Muy buena",0.022,0.019,0.024,0.019
"P41","Buena",0.065,0.05,0.068,0.105
"P41","Ni buena ni mala",0.161,0.193,0.198,0.198
"P41","Mala",0.239,0.249,0.289,0.267
"P41","Muy mala",0.468,0.445,0.387,0.362
"P41","No sabe",0.045,0.044,0.034,0.049
