"var","categoria","El kirchnerismo","Cambiemos","Los medios de comunicación","Otros","No sabe"
"P13","Nunca lo votaría",0.307,0.34,0.494,0.309,0.284
"P13","No sabe",0.082,0.065,0.115,0.107,0.176
"P14","La votaría",0.607,0.467,0.235,0.584,0.399
"P14","Puede que la vote",0.252,0.205,0.232,0.249,0.285
"P14","Nunca la votaría",0.101,0.27,0.383,0.092,0.209
"P14","No sabe",0.04,0.058,0.15,0.075,0.107
"P15","Lo votaría",0.165,0.302,0.123,0.223,0.077
"P15","Puede que lo vote",0.279,0.231,0.237,0.194,0.25
"P15","Nunca lo votaría",0.515,0.426,0.473,0.53,0.508
"P15","No sabe",0.041,0.041,0.167,0.053,0.165
"P16","Sí, lo votaría",0.531,0.134,0.092,0.361,0.264
"P16","Puede que lo vote",0.177,0.037,0.072,0.174,0.134
"P16","Nunca lo votaría",0.243,0.806,0.805,0.388,0.492
"P16","No sabe",0.049,0.023,0.031,0.077,0.11
"P17","Sí, la votaría",0.11,0.59,0.6,0.204,0.21
"P17","Puede que la vote",0.044,0.117,0.161,0.101,0.08
"P17","Nunca la votaría",0.829,0.267,0.217,0.654,0.603
"P17","No sabe",0.017,0.026,0.022,0.041,0.107
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.082,0.652,0.652,0.202,0.248
"P18","Mauricio Macri por Cambiemos",0.391,0.107,0.068,0.199,0.199
"P18","Javier Milei por los liberales",0.327,0.093,0.102,0.337,0.261
"P18","Nicolás del Caño por la izquierda",0.017,0.022,0.033,0.017,0.014
"P18","Otro candidato",0.183,0.126,0.145,0.245,0.278
"P19","Horacio Rodríguez Larreta por Cambiemos",0.373,0.154,0.141,0.216,0.228
"P19","Alberto Fernández por el Frente de Todos",0.112,0.489,0.487,0.17,0.183
"P19","Javier Milei por los liberales",0.328,0.107,0.103,0.355,0.273
"P19","Nicolás del Caño por la izquierda",0.015,0.043,0.052,0.018,0.018
"P19","Otro candidato",0.172,0.207,0.217,0.241,0.298
"P20","Mauricio Macri presidente Javier Milei vice",0.566,0.153,0.12,0.414,0.291
"P20","Sergio Massa presidente Gerardo Morales vice",0.076,0.307,0.276,0.107,0.091
"P20","Nicolas del Caño presidente Myriam Bregman vice",0.03,0.107,0.138,0.065,0.054
"P20","No sabe",0.328,0.433,0.466,0.414,0.564
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.439,0.14,0.076,0.245,0.21
"P21","Alberto Fernández presidente Sergio Massa vice",0.058,0.332,0.272,0.104,0.151
"P21","Javier Milei presidente José Luis Espert vice",0.248,0.056,0.078,0.289,0.237
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.145,0.082,0.122,0.101,0.105
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.027,0.331,0.374,0.112,0.124
"P21","Otros candidatos",0.083,0.059,0.078,0.149,0.173
"P22","Muy buena",0.05,0.139,0.106,0.073,0.065
"P22","Buena",0.032,0.314,0.345,0.086,0.105
"P22","Ni buena ni mala",0.061,0.25,0.261,0.18,0.217
"P22","Mala",0.157,0.12,0.136,0.217,0.187
"P22","Muy mala",0.694,0.171,0.132,0.435,0.373
"P22","No sabe",0.006,0.006,0.02,0.009,0.053
"P23","Si",0.6,0.721,0.732,0.476,0.604
"P23","No",0.211,0.216,0.065,0.319,0.11
"P23","No sabe",0.189,0.063,0.203,0.205,0.286
"P25","Sin deuda",0.261,0.329,0.308,0.208,0.254
"P25","Menos de 10%",0.171,0.161,0.182,0.17,0.109
"P25","Entre 10 y 20%",0.144,0.133,0.156,0.161,0.114
"P25","Entre 20 y 30%",0.119,0.072,0.086,0.124,0.073
"P25","Entre 30 y 40%",0.099,0.102,0.09,0.116,0.124
"P25","Mas del 40%",0.178,0.17,0.142,0.182,0.199
"P25","No sabe",0.028,0.033,0.036,0.039,0.127
"P26","Gran excedente habitual",0.008,0.01,0.009,0.011,0.008
"P26","Gran excedente excepcional",0.006,0.013,0.01,0.011,0.014
"P26","Pequeño excedente habitual",0.069,0.076,0.096,0.047,0.033
"P26","Pequeño excedente excepcional",0.072,0.077,0.073,0.035,0.046
"P26","Alcanza gastos familia",0.146,0.204,0.199,0.128,0.106
"P26","No alcanza gastos familia",0.167,0.192,0.152,0.151,0.17
"P26","Solo NBFamiliares",0.259,0.216,0.253,0.274,0.258
"P26","No alcanza NBFamiliares",0.266,0.199,0.204,0.324,0.328
"P26","No sabe",0.007,0.013,0.004,0.019,0.037
"P27","Muy buena",0.044,0.048,0.056,0.039,0.036
"P27","Buena",0.135,0.208,0.202,0.12,0.115
"P27","Ni buena ni mala",0.39,0.401,0.426,0.366,0.399
"P27","Mala",0.301,0.247,0.224,0.342,0.307
"P27","Muy mala",0.122,0.083,0.072,0.121,0.122
"P27","No sabe",0.008,0.013,0.02,0.012,0.021
"P28","Mejor",0.063,0.229,0.224,0.086,0.086
"P28","Igual",0.176,0.395,0.412,0.196,0.248
"P28","Peor",0.73,0.345,0.32,0.674,0.624
"P28","No sabe",0.031,0.031,0.044,0.044,0.042
"P29","Mejor",0.049,0.256,0.265,0.076,0.086
"P29","Igual",0.185,0.291,0.354,0.206,0.266
"P29","Peor",0.705,0.338,0.274,0.579,0.475
"P29","No sabe",0.061,0.115,0.107,0.139,0.173
"P30","Muy buena",0.056,0.04,0.035,0.046,0.017
"P30","Buena",0.036,0.133,0.16,0.043,0.041
"P30","Ni buena ni mala",0.044,0.277,0.251,0.134,0.176
"P30","Mala",0.219,0.317,0.364,0.262,0.365
"P30","Muy mala",0.641,0.224,0.176,0.499,0.371
"P30","No sabe",0.004,0.009,0.014,0.016,0.03
"P31","Muy buena",0.052,0.483,0.448,0.102,0.143
"P31","Buena",0.038,0.124,0.181,0.098,0.09
"P31","Ni buena ni mala",0.034,0.108,0.104,0.118,0.161
"P31","Mala",0.076,0.058,0.069,0.126,0.097
"P31","Muy mala",0.798,0.224,0.179,0.551,0.498
"P31","No sabe",0.002,0.003,0.019,0.005,0.011
"P32","Muy buena",0.023,0.168,0.161,0.065,0.082
"P32","Buena",0.064,0.314,0.283,0.087,0.113
"P32","Ni buena ni mala",0.078,0.195,0.256,0.203,0.183
"P32","Mala",0.144,0.103,0.163,0.176,0.216
"P32","Muy mala",0.689,0.216,0.132,0.463,0.378
"P32","No sabe",0.002,0.004,0.005,0.006,0.028
"P33","Muy buena",0.025,0.092,0.098,0.039,0.053
"P33","Buena",0.05,0.201,0.225,0.052,0.065
"P33","Ni buena ni mala",0.103,0.317,0.319,0.222,0.273
"P33","Mala",0.197,0.154,0.161,0.261,0.166
"P33","Muy mala",0.611,0.195,0.15,0.386,0.339
"P33","No sabe",0.014,0.041,0.047,0.04,0.104
"P34","Muy buena",0.057,0.36,0.377,0.085,0.107
"P34","Buena",0.055,0.207,0.199,0.088,0.102
"P34","Ni buena ni mala",0.06,0.14,0.175,0.133,0.187
"P34","Mala",0.105,0.07,0.066,0.168,0.14
"P34","Muy mala",0.711,0.203,0.158,0.487,0.388
"P34","No sabe",0.012,0.02,0.025,0.039,0.076
"P35","Muy buena",0.183,0.07,0.05,0.099,0.05
"P35","Buena",0.226,0.053,0.057,0.119,0.119
"P35","Ni buena ni mala",0.24,0.084,0.073,0.233,0.234
"P35","Mala",0.166,0.15,0.145,0.215,0.256
"P35","Muy mala",0.179,0.637,0.668,0.314,0.306
"P35","No sabe",0.006,0.006,0.007,0.02,0.035
"P36","Muy buena",0.172,0.059,0.054,0.112,0.1
"P36","Buena",0.271,0.087,0.099,0.184,0.153
"P36","Ni buena ni mala",0.28,0.162,0.174,0.243,0.308
"P36","Mala",0.132,0.203,0.211,0.155,0.141
"P36","Muy mala",0.122,0.428,0.434,0.233,0.172
"P36","No sabe",0.023,0.061,0.028,0.073,0.126
"P37","Muy buena",0.185,0.061,0.065,0.13,0.082
"P37","Buena",0.285,0.075,0.048,0.183,0.148
"P37","Ni buena ni mala",0.246,0.108,0.113,0.193,0.234
"P37","Mala",0.109,0.172,0.186,0.179,0.215
"P37","Muy mala",0.16,0.563,0.573,0.279,0.233
"P37","No sabe",0.015,0.021,0.015,0.036,0.088
"P38","Muy buena",0.22,0.077,0.084,0.274,0.163
"P38","Buena",0.183,0.073,0.061,0.114,0.155
"P38","Ni buena ni mala",0.304,0.138,0.126,0.225,0.27
"P38","Mala",0.106,0.106,0.11,0.121,0.097
"P38","Muy mala",0.159,0.526,0.56,0.215,0.188
"P38","No sabe",0.028,0.08,0.059,0.051,0.127
"P39","Muy buena",0.408,0.101,0.065,0.207,0.194
"P39","Buena",0.248,0.056,0.07,0.199,0.131
"P39","Ni buena ni mala",0.153,0.086,0.086,0.199,0.236
"P39","Mala",0.059,0.113,0.114,0.105,0.102
"P39","Muy mala",0.116,0.603,0.624,0.24,0.238
"P39","No sabe",0.016,0.041,0.041,0.05,0.099
"P40","Muy buena",0.026,0.094,0.077,0.045,0.018
"P40","Buena",0.095,0.241,0.244,0.112,0.093
"P40","Ni buena ni mala",0.222,0.306,0.334,0.235,0.298
"P40","Mala",0.327,0.192,0.221,0.309,0.205
"P40","Muy mala",0.309,0.137,0.094,0.271,0.257
"P40","No sabe",0.021,0.03,0.03,0.028,0.129
"P41","Muy buena",0.03,0.014,0.014,0.03,0.024
"P41","Buena",0.078,0.037,0.056,0.064,0.08
"P41","Ni buena ni mala",0.206,0.144,0.146,0.153,0.265
"P41","Mala",0.286,0.238,0.252,0.315,0.242
"P41","Muy mala",0.38,0.524,0.498,0.418,0.304
"P41","No sabe",0.02,0.043,0.034,0.02,0.085
