"var","categoria","Lo votaría","Puede que la vote","Nunca la votaría","No sabe"
"P18","Nunca la votaría",0.374,0.383,0.726,0.161
"P18","No sabe",0.119,0.199,0.116,0.669
"P19","La votaría",0.291,0.12,0.101,0.086
"P19","Puede que la vote",0.167,0.301,0.171,0.162
"P19","Nunca la votaría",0.481,0.453,0.678,0.295
"P19","No sabe",0.061,0.126,0.05,0.457
"P20","Lo votaría",0.359,0.258,0.201,0.126
"P20","Puede que lo vote",0.021,0.216,0.137,0.138
"P20","Nunca lo votaría",0.597,0.46,0.611,0.334
"P20","No sabe",0.023,0.066,0.051,0.402
"P21","Lo votaría",0.3,0.147,0.117,0.086
"P21","Puede que lo vote",0.072,0.26,0.124,0.119
"P21","Nunca lo votaría",0.611,0.5,0.715,0.313
"P21","No sabe",0.017,0.093,0.044,0.482
"P22","Lo votaría",0.318,0.117,0.067,0.045
"P22","Puede que lo vote",0.178,0.313,0.114,0.066
"P22","Nunca lo votaría",0.372,0.43,0.727,0.176
"P22","No sabe",0.132,0.14,0.092,0.713
"P23","Lo votaría",0.3,0.103,0.078,0.059
"P23","Puede que lo vote",0.042,0.317,0.11,0.08
"P23","Nunca lo votaría",0.606,0.444,0.759,0.223
"P23","No sabe",0.052,0.136,0.053,0.638
"P24","Lo votaría",0.293,0.084,0.072,0.05
"P24","Puede que lo vote",0.182,0.323,0.094,0.086
"P24","Nunca lo votaría",0.474,0.455,0.778,0.27
"P24","No sabe",0.051,0.138,0.056,0.594
"P25","Lo votaría",0.651,0.093,0.053,0.088
"P25","Puede que lo vote",0.086,0.677,0.113,0.109
"P25","Nunca lo votaría",0.247,0.175,0.803,0.19
"P25","No sabe",0.016,0.055,0.031,0.613
"P27","La votaría",0.341,0.113,0.042,0.021
"P27","Puede que la vote",0.189,0.543,0.068,0.076
"P27","Nunca la votaría",0.325,0.188,0.824,0.136
"P27","No sabe",0.145,0.156,0.066,0.767
"P28","Lo votaría",0.268,0.066,0.015,0.015
"P28","Puede que la vote",0.223,0.396,0.04,0.049
"P28","Nunca la votaría",0.371,0.327,0.835,0.119
"P28","No sabe",0.138,0.211,0.11,0.817
"P29","La votaría",0.303,0.044,0.08,0.053
"P29","Puede que la vote",0.073,0.408,0.088,0.061
"P29","Nunca la votaría",0.531,0.366,0.753,0.148
"P29","No sabe",0.093,0.182,0.079,0.738
"P30","Lo votaría",0.245,0.061,0.036,0.024
"P30","Puede que la vote",0.099,0.344,0.055,0.046
"P30","Nunca la votaría",0.555,0.344,0.804,0.108
"P30","No sabe",0.101,0.251,0.105,0.822
"P31","La votaría",0.215,0.089,0.064,0.039
"P31","Puede que la vote",0.151,0.396,0.113,0.103
"P31","Nunca la votaría",0.583,0.456,0.76,0.252
"P31","No sabe",0.051,0.059,0.063,0.606
"P32","La votaría",0.228,0.071,0.039,0.027
"P32","Puede que la vote",0.075,0.336,0.058,0.035
"P32","Nunca la votaría",0.578,0.398,0.81,0.158
"P32","No sabe",0.119,0.195,0.093,0.78
"P33","Lo votaría",0.087,0.03,0.029,0.016
"P33","Puede que la vote",0.155,0.474,0.06,0.053
"P33","Nunca la votaría",0.549,0.192,0.808,0.137
"P33","No sabe",0.209,0.304,0.103,0.794
"P34","La votaría",0.193,0.062,0.018,0.008
"P34","Puede que la vote",0,0.39,0.057,0.044
"P34","Nunca la votaría",0.541,0.277,0.812,0.101
"P34","No sabe",0.266,0.271,0.113,0.847
"P35","Si",0.479,0.51,0.407,0.411
"P35","No",0.521,0.49,0.593,0.589
