"var","categoria","Los cargos públicos","El empleo público","Los planes sociales","Las tarifas de los servicios públicos","No sabe"
"P49","Muy mala",0.344,0.319,0.237,0.095,0.053
"P49","No sabe",0.058,0.09,0.085,0.261,0.19
"P50","Muy buena",0.052,0.036,0.042,0.063,0.031
"P50","Buena",0.146,0.11,0.115,0.156,0.161
"P50","Ni buena ni mala",0.321,0.361,0.444,0.381,0.375
"P50","Mala",0.211,0.22,0.202,0.105,0.215
"P50","Muy mala",0.233,0.217,0.127,0.065,0.098
"P50","No sabe",0.037,0.056,0.07,0.23,0.12
"P52","Muy buena",0.377,0.3,0.242,0.112,0.044
"P52","Buena",0.127,0.186,0.169,0.158,0.05
"P52","Ni buena ni mala",0.16,0.233,0.264,0.232,0.224
"P52","Mala",0.111,0.103,0.124,0.181,0.17
"P52","Muy mala",0.208,0.137,0.146,0.122,0.425
"P52","No sabe",0.017,0.041,0.055,0.195,0.087
"P53","Muy buena",0.24,0.164,0.146,0.082,0.071
"P53","Buena",0.228,0.279,0.229,0.18,0.131
"P53","Ni buena ni mala",0.281,0.279,0.368,0.463,0.315
"P53","Mala",0.126,0.141,0.119,0.102,0.216
"P53","Muy mala",0.087,0.088,0.077,0.046,0.179
"P53","No sabe",0.038,0.049,0.061,0.127,0.088
"P54","Radio",0.159,0.168,0.083,0.079,0.133
"P54","Televisión",0.367,0.416,0.498,0.294,0.4
"P54","Diario",0.071,0.056,0.063,0.09,0.043
"P54","Medio digital",0.193,0.22,0.161,0.283,0.201
"P54","Redes Sociales",0.182,0.109,0.118,0.17,0.153
"P54","Ninguno en particular",0.028,0.031,0.077,0.081,0.068
"P54","No sabe",0,0,0,0.003,0.002
"P55","Muy buena",0.049,0.058,0.041,0.118,0.104
"P55","Buena",0.122,0.135,0.076,0.037,0.244
"P55","Ni buena ni mala",0.271,0.3,0.333,0.548,0.436
"P55","Mala",0.316,0.221,0.286,0.189,0.144
"P55","Muy mala",0.233,0.243,0.233,0.058,0.015
"P55","No sabe",0.009,0.043,0.031,0.05,0.057
"P56","Muy buena",0.052,0.068,0.016,0.031,0.039
"P56","Buena",0.068,0.123,0.098,0.074,0.115
"P56","Ni buena ni mala",0.221,0.227,0.25,0.371,0.287
"P56","Mala",0.325,0.343,0.289,0.308,0.251
"P56","Muy mala",0.317,0.211,0.317,0.15,0.243
"P56","No sabe",0.017,0.028,0.03,0.066,0.065
