"var","categoria","Diego Santilli y Facundo Manes por “Juntos”","Victoria Tolosa Paz por el Frente de todos","Nicolás del Caño por el Frente de Izquierda","José Luis Espert por “Avanza Libertad”","Florencio Randazzo por “Vamos con vos”","Cynthia Hotton por “+Valores”","Ninguna en particular","No sabe"
"P18","Florencio Randazzo por “Vamos con vos”",0.018,0.005,0.041,0,0.096,0.09,0.059,0.045
"P18","Cynthia Hotton por “+Valores”",0,0,0,0,0,0.122,0.004,0
"P18","Ninguna en particular",0.034,0.019,0,0.151,0,0.487,0.261,0.094
"P18","No sabe",0.009,0.004,0.095,0,0,0,0.008,0.648
"P20","No alcanzan para cubrir las necesidades básicas familiares",0.261,0.222,0.15,0.152,0,0.23,0.245,0.361
"P20","Solo alcanzan para cubrir las necesidades básicas familiares",0.261,0.309,0.361,0.047,0.472,0,0.235,0.021
"P20","No alcanzan para cubrir los gastos totales de la familia",0.075,0.143,0.32,0.171,0.356,0,0.14,0
"P20","Alcanzan para cubrir los gastos totales de la familia",0.211,0.172,0.122,0.416,0.135,0.471,0.118,0
"P20","Tenemos un pequeño excedente, pero es excepcional",0.064,0.065,0,0.011,0.037,0.074,0.115,0
"P20","Tenemos un pequeño excedente habitual que ahorramos o invertimos",0.07,0.051,0.023,0.203,0,0.125,0.069,0.206
"P20","Tenemos un gran excedente pero es excepcional",0.007,0.001,0.024,0,0,0,0.002,0
"P20","Tenemos un gran excedente habitual que ahorramos o invertimos",0.012,0.007,0,0,0,0.1,0.007,0.204
"P20","No sabe",0.039,0.03,0,0,0,0,0.069,0.208
"P21","Muy buena",0.284,0.008,0.153,0.082,0,0,0.139,0.14
"P21","Buena",0.337,0.046,0.024,0.552,0.379,0.075,0.165,0
"P21","Ni buena ni mala",0.144,0.043,0.375,0.078,0.21,0.194,0.186,0.264
"P21","Mala",0.072,0.133,0.058,0.065,0,0,0.216,0.091
"P21","Muy mala",0.148,0.756,0.39,0.223,0.411,0.731,0.246,0.231
"P21","No sabe",0.015,0.014,0,0,0,0,0.048,0.274
"P22","Muy buena",0.58,0.015,0.177,0.282,0.208,0,0.169,0.077
"P22","Buena",0.101,0.032,0.037,0.396,0.484,0.074,0.137,0
"P22","Ni buena ni mala",0.07,0.012,0.236,0,0.054,0.108,0.126,0.359
"P22","Mala",0.042,0.032,0.051,0.065,0.037,0.231,0.04,0.059
"P22","Muy mala",0.194,0.898,0.396,0.257,0.217,0.587,0.481,0.167
"P22","No sabe",0.013,0.011,0.103,0,0,0,0.047,0.338
"P23","Muy buena",0.17,0.001,0.023,0.14,0,0,0.121,0
"P23","Buena",0.256,0.016,0.28,0.146,0.206,0,0.123,0.103
"P23","Ni buena ni mala",0.261,0.059,0.129,0.292,0.299,0,0.147,0.138
"P23","Mala",0.113,0.128,0.163,0.193,0.275,0,0.265,0.226
"P23","Muy mala",0.195,0.79,0.303,0.229,0.22,0.929,0.28,0.238
"P23","No sabe",0.005,0.006,0.102,0,0,0.071,0.064,0.295
"P24","Muy buena",0.087,0.264,0.059,0,0,0,0.05,0
"P24","Buena",0.054,0.292,0.202,0,0,0,0.113,0.059
"P24","Ni buena ni mala",0.055,0.21,0.238,0,0.68,0,0.246,0.045
"P24","Mala",0.147,0.129,0.059,0.577,0.204,0.37,0.181,0.104
"P24","Muy mala",0.621,0.096,0.442,0.423,0.116,0.63,0.396,0.475
"P24","No sabe",0.036,0.009,0,0,0,0,0.014,0.317
"P25","Muy buena",0.077,0.378,0.272,0.013,0.63,0,0.088,0.16
"P25","Buena",0.086,0.302,0.149,0.061,0.051,0.11,0.451,0.115
"P25","Ni buena ni mala",0.14,0.201,0.359,0.362,0.283,0.74,0.189,0.253
"P25","Mala",0.157,0.064,0,0.252,0.036,0.15,0.092,0.128
"P25","Muy mala",0.535,0.054,0.193,0.312,0,0,0.169,0
"P25","No sabe",0.005,0.001,0.027,0,0,0,0.011,0.344
