"var","categoria","A Juan Aníbal Viaggo por Juntos","A Mateo Bartolini por el Frente de todos","A Catalina Riganti por Convocación Civica por San Isidro","A Francisco Sicardi de Estrada por Avanza libertad","A Florencia Sarmiento por el Frente de Izquierda","A Martín Eduardo Palma Bastidas por “Vamos con vos""","Votaría en blanco o anularía"
"P19","Ninguna en particular",0.038,0.079,0.057,0.009,0.043,0.293,0.263
"P19","No sabe",0.005,0.018,0.021,0,0,0.056,0.177
"P20","No alcanzan para cubrir las necesidades básicas familiares",0.233,0.2,0.021,0.202,0.447,0.047,0.309
"P20","Solo alcanzan para cubrir las necesidades básicas familiares",0.315,0.28,0.12,0.205,0.111,0.027,0.232
"P20","No alcanzan para cubrir los gastos totales de la familia",0.154,0.1,0.028,0.112,0.091,0.125,0.068
"P20","Alcanzan para cubrir los gastos totales de la familia",0.157,0.181,0.589,0.316,0.22,0.166,0.184
"P20","Tenemos un pequeño excedente, pero es excepcional",0.058,0.065,0.048,0.128,0,0.385,0.003
"P20","Tenemos un pequeño excedente habitual que ahorramos o invertimos",0.05,0.11,0.149,0.013,0.011,0.172,0.028
"P20","Tenemos un gran excedente pero es excepcional",0.001,0.009,0,0.002,0,0,0
"P20","Tenemos un gran excedente habitual que ahorramos o invertimos",0.007,0.012,0.045,0.005,0,0,0.099
"P20","No sabe",0.025,0.043,0,0.017,0.12,0.078,0.077
"P21","Muy buena",0.005,0.315,0,0.031,0.137,0.084,0
"P21","Buena",0.033,0.436,0,0.051,0,0,0.124
"P21","Ni buena ni mala",0.064,0.144,0.078,0.007,0.12,0.514,0.17
"P21","Mala",0.154,0.048,0.16,0.014,0.181,0.179,0.099
"P21","Muy mala",0.739,0.043,0.762,0.865,0.47,0.223,0.451
"P21","No sabe",0.005,0.014,0,0.032,0.092,0,0.156
"P22","Muy buena",0.009,0.64,0,0,0.204,0,0.017
"P22","Buena",0.027,0.168,0,0,0.124,0,0.136
"P22","Ni buena ni mala",0.024,0.069,0.032,0.007,0.136,0.116,0.138
"P22","Mala",0.051,0.021,0.077,0.007,0.046,0,0.023
"P22","Muy mala",0.877,0.09,0.891,0.954,0.49,0.796,0.529
"P22","No sabe",0.012,0.012,0,0.032,0,0.088,0.157
"P23","Muy buena",0.001,0.178,0,0,0.076,0.399,0
"P23","Buena",0.019,0.302,0,0,0.061,0,0.073
"P23","Ni buena ni mala",0.057,0.279,0.112,0.046,0.098,0.182,0.224
"P23","Mala",0.148,0.138,0.051,0.029,0.267,0.116,0.086
"P23","Muy mala",0.763,0.093,0.837,0.925,0.498,0.303,0.461
"P23","No sabe",0.012,0.01,0,0,0,0,0.156
"P24","Muy buena",0.296,0.042,0.303,0.035,0.061,0,0.02
"P24","Buena",0.316,0.022,0.069,0.145,0.079,0.035,0.105
"P24","Ni buena ni mala",0.214,0.046,0.366,0.341,0.016,0.114,0.178
"P24","Mala",0.119,0.204,0,0.251,0.056,0.124,0.124
"P24","Muy mala",0.053,0.652,0.262,0.228,0.679,0.632,0.458
"P24","No sabe",0.002,0.034,0,0,0.109,0.095,0.115
"P25","Muy buena",0.443,0.036,0.07,0.033,0.06,0.12,0.12
"P25","Buena",0.336,0.088,0.428,0.128,0.043,0.415,0.199
"P25","Ni buena ni mala",0.183,0.146,0.415,0.427,0.164,0.356,0.311
"P25","Mala",0.032,0.178,0.044,0.145,0.251,0.035,0.175
"P25","Muy mala",0.005,0.547,0.043,0.267,0.454,0.074,0.096
"P25","No sabe",0.001,0.005,0,0,0.028,0,0.099
