"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala"
"P20","No me siento seguro/a la mayoría de las veces",0.077,0.081,0.169,0.308,0.265
"P20","No me siento seguro/a en absoluto",0.065,0.017,0.067,0.092,0.371
"P21","Sí, en más de una ocasión",0.304,0.137,0.142,0.268,0.425
"P21","Sí, en una ocasión",0.123,0.239,0.197,0.226,0.172
"P21","No, nunca he presenciado un incidente de seguridad en el trasporte público",0.503,0.565,0.546,0.374,0.254
"P21","Prefiero no responder",0.07,0.059,0.115,0.132,0.149
"P22","Sí, en más de una ocasión",0.233,0.057,0.094,0.153,0.327
"P22","Sí, en una ocasión",0.122,0.147,0.129,0.215,0.163
"P22","No, nunca he sido víctima de un incidente de seguridad en el trasporte público",0.576,0.748,0.682,0.514,0.372
"P22","Prefiero no responder",0.069,0.048,0.095,0.118,0.138
