"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","No sabe"
"P32","Aún no lo tengo decidido",0.143,0.043,0.113
"P34","Sergio Massa presidente por el Frente de Todos",0.565,0.049,0.074
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.078,0.455,0.153
"P34","Javier Milei por los liberales libertarios",0.039,0.325,0.499
"P34","Nicolás del Caño por la izquierda",0.038,0.005,0.032
"P34","Otro candidato",0.143,0.106,0.125
"P34","Aún no lo tengo decidido",0.137,0.06,0.117
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.828,0.047,0.069
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.07,0.45,0.128
"P36","Javier Milei por los liberales libertarios",0.017,0.353,0.5
"P36","Nicolás del Caño por la izquierda",0.021,0.005,0.043
"P36","Otro candidato",0.031,0.094,0.144
"P36","Aún no lo tengo decidido",0.033,0.051,0.116
"P37","Sergio Massa presidente por el Frente de Todos",0.632,0.028,0.075
"P37","Mauricio Macri por Juntos por el Cambio",0.054,0.606,0.026
"P37","Javier Milei por los liberales libertarios",0.026,0.266,0.544
"P37","Nicolás del Caño por la izquierda",0.03,0.012,0.038
"P37","Otro candidato",0.154,0.051,0.174
"P37","Aún no lo tengo decidido",0.104,0.037,0.143
"P38","Alberto Fernández por el Frente de Todos",0.593,0.026,0.034
"P38","Mauricio Macri por Juntos por el Cambio",0.048,0.627,0.012
"P38","Javier Milei por los liberales libertarios",0.031,0.255,0.529
"P38","Nicolás del Caño por la izquierda",0.048,0.01,0.054
"P38","Otro candidato",0.174,0.053,0.208
"P38","Aún no lo tengo decidido",0.106,0.029,0.163
"P40","Alberto Fernández por el Frente de Todos",0.731,0.033,0.058
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.066,0.761,0.236
"P40","No sabe",0.203,0.206,0.706
"P41","Sergio Massa presidente por el Frente de Todos",0.745,0.034,0.109
"P41","Patricia Bullrich por Juntos por el Cambio",0.054,0.883,0.355
"P41","No sabe",0.201,0.083,0.536
"P42","Sergio Massa presidente por el Frente de Todos",0.758,0.034,0.119
"P42","Mauricio Macri por Juntos por el Cambio",0.069,0.935,0.181
"P42","No sabe",0.173,0.031,0.7
"P43","Sergio Massa presidente por el Frente de Todos",0.754,0.031,0.083
"P43","Javier Milei por los liberales libertarios",0.075,0.641,0.498
"P43","No sabe",0.171,0.328,0.419
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.162,0.385,0.203
"P44","Javier Milei por los liberales libertarios",0.064,0.457,0.496
"P44","No sabe",0.774,0.158,0.301
"P45","Muy buena",0.101,0.03,0.034
"P45","Buena",0.291,0.042,0.073
"P45","Ni buena ni mala",0.417,0.038,0.144
"P45","Mala",0.125,0.098,0.125
"P45","Muy mala",0.053,0.783,0.602
"P45","No sabe",0.013,0.009,0.022
"P46","Muy buena",0.145,0.004,0.029
"P46","Buena",0.272,0.025,0.016
"P46","Ni buena ni mala",0.381,0.037,0.147
"P46","Mala",0.119,0.085,0.158
"P46","Muy mala",0.079,0.846,0.612
"P46","No sabe",0.004,0.003,0.038
"P47","Muy buena",0.656,0.011,0.024
"P47","Buena",0.157,0.015,0.029
"P47","Ni buena ni mala",0.111,0.014,0.102
"P47","Mala",0.022,0.065,0.135
"P47","Muy mala",0.053,0.891,0.697
"P47","No sabe",0.001,0.004,0.013
"P48","Muy buena",0.067,0.321,0.018
"P48","Buena",0.05,0.318,0.081
"P48","Ni buena ni mala",0.058,0.191,0.262
"P48","Mala",0.186,0.074,0.222
"P48","Muy mala",0.634,0.095,0.393
"P48","No sabe",0.005,0.001,0.024
"P49","Muy buena",0.034,0.197,0.103
"P49","Buena",0.046,0.339,0.147
"P49","Ni buena ni mala",0.121,0.257,0.247
"P49","Mala",0.257,0.087,0.16
"P49","Muy mala",0.524,0.111,0.299
"P49","No sabe",0.018,0.009,0.044
"P50","Muy buena",0.158,0.033,0.031
"P50","Buena",0.329,0.047,0.078
"P50","Ni buena ni mala",0.308,0.097,0.197
"P50","Mala",0.09,0.168,0.17
"P50","Muy mala",0.095,0.639,0.5
"P50","No sabe",0.02,0.016,0.024
"P51","Muy buena",0.039,0.475,0.19
"P51","Buena",0.059,0.281,0.175
"P51","Ni buena ni mala",0.085,0.118,0.251
"P51","Mala",0.136,0.034,0.11
"P51","Muy mala",0.661,0.077,0.26
"P51","No sabe",0.02,0.015,0.014
"P52","Muy buena",0.037,0.253,0.361
"P52","Buena",0.028,0.228,0.174
"P52","Ni buena ni mala",0.107,0.287,0.204
"P52","Mala",0.137,0.126,0.072
"P52","Muy mala",0.669,0.093,0.159
"P52","No sabe",0.022,0.013,0.03
"P53","Muy buena",0.033,0.265,0.11
"P53","Buena",0.025,0.318,0.15
"P53","Ni buena ni mala",0.097,0.26,0.253
"P53","Mala",0.161,0.058,0.2
"P53","Muy mala",0.665,0.096,0.249
"P53","No sabe",0.019,0.003,0.038
"P54","Muy buena",0.163,0.025,0.024
"P54","Buena",0.321,0.052,0.052
"P54","Ni buena ni mala",0.326,0.111,0.206
"P54","Mala",0.07,0.176,0.181
"P54","Muy mala",0.107,0.632,0.492
"P54","No sabe",0.013,0.004,0.045
"P55","Muy buena",0.051,0.066,0.076
"P55","Buena",0.169,0.139,0.102
"P55","Ni buena ni mala",0.337,0.308,0.341
"P55","Mala",0.173,0.169,0.142
"P55","Muy mala",0.195,0.264,0.229
"P55","No sabe",0.075,0.054,0.11
"P57","Siempre",0.325,0.3,0.31
"P57","Casi siempre",0.361,0.439,0.3
"P57","Casi nunca",0.214,0.196,0.243
"P57","Nunca, pero esta es una excepción",0.1,0.065,0.147
"P58","Si",0.611,0.617,0.561
"P58","No",0.389,0.383,0.439
