"var","categoria","Al candidato del Frente de Todos","Al candidato de Juntos por el Cambio","Al candidato de la Izquierda","A otro candidato","No sabe"
"P20","El tránsito",0.015,0.052,0.043,0,0.016
"P20","El arreglo de las calles",0.251,0.084,0.083,0.109,0.229
"P20","El estado de las escuelas y la educación",0.345,0.26,0.262,0.138,0.073
"P20","El sistema de salud",0.03,0.021,0.107,0.051,0.017
"P20","El deporte y la cultura",0.027,0.008,0.082,0.018,0.005
"P20","La obra pública",0.049,0.093,0.063,0.127,0.132
"P20","La luminaria",0.032,0.048,0.011,0,0.03
"P20","No sabe",0.12,0.358,0.319,0.546,0.434
"P21","La seguridad",0.297,0.52,0.457,0.432,0.415
"P21","El tránsito",0.049,0.002,0.047,0.032,0
"P21","El arreglo de las calles",0.226,0.195,0.134,0.246,0.129
"P21","El estado de las escuelas y la educación",0.164,0.056,0.057,0.017,0.033
"P21","El sistema de salud",0.081,0.115,0.084,0.13,0.127
"P21","El deporte y la cultura",0.015,0.026,0,0.018,0.024
"P21","La obra pública",0.033,0.002,0.022,0.063,0.013
"P21","La luminaria",0.037,0.012,0,0.004,0.018
"P21","No sabe",0.098,0.072,0.199,0.058,0.241
"P22","Agua corriente y cloacas",0.513,0.522,0.502,0.462,0.584
"P22","Energía eléctrica",0.037,0.067,0.058,0.155,0.089
"P22","Red de gas natural",0.134,0.113,0.06,0.168,0.038
"P22","Recolección de residuos",0.124,0.224,0.266,0.172,0.08
"P22","Ninguno",0.192,0.074,0.114,0.043,0.209
"P23","Los robos",0.599,0.638,0.515,0.541,0.465
"P23","El narcotráfico",0.098,0.205,0.252,0.148,0.076
"P23","La ausencia de patrulleros y personal policial",0.144,0.102,0.173,0.216,0.333
"P23","Otro",0.085,0.046,0.05,0.081,0.084
"P23","Ninguno",0.074,0.009,0.01,0.014,0.042
"P24","Muy buena",0.273,0.078,0.018,0.093,0.043
"P24","Buena",0.204,0.068,0.153,0.135,0.072
"P24","Ni buena ni mala",0.261,0.279,0.283,0.269,0.405
"P24","Mala",0.111,0.231,0.467,0.208,0.31
"P24","Muy mala",0.053,0.305,0.068,0.224,0.141
"P24","No sabe",0.098,0.039,0.011,0.071,0.029
"P25","Muy buena",0.221,0.043,0.03,0,0.022
"P25","Buena",0.265,0.048,0.089,0.014,0.11
"P25","Ni buena ni mala",0.246,0.279,0.286,0.297,0.356
"P25","Mala",0.142,0.206,0.549,0.231,0.165
"P25","Muy mala",0.055,0.386,0.036,0.385,0.289
"P25","No sabe",0.071,0.038,0.01,0.073,0.058
"P26","Muy buena",0.296,0.013,0.03,0,0.007
"P26","Buena",0.258,0.005,0,0.015,0.105
"P26","Ni buena ni mala",0.265,0.159,0.196,0.224,0.291
"P26","Mala",0.092,0.284,0.397,0.251,0.178
"P26","Muy mala",0.066,0.536,0.367,0.481,0.349
"P26","No sabe",0.023,0.003,0.01,0.029,0.07
"P27","Muy buena",0.071,0.185,0,0,0.035
"P27","Buena",0.064,0.218,0,0.036,0.028
"P27","Ni buena ni mala",0.354,0.217,0.359,0.352,0.325
"P27","Mala",0.145,0.113,0.143,0.214,0.09
"P27","Muy mala",0.12,0.215,0.261,0.248,0.118
"P27","No sabe",0.246,0.052,0.237,0.15,0.404
"P28","Muy buena",0.159,0.041,0,0.008,0.037
"P28","Buena",0.29,0.065,0.014,0.011,0.034
"P28","Ni buena ni mala",0.39,0.17,0.455,0.257,0.24
"P28","Mala",0.039,0.238,0.31,0.29,0.261
"P28","Muy mala",0.02,0.445,0.148,0.384,0.223
"P28","No sabe",0.102,0.041,0.073,0.05,0.205
"P29","Muy buena",0.039,0.085,0.032,0.004,0.011
"P29","Buena",0.107,0.205,0,0.03,0.008
"P29","Ni buena ni mala",0.394,0.368,0.376,0.383,0.539
"P29","Mala",0.13,0.087,0.342,0.194,0.108
"P29","Muy mala",0.148,0.139,0.204,0.253,0.173
"P29","No sabe",0.182,0.116,0.046,0.136,0.161
"P30","Muy buena",0.041,0.114,0.046,0.069,0.069
"P30","Buena",0.063,0.081,0.046,0.124,0.089
"P30","Ni buena ni mala",0.337,0.238,0.293,0.163,0.368
"P30","Mala",0.228,0.25,0.245,0.226,0.137
"P30","Muy mala",0.235,0.286,0.37,0.344,0.22
"P30","No sabe",0.096,0.031,0,0.074,0.117
"P31","Muy buena",0.012,0.144,0,0.019,0.037
"P31","Buena",0.078,0.067,0.028,0.035,0.123
"P31","Ni buena ni mala",0.309,0.351,0.599,0.383,0.357
"P31","Mala",0.109,0.115,0.18,0.173,0.068
"P31","Muy mala",0.192,0.197,0.077,0.138,0.146
"P31","No sabe",0.3,0.126,0.116,0.252,0.269
"P32","Muy buena",0.015,0.01,0,0.021,0
"P32","Buena",0.045,0.045,0,0.046,0.038
"P32","Ni buena ni mala",0.368,0.453,0.672,0.321,0.388
"P32","Mala",0.092,0.066,0.161,0.194,0.134
"P32","Muy mala",0.053,0.132,0.031,0.118,0.078
"P32","No sabe",0.427,0.294,0.136,0.3,0.362
"P33","Muy buena",0.02,0,0,0,0
"P33","Buena",0.029,0.011,0,0.07,0.008
"P33","Ni buena ni mala",0.479,0.453,0.688,0.3,0.445
"P33","Mala",0.048,0.101,0.133,0.198,0.125
"P33","Muy mala",0.053,0.126,0.043,0.167,0.084
"P33","No sabe",0.371,0.309,0.136,0.265,0.338
"P34","Muy buena",0.146,0.031,0.062,0,0
"P34","Buena",0.236,0.002,0.126,0.057,0.054
"P34","Ni buena ni mala",0.362,0.071,0.511,0.115,0.315
"P34","Mala",0.12,0.216,0.238,0.285,0.128
"P34","Muy mala",0.042,0.658,0.063,0.416,0.333
"P34","No sabe",0.094,0.022,0,0.127,0.17
"P35","Muy buena",0.042,0.171,0,0.019,0.024
"P35","Buena",0.06,0.342,0.072,0.099,0.105
"P35","Ni buena ni mala",0.085,0.151,0.314,0.213,0.232
"P35","Mala",0.193,0.077,0.254,0.317,0.177
"P35","Muy mala",0.59,0.248,0.36,0.326,0.404
"P35","No sabe",0.03,0.011,0,0.026,0.058
"P36","Muy buena",0.528,0.047,0.314,0.139,0.093
"P36","Buena",0.091,0.037,0.166,0.063,0.062
"P36","Ni buena ni mala",0.057,0.043,0.215,0.059,0.155
"P36","Mala",0.07,0.176,0.131,0.17,0.225
"P36","Muy mala",0.249,0.694,0.174,0.543,0.43
"P36","No sabe",0.005,0.003,0,0.026,0.035
"P37","Muy buena",0.118,0.205,0.046,0.104,0
"P37","Buena",0.03,0.25,0,0.064,0.094
"P37","Ni buena ni mala",0.117,0.238,0.368,0.248,0.498
"P37","Mala",0.245,0.081,0.256,0.231,0.061
"P37","Muy mala",0.485,0.223,0.33,0.323,0.286
"P37","No sabe",0.005,0.003,0,0.03,0.061
"P38","Muy buena",0.09,0.073,0.107,0.013,0.045
"P38","Buena",0.334,0.122,0.085,0.055,0.139
"P38","Ni buena ni mala",0.303,0.098,0.348,0.181,0.257
"P38","Mala",0.119,0.168,0.138,0.227,0.206
"P38","Muy mala",0.154,0.539,0.296,0.498,0.305
"P38","No sabe",0,0,0.026,0.026,0.048
"P39","Muy buena",0.054,0.402,0,0.081,0.082
"P39","Buena",0.053,0.224,0.03,0.137,0.163
"P39","Ni buena ni mala",0.108,0.127,0.24,0.212,0.188
"P39","Mala",0.183,0.019,0.248,0.253,0.226
"P39","Muy mala",0.594,0.206,0.444,0.287,0.288
"P39","No sabe",0.008,0.022,0.038,0.03,0.053
"P40","Muy buena",0.037,0.2,0,0.303,0.097
"P40","Buena",0.009,0.192,0,0.144,0.113
"P40","Ni buena ni mala",0.032,0.355,0.282,0.178,0.228
"P40","Mala",0.264,0.125,0.152,0.109,0.237
"P40","Muy mala",0.621,0.124,0.566,0.228,0.238
"P40","No sabe",0.037,0.004,0,0.038,0.087
