"var","categoria","Frente de Todos y el peronismo","Cambiemos","Liberales Libertarios","Izquierda","No sabe"
"P14","La seguridad",0.195,0.204,0.207,0.316,0.279
"P14","El tránsito",0.141,0.114,0.078,0.018,0.041
"P14","El arreglo de las calles",0.106,0.167,0.158,0.021,0.108
"P14","El estado de las escuelas y la educación",0.231,0.214,0.195,0.298,0.189
"P14","El sistema de salud",0.142,0.127,0.129,0.197,0.107
"P14","El deporte y la cultura",0.017,0.013,0.029,0.017,0.064
"P14","La obra pública",0.028,0.045,0.041,0.025,0.03
"P14","La luminaria",0.013,0.034,0.041,0,0.039
"P14","No sabe",0.127,0.082,0.122,0.108,0.143
"P15","Agua corriente y cloacas",0.509,0.508,0.459,0.567,0.46
"P15","Energía eléctrica",0.111,0.155,0.185,0.066,0.098
"P15","Red de gas natural",0.034,0.04,0.105,0.03,0.035
"P15","Recolección de residuos",0.12,0.139,0.092,0.094,0.153
"P15","Ninguno",0.226,0.158,0.159,0.243,0.254
"P16","Los robos",0.359,0.328,0.283,0.292,0.325
"P16","El narcotráfico",0.224,0.355,0.282,0.139,0.142
"P16","La ausencia de patrulleros y personal policial",0.176,0.134,0.197,0.224,0.209
"P16","Otro",0.129,0.124,0.143,0.279,0.208
"P16","Ninguno",0.112,0.059,0.095,0.066,0.116
"P23","Muy buena",0.316,0.077,0.043,0.009,0.068
"P23","Buena",0.336,0.06,0.038,0.166,0.032
"P23","Ni buena ni mala",0.214,0.095,0.153,0.437,0.325
"P23","Mala",0.072,0.153,0.156,0.244,0.171
"P23","Muy mala",0.052,0.597,0.61,0.136,0.37
"P23","No sabe",0.01,0.018,0,0.008,0.034
"P24","Muy buena",0.068,0.29,0.067,0.009,0.056
"P24","Buena",0.055,0.298,0.183,0.118,0.033
"P24","Ni buena ni mala",0.082,0.19,0.23,0.098,0.241
"P24","Mala",0.237,0.088,0.229,0.304,0.331
"P24","Muy mala",0.552,0.134,0.291,0.462,0.318
"P24","No sabe",0.006,0,0,0.009,0.021
"P25","Muy buena",0.519,0.067,0.091,0.092,0.12
"P25","Buena",0.171,0.041,0.021,0.197,0.1
"P25","Ni buena ni mala",0.136,0.042,0.062,0.219,0.176
"P25","Mala",0.052,0.043,0.25,0.124,0.138
"P25","Muy mala",0.117,0.805,0.57,0.368,0.415
"P25","No sabe",0.005,0.002,0.006,0,0.051
"P26","Muy buena",0.1,0.341,0.114,0.186,0.067
"P26","Buena",0.105,0.314,0.214,0.224,0.208
"P26","Ni buena ni mala",0.2,0.179,0.195,0.057,0.344
"P26","Mala",0.173,0.043,0.189,0.086,0.122
"P26","Muy mala",0.392,0.116,0.276,0.439,0.2
"P26","No sabe",0.03,0.007,0.012,0.008,0.059
"P27","Muy buena",0.25,0.079,0.076,0.009,0.1
"P27","Buena",0.287,0.099,0.12,0.168,0.138
"P27","Ni buena ni mala",0.207,0.08,0.147,0.373,0.299
"P27","Mala",0.102,0.124,0.191,0.168,0.186
"P27","Muy mala",0.141,0.615,0.466,0.282,0.261
"P27","No sabe",0.013,0.003,0,0,0.016
"P28","Muy buena",0.065,0.506,0.224,0.033,0.076
"P28","Buena",0.052,0.218,0.237,0.091,0.194
"P28","Ni buena ni mala",0.117,0.133,0.228,0.237,0.189
"P28","Mala",0.167,0.038,0.061,0.2,0.168
"P28","Muy mala",0.59,0.105,0.244,0.439,0.283
"P28","No sabe",0.009,0,0.006,0,0.09
"P29","Muy buena",0.024,0.168,0.466,0.05,0.049
"P29","Buena",0.039,0.167,0.291,0.015,0.038
"P29","Ni buena ni mala",0.172,0.376,0.154,0.05,0.341
"P29","Mala",0.146,0.121,0.035,0.161,0.176
"P29","Muy mala",0.582,0.152,0.051,0.706,0.293
"P29","No sabe",0.037,0.016,0.003,0.018,0.103
