"var","categoria","Correcta","Incorrecta","No sabe"
"P20","Mala",0.299,0.3,0.181
"P20","Muy mala",0.167,0.112,0.079
"P20","No sabe",0.011,0.008,0.025
"P21","Muy de acuerdo",0.477,0.336,0.233
"P21","De acuerdo",0.206,0.25,0.228
"P21","Ni de acuerdo ni en desacuerdo",0.163,0.229,0.402
"P21","En desacuerdo",0.071,0.124,0.082
"P21","Muy en desacuerdo",0.063,0.053,0.014
"P21","No sabe",0.02,0.008,0.041
"P22","El estado nacional",0.156,0.125,0.091
"P22","El estado provincial",0.54,0.546,0.439
"P22","Ambos de forma coordinada",0.273,0.28,0.308
"P22","No sabe",0.031,0.049,0.162
"P23","Si",0.665,0.525,0.301
"P23","No",0.232,0.402,0.452
"P23","No sabe",0.103,0.073,0.247
"P24","Excesiva",0.099,0.145,0.05
"P24","Adecuada",0.135,0.58,0.282
"P24","Insuficiente",0.499,0.184,0.31
"P24","Inaceptable",0.238,0.044,0.024
"P24","No sabe",0.029,0.047,0.334
"P26","Si",0.827,0.622,0.403
"P26","No",0.112,0.293,0.232
"P26","No sabe",0.061,0.085,0.365
"P28","Si",0.758,0.552,0.263
"P28","No",0.187,0.397,0.375
"P28","No sabe",0.055,0.051,0.362
"P29","Correcta",0.284,0.648,0.247
"P29","Incorrecta",0.615,0.215,0.169
"P29","No sabe",0.101,0.137,0.584
"P30","Si",0.791,0.68,0.438
"P30","No",0.164,0.277,0.277
"P30","No sabe",0.045,0.043,0.285
"P31","Adecuada",0.633,0.024,0.1
"P31","Insuficiente",0.092,0.082,0.175
"P31","Excesiva",0.112,0.296,0.295
"P31","Inaceptable",0.133,0.573,0.209
"P31","No sabe",0.03,0.025,0.221
"P33","Si",0.82,0.281,0.377
"P33","No",0.137,0.616,0.247
"P33","No sabe",0.043,0.103,0.376
"P34","Si",0.312,0.704,0.288
"P34","No",0.601,0.224,0.36
"P34","No sabe",0.087,0.072,0.352
"P35","Inseguridad y narcotráfico",0.485,0.545,0.285
"P35","Altos impuestos y tarifas",0.322,0.285,0.252
"P35","Educación y estado de las escuelas",0.074,0.07,0.354
"P35","Inflación",0.051,0.038,0.038
"P35","Estado de la salud",0.017,0.016,0.032
"P35","Corrupción",0.042,0.038,0.012
"P35","Pobreza",0.004,0.004,0.007
"P35","Medio ambiente, incendios y contaminación",0,0,0
"P35","Falta de trabajo",0.005,0,0.003
"P35","No sabe",0,0.004,0.017
"P39","Muy buena",0.11,0.083,0.037
"P39","Buena",0.231,0.334,0.259
"P39","Ni buena ni mala",0.307,0.346,0.507
"P39","Mala",0.236,0.187,0.144
"P39","Muy mala",0.1,0.039,0.004
"P39","No sabe",0.016,0.011,0.049
"P40","Peor",0.507,0.245,0.306
"P40","Igual",0.323,0.54,0.378
"P40","Mejor",0.09,0.134,0.208
"P40","No sabe",0.08,0.081,0.108
"P41","Peor",0.512,0.231,0.237
"P41","Igual",0.251,0.376,0.244
"P41","Mejor",0.14,0.294,0.31
"P41","No sabe",0.097,0.099,0.209
"P42","El gobierno de Javier Milei",0.556,0.197,0.325
"P42","El gobierno de Alberto Fernández",0.294,0.684,0.363
"P42","Ambos",0.139,0.103,0.252
"P42","No sabe",0.011,0.016,0.06
"P43","Javier Milei",0.364,0.527,0.322
"P43","Los gobernadores",0.567,0.385,0.491
"P43","No sabe",0.069,0.088,0.187
"P44","Muy buena",0.146,0.225,0.167
"P44","Buena",0.209,0.332,0.305
"P44","Ni buena ni mala",0.376,0.278,0.381
"P44","Mala",0.173,0.12,0.042
"P44","Muy mala",0.091,0.04,0.024
"P44","No sabe",0.005,0.005,0.081
"P45","Muy buena",0.177,0.094,0.07
"P45","Buena",0.222,0.199,0.251
"P45","Ni buena ni mala",0.265,0.359,0.448
"P45","Mala",0.171,0.208,0.099
"P45","Muy mala",0.122,0.114,0.057
"P45","No sabe",0.043,0.026,0.075
"P46","Muy buena",0.117,0.063,0.07
"P46","Buena",0.139,0.167,0.16
"P46","Ni buena ni mala",0.21,0.226,0.316
"P46","Mala",0.326,0.345,0.291
"P46","Muy mala",0.196,0.192,0.101
"P46","No sabe",0.012,0.007,0.062
"P47","Muy buena",0.083,0.075,0.063
"P47","Buena",0.134,0.141,0.115
"P47","Ni buena ni mala",0.418,0.378,0.531
"P47","Mala",0.145,0.217,0.156
"P47","Muy mala",0.186,0.136,0.042
"P47","No sabe",0.034,0.053,0.093
"P48","Muy buena",0.229,0.096,0.117
"P48","Buena",0.216,0.161,0.187
"P48","Ni buena ni mala",0.308,0.304,0.386
"P48","Mala",0.12,0.259,0.146
"P48","Muy mala",0.124,0.159,0.057
"P48","No sabe",0.003,0.021,0.107
"P49","Muy buena",0.415,0.103,0.279
"P49","Buena",0.145,0.125,0.069
"P49","Ni buena ni mala",0.079,0.11,0.166
"P49","Mala",0.141,0.268,0.241
"P49","Muy mala",0.22,0.383,0.23
"P49","No sabe",0,0.011,0.015
"P50","Muy buena",0.127,0.112,0.08
"P50","Buena",0.092,0.237,0.178
"P50","Ni buena ni mala",0.13,0.256,0.221
"P50","Mala",0.298,0.209,0.211
"P50","Muy mala",0.353,0.17,0.265
"P50","No sabe",0,0.016,0.045
"P51","Muy buena",0.188,0.095,0.088
"P51","Buena",0.226,0.121,0.223
"P51","Ni buena ni mala",0.188,0.113,0.221
"P51","Mala",0.152,0.257,0.227
"P51","Muy mala",0.246,0.409,0.216
"P51","No sabe",0,0.005,0.025
"P52","Muy buena",0.189,0.442,0.218
"P52","Buena",0.089,0.185,0.175
"P52","Ni buena ni mala",0.102,0.103,0.159
"P52","Mala",0.184,0.103,0.201
"P52","Muy mala",0.436,0.166,0.232
"P52","No sabe",0,0.001,0.015
"P53","Muy buena",0.161,0.376,0.165
"P53","Buena",0.099,0.261,0.137
"P53","Ni buena ni mala",0.116,0.11,0.242
"P53","Mala",0.179,0.113,0.203
"P53","Muy mala",0.442,0.139,0.238
"P53","No sabe",0.003,0.001,0.015
"P54","Muy buena",0.144,0.205,0.104
"P54","Buena",0.072,0.21,0.121
"P54","Ni buena ni mala",0.155,0.331,0.272
"P54","Mala",0.187,0.102,0.2
"P54","Muy mala",0.432,0.133,0.252
"P54","No sabe",0.01,0.019,0.051
"P55","Muy buena",0.198,0.44,0.212
"P55","Buena",0.099,0.213,0.074
"P55","Ni buena ni mala",0.103,0.141,0.318
"P55","Mala",0.155,0.088,0.115
"P55","Muy mala",0.443,0.11,0.193
"P55","No sabe",0.002,0.008,0.088
"P56","Muy buena",0.099,0.108,0.078
"P56","Buena",0.133,0.269,0.077
"P56","Ni buena ni mala",0.318,0.395,0.509
"P56","Mala",0.201,0.14,0.151
"P56","Muy mala",0.239,0.077,0.059
"P56","No sabe",0.01,0.011,0.126
"P57","Muy buena",0.125,0.164,0.091
"P57","Buena",0.091,0.297,0.095
"P57","Ni buena ni mala",0.125,0.256,0.348
"P57","Mala",0.185,0.12,0.104
"P57","Muy mala",0.463,0.144,0.261
"P57","No sabe",0.011,0.019,0.101
"P58","Muy buena",0.085,0.185,0.073
"P58","Buena",0.095,0.239,0.086
"P58","Ni buena ni mala",0.268,0.322,0.395
"P58","Mala",0.149,0.114,0.123
"P58","Muy mala",0.359,0.071,0.163
"P58","No sabe",0.044,0.069,0.16
