"var","categoria","El estado nacional","El estado provincial","Ambos de forma coordinada","No sabe"
"P24","Inaceptable",0.208,0.083,0.086,0.033
"P24","No sabe",0.057,0.061,0.117,0.355
"P26","Si",0.691,0.639,0.634,0.46
"P26","No",0.222,0.245,0.207,0.26
"P26","No sabe",0.087,0.116,0.159,0.28
"P27","Correcta",0.348,0.294,0.274,0.133
"P27","Incorrecta",0.514,0.545,0.517,0.392
"P27","No sabe",0.138,0.161,0.209,0.475
"P28","Si",0.49,0.584,0.587,0.342
"P28","No",0.4,0.321,0.308,0.386
"P28","No sabe",0.11,0.095,0.105,0.272
"P29","Correcta",0.49,0.462,0.473,0.416
"P29","Incorrecta",0.347,0.336,0.316,0.2
"P29","No sabe",0.163,0.202,0.211,0.384
"P30","Si",0.725,0.671,0.657,0.561
"P30","No",0.262,0.234,0.257,0.234
"P30","No sabe",0.013,0.095,0.086,0.205
"P31","Adecuada",0.279,0.232,0.193,0.07
"P31","Insuficiente",0.077,0.126,0.069,0.118
"P31","Excesiva",0.138,0.266,0.264,0.167
"P31","Inaceptable",0.488,0.314,0.424,0.423
"P31","No sabe",0.018,0.062,0.05,0.222
"P33","Si",0.502,0.509,0.376,0.309
"P33","No",0.402,0.391,0.426,0.452
"P33","No sabe",0.096,0.1,0.198,0.239
"P34","Si",0.635,0.474,0.576,0.286
"P34","No",0.257,0.408,0.294,0.455
"P34","No sabe",0.108,0.118,0.13,0.259
"P35","Inseguridad y narcotráfico",0.464,0.504,0.458,0.39
"P35","Altos impuestos y tarifas",0.283,0.321,0.256,0.198
"P35","Educación y estado de las escuelas",0.12,0.091,0.14,0.341
"P35","Inflación",0.055,0.041,0.039,0.035
"P35","Estado de la salud",0.029,0.018,0.021,0
"P35","Corrupción",0.04,0.013,0.07,0.032
"P35","Pobreza",0,0.007,0.002,0.004
"P35","Medio ambiente, incendios y contaminación",0,0,0,0
"P35","Falta de trabajo",0,0.004,0.001,0
"P35","No sabe",0.009,0.001,0.013,0
"P39","Muy buena",0.174,0.087,0.029,0.115
"P39","Buena",0.227,0.348,0.251,0.089
"P39","Ni buena ni mala",0.288,0.339,0.415,0.492
"P39","Mala",0.236,0.159,0.23,0.238
"P39","Muy mala",0.044,0.048,0.065,0.017
"P39","No sabe",0.031,0.019,0.01,0.049
"P40","Peor",0.376,0.331,0.336,0.304
"P40","Igual",0.389,0.463,0.413,0.529
"P40","Mejor",0.132,0.129,0.156,0.084
"P40","No sabe",0.103,0.077,0.095,0.083
"P41","Peor",0.404,0.323,0.281,0.261
"P41","Igual",0.364,0.291,0.314,0.394
"P41","Mejor",0.218,0.253,0.283,0.144
"P41","No sabe",0.014,0.133,0.122,0.201
"P42","El gobierno de Javier Milei",0.277,0.43,0.217,0.093
"P42","El gobierno de Alberto Fernández",0.558,0.405,0.629,0.714
"P42","Ambos",0.15,0.148,0.129,0.123
"P42","No sabe",0.015,0.017,0.025,0.07
"P43","Javier Milei",0.622,0.307,0.574,0.603
"P43","Los gobernadores",0.292,0.611,0.324,0.123
"P43","No sabe",0.086,0.082,0.102,0.274
"P44","Muy buena",0.287,0.213,0.117,0.14
"P44","Buena",0.276,0.359,0.207,0.11
"P44","Ni buena ni mala",0.212,0.305,0.416,0.338
"P44","Mala",0.172,0.086,0.164,0.139
"P44","Muy mala",0.053,0.033,0.091,0.042
"P44","No sabe",0,0.004,0.005,0.231
"P45","Muy buena",0.26,0.119,0.038,0.142
"P45","Buena",0.166,0.281,0.144,0.081
"P45","Ni buena ni mala",0.29,0.35,0.405,0.169
"P45","Mala",0.174,0.148,0.226,0.203
"P45","Muy mala",0.098,0.082,0.136,0.192
"P45","No sabe",0.012,0.02,0.051,0.213
"P46","Muy buena",0.194,0.075,0.036,0.105
"P46","Buena",0.16,0.192,0.104,0.1
"P46","Ni buena ni mala",0.247,0.253,0.214,0.189
"P46","Mala",0.252,0.32,0.412,0.196
"P46","Muy mala",0.147,0.153,0.223,0.225
"P46","No sabe",0,0.007,0.011,0.185
"P47","Muy buena",0.186,0.06,0.071,0
"P47","Buena",0.178,0.154,0.092,0.067
"P47","Ni buena ni mala",0.318,0.46,0.389,0.39
"P47","Mala",0.196,0.172,0.212,0.132
"P47","Muy mala",0.086,0.123,0.172,0.157
"P47","No sabe",0.036,0.031,0.064,0.254
"P48","Muy buena",0.16,0.151,0.128,0.049
"P48","Buena",0.163,0.235,0.115,0.085
"P48","Ni buena ni mala",0.382,0.308,0.33,0.244
"P48","Mala",0.173,0.19,0.235,0.129
"P48","Muy mala",0.092,0.106,0.169,0.239
"P48","No sabe",0.03,0.01,0.023,0.254
"P49","Muy buena",0.278,0.29,0.128,0.073
"P49","Buena",0.062,0.161,0.092,0.028
"P49","Ni buena ni mala",0.108,0.104,0.123,0.106
"P49","Mala",0.282,0.223,0.236,0.073
"P49","Muy mala",0.27,0.222,0.405,0.657
"P49","No sabe",0,0,0.016,0.063
"P50","Muy buena",0.278,0.068,0.128,0.056
"P50","Buena",0.233,0.168,0.164,0.297
"P50","Ni buena ni mala",0.154,0.17,0.325,0.146
"P50","Mala",0.198,0.289,0.157,0.235
"P50","Muy mala",0.137,0.303,0.197,0.15
"P50","No sabe",0,0.002,0.029,0.116
"P51","Muy buena",0.216,0.13,0.084,0.035
"P51","Buena",0.162,0.21,0.121,0.092
"P51","Ni buena ni mala",0.055,0.194,0.144,0.066
"P51","Mala",0.259,0.221,0.208,0.177
"P51","Muy mala",0.308,0.241,0.436,0.579
"P51","No sabe",0,0.004,0.007,0.051
"P52","Muy buena",0.566,0.226,0.381,0.427
"P52","Buena",0.15,0.14,0.158,0.273
"P52","Ni buena ni mala",0.016,0.123,0.136,0.116
"P52","Mala",0.177,0.182,0.087,0.024
"P52","Muy mala",0.091,0.328,0.238,0.115
"P52","No sabe",0,0.001,0,0.045
"P53","Muy buena",0.467,0.186,0.338,0.325
"P53","Buena",0.207,0.155,0.244,0.206
"P53","Ni buena ni mala",0.047,0.129,0.161,0.255
"P53","Mala",0.155,0.207,0.068,0.024
"P53","Muy mala",0.117,0.322,0.188,0.145
"P53","No sabe",0.007,0.001,0.001,0.045
"P54","Muy buena",0.4,0.088,0.219,0.159
"P54","Buena",0.151,0.127,0.18,0.254
"P54","Ni buena ni mala",0.206,0.255,0.324,0.238
"P54","Mala",0.063,0.193,0.1,0.106
"P54","Muy mala",0.171,0.314,0.158,0.189
"P54","No sabe",0.009,0.023,0.019,0.054
"P55","Muy buena",0.521,0.238,0.382,0.452
"P55","Buena",0.131,0.148,0.195,0.056
"P55","Ni buena ni mala",0.178,0.135,0.196,0.191
"P55","Mala",0.048,0.171,0.041,0.069
"P55","Muy mala",0.122,0.294,0.165,0.114
"P55","No sabe",0,0.014,0.021,0.118
"P56","Muy buena",0.198,0.079,0.109,0.047
"P56","Buena",0.224,0.173,0.212,0.232
"P56","Ni buena ni mala",0.391,0.397,0.398,0.321
"P56","Mala",0.109,0.176,0.144,0.209
"P56","Muy mala",0.068,0.149,0.107,0.074
"P56","No sabe",0.01,0.026,0.03,0.117
"P57","Muy buena",0.338,0.077,0.168,0.16
"P57","Buena",0.248,0.166,0.243,0.202
"P57","Ni buena ni mala",0.239,0.188,0.286,0.369
"P57","Mala",0.071,0.185,0.095,0.03
"P57","Muy mala",0.098,0.357,0.181,0.095
"P57","No sabe",0.006,0.027,0.027,0.144
"P58","Muy buena",0.337,0.083,0.126,0.243
"P58","Buena",0.209,0.148,0.217,0.048
"P58","Ni buena ni mala",0.3,0.296,0.361,0.357
"P58","Mala",0.045,0.178,0.08,0.038
"P58","Muy mala",0.081,0.227,0.133,0.077
"P58","No sabe",0.028,0.068,0.083,0.237
