"var","categoria","Adecuada","Insuficiente","Excesiva","Inaceptable","No sabe"
"P54","Muy mala",0.497,0.198,0.185,0.115,0.386
"P54","No sabe",0.017,0.004,0.034,0.017,0.062
"P55","Muy buena",0.201,0.163,0.233,0.518,0.282
"P55","Buena",0.059,0.298,0.225,0.148,0.019
"P55","Ni buena ni mala",0.124,0.128,0.198,0.17,0.16
"P55","Mala",0.136,0.112,0.151,0.076,0.09
"P55","Muy mala",0.471,0.239,0.183,0.08,0.325
"P55","No sabe",0.009,0.06,0.01,0.008,0.124
"P56","Muy buena",0.094,0.168,0.066,0.111,0.084
"P56","Buena",0.127,0.139,0.236,0.252,0.015
"P56","Ni buena ni mala",0.295,0.265,0.474,0.427,0.435
"P56","Mala",0.213,0.203,0.124,0.133,0.2
"P56","Muy mala",0.256,0.155,0.089,0.059,0.073
"P56","No sabe",0.015,0.07,0.011,0.018,0.193
"P57","Muy buena",0.122,0.089,0.104,0.19,0.126
"P57","Buena",0.056,0.174,0.203,0.313,0.085
"P57","Ni buena ni mala",0.15,0.275,0.274,0.264,0.106
"P57","Mala",0.172,0.142,0.16,0.1,0.117
"P57","Muy mala",0.486,0.25,0.257,0.107,0.378
"P57","No sabe",0.014,0.07,0.002,0.026,0.188
"P58","Muy buena",0.112,0.105,0.096,0.203,0
"P58","Buena",0.024,0.159,0.165,0.272,0.126
"P58","Ni buena ni mala",0.297,0.309,0.377,0.309,0.236
"P58","Mala",0.131,0.147,0.142,0.105,0.134
"P58","Muy mala",0.39,0.162,0.145,0.052,0.231
"P58","No sabe",0.046,0.118,0.075,0.059,0.273
