"var","categoria","Peor","Igual","Mejor","No sabe"
"P46","No sabe",0.015,0.015,0.017,0.046
"P47","Muy buena",0.121,0.04,0.055,0.086
"P47","Buena",0.082,0.182,0.165,0.086
"P47","Ni buena ni mala",0.419,0.434,0.395,0.414
"P47","Mala",0.193,0.186,0.204,0.109
"P47","Muy mala",0.162,0.125,0.102,0.157
"P47","No sabe",0.023,0.033,0.079,0.148
"P48","Muy buena",0.24,0.069,0.095,0.146
"P48","Buena",0.163,0.249,0.15,0.129
"P48","Ni buena ni mala",0.228,0.337,0.396,0.364
"P48","Mala",0.197,0.207,0.215,0.128
"P48","Muy mala",0.168,0.111,0.094,0.158
"P48","No sabe",0.004,0.027,0.05,0.075
"P49","Muy buena",0.355,0.167,0.132,0.253
"P49","Buena",0.103,0.188,0.063,0.122
"P49","Ni buena ni mala",0.109,0.111,0.134,0.059
"P49","Mala",0.162,0.23,0.304,0.215
"P49","Muy mala",0.257,0.302,0.366,0.327
"P49","No sabe",0.014,0.002,0.001,0.024
"P50","Muy buena",0.163,0.094,0.093,0.046
"P50","Buena",0.092,0.27,0.187,0.192
"P50","Ni buena ni mala",0.139,0.259,0.264,0.17
"P50","Mala",0.259,0.179,0.285,0.217
"P50","Muy mala",0.33,0.184,0.155,0.351
"P50","No sabe",0.017,0.014,0.016,0.024
"P51","Muy buena",0.183,0.1,0.072,0.118
"P51","Buena",0.182,0.183,0.157,0.142
"P51","Ni buena ni mala",0.195,0.142,0.111,0.174
"P51","Mala",0.182,0.212,0.291,0.186
"P51","Muy mala",0.253,0.36,0.368,0.341
"P51","No sabe",0.005,0.003,0.001,0.039
"P52","Muy buena",0.248,0.349,0.443,0.214
"P52","Buena",0.099,0.211,0.155,0.155
"P52","Ni buena ni mala",0.11,0.098,0.119,0.15
"P52","Mala",0.175,0.11,0.159,0.125
"P52","Muy mala",0.368,0.231,0.124,0.332
"P52","No sabe",0,0.001,0,0.024
"P53","Muy buena",0.218,0.337,0.296,0.198
"P53","Buena",0.09,0.255,0.23,0.204
"P53","Ni buena ni mala",0.144,0.101,0.17,0.133
"P53","Mala",0.17,0.1,0.172,0.172
"P53","Muy mala",0.375,0.205,0.132,0.268
"P53","No sabe",0.003,0.002,0,0.025
"P54","Muy buena",0.155,0.166,0.209,0.12
"P54","Buena",0.041,0.235,0.186,0.169
"P54","Ni buena ni mala",0.216,0.296,0.319,0.22
"P54","Mala",0.164,0.127,0.15,0.127
"P54","Muy mala",0.422,0.163,0.109,0.269
"P54","No sabe",0.002,0.013,0.027,0.095
"P55","Muy buena",0.277,0.369,0.384,0.222
"P55","Buena",0.065,0.233,0.196,0.097
"P55","Ni buena ni mala",0.15,0.114,0.191,0.257
"P55","Mala",0.117,0.109,0.11,0.116
"P55","Muy mala",0.387,0.15,0.096,0.254
"P55","No sabe",0.004,0.025,0.023,0.054
"P56","Muy buena",0.1,0.083,0.141,0.053
"P56","Buena",0.105,0.32,0.187,0.117
"P56","Ni buena ni mala",0.368,0.346,0.462,0.43
"P56","Mala",0.193,0.144,0.118,0.214
"P56","Muy mala",0.224,0.084,0.049,0.1
"P56","No sabe",0.01,0.023,0.043,0.086
"P57","Muy buena",0.141,0.129,0.178,0.076
"P57","Buena",0.074,0.296,0.256,0.173
"P57","Ni buena ni mala",0.192,0.241,0.251,0.29
"P57","Mala",0.165,0.117,0.129,0.119
"P57","Muy mala",0.412,0.185,0.139,0.306
"P57","No sabe",0.016,0.032,0.047,0.036
"P58","Muy buena",0.128,0.16,0.152,0.047
"P58","Buena",0.061,0.264,0.223,0.099
"P58","Ni buena ni mala",0.333,0.271,0.323,0.404
"P58","Mala",0.147,0.136,0.102,0.085
"P58","Muy mala",0.304,0.105,0.092,0.166
"P58","No sabe",0.027,0.064,0.108,0.199
