"var","categoria","El gobierno anterior de Alberto Fernández","El actual gobierno de Javier Milei","No sabe"
"P24","Excesiva",0.131,0.036,0.092
"P24","Adecuada",0.437,0.255,0.295
"P24","Insuficiente",0.341,0.463,0.298
"P24","Inaceptable",0.078,0.169,0.06
"P24","No sabe",0.013,0.077,0.255
"P26","Si",0.624,0.688,0.565
"P26","No",0.275,0.215,0.061
"P26","No sabe",0.101,0.097,0.374
"P27","Correcta",0.275,0.484,0.178
"P27","Incorrecta",0.604,0.31,0.444
"P27","No sabe",0.121,0.206,0.378
"P28","Si",0.543,0.66,0.403
"P28","No",0.426,0.224,0.363
"P28","No sabe",0.031,0.116,0.234
"P29","Correcta",0.475,0.461,0.461
"P29","Incorrecta",0.277,0.41,0.202
"P29","No sabe",0.248,0.129,0.337
"P30","Si",0.746,0.648,0.57
"P30","No",0.18,0.267,0.326
"P30","No sabe",0.074,0.085,0.104
"P31","Adecuada",0.212,0.343,0.027
"P31","Insuficiente",0.113,0.169,0.074
"P31","Excesiva",0.217,0.295,0.219
"P31","Inaceptable",0.331,0.139,0.479
"P31","No sabe",0.127,0.054,0.201
"P33","Si",0.442,0.584,0.524
"P33","No",0.388,0.349,0.376
"P33","No sabe",0.17,0.067,0.1
"P34","Si",0.576,0.262,0.53
"P34","No",0.385,0.58,0.309
"P34","No sabe",0.039,0.158,0.161
"P35","Inseguridad y narcotráfico",0.452,0.536,0.319
"P35","Altos impuestos y tarifas",0.361,0.229,0.427
"P35","Educación y estado de las escuelas",0.14,0.129,0.073
"P35","Inflación",0.028,0.079,0.024
"P35","Estado de la salud",0,0.007,0
"P35","Corrupción",0.012,0.005,0
"P35","Pobreza",0.001,0.005,0.017
"P35","Medio ambiente, incendios y contaminación",0,0,0.008
"P35","Falta de trabajo",0,0.009,0
"P35","No sabe",0.006,0.001,0.132
"P39","Muy buena",0.165,0.113,0.02
"P39","Buena",0.359,0.37,0.427
"P39","Ni buena ni mala",0.376,0.277,0.145
"P39","Mala",0.065,0.174,0.3
"P39","Muy mala",0.004,0.041,0.062
"P39","No sabe",0.031,0.025,0.046
"P40","Peor",0.297,0.451,0.304
"P40","Igual",0.481,0.36,0.434
"P40","Mejor",0.107,0.166,0.228
"P40","No sabe",0.115,0.023,0.034
"P41","Peor",0.484,0.401,0.176
"P41","Igual",0.195,0.314,0.206
"P41","Mejor",0.242,0.186,0.366
"P41","No sabe",0.079,0.099,0.252
"P42","El gobierno de Javier Milei",0.397,0.753,0.191
"P42","El gobierno de Alberto Fernández",0.522,0.172,0.079
"P42","Ambos",0.062,0.073,0.683
"P42","No sabe",0.019,0.002,0.047
"P43","Javier Milei",0.473,0.137,0
"P43","Los gobernadores",0.401,0.806,0.643
"P43","No sabe",0.126,0.057,0.357
"P44","Muy buena",0.429,0.272,0.217
"P44","Buena",0.326,0.321,0.409
"P44","Ni buena ni mala",0.115,0.32,0.296
"P44","Mala",0.072,0.057,0.01
"P44","Muy mala",0.058,0.024,0.027
"P44","No sabe",0,0.006,0.041
"P45","Muy buena",0.309,0.109,0.222
"P45","Buena",0.297,0.339,0.077
"P45","Ni buena ni mala",0.232,0.424,0.573
"P45","Mala",0.083,0.1,0.02
"P45","Muy mala",0.046,0.009,0.027
"P45","No sabe",0.033,0.019,0.081
"P46","Muy buena",0.174,0.114,0
"P46","Buena",0.323,0.145,0.288
"P46","Ni buena ni mala",0.22,0.359,0.284
"P46","Mala",0.168,0.294,0.36
"P46","Muy mala",0.106,0.088,0.043
"P46","No sabe",0.009,0,0.025
"P47","Muy buena",0.18,0.048,0
"P47","Buena",0.234,0.184,0.219
"P47","Ni buena ni mala",0.348,0.574,0.584
"P47","Mala",0.173,0.11,0.129
"P47","Muy mala",0.055,0.059,0.027
"P47","No sabe",0.01,0.025,0.041
"P48","Muy buena",0.229,0.191,0.051
"P48","Buena",0.124,0.248,0.316
"P48","Ni buena ni mala",0.339,0.442,0.512
"P48","Mala",0.193,0.076,0.069
"P48","Muy mala",0.055,0.034,0.027
"P48","No sabe",0.06,0.009,0.025
"P49","Muy buena",0.302,0.433,0.093
"P49","Buena",0.075,0.278,0.04
"P49","Ni buena ni mala",0.082,0.11,0.45
"P49","Mala",0.217,0.129,0.063
"P49","Muy mala",0.324,0.05,0.354
"P49","No sabe",0,0,0
"P50","Muy buena",0.304,0.052,0.031
"P50","Buena",0.138,0.018,0.413
"P50","Ni buena ni mala",0.171,0.169,0.042
"P50","Mala",0.147,0.276,0.099
"P50","Muy mala",0.24,0.485,0.415
"P50","No sabe",0,0,0
"P51","Muy buena",0.209,0.175,0.052
"P51","Buena",0.079,0.297,0.287
"P51","Ni buena ni mala",0.111,0.317,0.426
"P51","Mala",0.263,0.131,0.062
"P51","Muy mala",0.33,0.08,0.173
"P51","No sabe",0.008,0,0
"P52","Muy buena",0.37,0.105,0.032
"P52","Buena",0.177,0.044,0.395
"P52","Ni buena ni mala",0.139,0.056,0.039
"P52","Mala",0.127,0.231,0.315
"P52","Muy mala",0.187,0.563,0.219
"P52","No sabe",0,0.001,0
"P53","Muy buena",0.34,0.023,0.172
"P53","Buena",0.214,0.034,0.024
"P53","Ni buena ni mala",0.122,0.171,0.1
"P53","Mala",0.18,0.178,0.39
"P53","Muy mala",0.144,0.594,0.314
"P53","No sabe",0,0,0
"P54","Muy buena",0.289,0.002,0.023
"P54","Buena",0.122,0.086,0
"P54","Ni buena ni mala",0.264,0.177,0.289
"P54","Mala",0.149,0.161,0.545
"P54","Muy mala",0.174,0.545,0.143
"P54","No sabe",0.002,0.029,0
"P55","Muy buena",0.309,0,0.023
"P55","Buena",0.156,0.187,0.035
"P55","Ni buena ni mala",0.279,0.1,0.66
"P55","Mala",0.056,0.175,0.112
"P55","Muy mala",0.2,0.531,0.14
"P55","No sabe",0,0.007,0.03
"P56","Muy buena",0.188,0.039,0.058
"P56","Buena",0.145,0.111,0.269
"P56","Ni buena ni mala",0.528,0.338,0.522
"P56","Mala",0.037,0.26,0.054
"P56","Muy mala",0.093,0.241,0.051
"P56","No sabe",0.009,0.011,0.046
"P57","Muy buena",0.262,0.022,0
"P57","Buena",0.231,0.102,0.026
"P57","Ni buena ni mala",0.253,0.076,0.381
"P57","Mala",0.063,0.208,0.091
"P57","Muy mala",0.166,0.581,0.433
"P57","No sabe",0.025,0.011,0.069
"P58","Muy buena",0.217,0.005,0
"P58","Buena",0.165,0.097,0
"P58","Ni buena ni mala",0.417,0.27,0.445
"P58","Mala",0.084,0.231,0.087
"P58","Muy mala",0.104,0.371,0.283
"P58","No sabe",0.013,0.026,0.185
