"var","categoria","El gobierno anterior de Omar Gutierrez","El actual gobierno de Rolo Figueroa","No sabe"
"P47","Muy mala",0.237,0.175,0.135
"P47","No sabe",0.071,0.024,0.056
"P48","Muy buena",0.07,0.146,0.205
"P48","Buena",0.162,0.274,0.125
"P48","Ni buena ni mala",0.251,0.269,0.26
"P48","Mala",0.291,0.182,0.21
"P48","Muy mala",0.2,0.129,0.161
"P48","No sabe",0.026,0,0.039
"P49","Muy buena",0.076,0.245,0.228
"P49","Buena",0.07,0.203,0.106
"P49","Ni buena ni mala",0.065,0.047,0.049
"P49","Mala",0.25,0.247,0.315
"P49","Muy mala",0.514,0.258,0.302
"P49","No sabe",0.025,0,0
"P50","Muy buena",0.132,0.103,0.111
"P50","Buena",0.259,0.331,0.088
"P50","Ni buena ni mala",0.24,0.133,0.192
"P50","Mala",0.205,0.219,0.33
"P50","Muy mala",0.142,0.214,0.244
"P50","No sabe",0.022,0,0.035
"P51","Muy buena",0.067,0.155,0.089
"P51","Buena",0.105,0.181,0.179
"P51","Ni buena ni mala",0.074,0.172,0.133
"P51","Mala",0.218,0.162,0.26
"P51","Muy mala",0.533,0.33,0.337
"P51","No sabe",0.003,0,0.002
"P52","Muy buena",0.521,0.314,0.292
"P52","Buena",0.162,0.185,0.125
"P52","Ni buena ni mala",0.08,0.077,0.094
"P52","Mala",0.061,0.183,0.239
"P52","Muy mala",0.176,0.241,0.25
"P52","No sabe",0,0,0
"P53","Muy buena",0.413,0.242,0.352
"P53","Buena",0.257,0.286,0.095
"P53","Ni buena ni mala",0.126,0.019,0.123
"P53","Mala",0.062,0.229,0.219
"P53","Muy mala",0.141,0.224,0.211
"P53","No sabe",0.001,0,0
"P54","Muy buena",0.233,0.141,0.131
"P54","Buena",0.192,0.314,0.085
"P54","Ni buena ni mala",0.346,0.147,0.281
"P54","Mala",0.088,0.156,0.207
"P54","Muy mala",0.128,0.239,0.249
"P54","No sabe",0.013,0.003,0.047
"P55","Muy buena",0.511,0.328,0.362
"P55","Buena",0.232,0.194,0.061
"P55","Ni buena ni mala",0.1,0.11,0.111
"P55","Mala",0.053,0.138,0.171
"P55","Muy mala",0.101,0.23,0.254
"P55","No sabe",0.003,0,0.041
"P56","Muy buena",0.1,0.034,0.128
"P56","Buena",0.248,0.358,0.123
"P56","Ni buena ni mala",0.361,0.263,0.35
"P56","Mala",0.191,0.165,0.193
"P56","Muy mala",0.092,0.175,0.153
"P56","No sabe",0.008,0.005,0.053
"P57","Muy buena",0.205,0.122,0.14
"P57","Buena",0.245,0.286,0.16
"P57","Ni buena ni mala",0.269,0.222,0.21
"P57","Mala",0.155,0.098,0.163
"P57","Muy mala",0.104,0.272,0.282
"P57","No sabe",0.022,0,0.045
"P58","Muy buena",0.207,0.129,0.09
"P58","Buena",0.217,0.245,0.174
"P58","Ni buena ni mala",0.368,0.232,0.297
"P58","Mala",0.078,0.124,0.17
"P58","Muy mala",0.066,0.242,0.194
"P58","No sabe",0.064,0.028,0.075
