"var","categoria","Que continúe el intendente Ariel Sujarchuk","Que continúe Ariel Sujarchuk  pero con mejoras","Que cambie Ariel Sujarchuk pero que se mantengan los avances","Que cambie el intendente Ariel Sujarchuk"
"P26","Ninguno",0.034,0.014,0.047,0.037
"P27","Muy buena",0.669,0.257,0.094,0.014
"P27","Buena",0.202,0.379,0.165,0.051
"P27","Ni buena ni mala",0.077,0.337,0.503,0.31
"P27","Mala",0.041,0.013,0.149,0.216
"P27","Muy mala",0.002,0.004,0.074,0.359
"P27","No sabe",0.009,0.01,0.015,0.05
"P28","Muy buena",0.07,0.017,0.003,0.133
"P28","Buena",0.057,0.207,0.147,0.182
"P28","Ni buena ni mala",0.446,0.455,0.45,0.203
"P28","Mala",0.227,0.132,0.17,0.122
"P28","Muy mala",0.117,0.107,0.159,0.228
"P28","No sabe",0.083,0.082,0.071,0.132
"P29","Muy buena",0.101,0.021,0.028,0.06
"P29","Buena",0.038,0.11,0.132,0.072
"P29","Ni buena ni mala",0.546,0.453,0.308,0.368
"P29","Mala",0.023,0.044,0.172,0.104
"P29","Muy mala",0.137,0.081,0.133,0.183
"P29","No sabe",0.155,0.291,0.227,0.213
"P30","Muy buena",0.055,0.021,0,0
"P30","Buena",0.018,0.078,0.021,0.035
"P30","Ni buena ni mala",0.618,0.404,0.316,0.32
"P30","Mala",0.034,0.02,0.149,0.127
"P30","Muy mala",0.087,0.029,0.139,0.159
"P30","No sabe",0.188,0.448,0.375,0.359
"P31","Muy buena",0.079,0,0.033,0.114
"P31","Buena",0.065,0.083,0.023,0.062
"P31","Ni buena ni mala",0.506,0.399,0.283,0.272
"P31","Mala",0.059,0.022,0.16,0.201
"P31","Muy mala",0.091,0.041,0.179,0.091
"P31","No sabe",0.2,0.455,0.322,0.26
"P32","Muy buena",0.156,0.125,0.006,0.027
"P32","Buena",0.177,0.148,0.028,0.007
"P32","Ni buena ni mala",0.436,0.317,0.243,0.295
"P32","Mala",0.04,0.022,0.178,0.159
"P32","Muy mala",0.019,0.023,0.178,0.219
"P32","No sabe",0.172,0.365,0.367,0.293
"P33","Muy buena",0.079,0.011,0.061,0.093
"P33","Buena",0.093,0.052,0.01,0.074
"P33","Ni buena ni mala",0.499,0.435,0.224,0.296
"P33","Mala",0.03,0.018,0.089,0.12
"P33","Muy mala",0.091,0.031,0.19,0.149
"P33","No sabe",0.208,0.453,0.426,0.268
"P34","Muy buena",0.046,0.009,0,0.199
"P34","Buena",0.041,0.14,0.149,0.132
"P34","Ni buena ni mala",0.504,0.403,0.285,0.304
"P34","Mala",0.124,0.097,0.177,0.124
"P34","Muy mala",0.114,0.17,0.226,0.14
"P34","No sabe",0.171,0.181,0.163,0.101
"P35","Frente de Todos y el peronismo",0.526,0.505,0.249,0.009
"P35","Cambiemos",0.118,0.234,0.354,0.414
"P35","Liberales Libertarios",0.234,0.154,0.208,0.32
"P35","Izquierda",0,0.031,0.006,0.119
"P35","No sabe",0.122,0.076,0.183,0.138
"P41","Muy buena",0.244,0.019,0.076,0.032
"P41","Buena",0.305,0.136,0.118,0.012
"P41","Ni buena ni mala",0.246,0.207,0.118,0.118
"P41","Mala",0.147,0.408,0.216,0.094
"P41","Muy mala",0.056,0.223,0.472,0.736
"P41","No sabe",0.002,0.007,0,0.008
"P42","Muy buena",0.058,0.035,0.108,0.286
"P42","Buena",0.054,0.087,0.215,0.255
"P42","Ni buena ni mala",0.233,0.361,0.194,0.122
"P42","Mala",0.294,0.076,0.108,0.147
"P42","Muy mala",0.309,0.436,0.375,0.183
"P42","No sabe",0.052,0.005,0,0.007
"P43","Muy buena",0.637,0.214,0.253,0.042
"P43","Buena",0.13,0.083,0.082,0.017
"P43","Ni buena ni mala",0.077,0.214,0.099,0.05
"P43","Mala",0.076,0.077,0.061,0.115
"P43","Muy mala",0.072,0.369,0.468,0.77
"P43","No sabe",0.008,0.043,0.037,0.006
"P44","Muy buena",0.132,0.149,0.163,0.114
"P44","Buena",0.09,0.108,0.221,0.141
"P44","Ni buena ni mala",0.277,0.273,0.193,0.173
"P44","Mala",0.202,0.137,0.059,0.254
"P44","Muy mala",0.231,0.253,0.319,0.311
"P44","No sabe",0.068,0.08,0.045,0.007
"P45","Muy buena",0.2,0.034,0.093,0.01
"P45","Buena",0.427,0.261,0.143,0.163
"P45","Ni buena ni mala",0.158,0.263,0.307,0.036
"P45","Mala",0.122,0.302,0.07,0.183
"P45","Muy mala",0.035,0.123,0.335,0.601
"P45","No sabe",0.058,0.017,0.052,0.007
"P46","Muy buena",0.05,0.09,0.315,0.457
"P46","Buena",0.076,0.17,0.104,0.225
"P46","Ni buena ni mala",0.269,0.288,0.167,0.14
"P46","Mala",0.289,0.125,0.05,0.024
"P46","Muy mala",0.254,0.25,0.312,0.146
"P46","No sabe",0.062,0.077,0.052,0.008
"P47","Muy buena",0.144,0.062,0.335,0.379
"P47","Buena",0.069,0.1,0.012,0.161
"P47","Ni buena ni mala",0.177,0.254,0.129,0.218
"P47","Mala",0.179,0.132,0.051,0.015
"P47","Muy mala",0.312,0.374,0.434,0.211
"P47","No sabe",0.119,0.078,0.039,0.016
