"var","categoria","A Ariel Sujarchuk por el Frente de Todos","A Roberto Costa por Juntos por el Cambio","A Ricardo Choffi por Consenso Federal","A Griselda Romariz por los liberales libertarios","A Sandro Salazar por el Frente de Izquierda","No sabe"
"P18","Nunca lo votaría",0.455,0.619,0.303,0.782,0.552,0.59
"P18","No sabe",0.249,0.246,0.397,0.066,0.047,0.348
"P19","Lo votaria",0.115,0.154,0,0.323,0.298,0.111
"P19","Puede que lo vote",0.079,0.168,0.262,0.251,0.1,0.183
"P19","Nunca lo votaría",0.526,0.487,0.277,0.218,0.553,0.393
"P19","No sabe",0.28,0.191,0.461,0.208,0.049,0.313
"P20","Lo votaria",0.068,0.091,0,0.332,0.153,0.074
"P20","Puede que lo vote",0.146,0.145,0.243,0.369,0,0.081
"P20","Nunca lo votaría",0.507,0.525,0.361,0.069,0.798,0.548
"P20","No sabe",0.279,0.239,0.396,0.23,0.049,0.297
"P21","Muy buena",0.614,0.048,0.177,0.021,0.049,0.042
"P21","Buena",0.208,0.126,0.162,0.024,0,0.166
"P21","Ni buena ni mala",0.136,0.387,0.278,0.409,0.452,0.338
"P21","Mala",0.007,0.228,0.139,0.277,0,0.251
"P21","Muy mala",0.035,0.207,0.244,0.265,0.499,0.108
"P21","No sabe",0,0.004,0,0.004,0,0.095
"P22","Que continúe el intendente Ariel Sujarchuk",0.644,0.048,0.188,0.005,0.098,0.086
"P22","Que continúe Ariel Sujarchuk  pero con mejoras",0.253,0.139,0.182,0.04,0.208,0.171
"P22","Que cambie Ariel Sujarchuk pero que se mantengan los avances",0.102,0.17,0.31,0.103,0,0.135
"P22","Que cambie el intendente Ariel Sujarchuk",0.001,0.643,0.32,0.852,0.694,0.608
"P23","La seguridad",0.114,0.069,0.062,0.01,0,0.035
"P23","El tránsito",0.046,0.1,0,0.015,0,0.004
"P23","El arreglo de las calles",0.337,0.168,0.155,0.07,0.174,0.312
"P23","Los parques y los espacios públicos",0.133,0.155,0.227,0.283,0.474,0.143
"P23","El sistema de salud",0.148,0.027,0.015,0.015,0.106,0.038
"P23","La limpieza de las calles",0.018,0.021,0,0.154,0,0.034
"P23","El deporte y la cultura",0.142,0.037,0.231,0.156,0,0.024
"P23","La luminaria",0.013,0.126,0.025,0.028,0,0.074
"P23","No sabe",0.049,0.297,0.285,0.269,0.246,0.336
"P24","La seguridad",0.342,0.399,0.205,0.538,0.158,0.287
"P24","El tránsito",0.198,0.182,0,0.242,0.169,0.011
"P24","El arreglo de las calles",0.183,0.15,0.013,0.03,0.196,0.11
"P24","Los parques y los espacios públicos",0.038,0.087,0.226,0.011,0.051,0
"P24","El sistema de salud",0.078,0.102,0.026,0.018,0.374,0.319
"P24","La limpieza de las calles",0.028,0.027,0.147,0.071,0,0.013
"P24","El deporte y la cultura",0.03,0,0.232,0.052,0,0.006
"P24","La luminaria",0.017,0.002,0,0.016,0,0.109
"P24","No sabe",0.086,0.051,0.151,0.022,0.052,0.145
"P25","Agua corriente y cloacas",0.531,0.514,0.631,0.654,0.168,0.581
"P25","Energía eléctrica",0.172,0.154,0,0.248,0.166,0.125
"P25","Red de gas natural",0.083,0.1,0.034,0.013,0.347,0.022
"P25","Recolección de residuos",0.093,0.16,0.214,0.068,0.165,0.15
"P25","Ninguno",0.121,0.072,0.121,0.017,0.154,0.122
"P26","Los robos",0.504,0.606,0.602,0.421,0,0.367
"P26","El narcotráfico",0.096,0.154,0.054,0.321,0.158,0.201
"P26","La ausencia de patrulleros y personal policial",0.236,0.179,0.05,0.138,0.155,0.29
"P26","Otro",0.138,0.049,0.172,0.12,0.389,0.07
"P26","Ninguno",0.026,0.012,0.122,0,0.298,0.072
"P27","Muy buena",0.578,0.057,0,0,0,0.037
"P27","Buena",0.251,0.063,0.28,0.047,0.158,0.212
"P27","Ni buena ni mala",0.155,0.353,0.356,0.354,0,0.4
"P27","Mala",0.014,0.23,0.234,0.281,0.225,0.079
"P27","Muy mala",0.002,0.272,0.13,0.318,0.457,0.163
"P27","No sabe",0,0.025,0,0,0.16,0.109
"P28","Muy buena",0.053,0.156,0,0,0,0.048
"P28","Buena",0.071,0.346,0.316,0.075,0.188,0.027
"P28","Ni buena ni mala",0.456,0.279,0.34,0.182,0,0.386
"P28","Mala",0.2,0.093,0.11,0.326,0.097,0.09
"P28","Muy mala",0.152,0.123,0.144,0.234,0.613,0.134
"P28","No sabe",0.068,0.003,0.09,0.183,0.102,0.315
"P29","Muy buena",0.048,0.103,0.176,0.101,0,0.014
"P29","Buena",0.041,0.112,0.508,0.052,0.186,0.06
"P29","Ni buena ni mala",0.538,0.447,0.208,0.152,0.233,0.311
"P29","Mala",0.042,0.11,0,0.14,0,0.093
"P29","Muy mala",0.16,0.048,0.049,0.34,0.581,0.085
"P29","No sabe",0.171,0.18,0.059,0.215,0,0.437
"P30","Muy buena",0.04,0,0.157,0,0,0
"P30","Buena",0.026,0.038,0.083,0.032,0.193,0.046
"P30","Ni buena ni mala",0.545,0.438,0.464,0.187,0.23,0.257
"P30","Mala",0.046,0.08,0,0.215,0,0.109
"P30","Muy mala",0.108,0.051,0.004,0.252,0.471,0.083
"P30","No sabe",0.235,0.393,0.292,0.314,0.106,0.505
"P31","Muy buena",0.032,0.184,0,0,0,0.069
"P31","Buena",0.057,0.08,0,0.062,0.14,0.05
"P31","Ni buena ni mala",0.485,0.206,0.655,0.457,0.187,0.228
"P31","Mala",0.067,0.155,0,0.202,0,0.166
"P31","Muy mala",0.113,0.078,0,0.061,0.596,0.019
"P31","No sabe",0.246,0.297,0.345,0.218,0.077,0.468
"P32","Muy buena",0.16,0.004,0,0.088,0,0.004
"P32","Buena",0.139,0.09,0,0.029,0.141,0.025
"P32","Ni buena ni mala",0.385,0.284,0.83,0.342,0.156,0.215
"P32","Mala",0.052,0.142,0.088,0.135,0.028,0.137
"P32","Muy mala",0.053,0.202,0.018,0.099,0.598,0.071
"P32","No sabe",0.211,0.278,0.064,0.307,0.077,0.548
"P33","Muy buena",0.031,0.136,0,0.196,0,0.034
"P33","Buena",0.072,0.063,0,0.174,0.142,0
"P33","Ni buena ni mala",0.488,0.223,0.851,0.333,0.153,0.259
"P33","Mala",0.043,0.102,0.03,0.009,0.028,0.117
"P33","Muy mala",0.114,0.082,0,0,0.601,0.175
"P33","No sabe",0.252,0.394,0.119,0.288,0.076,0.415
"P34","Muy buena",0.033,0.252,0,0.009,0,0.066
"P34","Buena",0.011,0.252,0.33,0.183,0.216,0.104
"P34","Ni buena ni mala",0.472,0.227,0.203,0.391,0.149,0.428
"P34","Mala",0.126,0.075,0.296,0.137,0.026,0.18
"P34","Muy mala",0.181,0.071,0.091,0.205,0.609,0.048
"P34","No sabe",0.177,0.123,0.08,0.075,0,0.174
"P35","Frente de Todos y el peronismo",0.603,0.002,0,0.043,0,0.021
"P35","Cambiemos",0.076,0.711,0.88,0.131,0.026,0.276
"P35","Liberales Libertarios",0.213,0.173,0.013,0.811,0.096,0.15
"P35","Izquierda",0.01,0.049,0.062,0.008,0.803,0.1
"P35","No sabe",0.098,0.065,0.045,0.007,0.075,0.453
"P41","Muy buena",0.17,0.046,0.128,0,0,0.081
"P41","Buena",0.267,0.066,0.024,0,0.071,0.011
"P41","Ni buena ni mala",0.226,0.076,0.373,0.24,0,0.122
"P41","Mala",0.23,0.164,0.184,0.052,0.212,0.161
"P41","Muy mala",0.105,0.64,0.291,0.708,0.717,0.611
"P41","No sabe",0.002,0.008,0,0,0,0.014
"P42","Muy buena",0.041,0.332,0.127,0.157,0.221,0.134
"P42","Buena",0.07,0.269,0.046,0.181,0.025,0.245
"P42","Ni buena ni mala",0.227,0.21,0.485,0.142,0.125,0.2
"P42","Mala",0.223,0.039,0.143,0.314,0,0.196
"P42","Muy mala",0.402,0.145,0.199,0.206,0.629,0.208
"P42","No sabe",0.037,0.005,0,0,0,0.017
"P43","Muy buena",0.589,0.045,0.136,0,0.124,0.023
"P43","Buena",0.113,0.095,0,0,0,0.006
"P43","Ni buena ni mala",0.099,0.091,0.416,0.012,0,0.088
"P43","Mala",0.065,0.068,0.139,0.258,0.078,0.074
"P43","Muy mala",0.134,0.701,0.309,0.73,0.798,0.674
"P43","No sabe",0,0,0,0,0,0.135
"P44","Muy buena",0.133,0.205,0,0.011,0.219,0.108
"P44","Buena",0.066,0.298,0.469,0.03,0,0.078
"P44","Ni buena ni mala",0.281,0.138,0.15,0.192,0.134,0.264
"P44","Mala",0.188,0.084,0.116,0.496,0,0.206
"P44","Muy mala",0.278,0.275,0.265,0.271,0.647,0.183
"P44","No sabe",0.054,0,0,0,0,0.161
"P45","Muy buena",0.175,0.004,0,0,0.13,0.025
"P45","Buena",0.369,0.316,0.438,0.01,0,0.013
"P45","Ni buena ni mala",0.249,0.056,0.043,0.031,0,0.102
"P45","Mala",0.126,0.179,0.267,0.292,0.052,0.219
"P45","Muy mala",0.036,0.44,0.252,0.667,0.73,0.578
"P45","No sabe",0.045,0.005,0,0,0.088,0.063
"P46","Muy buena",0.057,0.494,0.047,0.619,0.219,0.179
"P46","Buena",0.087,0.159,0.014,0.322,0,0.274
"P46","Ni buena ni mala",0.241,0.25,0.584,0.001,0.051,0.153
"P46","Mala",0.24,0.022,0.034,0.02,0,0.106
"P46","Muy mala",0.32,0.075,0.321,0.038,0.647,0.157
"P46","No sabe",0.055,0,0,0,0.083,0.131
"P47","Muy buena",0.123,0.321,0,0.801,0.221,0.168
"P47","Buena",0.056,0.175,0.059,0.143,0,0.105
"P47","Ni buena ni mala",0.153,0.248,0.538,0.019,0.05,0.364
"P47","Mala",0.175,0.01,0,0.013,0,0.058
"P47","Muy mala",0.399,0.236,0.403,0.024,0.729,0.168
"P47","No sabe",0.094,0.01,0,0,0,0.137
