"var","categoria","A Carlos “Beto” Ramil por el Frente de Todos","A Mariano Castagnaro por Juntos por el Cambio","A Ricardo Choffi por Consenso Federal","A Griselda Romariz por los liberales libertarios","A Sandro Salazar por el Frente de Izquierda","No sabe"
"P10","A Roberto Costa por Juntos por el Cambio",0.035,0.679,0.229,0.152,0.045,0.17
"P10","A Ricardo Choffi por Consenso Federal",0,0.07,0.142,0.055,0,0.006
"P10","A Griselda Romariz por los liberales libertarios",0.001,0.031,0.046,0.528,0,0.004
"P10","A Sandro Salazar por el Frente de Izquierda",0.025,0.007,0.038,0.01,0.217,0.072
"P10","No sabe",0.008,0.094,0.185,0.117,0.121,0.357
"P12","A  Carlos “Beto” Ramil por el Frente de Todos",0.972,0.058,0.32,0.038,0.272,0.084
"P12","A Roberto Costa por Juntos por el Cambio",0.009,0.814,0.267,0.046,0.045,0.176
"P12","A Ricardo Choffi por Consenso Federal",0,0.015,0.251,0,0,0
"P12","A Griselda Romariz por los liberales libertarios",0.008,0.037,0.026,0.893,0,0.017
"P12","A Sandro Salazar por el Frente de Izquierda",0.003,0,0,0.01,0.651,0.01
"P12","No sabe",0.008,0.076,0.136,0.013,0.032,0.713
"P14","Lo votaria",0.841,0.198,0.381,0.145,0.602,0.373
"P14","Puede que lo vote",0.09,0.198,0.234,0.076,0.014,0.123
"P14","Nunca lo votaría",0.032,0.595,0.192,0.622,0.28,0.352
"P14","No sabe",0.037,0.009,0.193,0.157,0.104,0.152
"P15","Lo votaria",0.24,0.446,0.107,0.074,0.049,0.155
"P15","Puede que lo vote",0.11,0.365,0.29,0.179,0.035,0.103
"P15","Nunca lo votaría",0.546,0.153,0.319,0.589,0.916,0.464
"P15","No sabe",0.104,0.036,0.284,0.158,0,0.278
"P16","Lo votaria",0.221,0.338,0.376,0.012,0.056,0.032
"P16","Puede que lo vote",0.146,0.414,0.16,0.129,0.192,0.17
"P16","Nunca lo votaría",0.423,0.163,0.182,0.528,0.402,0.464
"P16","No sabe",0.21,0.085,0.282,0.331,0.35,0.334
"P17","Lo votaria",0.57,0.045,0.024,0.016,0.103,0.045
"P17","Puede que lo vote",0.173,0.167,0.19,0.139,0.102,0.137
"P17","Nunca lo votaría",0.133,0.672,0.404,0.639,0.569,0.474
"P17","No sabe",0.124,0.116,0.382,0.206,0.226,0.344
"P18","Lo votaria",0.218,0.017,0.041,0.047,0.049,0.005
"P18","Puede que lo vote",0.116,0.151,0.338,0.071,0.104,0.087
"P18","Nunca lo votaría",0.442,0.612,0.147,0.698,0.555,0.545
"P18","No sabe",0.224,0.22,0.474,0.184,0.292,0.363
"P19","Lo votaria",0.113,0.097,0.125,0.408,0.05,0.075
"P19","Puede que lo vote",0.058,0.197,0.33,0.181,0,0.159
"P19","Nunca lo votaría",0.569,0.495,0.125,0.231,0.613,0.412
"P19","No sabe",0.26,0.211,0.42,0.18,0.337,0.354
"P20","Lo votaria",0.087,0.039,0.126,0.34,0.051,0.022
"P20","Puede que lo vote",0.103,0.146,0.233,0.375,0,0.128
"P20","Nunca lo votaría",0.549,0.587,0.247,0.145,0.617,0.449
"P20","No sabe",0.261,0.228,0.394,0.14,0.332,0.401
"P21","Muy buena",0.71,0.074,0,0.131,0.488,0.106
"P21","Buena",0.159,0.149,0.331,0.083,0.029,0.24
"P21","Ni buena ni mala",0.124,0.401,0.31,0.333,0.078,0.265
"P21","Mala",0.007,0.115,0.293,0.205,0.055,0.266
"P21","Muy mala",0,0.257,0.066,0.235,0.35,0.063
"P21","No sabe",0,0.004,0,0.013,0,0.06
"P22","Que continúe el intendente Ariel Sujarchuk",0.682,0.092,0,0.178,0.218,0.231
"P22","Que continúe Ariel Sujarchuk  pero con mejoras",0.189,0.186,0.319,0.04,0.381,0.294
"P22","Que cambie Ariel Sujarchuk pero que se mantengan los avances",0.129,0.199,0.103,0.091,0,0.066
"P22","Que cambie el intendente Ariel Sujarchuk",0,0.523,0.578,0.691,0.401,0.409
"P23","La seguridad",0.162,0.021,0.078,0.022,0.061,0.045
"P23","El tránsito",0.03,0.122,0,0.009,0,0.025
"P23","El arreglo de las calles",0.336,0.289,0.122,0.145,0.061,0.21
"P23","Los parques y los espacios públicos",0.103,0.148,0.169,0.303,0.308,0.168
"P23","El sistema de salud",0.134,0.019,0.048,0.063,0.308,0.101
"P23","La limpieza de las calles",0.022,0.024,0.107,0.106,0,0.008
"P23","El deporte y la cultura",0.138,0.055,0,0.099,0.088,0.108
"P23","La luminaria",0.016,0.04,0,0.122,0,0.082
"P23","No sabe",0.059,0.282,0.476,0.131,0.174,0.253
"P24","La seguridad",0.286,0.432,0.302,0.518,0.412,0.296
"P24","El tránsito",0.238,0.126,0.025,0.211,0.032,0.073
"P24","El arreglo de las calles",0.171,0.157,0.032,0.026,0.13,0.19
"P24","Los parques y los espacios públicos",0.073,0.053,0.17,0.007,0.042,0.002
"P24","El sistema de salud",0.089,0.117,0,0.052,0.215,0.21
"P24","La limpieza de las calles",0.027,0.026,0.216,0.053,0.088,0.012
"P24","El deporte y la cultura",0.02,0.017,0,0.039,0,0.044
"P24","La luminaria",0.017,0.014,0,0.084,0.01,0.02
"P24","No sabe",0.079,0.058,0.255,0.01,0.071,0.153
"P25","Agua corriente y cloacas",0.507,0.617,0.793,0.538,0,0.546
"P25","Energía eléctrica",0.2,0.156,0.03,0.255,0.127,0.053
"P25","Red de gas natural",0.064,0.107,0.024,0.022,0.29,0.069
"P25","Recolección de residuos",0.123,0.047,0.023,0.149,0.041,0.195
"P25","Ninguno",0.106,0.073,0.13,0.036,0.542,0.137
"P26","Los robos",0.484,0.589,0.337,0.548,0.031,0.399
"P26","El narcotráfico",0.123,0.193,0.346,0.188,0.057,0.091
"P26","La ausencia de patrulleros y personal policial",0.21,0.163,0.061,0.166,0.075,0.36
"P26","Otro",0.158,0.033,0.256,0.098,0.524,0.084
"P26","Ninguno",0.025,0.022,0,0,0.313,0.066
"P27","Muy buena",0.685,0.061,0.09,0.006,0.476,0.117
"P27","Buena",0.148,0.174,0.16,0.217,0.031,0.257
"P27","Ni buena ni mala",0.125,0.35,0.205,0.277,0.076,0.397
"P27","Mala",0.04,0.167,0.46,0.219,0.041,0.044
"P27","Muy mala",0.002,0.203,0.085,0.281,0.376,0.124
"P27","No sabe",0,0.045,0,0,0,0.061
"P28","Muy buena",0.054,0.127,0.25,0,0.024,0.066
"P28","Buena",0.06,0.249,0.15,0.222,0.046,0.096
"P28","Ni buena ni mala",0.388,0.399,0.318,0.293,0.496,0.359
"P28","Mala",0.246,0.074,0.214,0.202,0.036,0.124
"P28","Muy mala",0.2,0.128,0.068,0.154,0.398,0.092
"P28","No sabe",0.052,0.023,0,0.129,0,0.263
"P29","Muy buena",0.074,0.132,0.149,0,0,0.009
"P29","Buena",0.037,0.194,0.255,0.067,0,0.009
"P29","Ni buena ni mala",0.519,0.378,0.406,0.469,0.091,0.388
"P29","Mala",0.03,0.112,0.073,0.094,0.044,0.09
"P29","Muy mala",0.204,0.048,0.117,0.219,0.386,0.054
"P29","No sabe",0.136,0.136,0,0.151,0.479,0.45
"P30","Muy buena",0.047,0.022,0,0,0,0.005
"P30","Buena",0.028,0.044,0.289,0.045,0,0.016
"P30","Ni buena ni mala",0.558,0.39,0.37,0.417,0.092,0.354
"P30","Mala",0.031,0.117,0.043,0.151,0.043,0.065
"P30","Muy mala",0.141,0.051,0,0.163,0.32,0.05
"P30","No sabe",0.195,0.376,0.298,0.224,0.545,0.51
"P31","Muy buena",0.075,0.073,0.152,0.125,0,0.013
"P31","Buena",0.023,0.064,0.251,0.249,0,0.002
"P31","Ni buena ni mala",0.495,0.336,0.365,0.285,0.145,0.322
"P31","Mala",0.038,0.179,0.03,0.144,0,0.156
"P31","Muy mala",0.157,0.053,0.031,0.034,0.481,0.016
"P31","No sabe",0.212,0.295,0.171,0.163,0.374,0.491
"P32","Muy buena",0.205,0.013,0,0.054,0,0
"P32","Buena",0.212,0.034,0.213,0.035,0.055,0
"P32","Ni buena ni mala",0.295,0.395,0.444,0.437,0.11,0.341
"P32","Mala",0.042,0.155,0.159,0.103,0,0.107
"P32","Muy mala",0.08,0.08,0.031,0.192,0.447,0.076
"P32","No sabe",0.166,0.323,0.153,0.179,0.388,0.476
"P33","Muy buena",0.077,0,0,0.264,0,0.008
"P33","Buena",0.038,0.033,0,0.338,0,0
"P33","Ni buena ni mala",0.481,0.378,0.779,0.221,0.09,0.344
"P33","Mala",0.031,0.131,0.061,0.01,0,0.087
"P33","Muy mala",0.156,0.059,0,0.008,0.505,0.111
"P33","No sabe",0.217,0.399,0.16,0.159,0.405,0.45
"P34","Muy buena",0.04,0.159,0.155,0.14,0,0.029
"P34","Buena",0.004,0.259,0.14,0.158,0,0.079
"P34","Ni buena ni mala",0.426,0.269,0.436,0.438,0.136,0.474
"P34","Mala",0.14,0.104,0.131,0.088,0.054,0.158
"P34","Muy mala",0.254,0.053,0.138,0.13,0.454,0.026
"P34","No sabe",0.136,0.156,0,0.046,0.356,0.234
"P35","Frente de Todos y el peronismo",0.701,0.044,0.132,0.031,0.43,0.133
"P35","Cambiemos",0.08,0.741,0.272,0.159,0.079,0.157
"P35","Liberales Libertarios",0.166,0.123,0.25,0.786,0,0.163
"P35","Izquierda",0.008,0.043,0.108,0.024,0.491,0.071
"P35","No sabe",0.045,0.049,0.238,0,0,0.476
"P41","Muy buena",0.224,0.066,0,0,0.059,0.05
"P41","Buena",0.343,0.035,0,0.009,0.02,0.077
"P41","Ni buena ni mala",0.204,0.12,0.478,0.315,0.353,0.075
"P41","Mala",0.163,0.212,0.167,0.051,0.11,0.328
"P41","Muy mala",0.063,0.56,0.355,0.625,0.458,0.461
"P41","No sabe",0.003,0.007,0,0,0,0.009
"P42","Muy buena",0.051,0.272,0,0.192,0,0.097
"P42","Buena",0.074,0.283,0,0.114,0.032,0.156
"P42","Ni buena ni mala",0.198,0.226,0.663,0.161,0.039,0.277
"P42","Mala",0.19,0.06,0.084,0.373,0,0.207
"P42","Muy mala",0.437,0.155,0.253,0.16,0.929,0.252
"P42","No sabe",0.05,0.004,0,0,0,0.011
"P43","Muy buena",0.71,0.041,0,0.165,0.44,0.064
"P43","Buena",0.125,0.082,0.1,0.004,0.028,0.055
"P43","Ni buena ni mala",0.093,0.071,0.234,0.069,0.044,0.146
"P43","Mala",0.016,0.074,0.092,0.15,0.037,0.192
"P43","Muy mala",0.056,0.719,0.574,0.612,0.451,0.47
"P43","No sabe",0,0.013,0,0,0,0.073
"P44","Muy buena",0.177,0.192,0.235,0.023,0,0.072
"P44","Buena",0.042,0.371,0.13,0.036,0.031,0.076
"P44","Ni buena ni mala",0.287,0.231,0.244,0.09,0.082,0.253
"P44","Mala",0.173,0.04,0.029,0.354,0.357,0.258
"P44","Muy mala",0.253,0.151,0.362,0.497,0.53,0.247
"P44","No sabe",0.068,0.015,0,0,0,0.094
"P45","Muy buena",0.155,0.014,0,0.166,0.088,0.051
"P45","Buena",0.487,0.231,0.028,0.173,0.054,0.069
"P45","Ni buena ni mala",0.212,0.147,0.197,0.031,0.368,0.138
"P45","Mala",0.064,0.134,0.461,0.242,0.036,0.333
"P45","Muy mala",0.024,0.456,0.314,0.388,0.454,0.37
"P45","No sabe",0.058,0.018,0,0,0,0.039
"P46","Muy buena",0.074,0.411,0.381,0.476,0.031,0.086
"P46","Buena",0.076,0.157,0.028,0.218,0.017,0.217
"P46","Ni buena ni mala",0.167,0.251,0.333,0.222,0.036,0.293
"P46","Mala",0.244,0.024,0,0.033,0,0.217
"P46","Muy mala",0.371,0.15,0.258,0.051,0.916,0.091
"P46","No sabe",0.068,0.007,0,0,0,0.096
"P47","Muy buena",0.05,0.253,0.262,0.857,0.047,0.104
"P47","Buena",0.069,0.196,0,0.102,0,0.045
"P47","Ni buena ni mala",0.117,0.279,0.248,0.019,0.035,0.391
"P47","Mala",0.202,0.033,0.104,0.009,0,0.079
"P47","Muy mala",0.432,0.239,0.235,0.013,0.918,0.297
"P47","No sabe",0.13,0,0.151,0,0,0.084
