"var","categoria","Agua corriente y cloacas","Energía eléctrica","Red de gas natural","Recolección de residuos","Ninguno"
"P20","Puede que lo vote",0.191,0.058,0.052,0.166,0.203
"P20","Nunca lo votaría",0.495,0.573,0.601,0.308,0.358
"P20","No sabe",0.228,0.251,0.302,0.373,0.388
"P21","Muy buena",0.333,0.28,0.269,0.277,0.465
"P21","Buena",0.153,0.233,0.216,0.116,0.128
"P21","Ni buena ni mala",0.262,0.235,0.221,0.322,0.23
"P21","Mala",0.105,0.194,0.019,0.136,0.08
"P21","Muy mala",0.116,0.058,0.275,0.127,0.077
"P21","No sabe",0.031,0,0,0.022,0.02
"P22","Que continúe el intendente Ariel Sujarchuk",0.337,0.337,0.323,0.384,0.477
"P22","Que continúe Ariel Sujarchuk  pero con mejoras",0.187,0.186,0.226,0.167,0.212
"P22","Que cambie Ariel Sujarchuk pero que se mantengan los avances",0.108,0.228,0.055,0.11,0.147
"P22","Que cambie el intendente Ariel Sujarchuk",0.368,0.249,0.396,0.339,0.164
"P23","La seguridad",0.075,0.084,0.007,0.127,0.096
"P23","El tránsito",0.034,0.122,0.063,0.03,0.024
"P23","El arreglo de las calles",0.265,0.355,0.445,0.055,0.234
"P23","Los parques y los espacios públicos",0.181,0.129,0.147,0.163,0.119
"P23","El sistema de salud",0.082,0.032,0.016,0.25,0.099
"P23","La limpieza de las calles",0.035,0.057,0.007,0.008,0.013
"P23","El deporte y la cultura",0.1,0.141,0.162,0.044,0.028
"P23","La luminaria",0.019,0.005,0,0.241,0.011
"P23","No sabe",0.209,0.075,0.153,0.082,0.376
"P24","La seguridad",0.374,0.399,0.229,0.206,0.323
"P24","El tránsito",0.141,0.249,0.128,0.118,0.271
"P24","El arreglo de las calles",0.121,0.126,0.355,0.241,0.064
"P24","Los parques y los espacios públicos",0.034,0.082,0,0.122,0
"P24","El sistema de salud",0.136,0.058,0.128,0.156,0.065
"P24","La limpieza de las calles",0.042,0.006,0,0.051,0.017
"P24","El deporte y la cultura",0.038,0.005,0.108,0.009,0
"P24","La luminaria",0.019,0.059,0.006,0.078,0.004
"P24","No sabe",0.095,0.016,0.046,0.019,0.256
"P26","Los robos",0.617,0.386,0.358,0.334,0.303
"P26","El narcotráfico",0.107,0.306,0.117,0.15,0.107
"P26","La ausencia de patrulleros y personal policial",0.156,0.274,0.375,0.318,0.214
"P26","Otro",0.117,0.034,0.077,0.188,0.128
"P26","Ninguno",0.003,0,0.073,0.01,0.248
"P27","Muy buena",0.315,0.322,0.304,0.162,0.45
"P27","Buena",0.192,0.211,0.242,0.136,0.12
"P27","Ni buena ni mala",0.264,0.221,0.208,0.377,0.152
"P27","Mala",0.064,0.166,0.066,0.183,0.138
"P27","Muy mala",0.133,0.08,0.18,0.142,0.084
"P27","No sabe",0.032,0,0,0,0.056
"P28","Muy buena",0.079,0.149,0.005,0.019,0.012
"P28","Buena",0.124,0.101,0.255,0.207,0.1
"P28","Ni buena ni mala",0.409,0.343,0.29,0.244,0.451
"P28","Mala",0.157,0.151,0.117,0.312,0.102
"P28","Muy mala",0.138,0.143,0.282,0.121,0.214
"P28","No sabe",0.093,0.113,0.051,0.097,0.121
"P29","Muy buena",0.071,0.053,0,0.127,0.009
"P29","Buena",0.103,0.061,0.034,0.046,0.017
"P29","Ni buena ni mala",0.443,0.397,0.422,0.507,0.442
"P29","Mala",0.071,0.096,0.034,0.066,0.065
"P29","Muy mala",0.112,0.205,0.269,0.104,0.135
"P29","No sabe",0.2,0.188,0.241,0.15,0.332
"P30","Muy buena",0.016,0.065,0,0.012,0.032
"P30","Buena",0.031,0.063,0.024,0.026,0.033
"P30","Ni buena ni mala",0.435,0.279,0.463,0.692,0.445
"P30","Mala",0.078,0.106,0.034,0.051,0.066
"P30","Muy mala",0.09,0.196,0.207,0.003,0.093
"P30","No sabe",0.35,0.291,0.272,0.216,0.331
"P31","Muy buena",0.033,0.094,0,0.289,0
"P31","Buena",0.075,0.077,0.063,0.009,0.036
"P31","Ni buena ni mala",0.374,0.32,0.367,0.486,0.441
"P31","Mala",0.151,0.108,0.034,0.024,0.048
"P31","Muy mala",0.061,0.121,0.263,0.049,0.137
"P31","No sabe",0.306,0.28,0.273,0.143,0.338
"P32","Muy buena",0.119,0.066,0.082,0.08,0.014
"P32","Buena",0.071,0.087,0.073,0.136,0.243
"P32","Ni buena ni mala",0.323,0.397,0.357,0.436,0.258
"P32","Mala",0.094,0.109,0.048,0.043,0.127
"P32","Muy mala",0.068,0.119,0.248,0.181,0.048
"P32","No sabe",0.325,0.222,0.192,0.124,0.31
"P33","Muy buena",0.026,0.098,0.02,0.277,0.014
"P33","Buena",0.098,0.067,0.018,0.011,0.029
"P33","Ni buena ni mala",0.368,0.368,0.35,0.498,0.438
"P33","Mala",0.08,0.06,0.025,0.034,0.04
"P33","Muy mala",0.092,0.12,0.286,0.043,0.133
"P33","No sabe",0.336,0.287,0.301,0.137,0.346
"P34","Muy buena",0.06,0.148,0,0.191,0.006
"P34","Buena",0.131,0.076,0.061,0.066,0.068
"P34","Ni buena ni mala",0.389,0.394,0.322,0.391,0.476
"P34","Mala",0.129,0.067,0.117,0.24,0.102
"P34","Muy mala",0.15,0.139,0.275,0.079,0.126
"P34","No sabe",0.141,0.176,0.225,0.033,0.222
"P35","Frente de Todos y el peronismo",0.352,0.16,0.351,0.323,0.476
"P35","Cambiemos",0.273,0.286,0.099,0.324,0.209
"P35","Liberales Libertarios",0.218,0.482,0.231,0.05,0.154
"P35","Izquierda",0.028,0.019,0.263,0.023,0.033
"P35","No sabe",0.129,0.053,0.056,0.28,0.128
"P41","Muy buena",0.12,0.167,0.006,0.161,0.016
"P41","Buena",0.179,0.045,0.232,0.098,0.26
"P41","Ni buena ni mala",0.17,0.303,0.103,0.098,0.177
"P41","Mala",0.172,0.222,0.23,0.256,0.127
"P41","Muy mala",0.356,0.257,0.429,0.387,0.403
"P41","No sabe",0.003,0.006,0,0,0.017
"P42","Muy buena",0.14,0.155,0.02,0.179,0.067
"P42","Buena",0.176,0.086,0.216,0.101,0.078
"P42","Ni buena ni mala",0.207,0.278,0.113,0.244,0.215
"P42","Mala",0.184,0.15,0.04,0.261,0.241
"P42","Muy mala",0.291,0.228,0.611,0.212,0.382
"P42","No sabe",0.002,0.103,0,0.003,0.017
"P43","Muy buena",0.347,0.397,0.173,0.061,0.485
"P43","Buena",0.064,0.054,0.159,0.196,0.023
"P43","Ni buena ni mala",0.097,0.097,0.018,0.139,0.094
"P43","Mala",0.066,0.106,0.02,0.234,0.028
"P43","Muy mala",0.405,0.346,0.63,0.37,0.308
"P43","No sabe",0.021,0,0,0,0.062
"P44","Muy buena",0.159,0.105,0.03,0.089,0.195
"P44","Buena",0.163,0.086,0.277,0.032,0.034
"P44","Ni buena ni mala",0.226,0.335,0.034,0.343,0.097
"P44","Mala",0.181,0.13,0.089,0.232,0.333
"P44","Muy mala",0.237,0.232,0.557,0.304,0.258
"P44","No sabe",0.034,0.112,0.013,0,0.083
"P45","Muy buena",0.105,0.079,0.079,0.172,0.028
"P45","Buena",0.339,0.056,0.262,0.351,0.322
"P45","Ni buena ni mala",0.119,0.287,0.157,0.058,0.243
"P45","Mala",0.147,0.241,0.042,0.246,0.116
"P45","Muy mala",0.282,0.225,0.46,0.173,0.207
"P45","No sabe",0.008,0.112,0,0,0.084
"P46","Muy buena",0.24,0.213,0.092,0.288,0.117
"P46","Buena",0.166,0.125,0.148,0.118,0.087
"P46","Ni buena ni mala",0.242,0.268,0.263,0.138,0.097
"P46","Mala",0.081,0.085,0.021,0.359,0.4
"P46","Muy mala",0.242,0.197,0.476,0.082,0.217
"P46","No sabe",0.029,0.112,0,0.015,0.082
"P47","Muy buena",0.247,0.265,0,0.225,0.232
"P47","Buena",0.091,0.078,0.042,0.186,0.072
"P47","Ni buena ni mala",0.215,0.238,0.161,0.166,0.098
"P47","Mala",0.097,0.049,0.194,0.025,0.26
"P47","Muy mala",0.271,0.253,0.603,0.395,0.27
"P47","No sabe",0.079,0.117,0,0.003,0.068
