"var","categoria","A  Carlos “Beto” Ramil por el Frente de Todos","A Roberto Costa por Juntos por el Cambio","A Ricardo Choffi por Consenso Federal","A Griselda Romariz por los liberales libertarios","A Sandro Salazar por el Frente de Izquierda","No sabe"
"P21","Mala",0.009,0.193,0.249,0.2,0.064,0.211
"P21","Muy mala",0.011,0.215,0.06,0.269,0.409,0.094
"P21","No sabe",0,0.004,0,0.012,0,0.067
"P22","Que continúe el intendente Ariel Sujarchuk",0.679,0.033,0,0.197,0.239,0.176
"P22","Que continúe Ariel Sujarchuk  pero con mejoras",0.193,0.208,0.377,0.031,0.047,0.305
"P22","Que cambie Ariel Sujarchuk pero que se mantengan los avances",0.122,0.178,0.309,0.078,0.096,0.096
"P22","Que cambie el intendente Ariel Sujarchuk",0.006,0.581,0.314,0.694,0.618,0.423
"P23","La seguridad",0.146,0.029,0.109,0.021,0.067,0.042
"P23","El tránsito",0.033,0.137,0,0.009,0,0.01
"P23","El arreglo de las calles",0.345,0.242,0.044,0.148,0.033,0.237
"P23","Los parques y los espacios públicos",0.086,0.144,0.297,0.307,0.488,0.196
"P23","El sistema de salud",0.168,0.037,0.032,0.029,0.027,0.03
"P23","La limpieza de las calles",0.019,0.042,0,0.095,0,0.003
"P23","El deporte y la cultura",0.132,0.032,0.143,0.094,0.193,0.121
"P23","La luminaria",0.014,0.035,0.028,0.109,0,0.106
"P23","No sabe",0.057,0.302,0.347,0.188,0.192,0.255
"P24","La seguridad",0.286,0.428,0.594,0.519,0.352,0.29
"P24","El tránsito",0.217,0.162,0,0.191,0,0.055
"P24","El arreglo de las calles",0.2,0.135,0.077,0.064,0.145,0.113
"P24","Los parques y los espacios públicos",0.067,0.045,0.296,0.006,0.047,0.013
"P24","El sistema de salud",0.085,0.133,0,0.033,0.24,0.231
"P24","La limpieza de las calles",0.029,0.042,0,0.05,0.098,0.008
"P24","El deporte y la cultura",0.029,0,0,0.037,0,0.05
"P24","La luminaria",0.017,0.002,0,0.076,0.011,0.04
"P24","No sabe",0.07,0.053,0.033,0.024,0.107,0.2
"P25","Agua corriente y cloacas",0.504,0.604,0.601,0.555,0.144,0.58
"P25","Energía eléctrica",0.182,0.159,0,0.248,0.239,0.06
"P25","Red de gas natural",0.06,0.107,0.035,0.022,0.316,0.082
"P25","Recolección de residuos",0.143,0.058,0.172,0.148,0.046,0.118
"P25","Ninguno",0.111,0.072,0.192,0.027,0.255,0.16
"P26","Los robos",0.476,0.596,0.315,0.544,0,0.406
"P26","El narcotráfico",0.118,0.168,0.263,0.191,0.09,0.14
"P26","La ausencia de patrulleros y personal policial",0.231,0.162,0.154,0.176,0.18,0.303
"P26","Otro",0.153,0.063,0.268,0.089,0.379,0.056
"P26","Ninguno",0.022,0.011,0,0,0.351,0.095
"P27","Muy buena",0.621,0.072,0.099,0.03,0.173,0.122
"P27","Buena",0.159,0.158,0.14,0.203,0,0.285
"P27","Ni buena ni mala",0.165,0.368,0.336,0.269,0.208,0.32
"P27","Mala",0.049,0.159,0.357,0.191,0.193,0.065
"P27","Muy mala",0.002,0.218,0.068,0.307,0.426,0.118
"P27","No sabe",0.004,0.025,0,0,0,0.09
"P28","Muy buena",0.063,0.175,0.098,0,0.033,0.002
"P28","Buena",0.07,0.297,0.167,0.17,0.225,0.056
"P28","Ni buena ni mala",0.376,0.379,0.448,0.309,0.043,0.43
"P28","Mala",0.27,0.02,0.188,0.226,0.076,0.073
"P28","Muy mala",0.174,0.122,0.036,0.169,0.623,0.114
"P28","No sabe",0.047,0.007,0.063,0.126,0,0.325
"P29","Muy buena",0.085,0.094,0,0.016,0,0.02
"P29","Buena",0.057,0.133,0.279,0.05,0.162,0.042
"P29","Ni buena ni mala",0.496,0.382,0.564,0.476,0.211,0.363
"P29","Mala",0.046,0.121,0.033,0.096,0.06,0.06
"P29","Muy mala",0.179,0.052,0.095,0.227,0.535,0.058
"P29","No sabe",0.137,0.218,0.029,0.135,0.032,0.457
"P30","Muy buena",0.046,0.014,0,0,0,0.005
"P30","Buena",0.025,0.045,0.388,0.019,0.26,0.019
"P30","Ni buena ni mala",0.548,0.335,0.368,0.448,0.118,0.351
"P30","Mala",0.046,0.092,0,0.152,0.059,0.073
"P30","Muy mala",0.122,0.055,0,0.159,0.439,0.064
"P30","No sabe",0.213,0.459,0.244,0.222,0.124,0.488
"P31","Muy buena",0.066,0.093,0,0.122,0,0.013
"P31","Buena",0.022,0.053,0.229,0.24,0.126,0.011
"P31","Ni buena ni mala",0.497,0.265,0.397,0.299,0.246,0.325
"P31","Mala",0.051,0.168,0.033,0.15,0,0.168
"P31","Muy mala",0.138,0.062,0,0.037,0.604,0.014
"P31","No sabe",0.226,0.359,0.341,0.152,0.024,0.469
"P32","Muy buena",0.178,0.002,0,0.076,0,0.003
"P32","Buena",0.185,0.037,0.235,0.018,0.196,0
"P32","Ni buena ni mala",0.324,0.341,0.517,0.426,0.179,0.346
"P32","Mala",0.054,0.143,0.127,0.1,0,0.119
"P32","Muy mala",0.07,0.108,0.038,0.21,0.581,0.043
"P32","No sabe",0.189,0.369,0.083,0.17,0.044,0.489
"P33","Muy buena",0.067,0,0,0.259,0,0.009
"P33","Buena",0.04,0.033,0,0.298,0.127,0
"P33","Ni buena ni mala",0.478,0.31,0.788,0.246,0.153,0.367
"P33","Mala",0.045,0.101,0.064,0.013,0.021,0.106
"P33","Muy mala",0.137,0.058,0,0.028,0.631,0.124
"P33","No sabe",0.233,0.498,0.148,0.156,0.068,0.394
"P34","Muy buena",0.046,0.19,0,0.137,0,0
"P34","Buena",0.021,0.264,0.174,0.128,0.128,0.079
"P34","Ni buena ni mala",0.412,0.291,0.57,0.429,0.145,0.461
"P34","Mala",0.143,0.076,0.028,0.108,0.068,0.173
"P34","Muy mala",0.219,0.05,0.179,0.145,0.659,0.022
"P34","No sabe",0.159,0.129,0.049,0.053,0,0.265
"P35","Frente de Todos y el peronismo",0.641,0.008,0.072,0.06,0.067,0.162
"P35","Cambiemos",0.102,0.749,0.43,0.157,0.099,0.171
"P35","Liberales Libertarios",0.168,0.14,0.296,0.778,0,0.12
"P35","Izquierda",0.007,0.05,0.115,0.005,0.766,0.083
"P35","No sabe",0.082,0.053,0.087,0,0.068,0.464
"P41","Muy buena",0.199,0.064,0,0,0.073,0.059
"P41","Buena",0.289,0.041,0.05,0.022,0,0.096
"P41","Ni buena ni mala",0.22,0.055,0.503,0.317,0.085,0.112
"P41","Mala",0.214,0.191,0.211,0.04,0.256,0.244
"P41","Muy mala",0.076,0.641,0.236,0.621,0.586,0.478
"P41","No sabe",0.002,0.008,0,0,0,0.011
"P42","Muy buena",0.053,0.327,0,0.18,0.119,0.059
"P42","Buena",0.072,0.296,0.12,0.115,0.039,0.177
"P42","Ni buena ni mala",0.204,0.182,0.392,0.178,0.049,0.341
"P42","Mala",0.214,0.051,0.136,0.367,0,0.129
"P42","Muy mala",0.414,0.139,0.352,0.16,0.793,0.281
"P42","No sabe",0.043,0.005,0,0,0,0.013
"P43","Muy buena",0.631,0.066,0,0.152,0.219,0.042
"P43","Buena",0.108,0.095,0,0.004,0.102,0.061
"P43","Ni buena ni mala",0.091,0.028,0.242,0.09,0.056,0.194
"P43","Mala",0.07,0.073,0.243,0.164,0.048,0.067
"P43","Muy mala",0.1,0.738,0.515,0.59,0.575,0.53
"P43","No sabe",0,0,0,0,0,0.106
"P44","Muy buena",0.155,0.208,0.254,0.018,0.114,0.071
"P44","Buena",0.065,0.332,0.204,0.029,0.038,0.116
"P44","Ni buena ni mala",0.263,0.238,0.101,0.095,0.102,0.29
"P44","Mala",0.216,0.048,0,0.365,0.093,0.166
"P44","Muy mala",0.241,0.174,0.441,0.493,0.653,0.229
"P44","No sabe",0.06,0,0,0,0,0.128
"P45","Muy buena",0.139,0.011,0,0.153,0.223,0.046
"P45","Buena",0.438,0.212,0.083,0.176,0.043,0.073
"P45","Ni buena ni mala",0.245,0.07,0.198,0.036,0.052,0.16
"P45","Mala",0.104,0.159,0.524,0.231,0.117,0.262
"P45","Muy mala",0.021,0.535,0.195,0.404,0.565,0.412
"P45","No sabe",0.053,0.013,0,0,0,0.047
"P46","Muy buena",0.07,0.468,0.342,0.479,0.151,0.069
"P46","Buena",0.095,0.168,0.061,0.216,0.021,0.191
"P46","Ni buena ni mala",0.166,0.257,0.247,0.227,0.045,0.327
"P46","Mala",0.261,0.017,0,0.023,0,0.141
"P46","Muy mala",0.35,0.082,0.35,0.055,0.783,0.157
"P46","No sabe",0.058,0.008,0,0,0,0.115
"P47","Muy buena",0.096,0.235,0.256,0.851,0.173,0.042
"P47","Buena",0.064,0.184,0,0.104,0,0.073
"P47","Ni buena ni mala",0.104,0.326,0.364,0.022,0.044,0.421
"P47","Mala",0.18,0.022,0.023,0.009,0,0.106
"P47","Muy mala",0.443,0.222,0.357,0.014,0.783,0.257
"P47","No sabe",0.113,0.011,0,0,0,0.101
