"var","categoria","A Segundo cernadas por Juntos","A Gisela Zamora por el frente de todos","A Juan José Cervetto por avanza libertad","A Paula Yamila Akerfeld por el Frente de Izquierda","A Matias Orfo por Vamos con vos","A Nicolás Viera Dutra por el Partido Unión Celeste y Blanco","En blanco o anularía"
"P19","José Luis Espert por “Avanza Libertad”",0.023,0.055,0.135,0,0.072,0,0.095
"P19","Florencio Randazzo por “Vamos con vos”",0,0.004,0,0.039,0,0,0
"P19","Cynthia Hotton por “+Valores”",0,0.037,0,0,0,0.08,0
"P19","Ninguna en particular",0.028,0.086,0.069,0.021,0,0.071,0.437
"P19","No sabe",0.012,0.02,0,0.046,0,0,0.166
"P20","No alcanzan para cubrir las necesidades básicas familiares",0.316,0.287,0.407,0.565,0.29,0.077,0.39
"P20","Solo alcanzan para cubrir las necesidades básicas familiares",0.328,0.305,0.086,0.195,0.314,0.097,0.17
"P20","No alcanzan para cubrir los gastos totales de la familia",0.148,0.161,0.143,0.126,0.187,0.442,0.189
"P20","Alcanzan para cubrir los gastos totales de la familia",0.117,0.142,0.192,0.052,0.136,0,0.02
"P20","Tenemos un pequeño excedente, pero es excepcional",0.038,0.054,0.045,0.048,0,0.075,0
"P20","Tenemos un pequeño excedente habitual que ahorramos o invertimos",0.012,0.028,0.068,0.011,0,0.083,0.004
"P20","Tenemos un gran excedente pero es excepcional",0.017,0,0,0,0,0,0.057
"P20","Tenemos un gran excedente habitual que ahorramos o invertimos",0.009,0.001,0.003,0.003,0,0.093,0.028
"P20","No sabe",0.015,0.022,0.056,0,0.073,0.133,0.142
"P21","La inflación",0.238,0.29,0.196,0.17,0.64,0.271,0.199
"P21","El desempleo",0.137,0.137,0.011,0.157,0,0,0.099
"P21","La corrupción",0.501,0.173,0.439,0.315,0.228,0.531,0.489
"P21","La inseguridad",0.048,0.052,0.158,0.087,0,0.095,0.023
"P21","El precio del dólar",0.009,0.035,0.004,0.015,0,0,0
"P21","La pobreza",0.035,0.11,0.089,0.102,0.058,0,0.099
"P21","El narcotráfico",0.006,0.01,0.013,0,0,0,0.003
"P21","Las tarifas",0.003,0.08,0.09,0.018,0.074,0,0.028
"P21","Otro",0.012,0.066,0,0.053,0,0.103,0.06
"P21","No sabe",0.011,0.047,0,0.083,0,0,0
"P22","Muy buena",0.041,0.388,0,0.127,0,0.184,0.104
"P22","Buena",0.033,0.318,0.021,0.032,0.189,0.097,0.165
"P22","Ni buena ni mala",0.077,0.135,0.206,0.45,0,0.172,0.017
"P22","Mala",0.135,0.102,0.102,0.047,0.543,0.106,0.06
"P22","Muy mala",0.705,0.051,0.671,0.344,0.268,0.441,0.437
"P22","No sabe",0.009,0.006,0,0,0,0,0.217
"P23","Muy buena",0.028,0.452,0.025,0.155,0,0.151,0.103
"P23","Buena",0.018,0.272,0.039,0.133,0.189,0,0.199
"P23","Ni buena ni mala",0.034,0.114,0,0.34,0,0.199,0.061
"P23","Mala",0.041,0.038,0.008,0.04,0,0.103,0.047
"P23","Muy mala",0.876,0.116,0.928,0.332,0.811,0.547,0.406
"P23","No sabe",0.003,0.008,0,0,0,0,0.184
"P24","Muy buena",0.009,0.209,0,0.084,0,0.095,0.004
"P24","Buena",0.033,0.35,0,0.095,0.386,0.288,0.029
"P24","Ni buena ni mala",0.091,0.228,0.233,0.124,0,0.053,0.225
"P24","Mala",0.147,0.061,0.258,0.354,0.021,0.173,0.06
"P24","Muy mala",0.72,0.149,0.509,0.338,0.593,0.391,0.468
"P24","No sabe",0,0.003,0,0.005,0,0,0.214
"P25","Muy buena",0.312,0.028,0.031,0.004,0,0.081,0
"P25","Buena",0.251,0.027,0.077,0.009,0,0.02,0
"P25","Ni buena ni mala",0.245,0.109,0.186,0.082,0.265,0.185,0.325
"P25","Mala",0.117,0.192,0.386,0.142,0,0.16,0.093
"P25","Muy mala",0.074,0.609,0.285,0.763,0.735,0.554,0.499
"P25","No sabe",0.001,0.035,0.035,0,0,0,0.083
"P26","Muy buena",0.432,0.064,0.049,0.077,0,0.102,0.061
"P26","Buena",0.346,0.06,0.249,0.084,0.262,0,0.028
"P26","Ni buena ni mala",0.129,0.183,0.219,0.115,0.429,0.228,0.296
"P26","Mala",0.065,0.203,0.047,0.124,0.199,0.178,0.141
"P26","Muy mala",0.023,0.455,0.436,0.6,0.11,0.355,0.232
"P26","No sabe",0.005,0.035,0,0,0,0.137,0.242
"P27","Muy buena",0.038,0.172,0,0.13,0,0.116,0
"P27","Buena",0.046,0.221,0.084,0.098,0.276,0.404,0.042
"P27","Ni buena ni mala",0.154,0.28,0.36,0.324,0.453,0,0.318
"P27","Mala",0.119,0.06,0.092,0.037,0.007,0,0.242
"P27","Muy mala",0.607,0.213,0.431,0.363,0.264,0.374,0.167
"P27","No sabe",0.036,0.054,0.033,0.048,0,0.106,0.231
