"var","categoria","Diego Santilli y Facundo Manes por “Juntos”","Victoria Tolosa Paz por el Frente de todos","Nicolás del Caño por el Frente de Izquierda","José Luis Espert por “Avanza Libertad”","Florencio Randazzo por “Vamos con vos”","Cynthia Hotton por “+Valores”","Ninguna en particular","No sabe"
"P22","Muy mala",0.709,0.02,0.212,0.691,0.236,0.692,0.343,0.35
"P22","No sabe",0.009,0.007,0,0,0,0,0.208,0.058
"P23","Muy buena",0.025,0.551,0.121,0,0,0,0,0.253
"P23","Buena",0.033,0.224,0.2,0.039,0.081,0,0.354,0.189
"P23","Ni buena ni mala",0.027,0.132,0.32,0,0,0.186,0.049,0.179
"P23","Mala",0.043,0.025,0.101,0.008,0,0.014,0.059,0.033
"P23","Muy mala",0.864,0.065,0.258,0.953,0.919,0.8,0.364,0.294
"P23","No sabe",0.008,0.003,0,0,0,0,0.174,0.052
"P24","Muy buena",0.004,0.205,0.198,0,0,0.078,0.015,0.105
"P24","Buena",0.049,0.341,0.048,0,0.247,0.236,0.271,0
"P24","Ni buena ni mala",0.099,0.23,0.195,0.183,0,0,0.076,0.423
"P24","Mala",0.145,0.098,0.284,0.136,0.077,0.087,0.159,0
"P24","Muy mala",0.703,0.123,0.275,0.681,0.665,0.599,0.384,0.23
"P24","No sabe",0,0.003,0,0,0.011,0,0.095,0.242
"P25","Muy buena",0.314,0.007,0,0.058,0.034,0.014,0,0
"P25","Buena",0.252,0.021,0.031,0.017,0,0.133,0,0
"P25","Ni buena ni mala",0.241,0.095,0,0.268,0.006,0.152,0.278,0.458
"P25","Mala",0.068,0.195,0.174,0.548,0.058,0.088,0.219,0.095
"P25","Muy mala",0.119,0.677,0.659,0.074,0.902,0.613,0.443,0.389
"P25","No sabe",0.006,0.005,0.136,0.035,0,0,0.06,0.058
"P26","Muy buena",0.462,0.033,0.009,0.069,0.035,0.07,0,0.028
"P26","Buena",0.307,0.061,0.209,0.315,0,0,0.155,0.007
"P26","Ni buena ni mala",0.142,0.164,0.066,0.151,0.444,0.167,0.239,0.467
"P26","Mala",0.052,0.215,0.052,0.201,0.179,0.067,0.221,0.036
"P26","Muy mala",0.03,0.518,0.53,0.264,0.342,0.583,0.253,0.208
"P26","No sabe",0.007,0.009,0.134,0,0,0.113,0.132,0.254
"P27","Muy buena",0.054,0.194,0.088,0,0,0,0,0
"P27","Buena",0.058,0.205,0.234,0.037,0.249,0.31,0.113,0
"P27","Ni buena ni mala",0.164,0.275,0.276,0.323,0.317,0,0.256,0.596
"P27","Mala",0.115,0.045,0.03,0.111,0.063,0,0.329,0.015
"P27","Muy mala",0.571,0.218,0.372,0.492,0.371,0.589,0.161,0.138
"P27","No sabe",0.038,0.063,0,0.037,0,0.101,0.141,0.251
