"var","categoria","La inflación","El desempleo","La corrupción","La inseguridad","El precio del dólar","La pobreza","El narcotráfico","Las tarifas","Otro","No sabe"
"P23","Ni buena ni mala",0.075,0.099,0.064,0.089,0.304,0.192,0,0.056,0.067,0
"P23","Mala",0.024,0.105,0.023,0,0.015,0.062,0,0.093,0.049,0
"P23","Muy mala",0.479,0.456,0.789,0.566,0.101,0.186,0.625,0.175,0.258,0.183
"P23","No sabe",0.013,0.079,0.007,0,0,0.007,0,0,0.125,0
"P24","Muy buena",0.051,0.086,0.016,0.3,0.121,0.06,0,0.147,0.186,0.601
"P24","Buena",0.256,0.116,0.062,0.081,0.393,0.083,0,0.584,0.22,0.058
"P24","Ni buena ni mala",0.117,0.327,0.097,0.042,0.249,0.501,0.246,0.057,0.107,0.026
"P24","Mala",0.118,0.091,0.158,0.287,0.143,0.106,0.175,0.009,0.063,0
"P24","Muy mala",0.41,0.38,0.66,0.29,0.094,0.25,0.579,0.173,0.286,0.315
"P24","No sabe",0.048,0,0.007,0,0,0,0,0.03,0.138,0
"P25","Muy buena",0.155,0.196,0.174,0.075,0.014,0,0.159,0.026,0.014,0
"P25","Buena",0.106,0.095,0.146,0.046,0,0.211,0,0,0.103,0
"P25","Ni buena ni mala",0.14,0.207,0.317,0.117,0.101,0.043,0,0.056,0.023,0
"P25","Mala",0.13,0.163,0.143,0.325,0.123,0.174,0.173,0.239,0.112,0.097
"P25","Muy mala",0.447,0.339,0.212,0.431,0.762,0.572,0.668,0.679,0.61,0.557
"P25","No sabe",0.022,0,0.008,0.006,0,0,0,0,0.138,0.346
"P26","Muy buena",0.131,0.278,0.321,0.26,0.138,0.061,0,0,0.047,0
"P26","Buena",0.196,0.161,0.224,0.087,0.102,0.271,0.174,0.11,0.021,0.205
"P26","Ni buena ni mala",0.263,0.175,0.169,0.051,0,0.096,0.21,0.124,0.172,0.179
"P26","Mala",0.136,0.214,0.067,0.393,0,0.067,0.123,0.214,0.01,0.118
"P26","Muy mala",0.216,0.172,0.204,0.209,0.76,0.505,0.493,0.484,0.564,0.157
"P26","No sabe",0.058,0,0.015,0,0,0,0,0.068,0.186,0.341
"P27","Muy buena",0.064,0.163,0.016,0.344,0.462,0.032,0,0.117,0,0.253
"P27","Buena",0.183,0.156,0.05,0.038,0,0.105,0.298,0.196,0.23,0.368
"P27","Ni buena ni mala",0.278,0.318,0.204,0.103,0.191,0.408,0.437,0.265,0.072,0.144
"P27","Mala",0.073,0.133,0.121,0.039,0.061,0.117,0.059,0.009,0.143,0.059
"P27","Muy mala",0.309,0.196,0.567,0.441,0.153,0.239,0.206,0.413,0.398,0.176
"P27","No sabe",0.093,0.034,0.042,0.035,0.133,0.099,0,0,0.157,0
