"var","categoria","Diego Santilli y Facundo Manes por “Juntos”","Victoria Tolosa Paz por el Frente de todos","Nicolás del Caño por el Frente de Izquierda","José Luis Espert por “Avanza Libertad”","Florencio Randazzo por “Vamos con vos”","Cynthia Hotton por “+Valores”","Ninguna en particular","No sabe"
"P21","El desempleo",0.119,0.132,0.033,0.023,0.281,0,0.141,0.22
"P21","La corrupción",0.187,0.487,0.519,0.235,0.148,0.083,0.411,0.137
"P21","La inseguridad",0.074,0.048,0,0.243,0,0,0.016,0.034
"P21","El precio del dólar",0.047,0.004,0,0.02,0,0,0.006,0
"P21","La pobreza",0.118,0.038,0.006,0.275,0,0.213,0.064,0.062
"P21","El narcotráfico",0.014,0.002,0,0,0,0,0.016,0
"P21","Las tarifas",0.042,0.036,0.093,0.058,0,0,0,0.092
"P21","Otro",0.042,0.015,0.019,0.01,0.571,0,0.143,0.028
"P21","No sabe",0.02,0.009,0.095,0.015,0,0.58,0.01,0
"P22","Muy buena",0.353,0.06,0.088,0.18,0.144,0,0.083,0.48
"P22","Buena",0.281,0.012,0.096,0.491,0,0.607,0.249,0.028
"P22","Ni buena ni mala",0.194,0.069,0.34,0.032,0,0.307,0.118,0
"P22","Mala",0.117,0.112,0.268,0,0,0,0.115,0.225
"P22","Muy mala",0.052,0.737,0.208,0.297,0.856,0.086,0.242,0.172
"P22","No sabe",0.003,0.01,0,0,0,0,0.193,0.095
"P23","Muy buena",0.502,0.01,0.09,0.152,0,0.029,0.094,0.507
"P23","Buena",0.219,0.032,0.033,0.532,0.145,0.584,0.216,0.089
"P23","Ni buena ni mala",0.107,0.023,0.338,0.021,0,0.094,0.155,0.182
"P23","Mala",0.008,0.037,0.117,0,0,0.208,0.067,0.074
"P23","Muy mala",0.155,0.897,0.422,0.295,0.855,0.085,0.305,0.064
"P23","No sabe",0.009,0.001,0,0,0,0,0.163,0.084
"P24","Muy buena",0.172,0,0.189,0.056,0,0.591,0.049,0.129
"P24","Buena",0.341,0.039,0.071,0.28,0,0.028,0.189,0.111
"P24","Ni buena ni mala",0.232,0.096,0.052,0.332,0.288,0.298,0.24,0.054
"P24","Mala",0.113,0.115,0.294,0.3,0.146,0,0.087,0.138
"P24","Muy mala",0.141,0.748,0.394,0.032,0.566,0.083,0.349,0.169
"P24","No sabe",0.001,0.002,0,0,0,0,0.086,0.399
"P25","Muy buena",0.034,0.26,0,0,0,0.083,0.016,0
"P25","Buena",0.013,0.217,0.036,0,0,0,0.059,0
"P25","Ni buena ni mala",0.048,0.243,0.331,0,0,0,0.392,0.265
"P25","Mala",0.16,0.118,0.256,0.23,0.288,0.204,0.207,0.237
"P25","Muy mala",0.738,0.156,0.377,0.77,0.712,0.029,0.272,0.402
"P25","No sabe",0.007,0.006,0,0,0,0.684,0.054,0.096
"P26","Muy buena",0.051,0.37,0.138,0,0,0.084,0.037,0.155
"P26","Buena",0.048,0.31,0.098,0.186,0,0.21,0.139,0
"P26","Ni buena ni mala",0.129,0.145,0.388,0.092,0.205,0,0.424,0.248
"P26","Mala",0.245,0.068,0,0.062,0,0,0.204,0.06
"P26","Muy mala",0.517,0.099,0.37,0.66,0.795,0.124,0.1,0
"P26","No sabe",0.01,0.008,0.006,0,0,0.582,0.096,0.537
"P27","Muy buena",0.168,0.038,0.144,0,0,0,0.063,0.027
"P27","Buena",0.234,0.049,0.046,0.291,0,0.608,0.031,0.117
"P27","Ni buena ni mala",0.285,0.185,0.136,0.326,0,0.309,0.426,0.349
"P27","Mala",0.056,0.099,0.09,0.095,0,0,0.287,0.012
"P27","Muy mala",0.203,0.595,0.545,0.268,1,0.083,0.039,0.06
"P27","No sabe",0.054,0.034,0.039,0.02,0,0,0.154,0.435
