"var","categoria","Oponerse totalmente y no concurrir a la convocatoria","Oponerse parcialmente y concurrir a la convocatoria","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión","Apoyar totalmente la iniciativa del gobierno nacional","No sabe"
"P29","5",0.149,0.154,0.128,0.134,0.094
"P29","6",0.082,0.067,0.066,0.01,0
"P29","7",0.075,0.063,0.042,0.021,0.032
"P29","8",0.046,0.027,0.079,0.064,0.139
"P29","9-Pésimo",0.195,0.168,0.25,0.359,0.181
"P29","No sabe",0.043,0.033,0.044,0.058,0.091
"P30","1-Excelente",0.14,0.112,0.156,0.152,0.271
"P30","2",0.115,0.128,0.078,0.074,0.087
"P30","3",0.112,0.119,0.062,0.072,0.053
"P30","4",0.069,0.096,0.091,0.033,0.1
"P30","5",0.146,0.128,0.142,0.109,0.035
"P30","6",0.09,0.088,0.057,0.037,0.004
"P30","7",0.079,0.059,0.043,0.063,0.039
"P30","8",0.049,0.073,0.1,0.072,0.152
"P30","9-Pésimo",0.157,0.126,0.222,0.338,0.195
"P30","No sabe",0.043,0.071,0.049,0.05,0.064
"P31","1-Excelente",0.153,0.132,0.133,0.182,0.134
"P31","2",0.12,0.105,0.069,0.064,0.203
"P31","3",0.099,0.099,0.088,0.065,0.095
"P31","4",0.082,0.101,0.069,0.035,0.045
"P31","5",0.126,0.184,0.16,0.162,0.08
"P31","6",0.087,0.068,0.055,0.025,0.06
"P31","7",0.055,0.049,0.076,0.041,0.037
"P31","8",0.049,0.061,0.096,0.057,0.073
"P31","9-Pésimo",0.171,0.125,0.184,0.302,0.168
"P31","No sabe",0.058,0.076,0.07,0.067,0.105
"P32","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.924,0.529,0.08,0.006,0.249
"P32","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.051,0.369,0.235,0.04,0.082
"P32","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.006,0.061,0.444,0.198,0.033
"P32","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.004,0.013,0.2,0.745,0.024
"P32","No sabe",0.015,0.028,0.041,0.011,0.612
"P28","1-Excelente",0.166,0.13,0.157,0.156,0.176
"P28","2",0.099,0.147,0.092,0.078,0.128
"P28","3",0.083,0.038,0.046,0.056,0.046
"P28","4",0.052,0.087,0.069,0.022,0.074
"P28","5",0.201,0.252,0.194,0.168,0.19
"P28","6",0.088,0.072,0.047,0.022,0.052
"P28","7",0.071,0.065,0.062,0.046,0.01
"P28","8",0.05,0.026,0.081,0.078,0.117
"P28","9-Pésimo",0.145,0.135,0.204,0.301,0.151
"P28","No sabe",0.045,0.048,0.048,0.073,0.056
"P29","1-Excelente",0.159,0.116,0.158,0.144,0.164
"P29","2",0.092,0.198,0.11,0.121,0.106
"P29","3",0.098,0.09,0.057,0.056,0.159
"P29","4",0.061,0.084,0.066,0.033,0.034
"P29","5",0.149,0.154,0.128,0.134,0.094
"P29","6",0.082,0.067,0.066,0.01,0
"P29","7",0.075,0.063,0.042,0.021,0.032
"P29","8",0.046,0.027,0.079,0.064,0.139
"P29","9-Pésimo",0.195,0.168,0.25,0.359,0.181
"P29","No sabe",0.043,0.033,0.044,0.058,0.091
"P30","1-Excelente",0.14,0.112,0.156,0.152,0.271
"P30","2",0.115,0.128,0.078,0.074,0.087
"P30","3",0.112,0.119,0.062,0.072,0.053
"P30","4",0.069,0.096,0.091,0.033,0.1
"P30","5",0.146,0.128,0.142,0.109,0.035
"P30","6",0.09,0.088,0.057,0.037,0.004
"P30","7",0.079,0.059,0.043,0.063,0.039
"P30","8",0.049,0.073,0.1,0.072,0.152
"P30","9-Pésimo",0.157,0.126,0.222,0.338,0.195
"P30","No sabe",0.043,0.071,0.049,0.05,0.064
"P31","1-Excelente",0.153,0.132,0.133,0.182,0.134
"P31","2",0.12,0.105,0.069,0.064,0.203
"P31","3",0.099,0.099,0.088,0.065,0.095
"P31","4",0.082,0.101,0.069,0.035,0.045
"P31","5",0.126,0.184,0.16,0.162,0.08
"P31","6",0.087,0.068,0.055,0.025,0.06
"P31","7",0.055,0.049,0.076,0.041,0.037
"P31","8",0.049,0.061,0.096,0.057,0.073
"P31","9-Pésimo",0.171,0.125,0.184,0.302,0.168
"P31","No sabe",0.058,0.076,0.07,0.067,0.105
"P32","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.924,0.529,0.08,0.006,0.249
"P32","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.051,0.369,0.235,0.04,0.082
"P32","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.006,0.061,0.444,0.198,0.033
"P32","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.004,0.013,0.2,0.745,0.024
"P32","No sabe",0.015,0.028,0.041,0.011,0.612
"P34","Oponerse totalmente",0.889,0.324,0.023,0.004,0.139
"P34","Oponerse parcialmente",0.078,0.4,0.047,0.006,0.184
"P34","Apoyar parcialmente",0.015,0.24,0.661,0.112,0.274
"P34","Apoyar totalmente",0.006,0.017,0.222,0.843,0.012
"P34","No sabe",0.012,0.019,0.047,0.035,0.391
"P35","Inseguridad y narcotráfico",0.478,0.33,0.248,0.263,0.292
"P35","Altos impuestos y tarifas",0.118,0.202,0.231,0.277,0.158
"P35","Educación y estado de las escuelas",0.123,0.203,0.217,0.123,0.27
"P35","Inflación",0.167,0.144,0.145,0.125,0.146
"P35","Estado de la salud",0.058,0.064,0.089,0.09,0.079
"P35","Corrupción",0.026,0.02,0.047,0.089,0.051
"P35","Pobreza",0.009,0.003,0.008,0.01,0.004
"P35","Medio ambiente, incendios y contaminación",0.001,0.008,0,0,0
"P35","Falta de trabajo",0.019,0.024,0.009,0.02,0
"P35","No sabe",0.001,0.002,0.006,0.003,0
"P39","Muy buena",0.064,0.111,0.028,0.016,0.025
"P39","Buena",0.135,0.15,0.103,0.055,0.073
"P39","Ni buena ni mala",0.265,0.389,0.321,0.225,0.484
"P39","Mala",0.376,0.241,0.374,0.344,0.282
"P39","Muy mala",0.126,0.082,0.118,0.329,0.071
"P39","No sabe",0.034,0.027,0.056,0.031,0.065
"P40","Peor",0.743,0.536,0.453,0.451,0.488
"P40","Igual",0.14,0.312,0.35,0.428,0.132
"P40","Mejor",0.063,0.086,0.127,0.064,0.14
"P40","No sabe",0.054,0.066,0.07,0.057,0.24
"P41","Peor",0.745,0.474,0.29,0.323,0.351
"P41","Igual",0.147,0.351,0.303,0.3,0.25
"P41","Mejor",0.056,0.116,0.321,0.267,0.106
"P41","No sabe",0.052,0.059,0.086,0.11,0.293
"P42","Javier Milei",0.094,0.21,0.68,0.942,0.204
"P42","Los gobernadores",0.86,0.623,0.113,0.025,0.479
"P42","No sabe",0.046,0.167,0.207,0.033,0.317
"P43","Muy buena",0.155,0.178,0.104,0.062,0.123
"P43","Buena",0.273,0.298,0.098,0.05,0.213
"P43","Ni buena ni mala",0.312,0.332,0.312,0.233,0.422
"P43","Mala",0.167,0.15,0.334,0.268,0.127
"P43","Muy mala",0.086,0.042,0.126,0.366,0.055
"P43","No sabe",0.007,0,0.026,0.021,0.06
"P45","Muy buena",0.255,0.144,0.029,0.012,0.165
"P45","Buena",0.244,0.257,0.06,0.04,0.156
"P45","Ni buena ni mala",0.259,0.356,0.323,0.148,0.344
"P45","Mala",0.124,0.15,0.334,0.314,0.044
"P45","Muy mala",0.073,0.072,0.217,0.453,0.102
"P45","No sabe",0.045,0.021,0.037,0.033,0.189
"P46","Muy buena",0.08,0.131,0.166,0.16,0.183
"P46","Buena",0.087,0.145,0.256,0.198,0.114
"P46","Ni buena ni mala",0.305,0.382,0.394,0.354,0.389
"P46","Mala",0.248,0.204,0.098,0.114,0.099
"P46","Muy mala",0.2,0.084,0.056,0.131,0.071
"P46","No sabe",0.08,0.054,0.03,0.043,0.144
"P49","Muy buena",0.532,0.225,0.029,0.01,0.194
"P49","Buena",0.183,0.195,0.016,0.027,0.232
"P49","Ni buena ni mala",0.13,0.206,0.092,0.014,0.168
"P49","Mala",0.106,0.198,0.318,0.201,0.133
"P49","Muy mala",0.042,0.162,0.536,0.745,0.234
"P49","No sabe",0.007,0.014,0.009,0.003,0.039
"P50","Muy buena",0.059,0.083,0.114,0.147,0.063
"P50","Buena",0.029,0.164,0.231,0.263,0.151
"P50","Ni buena ni mala",0.085,0.159,0.289,0.31,0.319
"P50","Mala",0.281,0.303,0.216,0.167,0.328
"P50","Muy mala",0.544,0.289,0.142,0.105,0.139
"P50","No sabe",0.002,0.002,0.008,0.008,0
"P51","Muy buena",0.241,0.1,0.021,0.023,0.087
"P51","Buena",0.248,0.169,0.039,0.033,0.139
"P51","Ni buena ni mala",0.253,0.328,0.087,0.033,0.364
"P51","Mala",0.158,0.233,0.314,0.198,0.197
"P51","Muy mala",0.098,0.166,0.532,0.712,0.209
"P51","No sabe",0.002,0.004,0.007,0.001,0.004
"P52","Muy buena",0.546,0.186,0.033,0.013,0.143
"P52","Buena",0.194,0.167,0.012,0.008,0.123
"P52","Ni buena ni mala",0.108,0.209,0.089,0.015,0.198
"P52","Mala",0.089,0.214,0.288,0.172,0.181
"P52","Muy mala",0.053,0.187,0.574,0.787,0.284
"P52","No sabe",0.01,0.037,0.004,0.005,0.071
"P53","Muy buena",0.078,0.111,0.402,0.744,0.076
"P53","Buena",0.032,0.17,0.33,0.136,0.161
"P53","Ni buena ni mala",0.046,0.163,0.138,0.025,0.249
"P53","Mala",0.205,0.221,0.049,0.035,0.253
"P53","Muy mala",0.622,0.334,0.067,0.06,0.175
"P53","No sabe",0.017,0.001,0.014,0,0.086
"P54","Muy buena",0.05,0.135,0.317,0.447,0.075
"P54","Buena",0.034,0.148,0.364,0.384,0.246
"P54","Ni buena ni mala",0.087,0.151,0.183,0.092,0.179
"P54","Mala",0.18,0.237,0.057,0.052,0.188
"P54","Muy mala",0.646,0.321,0.067,0.025,0.241
"P54","No sabe",0.003,0.008,0.012,0,0.071
"P55","Muy buena",0.049,0.136,0.438,0.654,0.053
"P55","Buena",0.037,0.149,0.266,0.198,0.155
"P55","Ni buena ni mala",0.133,0.238,0.184,0.096,0.404
"P55","Mala",0.196,0.155,0.026,0.04,0.144
"P55","Muy mala",0.577,0.276,0.056,0.012,0.194
"P55","No sabe",0.008,0.046,0.03,0,0.05
"P56","Muy buena",0.06,0.084,0.088,0.103,0.066
"P56","Buena",0.076,0.184,0.257,0.211,0.145
"P56","Ni buena ni mala",0.282,0.4,0.452,0.485,0.452
"P56","Mala",0.257,0.149,0.084,0.114,0.114
"P56","Muy mala",0.299,0.133,0.055,0.062,0.097
"P56","No sabe",0.026,0.05,0.064,0.025,0.126
