"var","categoria","Oponerse totalmente y elevar un recurso de amparo ante la corte","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino","No sabe"
"P29","5",0.157,0.138,0.134,0.139,0.029
"P29","6",0.082,0.049,0.051,0.032,0.009
"P29","7",0.077,0.034,0.046,0.027,0.006
"P29","8",0.038,0.027,0.057,0.11,0.141
"P29","9-Pésimo",0.172,0.277,0.302,0.279,0.199
"P29","No sabe",0.047,0.02,0.059,0.044,0.092
"P30","1-Excelente",0.156,0.109,0.143,0.13,0.247
"P30","2",0.111,0.13,0.06,0.069,0.135
"P30","3",0.108,0.111,0.054,0.068,0.052
"P30","4",0.088,0.047,0.082,0.067,0.026
"P30","5",0.135,0.149,0.133,0.136,0.028
"P30","6",0.083,0.096,0.045,0.052,0.027
"P30","7",0.08,0.029,0.049,0.059,0.041
"P30","8",0.054,0.06,0.078,0.114,0.156
"P30","9-Pésimo",0.13,0.229,0.3,0.263,0.198
"P30","No sabe",0.055,0.04,0.056,0.042,0.09
"P31","1-Excelente",0.163,0.123,0.116,0.15,0.137
"P31","2",0.11,0.122,0.069,0.046,0.174
"P31","3",0.086,0.122,0.065,0.094,0.087
"P31","4",0.09,0.063,0.072,0.05,0.057
"P31","5",0.148,0.148,0.151,0.195,0.033
"P31","6",0.081,0.054,0.054,0.044,0.021
"P31","7",0.057,0.042,0.071,0.048,0.073
"P31","8",0.057,0.077,0.083,0.07,0.057
"P31","9-Pésimo",0.145,0.197,0.245,0.244,0.17
"P31","No sabe",0.063,0.052,0.074,0.059,0.191
"P33","Oponerse totalmente y no concurrir a la convocatoria",0.717,0.118,0.012,0.009,0.119
"P33","Oponerse parcialmente y concurrir a la convocatoria",0.216,0.447,0.074,0.015,0.112
"P33","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.044,0.376,0.712,0.296,0.223
"P33","Apoyar totalmente la iniciativa del gobierno nacional",0.002,0.039,0.194,0.675,0.036
"P33","No sabe",0.021,0.02,0.008,0.005,0.51
"P34","Oponerse totalmente",0.76,0.162,0.028,0.019,0.15
"P34","Oponerse parcialmente",0.146,0.273,0.025,0.011,0.173
"P34","Apoyar parcialmente",0.072,0.47,0.558,0.228,0.279
"P34","Apoyar totalmente",0.005,0.071,0.351,0.701,0.057
"P34","No sabe",0.017,0.024,0.038,0.041,0.341
"P35","Inseguridad y narcotráfico",0.456,0.289,0.255,0.239,0.249
"P35","Altos impuestos y tarifas",0.14,0.228,0.213,0.272,0.158
"P35","Educación y estado de las escuelas",0.128,0.183,0.273,0.134,0.294
"P35","Inflación",0.159,0.166,0.132,0.123,0.151
"P35","Estado de la salud",0.059,0.085,0.073,0.096,0.066
"P35","Corrupción",0.021,0.025,0.041,0.106,0.059
"P35","Pobreza",0.008,0.009,0.009,0.006,0
"P35","Medio ambiente, incendios y contaminación",0.004,0,0,0,0
"P35","Falta de trabajo",0.024,0.005,0.001,0.024,0.017
"P35","No sabe",0.001,0.01,0.003,0,0.006
"P39","Muy buena",0.071,0.064,0.01,0.025,0.124
"P39","Buena",0.133,0.14,0.089,0.064,0.126
"P39","Ni buena ni mala",0.292,0.351,0.375,0.228,0.341
"P39","Mala",0.352,0.303,0.343,0.374,0.22
"P39","Muy mala",0.122,0.089,0.141,0.275,0.091
"P39","No sabe",0.03,0.053,0.042,0.034,0.098
"P40","Peor",0.712,0.497,0.482,0.42,0.347
"P40","Igual",0.182,0.31,0.319,0.446,0.214
"P40","Mejor",0.06,0.097,0.136,0.063,0.247
"P40","No sabe",0.046,0.096,0.063,0.071,0.192
"P41","Peor",0.703,0.406,0.274,0.302,0.231
"P41","Igual",0.192,0.327,0.255,0.342,0.27
"P41","Mejor",0.057,0.184,0.38,0.258,0.207
"P41","No sabe",0.048,0.083,0.091,0.098,0.292
"P42","Javier Milei",0.105,0.418,0.766,0.905,0.206
"P42","Los gobernadores",0.837,0.387,0.053,0.035,0.329
"P42","No sabe",0.058,0.195,0.181,0.06,0.465
"P43","Muy buena",0.161,0.154,0.095,0.059,0.132
"P43","Buena",0.277,0.226,0.058,0.071,0.214
"P43","Ni buena ni mala",0.319,0.348,0.314,0.227,0.343
"P43","Mala",0.166,0.187,0.334,0.31,0.17
"P43","Muy mala",0.074,0.079,0.168,0.315,0.051
"P43","No sabe",0.003,0.006,0.031,0.018,0.09
"P45","Muy buena",0.244,0.069,0.015,0.009,0.14
"P45","Buena",0.251,0.163,0.035,0.056,0.145
"P45","Ni buena ni mala",0.263,0.398,0.291,0.192,0.321
"P45","Mala",0.133,0.201,0.361,0.306,0.117
"P45","Muy mala",0.073,0.12,0.262,0.403,0.145
"P45","No sabe",0.036,0.049,0.036,0.034,0.132
"P46","Muy buena",0.092,0.146,0.182,0.149,0.165
"P46","Buena",0.09,0.234,0.231,0.232,0.086
"P46","Ni buena ni mala",0.308,0.461,0.343,0.365,0.438
"P46","Mala",0.251,0.084,0.134,0.106,0.106
"P46","Muy mala",0.182,0.049,0.057,0.121,0.069
"P46","No sabe",0.077,0.026,0.053,0.027,0.136
"P49","Muy buena",0.474,0.095,0.016,0.008,0.227
"P49","Buena",0.19,0.1,0.013,0.026,0.189
"P49","Ni buena ni mala",0.14,0.198,0.056,0.029,0.165
"P49","Mala",0.113,0.288,0.297,0.241,0.145
"P49","Muy mala",0.071,0.318,0.615,0.69,0.223
"P49","No sabe",0.012,0.001,0.003,0.006,0.051
"P50","Muy buena",0.059,0.118,0.091,0.164,0.058
"P50","Buena",0.049,0.2,0.256,0.239,0.269
"P50","Ni buena ni mala",0.102,0.251,0.279,0.305,0.259
"P50","Mala",0.281,0.261,0.207,0.198,0.285
"P50","Muy mala",0.507,0.165,0.163,0.087,0.11
"P50","No sabe",0.002,0.005,0.004,0.007,0.019
"P51","Muy buena",0.217,0.043,0.016,0.013,0.112
"P51","Buena",0.25,0.059,0.04,0.033,0.076
"P51","Ni buena ni mala",0.268,0.271,0.032,0.032,0.353
"P51","Mala",0.157,0.288,0.319,0.249,0.179
"P51","Muy mala",0.106,0.335,0.586,0.672,0.261
"P51","No sabe",0.002,0.004,0.007,0.001,0.019
"P52","Muy buena",0.486,0.07,0.007,0.012,0.148
"P52","Buena",0.189,0.089,0.015,0.018,0.055
"P52","Ni buena ni mala",0.135,0.167,0.064,0.013,0.198
"P52","Mala",0.095,0.295,0.262,0.219,0.232
"P52","Muy mala",0.081,0.355,0.639,0.736,0.318
"P52","No sabe",0.014,0.024,0.013,0.002,0.049
"P53","Muy buena",0.071,0.224,0.565,0.629,0.134
"P53","Buena",0.052,0.271,0.244,0.235,0.214
"P53","Ni buena ni mala",0.076,0.173,0.101,0.046,0.215
"P53","Mala",0.209,0.176,0.026,0.038,0.145
"P53","Muy mala",0.58,0.141,0.064,0.05,0.185
"P53","No sabe",0.012,0.015,0,0.002,0.107
"P54","Muy buena",0.062,0.241,0.378,0.384,0.115
"P54","Buena",0.053,0.278,0.371,0.378,0.234
"P54","Ni buena ni mala",0.09,0.197,0.148,0.136,0.175
"P54","Mala",0.193,0.133,0.049,0.074,0.179
"P54","Muy mala",0.594,0.145,0.052,0.028,0.224
"P54","No sabe",0.008,0.006,0.002,0,0.073
"P55","Muy buena",0.062,0.271,0.537,0.581,0.103
"P55","Buena",0.045,0.25,0.23,0.233,0.231
"P55","Ni buena ni mala",0.162,0.206,0.145,0.116,0.44
"P55","Mala",0.183,0.119,0.023,0.041,0.052
"P55","Muy mala",0.529,0.126,0.042,0.014,0.148
"P55","No sabe",0.019,0.028,0.023,0.015,0.026
"P56","Muy buena",0.057,0.101,0.1,0.094,0.093
"P56","Buena",0.102,0.236,0.27,0.191,0.144
"P56","Ni buena ni mala",0.319,0.367,0.406,0.524,0.56
"P56","Mala",0.233,0.115,0.097,0.112,0.044
"P56","Muy mala",0.261,0.122,0.041,0.061,0.043
"P56","No sabe",0.028,0.059,0.086,0.018,0.116
