"var","categoria","Estoy totalmente en desacuerdo, las universidades públicas son garantía de promoción social y contribuyen a igualar las oportunidades de todos los argentinos","Estoy en desacuerdo, sin universidades publicas no puede haber crecimiento sostenible ni mejora de la situación económica del país","Estoy parcialmente de acuerdo, es necesario una reforma profunda del sistema universitario público, incorporando exámenes de ingreso, arancelamiento para dar becas de estudio y racionalización de la oferta de carreras priorizando aquellas orientadas al desarrollo científico, tecnológico, la salud y el desarrollo económico","Estoy de acuerdo, las universidades publicas son muy ineficientes y costosas. La mayor parte de alumnos nunca terminan sus estudios, hay gran cantidad de carreras innecesarias y están muy politizadas","Estoy totalmente de acuerdo, las universidades publicas son centros de adoctrinamiento político y sirven a los intereses de los partidos políticos. Sería mejor utilizar esa plata para becar a los alumnos de escasos recursos para que pudieran elegir en que universidad privada estudiar","No sabe"
"P13","No tengo trabajo",0.064,0.101,0.059,0.05,0.079,0.105
"P14","Muy buena",0.134,0.111,0.046,0.042,0.078,0.016
"P14","Buena",0.201,0.168,0.091,0.103,0.082,0.01
"P14","Ni buena ni mala",0.371,0.417,0.304,0.249,0.186,0.411
"P14","Mala",0.193,0.144,0.345,0.382,0.251,0.29
"P14","Muy mala",0.088,0.129,0.207,0.22,0.402,0.098
"P14","No sabe",0.013,0.031,0.007,0.004,0.001,0.175
"P15","Muy buena",0.098,0.148,0.393,0.551,0.667,0.018
"P15","Buena",0.092,0.17,0.297,0.262,0.171,0.187
"P15","Ni buena ni mala",0.128,0.269,0.188,0.106,0.135,0.337
"P15","Mala",0.212,0.175,0.069,0.045,0.009,0.173
"P15","Muy mala",0.461,0.215,0.051,0.033,0.016,0.05
"P15","No sabe",0.009,0.023,0.002,0.003,0.002,0.235
"P20","Muy buena",0.135,0.117,0.077,0.052,0.093,0.018
"P20","Buena",0.243,0.233,0.131,0.107,0.095,0.094
"P20","Ni buena ni mala",0.326,0.323,0.342,0.264,0.241,0.499
"P20","Mala",0.193,0.194,0.307,0.361,0.303,0.133
"P20","Muy mala",0.087,0.099,0.132,0.207,0.236,0.098
"P20","No sabe",0.016,0.034,0.011,0.009,0.032,0.158
"P21","Gobierno nacional",0.546,0.236,0.095,0.034,0.094,0.014
"P21","Gobierno provincial",0.302,0.447,0.706,0.855,0.839,0.402
"P21","No sabe",0.152,0.317,0.199,0.111,0.067,0.584
"P22","El anterior gobierno de Anabela Carreras",0.35,0.277,0.386,0.406,0.374,0.093
"P22","El actual gobierno de Alberto Weretilneck",0.505,0.526,0.519,0.53,0.525,0.747
"P22","No sabe",0.145,0.197,0.095,0.064,0.101,0.16
"P23","El anterior gobierno de Alberto Fernández",0.246,0.414,0.59,0.969,0.169,0
"P23","El actual gobierno de Javier Milei",0.693,0.437,0.324,0.031,0.59,0
"P23","No sabe",0.061,0.149,0.086,0,0.241,1
"P24","Si",0.368,0.266,0.442,0.446,0.439,0.126
"P24","No",0.451,0.418,0.284,0.294,0.343,0.22
"P24","No sabe",0.181,0.316,0.274,0.26,0.218,0.654
"P25","Si",0.324,0.195,0.144,0.173,0.051,0.029
"P25","No",0.364,0.446,0.57,0.631,0.714,0.443
"P25","No sabe",0.312,0.359,0.286,0.196,0.235,0.528
"P26","Si",0.885,0.6,0.793,0.824,0.707,0.385
"P26","No",0.115,0.4,0.207,0.176,0.293,0.615
"P28","1-Excelente",0.183,0.227,0.125,0.193,0.146,0.243
"P28","2",0.105,0.137,0.104,0.115,0.093,0.015
"P28","3",0.062,0.039,0.05,0.05,0.064,0.045
"P28","4",0.068,0.033,0.056,0.036,0.027,0.188
"P28","5",0.171,0.203,0.243,0.148,0.141,0.372
"P28","6",0.076,0.06,0.052,0.016,0.041,0
"P28","7",0.064,0.032,0.053,0.065,0.031,0.012
"P28","8",0.046,0.051,0.05,0.09,0.1,0.057
"P28","9-Pésimo",0.161,0.127,0.217,0.208,0.282,0.032
"P28","No sabe",0.064,0.091,0.05,0.079,0.075,0.036
"P29","1-Excelente",0.152,0.188,0.16,0.175,0.149,0.029
"P29","2",0.127,0.161,0.133,0.13,0.037,0.019
"P29","3",0.089,0.092,0.061,0.04,0.135,0.138
"P29","4",0.056,0.029,0.08,0.03,0.036,0.269
"P29","5",0.137,0.16,0.128,0.118,0.133,0.072
"P29","6",0.077,0.03,0.047,0.018,0.01,0
"P29","7",0.068,0.031,0.045,0.024,0.002,0.025
"P29","8",0.043,0.07,0.067,0.088,0.081,0.235
"P29","9-Pésimo",0.2,0.138,0.235,0.319,0.374,0.183
"P29","No sabe",0.051,0.101,0.044,0.058,0.043,0.03
"P30","1-Excelente",0.159,0.185,0.145,0.144,0.144,0.029
"P30","2",0.112,0.115,0.106,0.067,0.032,0.09
"P30","3",0.113,0.084,0.065,0.082,0.019,0.08
"P30","4",0.08,0.037,0.069,0.077,0.111,0.221
"P30","5",0.127,0.118,0.14,0.128,0.073,0.124
"P30","6",0.071,0.078,0.069,0.036,0.043,0.041
"P30","7",0.06,0.051,0.063,0.042,0.054,0.049
"P30","8",0.061,0.073,0.064,0.138,0.081,0.034
"P30","9-Pésimo",0.16,0.171,0.233,0.232,0.395,0.302
"P30","No sabe",0.057,0.088,0.046,0.054,0.048,0.03
"P31","1-Excelente",0.145,0.161,0.139,0.184,0.157,0.029
"P31","2",0.106,0.138,0.075,0.08,0.036,0.2
"P31","3",0.092,0.059,0.128,0.073,0.04,0
"P31","4",0.081,0.101,0.048,0.062,0.047,0.26
"P31","5",0.135,0.156,0.155,0.169,0.186,0.187
"P31","6",0.083,0.017,0.05,0.03,0.084,0.016
"P31","7",0.046,0.05,0.082,0.044,0.004,0.086
"P31","8",0.058,0.059,0.088,0.083,0.032,0.025
"P31","9-Pésimo",0.176,0.143,0.185,0.196,0.33,0.15
"P31","No sabe",0.078,0.116,0.05,0.079,0.084,0.047
"P32","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.769,0.439,0.084,0.044,0.063,0.058
"P32","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.128,0.207,0.239,0.104,0.133,0.306
"P32","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.046,0.146,0.367,0.299,0.146,0.319
"P32","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.029,0.095,0.274,0.499,0.618,0.017
"P32","No sabe",0.028,0.113,0.036,0.054,0.04,0.3
"P28","1-Excelente",0.183,0.227,0.125,0.193,0.146,0.243
"P28","2",0.105,0.137,0.104,0.115,0.093,0.015
"P28","3",0.062,0.039,0.05,0.05,0.064,0.045
"P28","4",0.068,0.033,0.056,0.036,0.027,0.188
"P28","5",0.171,0.203,0.243,0.148,0.141,0.372
"P28","6",0.076,0.06,0.052,0.016,0.041,0
"P28","7",0.064,0.032,0.053,0.065,0.031,0.012
"P28","8",0.046,0.051,0.05,0.09,0.1,0.057
"P28","9-Pésimo",0.161,0.127,0.217,0.208,0.282,0.032
"P28","No sabe",0.064,0.091,0.05,0.079,0.075,0.036
"P29","1-Excelente",0.152,0.188,0.16,0.175,0.149,0.029
"P29","2",0.127,0.161,0.133,0.13,0.037,0.019
"P29","3",0.089,0.092,0.061,0.04,0.135,0.138
"P29","4",0.056,0.029,0.08,0.03,0.036,0.269
"P29","5",0.137,0.16,0.128,0.118,0.133,0.072
"P29","6",0.077,0.03,0.047,0.018,0.01,0
"P29","7",0.068,0.031,0.045,0.024,0.002,0.025
"P29","8",0.043,0.07,0.067,0.088,0.081,0.235
"P29","9-Pésimo",0.2,0.138,0.235,0.319,0.374,0.183
"P29","No sabe",0.051,0.101,0.044,0.058,0.043,0.03
"P30","1-Excelente",0.159,0.185,0.145,0.144,0.144,0.029
"P30","2",0.112,0.115,0.106,0.067,0.032,0.09
"P30","3",0.113,0.084,0.065,0.082,0.019,0.08
"P30","4",0.08,0.037,0.069,0.077,0.111,0.221
"P30","5",0.127,0.118,0.14,0.128,0.073,0.124
"P30","6",0.071,0.078,0.069,0.036,0.043,0.041
"P30","7",0.06,0.051,0.063,0.042,0.054,0.049
"P30","8",0.061,0.073,0.064,0.138,0.081,0.034
"P30","9-Pésimo",0.16,0.171,0.233,0.232,0.395,0.302
"P30","No sabe",0.057,0.088,0.046,0.054,0.048,0.03
"P31","1-Excelente",0.145,0.161,0.139,0.184,0.157,0.029
"P31","2",0.106,0.138,0.075,0.08,0.036,0.2
"P31","3",0.092,0.059,0.128,0.073,0.04,0
"P31","4",0.081,0.101,0.048,0.062,0.047,0.26
"P31","5",0.135,0.156,0.155,0.169,0.186,0.187
"P31","6",0.083,0.017,0.05,0.03,0.084,0.016
"P31","7",0.046,0.05,0.082,0.044,0.004,0.086
"P31","8",0.058,0.059,0.088,0.083,0.032,0.025
"P31","9-Pésimo",0.176,0.143,0.185,0.196,0.33,0.15
"P31","No sabe",0.078,0.116,0.05,0.079,0.084,0.047
"P32","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.769,0.439,0.084,0.044,0.063,0.058
"P32","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.128,0.207,0.239,0.104,0.133,0.306
"P32","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.046,0.146,0.367,0.299,0.146,0.319
"P32","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.029,0.095,0.274,0.499,0.618,0.017
"P32","No sabe",0.028,0.113,0.036,0.054,0.04,0.3
"P33","Oponerse totalmente y no concurrir a la convocatoria",0.614,0.348,0.042,0.009,0.054,0.025
"P33","Oponerse parcialmente y concurrir a la convocatoria",0.234,0.263,0.125,0.084,0.092,0.104
"P33","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.091,0.243,0.588,0.366,0.252,0.52
"P33","Apoyar totalmente la iniciativa del gobierno nacional",0.025,0.066,0.226,0.515,0.581,0.031
"P33","No sabe",0.036,0.08,0.019,0.026,0.021,0.32
"P34","Oponerse totalmente",0.664,0.394,0.065,0.031,0.008,0.026
"P34","Oponerse parcialmente",0.161,0.142,0.084,0.045,0.073,0.034
"P34","Apoyar parcialmente",0.124,0.268,0.512,0.239,0.269,0.622
"P34","Apoyar totalmente",0.034,0.095,0.309,0.615,0.603,0.073
"P34","No sabe",0.017,0.101,0.03,0.07,0.047,0.245
"P35","Inseguridad y narcotráfico",0.41,0.405,0.254,0.247,0.308,0.066
"P35","Altos impuestos y tarifas",0.157,0.241,0.198,0.268,0.166,0.234
"P35","Educación y estado de las escuelas",0.148,0.142,0.252,0.14,0.106,0.456
"P35","Inflación",0.161,0.113,0.157,0.135,0.145,0.065
"P35","Estado de la salud",0.074,0.045,0.061,0.063,0.17,0.053
"P35","Corrupción",0.023,0.03,0.047,0.127,0.039,0.126
"P35","Pobreza",0.007,0.009,0.011,0.007,0,0
"P35","Medio ambiente, incendios y contaminación",0.003,0.003,0,0,0,0
"P35","Falta de trabajo",0.016,0.009,0.019,0.008,0.05,0
"P35","No sabe",0.001,0.003,0.001,0.005,0.016,0
"P39","Muy buena",0.075,0.05,0.012,0.058,0.046,0
"P39","Buena",0.129,0.183,0.099,0.067,0.011,0
"P39","Ni buena ni mala",0.297,0.308,0.353,0.275,0.229,0.508
"P39","Mala",0.358,0.271,0.343,0.382,0.273,0.384
"P39","Muy mala",0.104,0.156,0.147,0.173,0.412,0.018
"P39","No sabe",0.037,0.032,0.046,0.045,0.029,0.09
"P40","Peor",0.673,0.563,0.418,0.505,0.45,0.576
"P40","Igual",0.183,0.32,0.368,0.384,0.385,0.055
"P40","Mejor",0.07,0.065,0.158,0.049,0.089,0.131
"P40","No sabe",0.074,0.052,0.056,0.062,0.076,0.238
"P41","Peor",0.672,0.46,0.273,0.29,0.327,0.28
"P41","Igual",0.194,0.31,0.3,0.412,0.174,0.315
"P41","Mejor",0.087,0.127,0.317,0.225,0.327,0.155
"P41","No sabe",0.047,0.103,0.11,0.073,0.172,0.25
"P42","Javier Milei",0.16,0.284,0.703,0.842,0.84,0.358
"P42","Los gobernadores",0.769,0.545,0.101,0.043,0.11,0.102
"P42","No sabe",0.071,0.171,0.196,0.115,0.05,0.54
"P43","Muy buena",0.156,0.182,0.086,0.085,0.062,0.022
"P43","Buena",0.269,0.236,0.108,0.06,0.052,0.171
"P43","Ni buena ni mala",0.321,0.309,0.305,0.251,0.298,0.314
"P43","Mala",0.18,0.145,0.318,0.338,0.203,0.141
"P43","Muy mala",0.071,0.118,0.163,0.243,0.347,0.034
"P43","No sabe",0.003,0.01,0.02,0.023,0.038,0.318
"P45","Muy buena",0.198,0.201,0.037,0.027,0.02,0
"P45","Buena",0.252,0.171,0.046,0.051,0.059,0.056
"P45","Ni buena ni mala",0.303,0.253,0.287,0.21,0.218,0.41
"P45","Mala",0.123,0.194,0.356,0.329,0.241,0.15
"P45","Muy mala",0.088,0.124,0.249,0.368,0.348,0.074
"P45","No sabe",0.036,0.057,0.025,0.015,0.114,0.31
"P46","Muy buena",0.088,0.139,0.166,0.176,0.214,0.087
"P46","Buena",0.121,0.173,0.232,0.19,0.152,0.063
"P46","Ni buena ni mala",0.303,0.375,0.382,0.465,0.35,0.81
"P46","Mala",0.241,0.156,0.104,0.075,0.119,0.02
"P46","Muy mala",0.175,0.082,0.081,0.065,0.101,0.02
"P46","No sabe",0.072,0.075,0.035,0.029,0.064,0
"P49","Muy buena",0.416,0.262,0.057,0.02,0.007,0
"P49","Buena",0.179,0.164,0.01,0.033,0.047,0.282
"P49","Ni buena ni mala",0.124,0.181,0.1,0.066,0.094,0.04
"P49","Mala",0.162,0.18,0.262,0.228,0.16,0.303
"P49","Muy mala",0.107,0.204,0.566,0.647,0.683,0.375
"P49","No sabe",0.012,0.009,0.005,0.006,0.009,0
"P50","Muy buena",0.059,0.059,0.126,0.158,0.198,0.053
"P50","Buena",0.081,0.152,0.233,0.248,0.19,0.261
"P50","Ni buena ni mala",0.091,0.212,0.313,0.316,0.35,0.392
"P50","Mala",0.291,0.284,0.188,0.219,0.152,0.248
"P50","Muy mala",0.475,0.293,0.131,0.058,0.091,0.046
"P50","No sabe",0.003,0,0.009,0.001,0.019,0
"P51","Muy buena",0.177,0.153,0.025,0.036,0.053,0
"P51","Buena",0.219,0.156,0.044,0.042,0.023,0
"P51","Ni buena ni mala",0.273,0.212,0.093,0.038,0.118,0.323
"P51","Mala",0.197,0.25,0.252,0.255,0.183,0.132
"P51","Muy mala",0.13,0.228,0.582,0.62,0.623,0.545
"P51","No sabe",0.004,0.001,0.004,0.009,0,0
"P52","Muy buena",0.42,0.211,0.041,0.029,0.083,0
"P52","Buena",0.182,0.125,0.022,0.008,0,0.027
"P52","Ni buena ni mala",0.135,0.197,0.053,0.05,0.022,0.16
"P52","Mala",0.131,0.188,0.277,0.24,0.121,0.177
"P52","Muy mala",0.118,0.254,0.6,0.663,0.734,0.636
"P52","No sabe",0.014,0.025,0.007,0.01,0.04,0
"P53","Muy buena",0.094,0.178,0.456,0.612,0.679,0.274
"P53","Buena",0.069,0.214,0.257,0.243,0.2,0.27
"P53","Ni buena ni mala",0.081,0.162,0.097,0.074,0.095,0.15
"P53","Mala",0.209,0.16,0.088,0.018,0.003,0.036
"P53","Muy mala",0.532,0.282,0.087,0.053,0.023,0.047
"P53","No sabe",0.015,0.004,0.015,0,0,0.223
"P54","Muy buena",0.073,0.165,0.333,0.41,0.436,0.225
"P54","Buena",0.071,0.258,0.332,0.382,0.394,0.1
"P54","Ni buena ni mala",0.101,0.154,0.153,0.127,0.154,0.425
"P54","Mala",0.198,0.127,0.093,0.07,0.004,0
"P54","Muy mala",0.551,0.295,0.075,0.011,0.012,0.027
"P54","No sabe",0.006,0.001,0.014,0,0,0.223
"P55","Muy buena",0.08,0.142,0.454,0.655,0.607,0.387
"P55","Buena",0.052,0.237,0.245,0.201,0.245,0.297
"P55","Ni buena ni mala",0.171,0.204,0.179,0.121,0.123,0.289
"P55","Mala",0.189,0.121,0.038,0.018,0.013,0
"P55","Muy mala",0.494,0.251,0.046,0.003,0.012,0.027
"P55","No sabe",0.014,0.045,0.038,0.002,0,0
"P56","Muy buena",0.045,0.088,0.093,0.127,0.114,0.569
"P56","Buena",0.118,0.183,0.233,0.263,0.145,0.105
"P56","Ni buena ni mala",0.329,0.36,0.446,0.507,0.514,0.186
"P56","Mala",0.228,0.139,0.099,0.072,0.118,0
"P56","Muy mala",0.24,0.167,0.081,0.016,0.057,0.015
"P56","No sabe",0.04,0.063,0.048,0.015,0.052,0.125
