"var","categoria","Oponerse totalmente","Oponerse parcialmente","Apoyar parcialmente","Apoyar totalmente","No sabe"
"P20","Mala",0.217,0.157,0.253,0.341,0.209
"P20","Muy mala",0.102,0.031,0.095,0.276,0.062
"P20","No sabe",0.016,0.026,0.012,0.009,0.031
"P21","Gobierno nacional",0.61,0.503,0.09,0.026,0.195
"P21","Gobierno provincial",0.274,0.351,0.66,0.898,0.422
"P21","No sabe",0.116,0.146,0.25,0.076,0.383
"P22","El anterior gobierno de Anabela Carreras",0.325,0.382,0.413,0.414,0.443
"P22","El actual gobierno de Alberto Weretilneck",0.551,0.534,0.464,0.518,0.404
"P22","No sabe",0.124,0.084,0.123,0.068,0.153
"P23","El anterior gobierno de Alberto Fernández",0.192,0.279,0.55,0.872,0.263
"P23","El actual gobierno de Javier Milei",0.751,0.477,0.418,0.101,0.568
"P23","No sabe",0.057,0.244,0.032,0.027,0.169
"P24","Si",0.277,0.381,0.472,0.478,0.299
"P24","No",0.536,0.437,0.308,0.334,0.16
"P24","No sabe",0.187,0.182,0.22,0.188,0.541
"P25","Si",0.324,0.264,0.182,0.148,0.134
"P25","No",0.355,0.397,0.538,0.666,0.332
"P25","No sabe",0.321,0.339,0.28,0.186,0.534
"P26","Si",0.909,0.809,0.741,0.817,0.596
"P26","No",0.091,0.191,0.259,0.183,0.404
"P27","Estoy totalmente en desacuerdo, las universidades públicas son garantía de promoción social y contribuyen a igualar las oportunidades de todos los argentinos",0.824,0.634,0.245,0.087,0.204
"P27","Estoy en desacuerdo, sin universidades publicas no puede haber crecimiento sostenible ni mejora de la situación económica del país",0.133,0.153,0.145,0.066,0.337
"P27","Estoy parcialmente de acuerdo, es necesario una reforma profunda del sistema universitario público, incorporando exámenes de ingreso, arancelamiento para dar becas de estudio y racionalización de la oferta de carreras priorizando aquellas orientadas al desarrollo científico, tecnológico, la salud y el desarrollo económico",0.033,0.137,0.421,0.325,0.154
"P27","Estoy de acuerdo, las universidades publicas son muy ineficientes y costosas. La mayor parte de alumnos nunca terminan sus estudios, hay gran cantidad de carreras innecesarias y están muy politizadas",0.008,0.036,0.096,0.316,0.173
"P27","Estoy totalmente de acuerdo, las universidades publicas son centros de adoctrinamiento político y sirven a los intereses de los partidos políticos. Sería mejor utilizar esa plata para becar a los alumnos de escasos recursos para que pudieran elegir en que universidad privada estudiar",0.001,0.038,0.07,0.202,0.076
"P27","No sabe",0.001,0.002,0.023,0.004,0.056
"P28","1-Excelente",0.167,0.113,0.15,0.157,0.171
"P28","2",0.101,0.163,0.099,0.072,0.148
"P28","3",0.069,0.053,0.053,0.054,0.063
"P28","4",0.051,0.102,0.07,0.043,0.039
"P28","5",0.21,0.22,0.229,0.152,0.219
"P28","6",0.097,0.041,0.061,0.014,0.041
"P28","7",0.078,0.062,0.058,0.047,0
"P28","8",0.05,0.041,0.07,0.084,0.053
"P28","9-Pésimo",0.136,0.143,0.169,0.308,0.188
"P28","No sabe",0.041,0.062,0.041,0.069,0.078
"P29","1-Excelente",0.156,0.133,0.152,0.146,0.149
"P29","2",0.1,0.22,0.132,0.098,0.07
"P29","3",0.098,0.091,0.071,0.055,0.091
"P29","4",0.065,0.056,0.077,0.046,0.034
"P29","5",0.14,0.172,0.146,0.101,0.21
"P29","6",0.086,0.05,0.064,0.023,0.025
"P29","7",0.08,0.056,0.047,0.019,0.016
"P29","8",0.047,0.04,0.043,0.098,0.107
"P29","9-Pésimo",0.186,0.149,0.23,0.356,0.202
"P29","No sabe",0.042,0.033,0.038,0.058,0.096
"P30","1-Excelente",0.144,0.136,0.15,0.146,0.209
"P30","2",0.111,0.16,0.087,0.069,0.034
"P30","3",0.123,0.06,0.089,0.058,0.06
"P30","4",0.064,0.116,0.09,0.048,0.119
"P30","5",0.127,0.147,0.167,0.098,0.105
"P30","6",0.092,0.086,0.055,0.037,0.048
"P30","7",0.073,0.08,0.052,0.048,0.035
"P30","8",0.063,0.076,0.059,0.124,0.043
"P30","9-Pésimo",0.158,0.071,0.21,0.319,0.233
"P30","No sabe",0.045,0.068,0.041,0.053,0.114
"P31","1-Excelente",0.145,0.149,0.15,0.163,0.096
"P31","2",0.115,0.15,0.083,0.058,0.089
"P31","3",0.105,0.071,0.092,0.081,0.065
"P31","4",0.084,0.058,0.092,0.041,0.054
"P31","5",0.131,0.197,0.183,0.122,0.15
"P31","6",0.083,0.08,0.042,0.042,0.104
"P31","7",0.06,0.048,0.08,0.031,0.021
"P31","8",0.057,0.076,0.049,0.108,0.03
"P31","9-Pésimo",0.167,0.087,0.179,0.273,0.216
"P31","No sabe",0.053,0.084,0.05,0.081,0.175
"P32","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.899,0.545,0.136,0.012,0.2
"P32","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.065,0.346,0.3,0.059,0.095
"P32","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.011,0.031,0.354,0.285,0.149
"P32","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.008,0.016,0.16,0.631,0.177
"P32","No sabe",0.017,0.062,0.05,0.013,0.379
"P28","1-Excelente",0.167,0.113,0.15,0.157,0.171
"P28","2",0.101,0.163,0.099,0.072,0.148
"P28","3",0.069,0.053,0.053,0.054,0.063
"P28","4",0.051,0.102,0.07,0.043,0.039
"P28","5",0.21,0.22,0.229,0.152,0.219
"P28","6",0.097,0.041,0.061,0.014,0.041
"P28","7",0.078,0.062,0.058,0.047,0
"P28","8",0.05,0.041,0.07,0.084,0.053
"P28","9-Pésimo",0.136,0.143,0.169,0.308,0.188
"P28","No sabe",0.041,0.062,0.041,0.069,0.078
"P29","1-Excelente",0.156,0.133,0.152,0.146,0.149
"P29","2",0.1,0.22,0.132,0.098,0.07
"P29","3",0.098,0.091,0.071,0.055,0.091
"P29","4",0.065,0.056,0.077,0.046,0.034
"P29","5",0.14,0.172,0.146,0.101,0.21
"P29","6",0.086,0.05,0.064,0.023,0.025
"P29","7",0.08,0.056,0.047,0.019,0.016
"P29","8",0.047,0.04,0.043,0.098,0.107
"P29","9-Pésimo",0.186,0.149,0.23,0.356,0.202
"P29","No sabe",0.042,0.033,0.038,0.058,0.096
"P30","1-Excelente",0.144,0.136,0.15,0.146,0.209
"P30","2",0.111,0.16,0.087,0.069,0.034
"P30","3",0.123,0.06,0.089,0.058,0.06
"P30","4",0.064,0.116,0.09,0.048,0.119
"P30","5",0.127,0.147,0.167,0.098,0.105
"P30","6",0.092,0.086,0.055,0.037,0.048
"P30","7",0.073,0.08,0.052,0.048,0.035
"P30","8",0.063,0.076,0.059,0.124,0.043
"P30","9-Pésimo",0.158,0.071,0.21,0.319,0.233
"P30","No sabe",0.045,0.068,0.041,0.053,0.114
"P31","1-Excelente",0.145,0.149,0.15,0.163,0.096
"P31","2",0.115,0.15,0.083,0.058,0.089
"P31","3",0.105,0.071,0.092,0.081,0.065
"P31","4",0.084,0.058,0.092,0.041,0.054
"P31","5",0.131,0.197,0.183,0.122,0.15
"P31","6",0.083,0.08,0.042,0.042,0.104
"P31","7",0.06,0.048,0.08,0.031,0.021
"P31","8",0.057,0.076,0.049,0.108,0.03
"P31","9-Pésimo",0.167,0.087,0.179,0.273,0.216
"P31","No sabe",0.053,0.084,0.05,0.081,0.175
"P32","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.899,0.545,0.136,0.012,0.2
"P32","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.065,0.346,0.3,0.059,0.095
"P32","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.011,0.031,0.354,0.285,0.149
"P32","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.008,0.016,0.16,0.631,0.177
"P32","No sabe",0.017,0.062,0.05,0.013,0.379
"P33","Oponerse totalmente y no concurrir a la convocatoria",0.814,0.226,0.023,0.011,0.109
"P33","Oponerse parcialmente y concurrir a la convocatoria",0.157,0.615,0.186,0.017,0.092
"P33","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.015,0.097,0.68,0.293,0.298
"P33","Apoyar totalmente la iniciativa del gobierno nacional",0.001,0.007,0.07,0.677,0.135
"P33","No sabe",0.013,0.055,0.041,0.002,0.366
"P35","Inseguridad y narcotráfico",0.469,0.348,0.253,0.244,0.319
"P35","Altos impuestos y tarifas",0.121,0.284,0.204,0.255,0.158
"P35","Educación y estado de las escuelas",0.122,0.148,0.269,0.128,0.248
"P35","Inflación",0.172,0.096,0.148,0.156,0.08
"P35","Estado de la salud",0.062,0.057,0.075,0.092,0.11
"P35","Corrupción",0.024,0.023,0.033,0.093,0.066
"P35","Pobreza",0.006,0.013,0.007,0.009,0
"P35","Medio ambiente, incendios y contaminación",0.004,0.002,0,0,0
"P35","Falta de trabajo",0.019,0.024,0.004,0.023,0.019
"P35","No sabe",0.001,0.005,0.007,0,0
"P39","Muy buena",0.078,0.091,0.04,0.013,0.009
"P39","Buena",0.133,0.165,0.111,0.055,0.085
"P39","Ni buena ni mala",0.273,0.373,0.367,0.241,0.333
"P39","Mala",0.361,0.273,0.307,0.399,0.29
"P39","Muy mala",0.127,0.063,0.112,0.265,0.21
"P39","No sabe",0.028,0.035,0.063,0.027,0.073
"P40","Peor",0.735,0.525,0.445,0.46,0.495
"P40","Igual",0.151,0.316,0.337,0.424,0.17
"P40","Mejor",0.054,0.101,0.15,0.054,0.139
"P40","No sabe",0.06,0.058,0.068,0.062,0.196
"P41","Peor",0.73,0.44,0.327,0.304,0.354
"P41","Igual",0.166,0.399,0.282,0.298,0.281
"P41","Mejor",0.061,0.082,0.288,0.301,0.147
"P41","No sabe",0.043,0.079,0.103,0.097,0.218
"P42","Javier Milei",0.101,0.17,0.594,0.921,0.393
"P42","Los gobernadores",0.85,0.705,0.164,0.035,0.237
"P42","No sabe",0.049,0.125,0.242,0.044,0.37
"P43","Muy buena",0.158,0.125,0.155,0.062,0.066
"P43","Buena",0.285,0.328,0.113,0.051,0.117
"P43","Ni buena ni mala",0.298,0.364,0.333,0.224,0.466
"P43","Mala",0.172,0.145,0.259,0.333,0.162
"P43","Muy mala",0.083,0.029,0.117,0.315,0.105
"P43","No sabe",0.004,0.009,0.023,0.015,0.084
"P45","Muy buena",0.256,0.139,0.039,0.008,0.127
"P45","Buena",0.259,0.269,0.084,0.028,0.066
"P45","Ni buena ni mala",0.262,0.355,0.352,0.188,0.209
"P45","Mala",0.12,0.143,0.286,0.349,0.136
"P45","Muy mala",0.071,0.074,0.194,0.397,0.209
"P45","No sabe",0.032,0.02,0.045,0.03,0.253
"P46","Muy buena",0.092,0.093,0.185,0.149,0.138
"P46","Buena",0.094,0.168,0.217,0.231,0.084
"P46","Ni buena ni mala",0.318,0.383,0.375,0.376,0.367
"P46","Mala",0.228,0.222,0.124,0.112,0.112
"P46","Muy mala",0.19,0.094,0.065,0.095,0.109
"P46","No sabe",0.078,0.04,0.034,0.037,0.19
"P49","Muy buena",0.51,0.263,0.037,0.004,0.15
"P49","Buena",0.192,0.221,0.02,0.029,0.148
"P49","Ni buena ni mala",0.138,0.203,0.128,0.027,0.036
"P49","Mala",0.106,0.198,0.299,0.212,0.307
"P49","Muy mala",0.048,0.108,0.506,0.724,0.288
"P49","No sabe",0.006,0.007,0.01,0.004,0.071
"P50","Muy buena",0.069,0.065,0.106,0.143,0.067
"P50","Buena",0.037,0.173,0.209,0.29,0.096
"P50","Ni buena ni mala",0.085,0.141,0.31,0.285,0.319
"P50","Mala",0.303,0.283,0.213,0.162,0.329
"P50","Muy mala",0.504,0.336,0.157,0.114,0.166
"P50","No sabe",0.002,0.002,0.005,0.006,0.023
"P51","Muy buena",0.228,0.098,0.029,0.019,0.115
"P51","Buena",0.244,0.21,0.046,0.036,0.019
"P51","Ni buena ni mala",0.255,0.359,0.144,0.028,0.194
"P51","Mala",0.176,0.208,0.304,0.197,0.296
"P51","Muy mala",0.095,0.123,0.473,0.719,0.341
"P51","No sabe",0.002,0.002,0.004,0.001,0.035
"P52","Muy buena",0.505,0.254,0.038,0.015,0.085
"P52","Buena",0.18,0.224,0.028,0.01,0.063
"P52","Ni buena ni mala",0.119,0.245,0.083,0.019,0.232
"P52","Mala",0.117,0.166,0.296,0.176,0.165
"P52","Muy mala",0.069,0.107,0.53,0.779,0.352
"P52","No sabe",0.01,0.004,0.025,0.001,0.103
"P53","Muy buena",0.082,0.102,0.306,0.754,0.13
"P53","Buena",0.04,0.143,0.328,0.174,0.203
"P53","Ni buena ni mala",0.041,0.18,0.178,0.016,0.271
"P53","Mala",0.219,0.214,0.085,0.01,0.169
"P53","Muy mala",0.603,0.357,0.094,0.046,0.121
"P53","No sabe",0.015,0.004,0.009,0,0.106
"P54","Muy buena",0.058,0.083,0.275,0.478,0.104
"P54","Buena",0.023,0.177,0.355,0.371,0.32
"P54","Ni buena ni mala",0.089,0.161,0.191,0.1,0.16
"P54","Mala",0.205,0.206,0.086,0.024,0.175
"P54","Muy mala",0.622,0.367,0.081,0.027,0.158
"P54","No sabe",0.003,0.006,0.012,0,0.083
"P55","Muy buena",0.057,0.096,0.365,0.682,0.1
"P55","Buena",0.025,0.154,0.293,0.202,0.183
"P55","Ni buena ni mala",0.135,0.283,0.194,0.089,0.416
"P55","Mala",0.207,0.126,0.057,0.009,0.115
"P55","Muy mala",0.555,0.317,0.065,0.018,0.109
"P55","No sabe",0.021,0.024,0.026,0,0.077
"P56","Muy buena",0.057,0.092,0.091,0.098,0.088
"P56","Buena",0.076,0.203,0.246,0.231,0.169
"P56","Ni buena ni mala",0.279,0.459,0.438,0.482,0.444
"P56","Mala",0.259,0.123,0.088,0.106,0.089
"P56","Muy mala",0.305,0.073,0.066,0.051,0.095
"P56","No sabe",0.024,0.05,0.071,0.032,0.115
