"var","categoria","Oponerse totalmente y no concurrir a la convocatoria","Oponerse parcialmente y concurrir a la convocatoria","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión","Apoyar totalmente la iniciativa del gobierno nacional","No sabe"
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.073,0.449,0.296,0.005,0.535
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.002,0,0.387,0.36,0
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0,0.036,0.248,0.59,0.229
"P37","No sabe",0.005,0.008,0.021,0.01,0
"P39","Oponerse totalmente",0.889,0.31,0.02,0.035,0.103
"P39","Oponerse parcialmente",0.046,0.533,0.024,0.038,0.403
"P39","Apoyar parcialmente",0.065,0.109,0.644,0.176,0.18
"P39","Apoyar totalmente",0,0.008,0.308,0.74,0
"P39","No sabe",0,0.04,0.004,0.011,0.314
"P40","Inseguridad y narcotráfico",0.469,0.461,0.263,0.192,0.169
"P40","Altos impuestos y tarifas",0.093,0.273,0.184,0.165,0.228
"P40","Educación y estado de las escuelas",0.075,0.103,0.264,0.424,0
"P40","Inflación",0.115,0.045,0.075,0.124,0
"P40","Estado de la salud",0.184,0.033,0.187,0.06,0.148
"P40","Corrupción",0.022,0.033,0.014,0.02,0.455
"P40","Pobreza",0.002,0,0,0.005,0
"P40","Medio ambiente, incendios y contaminación",0,0.032,0,0,0
"P40","Falta de trabajo",0.004,0.02,0,0.01,0
"P40","No sabe",0.036,0,0.013,0,0
"P44","Muy buena",0.034,0,0,0.105,0
"P44","Buena",0.039,0.227,0.095,0.023,0
"P44","Ni buena ni mala",0.23,0.312,0.402,0.313,0.382
"P44","Mala",0.348,0.397,0.251,0.269,0.314
"P44","Muy mala",0.334,0.064,0.243,0.279,0.18
"P44","No sabe",0.015,0,0.009,0.011,0.124
"P45","Peor",0.895,0.638,0.744,0.513,0.51
"P45","Igual",0.081,0.351,0.193,0.357,0.108
"P45","Mejor",0.003,0.005,0.039,0.069,0
"P45","No sabe",0.021,0.006,0.024,0.061,0.382
"P46","Peor",0.907,0.671,0.384,0.239,0.263
"P46","Igual",0.075,0.281,0.345,0.332,0.358
"P46","Mejor",0.009,0.026,0.216,0.383,0
"P46","No sabe",0.009,0.022,0.055,0.046,0.379
"P47","Javier Milei",0.126,0.078,0.785,0.865,0.073
"P47","Los gobernadores",0.738,0.872,0.124,0.024,0.496
"P47","No sabe",0.136,0.05,0.091,0.111,0.431
"P48","Muy buena",0.099,0.007,0.076,0.074,0.053
"P48","Buena",0.152,0.361,0.049,0.026,0.113
"P48","Ni buena ni mala",0.24,0.375,0.268,0.127,0.761
"P48","Mala",0.275,0.228,0.363,0.452,0
"P48","Muy mala",0.234,0.029,0.244,0.321,0.073
"P48","No sabe",0,0,0,0,0
"P49","Muy buena",0.03,0.049,0.061,0.09,0
"P49","Buena",0.052,0.261,0.043,0.031,0
"P49","Ni buena ni mala",0.158,0.103,0.294,0.143,0.383
"P49","Mala",0.36,0.238,0.367,0.436,0.247
"P49","Muy mala",0.398,0.349,0.235,0.3,0.257
"P49","No sabe",0.002,0,0,0,0.113
"P50","Muy buena",0.184,0.019,0.012,0.091,0
"P50","Buena",0.192,0.346,0.064,0.015,0
"P50","Ni buena ni mala",0.318,0.457,0.134,0.117,0.511
"P50","Mala",0.058,0.086,0.473,0.28,0
"P50","Muy mala",0.239,0.064,0.298,0.497,0.292
"P50","No sabe",0.009,0.028,0.019,0,0.197
"P51","Muy buena",0.024,0.05,0.143,0.184,0
"P51","Buena",0.027,0.172,0.251,0.164,0
"P51","Ni buena ni mala",0.257,0.387,0.362,0.236,0.511
"P51","Mala",0.187,0.119,0.12,0.388,0
"P51","Muy mala",0.413,0.268,0.031,0.013,0
"P51","No sabe",0.092,0.004,0.093,0.015,0.489
"P54","Muy buena",0.41,0.109,0.004,0.08,0.197
"P54","Buena",0.172,0.376,0.03,0,0
"P54","Ni buena ni mala",0.125,0.295,0.039,0.032,0.356
"P54","Mala",0.027,0.116,0.361,0.194,0.155
"P54","Muy mala",0.266,0.104,0.566,0.661,0.292
"P54","No sabe",0,0,0,0.033,0
"P55","Muy buena",0.004,0.048,0.062,0.224,0
"P55","Buena",0.005,0.188,0.375,0.276,0
"P55","Ni buena ni mala",0.015,0.077,0.242,0.349,0.293
"P55","Mala",0.209,0.291,0.176,0.132,0.063
"P55","Muy mala",0.767,0.383,0.145,0.019,0.581
"P55","No sabe",0,0.013,0,0,0.063
"P56","Muy buena",0.079,0.031,0.005,0.026,0
"P56","Buena",0.285,0.44,0.086,0.013,0.063
"P56","Ni buena ni mala",0.177,0.321,0.028,0.074,0.511
"P56","Mala",0.238,0.128,0.33,0.185,0.293
"P56","Muy mala",0.221,0.08,0.537,0.669,0
"P56","No sabe",0,0,0.014,0.033,0.133
"P57","Muy buena",0.416,0.244,0,0.025,0
"P57","Buena",0.084,0.386,0.015,0,0.127
"P57","Ni buena ni mala",0.112,0.2,0.048,0.039,0.737
"P57","Mala",0.126,0.088,0.381,0.237,0
"P57","Muy mala",0.181,0.075,0.535,0.666,0
"P57","No sabe",0.081,0.007,0.021,0.033,0.136
"P58","Muy buena",0.002,0.009,0.423,0.702,0
"P58","Buena",0,0.186,0.35,0.209,0
"P58","Ni buena ni mala",0.106,0.061,0.182,0.033,0.427
"P58","Mala",0.119,0.256,0.013,0.038,0.291
"P58","Muy mala",0.769,0.488,0.019,0.018,0.218
"P58","No sabe",0.004,0,0.013,0,0.064
"P59","Muy buena",0,0.062,0.349,0.704,0
"P59","Buena",0.027,0.185,0.418,0.129,0
"P59","Ni buena ni mala",0.021,0.044,0.18,0.147,0.767
"P59","Mala",0.145,0.179,0.026,0.02,0
"P59","Muy mala",0.803,0.53,0.014,0,0.233
"P59","No sabe",0.004,0,0.013,0,0
"P60","Muy buena",0,0.062,0.693,0.674,0
"P60","Buena",0.014,0.208,0.226,0.216,0
"P60","Ni buena ni mala",0.072,0.267,0.052,0.057,0.456
"P60","Mala",0.133,0.051,0.007,0.053,0
"P60","Muy mala",0.777,0.412,0.009,0,0.233
"P60","No sabe",0.004,0,0.013,0,0.311
"P61","Muy buena",0.022,0,0.051,0.211,0
"P61","Buena",0.063,0.211,0.324,0.223,0.165
"P61","Ni buena ni mala",0.215,0.398,0.541,0.415,0.311
"P61","Mala",0.194,0.282,0.068,0.138,0
"P61","Muy mala",0.351,0.072,0.003,0.013,0.068
"P61","No sabe",0.155,0.037,0.013,0,0.456
