"var","categoria","Oponerse totalmente y elevar un recurso de amparo ante la corte","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino","No sabe"
"P23","Profesional o independiente",0.097,0.173,0.201,0.165,0.13
"P23","Comerciante, emprendedor o empresario",0.026,0.029,0.057,0.053,0.08
"P23","Trabajador informal",0.011,0.004,0,0.018,0.405
"P23","No tengo trabajo",0.163,0.058,0.02,0.103,0
"P24","Muy de acuerdo",0.162,0.072,0.17,0.059,0
"P24","De acuerdo",0.198,0.247,0.224,0.301,0.248
"P24","Ni de acuerdo ni en desacuerdo",0.287,0.497,0.393,0.351,0.559
"P24","En desacuerdo",0.173,0.048,0.085,0.156,0.133
"P24","Muy en desacuerdo",0.163,0.122,0.116,0.119,0.06
"P24","No sabe",0.017,0.014,0.012,0.014,0
"P25","Muy de acuerdo",0.023,0,0.36,0.218,0.07
"P25","De acuerdo",0.042,0.232,0.204,0.316,0
"P25","Ni de acuerdo ni en desacuerdo",0.049,0.348,0.25,0.383,0.178
"P25","En desacuerdo",0.543,0.36,0.062,0.065,0.752
"P25","Muy en desacuerdo",0.34,0.039,0.124,0.018,0
"P25","No sabe",0.003,0.021,0,0,0
"P26","Si",0.622,0.483,0.764,0.829,0.322
"P26","No",0.378,0.517,0.236,0.171,0.678
"P27","Muy de acuerdo",0.067,0.058,0.401,0.435,0.071
"P27","De acuerdo",0.1,0.178,0.131,0.162,0.252
"P27","Ni de acuerdo ni en desacuerdo",0.096,0.459,0.306,0.288,0.213
"P27","En desacuerdo",0.443,0.164,0.126,0.099,0
"P27","Muy en desacuerdo",0.289,0.141,0.036,0.016,0.464
"P27","No sabe",0.005,0,0,0,0
"P28","Si",0.617,0.609,0.957,0.91,0.382
"P28","No",0.383,0.391,0.043,0.09,0.618
"P29","Muy de acuerdo",0.055,0.044,0.463,0.251,0
"P29","De acuerdo",0.075,0.482,0.252,0.498,0
"P29","Ni de acuerdo ni en desacuerdo",0.13,0.333,0.172,0.133,0.536
"P29","En desacuerdo",0.456,0.094,0.02,0.043,0.059
"P29","Muy en desacuerdo",0.273,0.024,0,0.068,0
"P29","No sabe",0.011,0.023,0.093,0.007,0.405
"P30","No estaba enterado",0.199,0.244,0.073,0.107,0.538
"P30","De acuerdo",0.039,0.479,0.879,0.857,0.21
"P30","En desacuerdo",0.68,0.246,0,0.005,0.098
"P30","No sabe",0.082,0.031,0.048,0.031,0.154
"P31","No tengo cable ni internet",0.196,0.058,0.115,0.103,0.154
"P31","Si tuve",0.506,0.46,0.647,0.599,0.846
"P31","No tuve",0.298,0.482,0.238,0.298,0
"P32","Reclamando directamente a la empresa",0.224,0.063,0.233,0.229,0.589
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.316,0.566,0.388,0.36,0.291
"P32","Nunca se pudo resolver",0.46,0.371,0.379,0.411,0.12
"P33","1-Excelente",0.075,0.041,0.127,0.112,0
"P33","2",0.089,0.253,0.104,0.068,0.07
"P33","3",0.079,0.052,0.058,0.064,0.133
"P33","4",0.036,0.007,0.017,0.004,0.485
"P33","5",0.14,0.246,0.144,0.158,0.098
"P33","6",0.072,0.049,0.016,0.007,0
"P33","7",0.069,0.013,0.005,0.028,0
"P33","8",0.17,0.126,0.03,0.106,0
"P33","9-Pésimo",0.246,0.074,0.471,0.444,0.154
"P33","No sabe",0.024,0.139,0.028,0.009,0.06
"P34","1-Excelente",0.134,0.064,0.143,0.184,0
"P34","2",0.052,0.253,0.047,0.086,0.07
"P34","3",0.027,0.158,0.085,0.03,0.133
"P34","4",0.069,0.055,0.048,0.018,0.178
"P34","5",0.113,0.064,0.166,0.139,0
"P34","6",0.028,0.157,0.007,0.012,0
"P34","7",0.035,0.006,0.014,0.016,0
"P34","8",0.108,0.011,0.027,0.151,0.405
"P34","9-Pésimo",0.41,0.197,0.463,0.347,0.154
"P34","No sabe",0.024,0.035,0,0.017,0.06
"P35","1-Excelente",0.035,0.131,0.139,0.098,0
"P35","2",0.083,0.215,0.063,0.084,0.07
"P35","3",0.123,0.159,0.048,0.073,0.618
"P35","4",0.068,0.03,0.102,0.025,0.098
"P35","5",0.103,0.179,0.108,0.153,0
"P35","6",0.113,0.04,0.014,0.007,0
"P35","7",0.077,0.012,0.008,0.092,0
"P35","8",0.106,0.009,0.061,0.146,0
"P35","9-Pésimo",0.236,0.178,0.445,0.305,0.154
"P35","No sabe",0.056,0.047,0.012,0.017,0.06
"P36","1-Excelente",0.096,0.145,0.158,0.04,0
"P36","2",0.092,0.219,0.12,0.105,0.07
"P36","3",0.043,0.021,0.04,0.078,0.213
"P36","4",0.077,0.046,0.015,0.016,0.098
"P36","5",0.096,0.207,0.127,0.447,0
"P36","6",0.044,0.138,0.038,0.013,0
"P36","7",0.036,0.006,0.028,0.022,0
"P36","8",0.137,0.116,0.017,0.012,0.405
"P36","9-Pésimo",0.325,0.067,0.436,0.25,0.154
"P36","No sabe",0.054,0.035,0.021,0.017,0.06
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.738,0.125,0.004,0,0.153
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.208,0.39,0,0.037,0.134
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.033,0.438,0.685,0.436,0.583
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.012,0.004,0.311,0.505,0.13
"P38","No sabe",0.009,0.043,0,0.022,0
"P39","Oponerse totalmente",0.793,0.144,0.009,0.014,0
"P39","Oponerse parcialmente",0.116,0.325,0.029,0.041,0.213
"P39","Apoyar parcialmente",0.077,0.484,0.525,0.203,0.787
"P39","Apoyar totalmente",0.008,0.011,0.437,0.711,0
"P39","No sabe",0.006,0.036,0,0.031,0
"P40","Inseguridad y narcotráfico",0.449,0.439,0.159,0.261,0
"P40","Altos impuestos y tarifas",0.124,0.237,0.133,0.226,0.062
"P40","Educación y estado de las escuelas",0.075,0.107,0.416,0.327,0.371
"P40","Inflación",0.107,0.058,0.076,0.11,0.074
"P40","Estado de la salud",0.169,0.119,0.186,0.028,0.099
"P40","Corrupción",0.033,0.024,0.022,0.029,0
"P40","Pobreza",0.002,0,0,0.006,0
"P40","Medio ambiente, incendios y contaminación",0,0.016,0,0.013,0
"P40","Falta de trabajo",0.011,0,0.008,0,0
"P40","No sabe",0.03,0,0,0,0.394
"P44","Muy buena",0.039,0,0.06,0,0
"P44","Buena",0.051,0.15,0.155,0.04,0
"P44","Ni buena ni mala",0.227,0.444,0.201,0.47,0.439
"P44","Mala",0.386,0.247,0.2,0.322,0.462
"P44","Muy mala",0.285,0.143,0.374,0.159,0.099
"P44","No sabe",0.012,0.016,0.01,0.009,0
"P45","Peor",0.842,0.61,0.728,0.643,0.833
"P45","Igual",0.122,0.347,0.173,0.287,0.069
"P45","Mejor",0.017,0,0.067,0.03,0
"P45","No sabe",0.019,0.043,0.032,0.04,0.098
"P46","Peor",0.87,0.511,0.325,0.304,0.392
"P46","Igual",0.087,0.393,0.352,0.281,0.236
"P46","Mejor",0.018,0.071,0.31,0.319,0.083
"P46","No sabe",0.025,0.025,0.013,0.096,0.289
"P47","Javier Milei",0.121,0.408,0.884,0.76,0.133
"P47","Los gobernadores",0.767,0.517,0.005,0.149,0.062
"P47","No sabe",0.112,0.075,0.111,0.091,0.805
"P48","Muy buena",0.114,0.042,0.031,0.057,0
"P48","Buena",0.171,0.207,0.046,0.064,0
"P48","Ni buena ni mala",0.262,0.399,0.092,0.249,0.844
"P48","Mala",0.254,0.188,0.527,0.407,0.156
"P48","Muy mala",0.199,0.164,0.304,0.223,0
"P48","No sabe",0,0,0,0,0
"P49","Muy buena",0.031,0.079,0.049,0.075,0
"P49","Buena",0.064,0.185,0,0.084,0.062
"P49","Ni buena ni mala",0.098,0.41,0.147,0.196,0.084
"P49","Mala",0.4,0.188,0.429,0.336,0.698
"P49","Muy mala",0.401,0.138,0.375,0.309,0.156
"P49","No sabe",0.006,0,0,0,0
"P50","Muy buena",0.173,0,0.027,0.055,0
"P50","Buena",0.223,0.248,0,0.015,0
"P50","Ni buena ni mala",0.305,0.341,0.146,0.156,0.083
"P50","Mala",0.072,0.297,0.378,0.334,0.233
"P50","Muy mala",0.215,0.084,0.445,0.44,0.293
"P50","No sabe",0.012,0.03,0.004,0,0.391
"P51","Muy buena",0.018,0.089,0.191,0.157,0
"P51","Buena",0.031,0.295,0.19,0.169,0.074
"P51","Ni buena ni mala",0.291,0.366,0.162,0.478,0.279
"P51","Mala",0.188,0.062,0.308,0.196,0.1
"P51","Muy mala",0.39,0.16,0.02,0,0.156
"P51","No sabe",0.082,0.028,0.129,0,0.391
"P54","Muy buena",0.324,0.149,0.004,0.068,0
"P54","Buena",0.236,0.163,0.004,0,0
"P54","Ni buena ni mala",0.153,0.138,0.046,0.043,0.609
"P54","Mala",0.031,0.259,0.346,0.206,0.233
"P54","Muy mala",0.256,0.291,0.574,0.683,0.158
"P54","No sabe",0,0,0.026,0,0
"P55","Muy buena",0.019,0.067,0.128,0.103,0.074
"P55","Buena",0.004,0.338,0.397,0.234,0.133
"P55","Ni buena ni mala",0.012,0.12,0.227,0.472,0.084
"P55","Mala",0.219,0.177,0.204,0.148,0.49
"P55","Muy mala",0.746,0.284,0.044,0.043,0.219
"P55","No sabe",0,0.014,0,0,0
"P56","Muy buena",0.088,0,0.011,0,0
"P56","Buena",0.232,0.467,0.018,0.018,0
"P56","Ni buena ni mala",0.249,0.087,0.033,0.098,0
"P56","Mala",0.223,0.165,0.39,0.194,0.217
"P56","Muy mala",0.204,0.281,0.522,0.69,0.393
"P56","No sabe",0.004,0,0.026,0,0.39
"P57","Muy buena",0.433,0.04,0.004,0.013,0
"P57","Buena",0.112,0.246,0.005,0,0
"P57","Ni buena ni mala",0.151,0.112,0.033,0.062,0
"P57","Mala",0.113,0.245,0.36,0.254,0.217
"P57","Muy mala",0.173,0.246,0.561,0.671,0.393
"P57","No sabe",0.018,0.111,0.037,0,0.39
"P58","Muy buena",0.016,0.057,0.646,0.61,0
"P58","Buena",0,0.348,0.246,0.302,0.084
"P58","Ni buena ni mala",0.116,0.19,0.098,0.035,0
"P58","Mala",0.167,0.095,0.007,0.031,0.233
"P58","Muy mala",0.698,0.306,0.003,0.022,0.293
"P58","No sabe",0.003,0.004,0,0,0.39
"P59","Muy buena",0.012,0.223,0.344,0.685,0.134
"P59","Buena",0.023,0.323,0.354,0.243,0.159
"P59","Ni buena ni mala",0.033,0.107,0.299,0.03,0.162
"P59","Mala",0.193,0.039,0.003,0.02,0
"P59","Muy mala",0.736,0.308,0,0.022,0.155
"P59","No sabe",0.003,0,0,0,0.39
"P60","Muy buena",0.029,0.326,0.679,0.706,0.209
"P60","Buena",0.012,0.283,0.218,0.21,0.183
"P60","Ni buena ni mala",0.113,0.148,0.069,0.051,0.062
"P60","Mala",0.122,0.027,0.031,0.02,0
"P60","Muy mala",0.721,0.199,0.003,0.013,0.156
"P60","No sabe",0.003,0.017,0,0,0.39
"P61","Muy buena",0.047,0.015,0.082,0.117,0
"P61","Buena",0.076,0.195,0.342,0.316,0.271
"P61","Ni buena ni mala",0.29,0.444,0.494,0.406,0.084
"P61","Mala",0.205,0.171,0.068,0.14,0.099
"P61","Muy mala",0.304,0.023,0.011,0.021,0.156
"P61","No sabe",0.078,0.152,0.003,0,0.39
