"var","categoria","Reclamando directamente a la empresa","Reclamando en el Enacom porque la empresa nunca lo resolvió","Nunca se pudo resolver"
"P36","5",0.108,0.245,0.109
"P36","6",0.048,0.021,0.056
"P36","7",0.025,0,0.034
"P36","8",0.048,0.028,0.079
"P36","9-Pésimo",0.142,0.356,0.368
"P36","No sabe",0.015,0.016,0.027
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.506,0.394,0.516
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.048,0.236,0.139
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.214,0.196,0.173
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.188,0.162,0.168
"P37","No sabe",0.044,0.012,0.004
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.397,0.312,0.429
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.087,0.204,0.114
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.36,0.329,0.256
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.148,0.134,0.201
"P38","No sabe",0.008,0.021,0
"P39","Oponerse totalmente",0.338,0.324,0.443
"P39","Oponerse parcialmente",0.154,0.2,0.075
"P39","Apoyar parcialmente",0.285,0.235,0.251
"P39","Apoyar totalmente",0.223,0.241,0.205
"P39","No sabe",0,0,0.026
"P40","Inseguridad y narcotráfico",0.366,0.194,0.357
"P40","Altos impuestos y tarifas",0.088,0.219,0.173
"P40","Educación y estado de las escuelas",0.284,0.314,0.179
"P40","Inflación",0.129,0.06,0.13
"P40","Estado de la salud",0.067,0.153,0.087
"P40","Corrupción",0.018,0.055,0.068
"P40","Pobreza",0.001,0,0
"P40","Medio ambiente, incendios y contaminación",0,0,0
"P40","Falta de trabajo",0.022,0.005,0.006
"P40","No sabe",0.025,0,0
"P44","Muy buena",0,0.028,0.034
"P44","Buena",0.056,0.16,0.026
"P44","Ni buena ni mala",0.369,0.283,0.251
"P44","Mala",0.417,0.241,0.281
"P44","Muy mala",0.158,0.282,0.37
"P44","No sabe",0,0.006,0.038
"P45","Peor",0.703,0.686,0.712
"P45","Igual",0.122,0.239,0.283
"P45","Mejor",0.138,0.013,0
"P45","No sabe",0.037,0.062,0.005
"P46","Peor",0.487,0.489,0.619
"P46","Igual",0.218,0.35,0.23
"P46","Mejor",0.261,0.123,0.116
"P46","No sabe",0.034,0.038,0.035
"P47","Javier Milei",0.242,0.455,0.478
"P47","Los gobernadores",0.521,0.467,0.49
"P47","No sabe",0.237,0.078,0.032
"P48","Muy buena",0.027,0.042,0.11
"P48","Buena",0.14,0.209,0.093
"P48","Ni buena ni mala",0.353,0.255,0.234
"P48","Mala",0.322,0.258,0.359
"P48","Muy mala",0.158,0.236,0.204
"P48","No sabe",0,0,0
"P49","Muy buena",0.029,0.034,0.088
"P49","Buena",0.129,0.18,0.032
"P49","Ni buena ni mala",0.272,0.128,0.184
"P49","Mala",0.2,0.363,0.461
"P49","Muy mala",0.37,0.295,0.231
"P49","No sabe",0,0,0.004
"P50","Muy buena",0.093,0.09,0.146
"P50","Buena",0.085,0.326,0.22
"P50","Ni buena ni mala",0.341,0.103,0.243
"P50","Mala",0.179,0.202,0.256
"P50","Muy mala",0.208,0.274,0.122
"P50","No sabe",0.094,0.005,0.013
"P51","Muy buena",0.018,0.071,0.168
"P51","Buena",0.066,0.157,0.104
"P51","Ni buena ni mala",0.536,0.212,0.272
"P51","Mala",0.155,0.226,0.243
"P51","Muy mala",0.116,0.297,0.209
"P51","No sabe",0.109,0.037,0.004
"P54","Muy buena",0.175,0.122,0.264
"P54","Buena",0.121,0.208,0.216
"P54","Ni buena ni mala",0.298,0.045,0.055
"P54","Mala",0.103,0.198,0.19
"P54","Muy mala",0.303,0.427,0.275
"P54","No sabe",0,0,0
"P55","Muy buena",0.052,0.044,0.068
"P55","Buena",0.108,0.172,0.24
"P55","Ni buena ni mala",0.268,0.246,0.076
"P55","Mala",0.114,0.151,0.176
"P55","Muy mala",0.458,0.384,0.44
"P55","No sabe",0,0.003,0
"P56","Muy buena",0.058,0.046,0.027
"P56","Buena",0.122,0.166,0.184
"P56","Ni buena ni mala",0.199,0.064,0.214
"P56","Mala",0.268,0.407,0.221
"P56","Muy mala",0.326,0.317,0.354
"P56","No sabe",0.027,0,0
"P57","Muy buena",0.243,0.128,0.287
"P57","Buena",0.058,0.147,0.114
"P57","Ni buena ni mala",0.252,0.184,0.063
"P57","Mala",0.092,0.258,0.256
"P57","Muy mala",0.328,0.283,0.28
"P57","No sabe",0.027,0,0
"P58","Muy buena",0.23,0.261,0.277
"P58","Buena",0.03,0.287,0.089
"P58","Ni buena ni mala",0.207,0.131,0.14
"P58","Mala",0.041,0.055,0.132
"P58","Muy mala",0.454,0.263,0.362
"P58","No sabe",0.038,0.003,0
"P59","Muy buena",0.235,0.135,0.287
"P59","Buena",0.019,0.246,0.212
"P59","Ni buena ni mala",0.204,0.244,0.034
"P59","Mala",0.013,0.015,0.079
"P59","Muy mala",0.491,0.36,0.388
"P59","No sabe",0.038,0,0
"P60","Muy buena",0.187,0.346,0.434
"P60","Buena",0.084,0.232,0.072
"P60","Ni buena ni mala",0.206,0.053,0.031
"P60","Mala",0.105,0.004,0.131
"P60","Muy mala",0.38,0.35,0.332
"P60","No sabe",0.038,0.015,0
"P61","Muy buena",0.009,0.029,0.054
"P61","Buena",0.197,0.403,0.145
"P61","Ni buena ni mala",0.454,0.318,0.455
"P61","Mala",0.078,0.114,0.198
"P61","Muy mala",0.153,0.115,0.128
"P61","No sabe",0.109,0.021,0.02
