"var","categoria","Lo votaría","Puede que la vote","Nunca la votaría","No sabe"
"P16","Nunca la votaría",0.416,0.35,0.63,0.363
"P16","No sabe",0.08,0.109,0.045,0.287
"P17","Lo votaría",0.395,0.26,0.184,0.209
"P17","Puede que lo vote",0.211,0.32,0.12,0.191
"P17","Nunca lo votaría",0.356,0.363,0.664,0.315
"P17","No sabe",0.038,0.057,0.032,0.285
"P18","La votaría",0.411,0.172,0.076,0.056
"P18","Puede que la vote",0.075,0.337,0.07,0.118
"P18","Nunca la votaría",0.248,0.31,0.709,0.201
"P18","No sabe",0.266,0.181,0.145,0.625
"P19","La votaría",0.347,0.157,0.099,0.081
"P19","Puede que la vote",0.086,0.398,0.149,0.176
"P19","Nunca la votaría",0.47,0.323,0.695,0.291
"P19","No sabe",0.097,0.122,0.057,0.452
"P20","Lo votaría",0.436,0.238,0.214,0.109
"P20","Puede que lo vote",0.058,0.281,0.118,0.148
"P20","Nunca lo votaría",0.422,0.384,0.624,0.338
"P20","No sabe",0.084,0.097,0.044,0.405
"P21","Lo votaría",0.272,0.178,0.109,0.091
"P21","Puede que lo vote",0.042,0.391,0.095,0.135
"P21","Nunca lo votaría",0.59,0.349,0.737,0.313
"P21","No sabe",0.096,0.082,0.059,0.461
"P22","Lo votaría",0.324,0.133,0.07,0.043
"P22","Puede que lo vote",0.063,0.407,0.096,0.079
"P22","Nunca lo votaría",0.414,0.262,0.718,0.208
"P22","No sabe",0.199,0.198,0.116,0.67
"P23","Lo votaría",0.2,0.17,0.09,0.041
"P23","Puede que lo vote",0.038,0.382,0.087,0.097
"P23","Nunca lo votaría",0.675,0.345,0.757,0.232
"P23","No sabe",0.087,0.103,0.066,0.63
"P24","Lo votaría",0.306,0.089,0.062,0.06
"P24","Puede que lo vote",0.039,0.415,0.097,0.082
"P24","Nunca lo votaría",0.573,0.305,0.772,0.292
"P24","No sabe",0.082,0.191,0.069,0.566
"P25","Lo votaría",0.331,0.094,0.073,0.085
"P25","Puede que lo vote",0.243,0.472,0.134,0.129
"P25","Nunca lo votaría",0.346,0.26,0.749,0.209
"P25","No sabe",0.08,0.174,0.044,0.577
"P26","Lo votaría",0.297,0.084,0.024,0.01
"P26","Puede que la vote",0.21,0.429,0.059,0.045
"P26","Nunca la votaría",0.262,0.236,0.815,0.125
"P26","No sabe",0.231,0.251,0.102,0.82
"P27","La votaría",0.611,0.053,0.041,0.02
"P27","Puede que la vote",0.055,0.539,0.076,0.085
"P27","Nunca la votaría",0.232,0.218,0.827,0.122
"P27","No sabe",0.102,0.19,0.056,0.773
"P29","La votaría",0.164,0.131,0.085,0.038
"P29","Puede que la vote",0.146,0.607,0.066,0.049
"P29","Nunca la votaría",0.489,0.166,0.803,0.117
"P29","No sabe",0.201,0.096,0.046,0.796
"P30","Lo votaría",0.186,0.05,0.041,0.026
"P30","Puede que la vote",0.129,0.481,0.055,0.021
"P30","Nunca la votaría",0.594,0.275,0.821,0.088
"P30","No sabe",0.091,0.194,0.083,0.865
"P31","La votaría",0.097,0.112,0.065,0.042
"P31","Puede que la vote",0.168,0.437,0.096,0.115
"P31","Nunca la votaría",0.66,0.339,0.784,0.24
"P31","No sabe",0.075,0.112,0.055,0.603
"P32","La votaría",0.184,0.068,0.044,0.025
"P32","Puede que la vote",0.16,0.372,0.046,0.037
"P32","Nunca la votaría",0.578,0.3,0.84,0.143
"P32","No sabe",0.078,0.26,0.07,0.795
"P33","Lo votaría",0.095,0.04,0.031,0.012
"P33","Puede que la vote",0.159,0.479,0.058,0.056
"P33","Nunca la votaría",0.595,0.26,0.806,0.126
"P33","No sabe",0.151,0.221,0.105,0.806
"P34","La votaría",0.225,0.016,0.013,0.022
"P34","Puede que la vote",0.136,0.458,0.046,0.034
"P34","Nunca la votaría",0.371,0.231,0.837,0.098
"P34","No sabe",0.268,0.295,0.104,0.846
"P35","Si",0.615,0.463,0.421,0.397
"P35","No",0.385,0.537,0.579,0.603
