"var","categoria","Axel Kicillof a gobernador por Unión por la Patria.","Néstor Grindetti a gobernador por Juntos por el Cambio","Carolina Piparo a gobernadora por la Libertad Avanza","El candidato a gobernador de la Izquierda","En blanco"
"P20_imputada","El candidato a gobernador de la Izquierda",0,0,0,1,0
"P20_imputada","En blanco",0,0,0,0,1
"P23_imputada","Gustavo Menéndez a intendente por Unión por la Patria.",0.405,0.123,0.243,0.075,0.437
"P23_imputada","Zencich a intendente por Juntos por el Cambio",0.116,0.495,0.068,0,0.014
"P23_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.078,0.168,0.493,0,0.019
"P23_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.095,0.207,0.125,0.117,0.03
"P23_imputada","El candidato a intendente de la Izquierda",0.19,0,0.069,0.791,0.089
"P23_imputada","En blanco",0.116,0.007,0.002,0.017,0.411
"P26","Totalmente seguro.",0.652,0.634,0.725,0.581,0.101
"P26","Bastante seguro",0.171,0.242,0.128,0.329,0.358
"P26","Algo seguro",0.075,0.037,0.073,0.039,0.024
"P26","Para nada seguro",0.102,0.087,0.074,0.051,0.517
"P27","Tiene Decidido que va a ir a votar.",0.887,0.953,0.831,0.938,0.467
"P27","Tiene dudas sobre si va a ir a  votar",0.099,0.034,0.116,0.049,0.4
"P27","Tiene Decidido que no va a ir a votar",0.014,0.013,0.053,0.013,0.133
"P28","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.236,0.683,0.64,0.08,0.496
"P28","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.133,0.237,0.11,0.056,0.272
"P28","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.343,0.041,0.045,0.17,0.1
"P28","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.103,0.003,0.058,0.039,0.049
"P28","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.081,0,0.095,0.624,0
"P28","No sabe",0.104,0.036,0.052,0.031,0.083
"P29","No estaba enterado del tema",0.109,0.11,0.076,0.009,0.345
"P29","Un tema de la vida privada de él",0.172,0.032,0.057,0.037,0
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.413,0.069,0.104,0.138,0.145
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.143,0.383,0.329,0.133,0.039
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.079,0.399,0.422,0.559,0.089
"P29","No sabe",0.084,0.007,0.012,0.124,0.382
"P30","Si",0.761,0.867,0.846,0.868,0.607
"P30","No",0.239,0.133,0.154,0.132,0.393
"P31","Sergio Massa",0.582,0.074,0.077,0.639,0.287
"P31","Patria Bullrich",0.041,0.544,0.051,0,0.041
"P31","Javier Milei",0.076,0.205,0.81,0.116,0.169
"P31","Myriam Bregman",0.251,0.103,0.039,0.229,0.337
"P31","Juan Schiaretti",0.05,0.074,0.023,0.016,0.166
"P32","Ha aumentado significativamente",0.16,0.065,0.037,0.05,0.374
"P32","Ha aumentado ligeramente",0.271,0.136,0.122,0.147,0
"P32","Se mantiene igual",0.323,0.294,0.268,0.065,0.14
"P32","Ha disminuido ligeramente",0.108,0.256,0.262,0.55,0.075
"P32","Ha disminuido significativamente",0.138,0.249,0.311,0.188,0.411
"P33","No, ninguna dificultad",0.314,0.185,0.109,0.169,0.146
"P33","Alguna dificultad ocasional",0.335,0.382,0.332,0.773,0.469
"P33","Sí, dificultades frecuentes",0.351,0.433,0.559,0.058,0.385
"P34","Sí, absolutamente",0.701,0.355,0.202,0.391,0.67
"P34","Sí, en cierta medida",0.256,0.317,0.341,0.609,0.299
"P34","No, en absoluto",0.043,0.328,0.457,0,0.031
"P35","Reducir la inflación",0.422,0.359,0.269,0.217,0.71
"P35","Implementar reformas fiscales",0.087,0.081,0.046,0.096,0.013
"P35","Establecer políticas de control de precios",0.312,0.061,0.036,0.16,0.063
"P35","Reducir el gasto público",0.086,0.442,0.639,0.122,0.196
"P35","Estimular la inversión extranjera",0.037,0.057,0.01,0.012,0.01
"P35","Aumentar los subsidios a los servicios públicos",0.056,0,0,0.393,0.008
"P36","Muy positiva",0.232,0.063,0.171,0.072,0.294
"P36","Positiva",0.238,0.11,0.175,0.251,0.098
"P36","Neutral",0.203,0.314,0.229,0.268,0.214
"P36","Algo negativa",0.027,0.187,0.129,0,0.021
"P36","Negativa",0.044,0.088,0.146,0,0.023
"P36","No sabe",0.256,0.238,0.15,0.409,0.35
"P37","Muy positiva",0.564,0.242,0.167,0.456,0.38
"P37","Positiva",0.209,0.217,0.203,0.384,0.049
"P37","Neutral",0.118,0.279,0.352,0.101,0.161
"P37","Algo negativa",0.015,0.096,0.1,0.021,0.018
"P37","Negativa",0.01,0.146,0.151,0,0
"P37","No sabe",0.084,0.02,0.027,0.038,0.392
"P38","Muy positiva",0.317,0.112,0.1,0.512,0.292
"P38","Positiva",0.311,0.086,0.172,0.047,0.103
"P38","Neutral",0.185,0.321,0.348,0.389,0.117
"P38","Algo negativa",0.046,0.119,0.193,0,0.139
"P38","Negativa",0.012,0.247,0.142,0,0.265
"P38","No sabe",0.129,0.115,0.045,0.052,0.084
"P39","Muy positiva",0.562,0.149,0.452,0.513,0.392
"P39","Positiva",0.243,0.124,0.275,0.119,0.307
"P39","Neutral",0.12,0.425,0.168,0.302,0.262
"P39","Algo negativa",0.028,0.068,0.059,0.019,0
"P39","Negativa",0.017,0.199,0.02,0,0.039
"P39","No sabe",0.03,0.035,0.026,0.047,0
"P40","Muy positiva",0.523,0.165,0.304,0.551,0.328
"P40","Positiva",0.242,0.206,0.177,0.157,0.131
"P40","Neutral",0.108,0.307,0.295,0.147,0.219
"P40","Algo negativa",0.036,0.026,0.109,0,0
"P40","Negativa",0.028,0.165,0.046,0.132,0
"P40","No sabe",0.063,0.131,0.069,0.013,0.322
"P41","Lo votaría",0.663,0.056,0.058,0.16,0
"P41","Puede que lo vote",0.128,0.056,0.035,0.039,0
"P41","Nunca lo votaría",0.099,0.858,0.843,0.775,0.645
"P41","No sabe",0.11,0.03,0.064,0.026,0.355
"P42","Lo votaría",0.015,0.655,0.077,0.201,0
"P42","Puede que lo vote",0.04,0.131,0.222,0,0.115
"P42","Nunca lo votaría",0.83,0.153,0.589,0.786,0.553
"P42","No sabe",0.115,0.061,0.112,0.013,0.332
"P43","Lo votaría",0.027,0.132,0.788,0.098,0
"P43","Puede que lo vote",0.063,0.133,0.046,0,0.21
"P43","Nunca lo votaría",0.853,0.683,0.106,0.889,0.731
"P43","No sabe",0.057,0.052,0.06,0.013,0.059
"P44","Lo votaría",0.084,0.209,0.11,0,0.008
"P44","Puede que lo vote",0.1,0.14,0.084,0.07,0.148
"P44","Nunca lo votaría",0.682,0.555,0.701,0.917,0.531
"P44","No sabe",0.134,0.096,0.105,0.013,0.313
"P45","Si",0.383,0.381,0.357,0.659,0.257
"P45","No",0.617,0.619,0.643,0.341,0.743
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.849,0.045,0.062,0.012,0.207
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.052,0.784,0.038,0.068,0
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.037,0.14,0.9,0.076,0.121
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.02,0,0,0.844,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.031,0.017,0,0,0.323
"PRESIDENTE_imputada","En blanco",0.011,0.014,0,0,0.349
"INTENDENTE_imputada","Gustavo Menéndez a intendente por Unión por la Patria.",0.726,0.04,0.078,0.039,0.221
"INTENDENTE_imputada","Zencich a intendente por Juntos por el Cambio",0.047,0.779,0.024,0,0.005
"INTENDENTE_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.034,0.07,0.822,0,0.008
"INTENDENTE_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.052,0.107,0.049,0.059,0.165
"INTENDENTE_imputada","El candidato a intendente de la Izquierda",0.071,0.001,0.026,0.893,0.047
"INTENDENTE_imputada","En blanco",0.07,0.003,0.001,0.009,0.554
