"var","categoria","Axel Kicillof a gobernador por Unión por la Patria.","Néstor Grindetti a gobernador por Juntos por el Cambio","Carolina Piparo a gobernadora por la Libertad Avanza","El candidato a gobernador de la Izquierda","En blanco","No sabe"
"P17","Sergio Massa a presidente por Unión por la Patria.",0.652,0.134,0.151,0.023,0,0.037
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.109,0.472,0.093,0.142,0,0.042
"P17","Javier Milei a presidente por la Libertad Avanza",0.119,0.368,0.756,0.14,0.192,0.163
"P17","Los candidatos a presidente de la Izquierda",0.042,0,0,0.695,0,0
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.034,0.024,0,0,0.154,0.066
"P17","En blanco",0.034,0,0,0,0.654,0.026
"P17","No sabe",0.01,0.002,0,0,0,0.666
"P23","Gustavo Menéndez a intendente por Unión por la Patria.",0.388,0.115,0.246,0.075,0.124,0.012
"P23","Zencich a intendente por Juntos por el Cambio",0.112,0.481,0.069,0,0.056,0.023
"P23","Eduardo Varela a intendente por la Libertad Avanza",0.051,0.15,0.498,0,0.078,0.036
"P23","Raul Othacehé a intendente por el frente vecinal crecer",0.106,0.204,0.114,0.117,0,0.035
"P23","El candidato a intendente de la Izquierda",0.212,0,0.058,0.791,0.362,0
"P23","En blanco",0.068,0.005,0.002,0.017,0.214,0.202
"P23","No sabe",0.063,0.045,0.013,0,0.166,0.692
"P26","Totalmente seguro.",0.691,0.692,0.68,0.848,0.334,0.268
"P26","Bastante seguro",0.172,0.175,0.056,0.07,0,0.161
"P26","Algo seguro",0.096,0.066,0.158,0.049,0,0.038
"P26","Para nada seguro",0.041,0.067,0.106,0.033,0.666,0.533
"P27","Tiene Decidido que va a ir a votar.",0.911,0.883,0.714,0.906,0.334,0.744
"P27","Tiene dudas sobre si va a ir a  votar",0.07,0.103,0.218,0.094,0.531,0.238
"P27","Tiene Decidido que no va a ir a votar",0.019,0.014,0.068,0,0.135,0.018
"P28","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.304,0.665,0.549,0.196,0.332,0.526
"P28","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.133,0.257,0.188,0.119,0,0.214
"P28","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.349,0.043,0.09,0.362,0.24,0.026
"P28","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.061,0.003,0.116,0,0.428,0.026
"P28","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.1,0,0.052,0.323,0,0
"P28","No sabe",0.053,0.032,0.005,0,0,0.208
"P29","No estaba enterado del tema",0.066,0.107,0.059,0,0,0.013
"P29","Un tema de la vida privada de él",0.134,0.028,0.136,0,0,0.017
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.471,0.074,0.216,0.274,0.197,0.24
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.131,0.36,0.135,0.336,0.068,0.215
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.14,0.415,0.454,0.118,0.291,0.35
"P29","No sabe",0.058,0.016,0,0.272,0.444,0.165
"P30","Si",0.734,0.897,0.886,0.792,0.314,0.766
"P30","No",0.266,0.103,0.114,0.208,0.686,0.234
"P31","Sergio Massa",0.413,0.122,0.094,0.411,0.079,0
"P31","Patria Bullrich",0.048,0.316,0.023,0,0.131,0.175
"P31","Javier Milei",0.129,0.386,0.797,0.274,0.141,0.239
"P31","Myriam Bregman",0.32,0.094,0.061,0.284,0.514,0.496
"P31","Juan Schiaretti",0.09,0.082,0.025,0.031,0.135,0.09
"P32","Ha aumentado significativamente",0.106,0.073,0.084,0,0.055,0
"P32","Ha aumentado ligeramente",0.304,0.024,0.22,0.337,0,0.1
"P32","Se mantiene igual",0.363,0.508,0.341,0.225,0.08,0.287
"P32","Ha disminuido ligeramente",0.089,0.231,0.164,0.088,0.351,0.019
"P32","Ha disminuido significativamente",0.138,0.164,0.191,0.35,0.514,0.594
"P33","No, ninguna dificultad",0.31,0.198,0.049,0.359,0.266,0.364
"P33","Alguna dificultad ocasional",0.432,0.368,0.566,0.489,0.593,0.457
"P33","Sí, dificultades frecuentes",0.258,0.434,0.385,0.152,0.141,0.179
"P34","Sí, absolutamente",0.739,0.346,0.187,0.636,0.778,0.345
"P34","Sí, en cierta medida",0.245,0.367,0.516,0.364,0.222,0.647
"P34","No, en absoluto",0.016,0.287,0.297,0,0,0.008
"P35","Reducir la inflación",0.319,0.354,0.297,0.329,0,0.435
"P35","Implementar reformas fiscales",0.108,0.059,0.13,0.168,0.146,0.013
"P35","Establecer políticas de control de precios",0.259,0.086,0.005,0.31,0.461,0.043
"P35","Reducir el gasto público",0.138,0.472,0.546,0.193,0.326,0.509
"P35","Estimular la inversión extranjera",0.097,0.029,0.022,0,0.067,0
"P35","Aumentar los subsidios a los servicios públicos",0.079,0,0,0,0,0
"P36","Muy positiva",0.18,0.04,0.034,0.247,0,0.042
"P36","Positiva",0.202,0.12,0.246,0.286,0,0.057
"P36","Neutral",0.228,0.447,0.157,0.467,0.524,0.409
"P36","Algo negativa",0.009,0.146,0.288,0,0.257,0
"P36","Negativa",0.124,0.063,0.132,0,0,0
"P36","No sabe",0.257,0.184,0.143,0,0.219,0.492
"P37","Muy positiva",0.506,0.46,0.276,0.101,0.152,0.092
"P37","Positiva",0.193,0.19,0.281,0.796,0,0.12
"P37","Neutral",0.151,0.165,0.142,0.103,0.211,0.366
"P37","Algo negativa",0.024,0.093,0.074,0,0.148,0.009
"P37","Negativa",0.004,0.08,0.227,0,0,0
"P37","No sabe",0.122,0.012,0,0,0.489,0.413
"P38","Muy positiva",0.249,0.137,0.109,0.052,0,0.152
"P38","Positiva",0.244,0.037,0.078,0.126,0,0.181
"P38","Neutral",0.248,0.506,0.59,0.822,0.742,0.078
"P38","Algo negativa",0.051,0.116,0.084,0,0,0.22
"P38","Negativa",0.022,0.105,0.088,0,0,0.288
"P38","No sabe",0.186,0.099,0.051,0,0.258,0.081
"P39","Muy positiva",0.506,0.232,0.482,0.075,0.273,0.152
"P39","Positiva",0.269,0.107,0.061,0.277,0.13,0.406
"P39","Neutral",0.12,0.427,0.37,0.648,0.42,0.405
"P39","Algo negativa",0.059,0.078,0.07,0,0,0
"P39","Negativa",0.003,0.142,0.017,0,0.177,0
"P39","No sabe",0.043,0.014,0,0,0,0.037
"P40","Muy positiva",0.541,0.145,0.473,0.075,0.164,0.125
"P40","Positiva",0.217,0.309,0.18,0.389,0.176,0.024
"P40","Neutral",0.069,0.341,0.285,0.275,0.66,0.401
"P40","Algo negativa",0.018,0.045,0.011,0,0,0.069
"P40","Negativa",0.059,0.141,0.051,0.261,0,0
"P40","No sabe",0.096,0.019,0,0,0,0.381
"P41","Lo votaría",0.425,0.089,0.106,0.298,0,0.03
"P41","Puede que lo vote",0.254,0.023,0.028,0.038,0,0.054
"P41","Nunca lo votaría",0.21,0.862,0.743,0.664,0.87,0.452
"P41","No sabe",0.111,0.026,0.123,0,0.13,0.464
"P42","Lo votaría",0.02,0.555,0.13,0.459,0,0.041
"P42","Puede que lo vote",0.044,0.198,0.242,0,0.176,0.091
"P42","Nunca lo votaría",0.795,0.225,0.495,0.541,0.693,0.393
"P42","No sabe",0.141,0.022,0.133,0,0.131,0.475
"P43","Lo votaría",0.064,0.326,0.672,0.159,0,0.012
"P43","Puede que lo vote",0.057,0.155,0.108,0,0,0.343
"P43","Nunca lo votaría",0.848,0.416,0.103,0.841,0.87,0.481
"P43","No sabe",0.031,0.103,0.117,0,0.13,0.164
"P44","Lo votaría",0.128,0.252,0.22,0,0,0
"P44","Puede que lo vote",0.146,0.113,0.081,0.159,0,0.402
"P44","Nunca lo votaría",0.638,0.568,0.542,0.841,0.824,0.117
"P44","No sabe",0.088,0.067,0.157,0,0.176,0.481
"P45","Si",0.483,0.304,0.407,0.795,0.212,0.536
"P45","No",0.517,0.696,0.593,0.205,0.788,0.464
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.652,0.134,0.151,0.023,0,0.037
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.109,0.472,0.093,0.142,0,0.042
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.119,0.368,0.756,0.14,0.192,0.163
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.042,0,0,0.695,0,0
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.034,0.024,0,0,0.154,0.066
"PRESIDENTE","En blanco",0.034,0,0,0,0.654,0.026
"PRESIDENTE","No sabe",0.01,0.002,0,0,0,0.666
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",1,0,0,0,0,0
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0,1,0,0,0,0
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0,0,1,0,0,0
"GOBERNADOR","El candidato a gobernador de la Izquierda",0,0,0,1,0,0
"GOBERNADOR","En blanco",0,0,0,0,1,0
"GOBERNADOR","No sabe",0,0,0,0,0,1
"INTENDENTE","Gustavo Menéndez a intendente por Unión por la Patria.",0.388,0.115,0.246,0.075,0.124,0.012
"INTENDENTE","Zencich a intendente por Juntos por el Cambio",0.112,0.481,0.069,0,0.056,0.023
"INTENDENTE","Eduardo Varela a intendente por la Libertad Avanza",0.051,0.15,0.498,0,0.078,0.036
"INTENDENTE","Raul Othacehé a intendente por el frente vecinal crecer",0.106,0.204,0.114,0.117,0,0.035
"INTENDENTE","El candidato a intendente de la Izquierda",0.212,0,0.058,0.791,0.362,0
"INTENDENTE","En blanco",0.068,0.005,0.002,0.017,0.214,0.202
"INTENDENTE","No sabe",0.063,0.045,0.013,0,0.166,0.692
"CORTA_PRESIDENTE","Si",0.294,0.364,0.145,0.178,0.195,0.127
"CORTA_PRESIDENTE","No",0.706,0.636,0.855,0.822,0.805,0.873
"CORTA_GOBERNADOR","Si",0.383,0.41,0.304,0.361,0.216,0.327
"CORTA_GOBERNADOR","No",0.617,0.59,0.696,0.639,0.784,0.673
"CORTA_INTENDENTE","Si",0.676,0.495,0.41,0.651,0.753,0.313
"CORTA_INTENDENTE","No",0.324,0.505,0.59,0.349,0.247,0.687
