"var","categoria","Gustavo Menéndez a intendente por Unión por la Patria.","Zencich a intendente por Juntos por el Cambio","Eduardo Varela a intendente por la Libertad Avanza","Raul Othacehé a intendente por el frente vecinal crecer","El candidato a intendente de la Izquierda","En blanco","No sabe"
"P31","Patria Bullrich",0.019,0.528,0.071,0.269,0.002,0.063,0.165
"P31","Javier Milei",0.075,0.162,0.809,0.206,0.216,0.135,0.154
"P31","Myriam Bregman",0.16,0.127,0.024,0.315,0.34,0.151,0.584
"P31","Juan Schiaretti",0.067,0.069,0.025,0.063,0.002,0.106,0.023
"P32","Ha aumentado significativamente",0.184,0.082,0.015,0.003,0.094,0.541,0.014
"P32","Ha aumentado ligeramente",0.286,0.151,0.123,0.132,0.117,0.132,0.248
"P32","Se mantiene igual",0.319,0.234,0.289,0.378,0.395,0.139,0.197
"P32","Ha disminuido ligeramente",0.092,0.271,0.273,0.09,0.287,0.128,0.182
"P32","Ha disminuido significativamente",0.119,0.262,0.3,0.397,0.107,0.06,0.359
"P33","No, ninguna dificultad",0.308,0.161,0.096,0.268,0.362,0.438,0.087
"P33","Alguna dificultad ocasional",0.368,0.446,0.32,0.242,0.345,0.242,0.447
"P33","Sí, dificultades frecuentes",0.324,0.393,0.584,0.49,0.293,0.32,0.466
"P34","Sí, absolutamente",0.722,0.328,0.194,0.595,0.659,0.865,0.281
"P34","Sí, en cierta medida",0.258,0.354,0.31,0.16,0.341,0.11,0.528
"P34","No, en absoluto",0.02,0.318,0.496,0.245,0,0.025,0.191
"P35","Reducir la inflación",0.406,0.385,0.219,0.445,0.311,0.507,0.645
"P35","Implementar reformas fiscales",0.105,0.126,0.035,0.081,0.005,0.011,0.004
"P35","Establecer políticas de control de precios",0.376,0.048,0.046,0.069,0.167,0.069,0.115
"P35","Reducir el gasto público",0.085,0.388,0.695,0.356,0.074,0.182,0.18
"P35","Estimular la inversión extranjera",0.015,0.053,0.005,0.008,0.168,0.009,0.056
"P35","Aumentar los subsidios a los servicios públicos",0.013,0,0,0.041,0.275,0.222,0
"P36","Muy positiva",0.242,0.072,0.213,0.091,0.095,0.483,0.018
"P36","Positiva",0.272,0.168,0.148,0.158,0.145,0.194,0
"P36","Neutral",0.181,0.282,0.257,0.333,0.363,0.235,0.117
"P36","Algo negativa",0.035,0.16,0.137,0.233,0,0.016,0.005
"P36","Negativa",0.042,0.119,0.113,0.016,0.145,0.024,0
"P36","No sabe",0.228,0.199,0.132,0.169,0.252,0.048,0.86
"P37","Muy positiva",0.576,0.188,0.197,0.482,0.43,0.649,0.33
"P37","Positiva",0.209,0.243,0.187,0.19,0.333,0.083,0.095
"P37","Neutral",0.084,0.31,0.388,0.039,0.152,0.201,0.232
"P37","Algo negativa",0.016,0.095,0.106,0.028,0.032,0.01,0.029
"P37","Negativa",0.015,0.155,0.105,0.226,0.004,0.008,0.023
"P37","No sabe",0.1,0.009,0.017,0.035,0.049,0.049,0.291
"P38","Muy positiva",0.33,0.068,0.142,0.12,0.251,0.546,0.256
"P38","Positiva",0.305,0.11,0.179,0.188,0.145,0.129,0.287
"P38","Neutral",0.184,0.293,0.273,0.589,0.393,0.105,0.133
"P38","Algo negativa",0.033,0.118,0.211,0.029,0.139,0.146,0.019
"P38","Negativa",0.015,0.284,0.138,0.041,0.008,0.009,0.169
"P38","No sabe",0.133,0.127,0.057,0.033,0.064,0.065,0.136
"P39","Muy positiva",0.572,0.19,0.455,0.279,0.353,0.719,0.447
"P39","Positiva",0.259,0.146,0.29,0.103,0.154,0.034,0.336
"P39","Neutral",0.109,0.372,0.133,0.549,0.32,0.224,0.129
"P39","Algo negativa",0.007,0.063,0.064,0.03,0.157,0,0
"P39","Negativa",0.025,0.21,0.016,0.029,0.004,0.023,0.011
"P39","No sabe",0.028,0.019,0.042,0.01,0.012,0,0.077
"P40","Muy positiva",0.555,0.215,0.253,0.321,0.572,0.641,0.1
"P40","Positiva",0.247,0.238,0.182,0.129,0.117,0.142,0.267
"P40","Neutral",0.091,0.241,0.339,0.371,0.106,0.156,0.239
"P40","Algo negativa",0.04,0.019,0.113,0.015,0,0.009,0.07
"P40","Negativa",0.028,0.157,0.054,0.131,0.009,0,0.066
"P40","No sabe",0.039,0.13,0.059,0.033,0.196,0.052,0.258
"P41","Lo votaría",0.813,0.057,0.031,0.279,0.174,0.261,0.05
"P41","Puede que lo vote",0.037,0.075,0.063,0.035,0.212,0.065,0.322
"P41","Nunca lo votaría",0.075,0.852,0.87,0.586,0.315,0.597,0.311
"P41","No sabe",0.075,0.016,0.036,0.1,0.299,0.077,0.317
"P42","Lo votaría",0.038,0.673,0.06,0.175,0.032,0.012,0.024
"P42","Puede que lo vote",0.033,0.128,0.246,0.087,0,0.169,0.053
"P42","Nunca lo votaría",0.862,0.163,0.611,0.605,0.677,0.755,0.49
"P42","No sabe",0.067,0.036,0.083,0.133,0.291,0.064,0.433
"P43","Lo votaría",0.031,0.083,0.825,0.313,0.039,0.009,0.053
"P43","Puede que lo vote",0.036,0.147,0.021,0.113,0,0.252,0.262
"P43","Nunca lo votaría",0.889,0.73,0.148,0.452,0.816,0.675,0.522
"P43","No sabe",0.044,0.04,0.006,0.122,0.145,0.064,0.163
"P44","Lo votaría",0.039,0.134,0.121,0.693,0.032,0,0.178
"P44","Puede que lo vote",0.066,0.166,0.081,0.088,0.168,0.323,0.045
"P44","Nunca lo votaría",0.779,0.628,0.737,0.091,0.661,0.677,0.224
"P44","No sabe",0.116,0.072,0.061,0.128,0.139,0,0.553
"P45","Si",0.353,0.388,0.349,0.226,0.539,0.521,0.448
"P45","No",0.647,0.612,0.651,0.774,0.461,0.479,0.552
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.887,0.117,0.035,0.348,0.405,0.454,0.131
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.037,0.751,0.031,0.29,0.094,0.035,0.032
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.05,0.115,0.932,0.188,0.021,0.091,0.043
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.003,0,0,0.006,0.431,0,0.059
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.004,0.017,0,0.012,0.02,0.262,0.008
"PRESIDENTE","En blanco",0.015,0,0.002,0.138,0.029,0.143,0
"PRESIDENTE","No sabe",0.004,0,0,0.018,0,0.015,0.727
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.928,0.112,0.041,0.393,0.501,0.459,0.202
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.018,0.852,0.062,0.282,0.003,0.009,0.043
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.048,0.029,0.889,0.146,0.075,0.004,0.014
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.003,0,0,0.028,0.392,0.006,0
"GOBERNADOR","En blanco",0.002,0.001,0.002,0.094,0.029,0.4,0.011
"GOBERNADOR","No sabe",0.001,0.006,0.006,0.057,0,0.122,0.73
"CORTA_PRESIDENTE","Si",0.058,0.169,0.022,0.333,0.209,0.02,0.092
"CORTA_PRESIDENTE","No",0.942,0.831,0.978,0.667,0.791,0.98,0.908
"CORTA_GOBERNADOR","Si",0.136,0.139,0.075,0.426,0.258,0.137,0.096
"CORTA_GOBERNADOR","No",0.864,0.861,0.925,0.574,0.742,0.863,0.904
"CORTA_INTENDENTE","Si",0.092,0.19,0.067,0.847,0.566,0.586,0.237
"CORTA_INTENDENTE","No",0.908,0.81,0.933,0.153,0.434,0.414,0.763
