"var","categoria","Axel Kicillof a gobernador por Unión por la Patria.","Néstor Grindetti a gobernador por Juntos por el Cambio","Carolina Piparo a gobernadora por la Libertad Avanza","El candidato a gobernador de la Izquierda","En blanco"
"P37","Positiva",0.189,0.207,0.276,0.796,0.026
"P37","Neutral",0.164,0.162,0.139,0.103,0.384
"P37","Algo negativa",0.025,0.087,0.073,0,0.029
"P37","Negativa",0.003,0.074,0.223,0,0
"P37","No sabe",0.127,0.024,0.018,0,0.531
"P38","Muy positiva",0.246,0.161,0.107,0.052,0.027
"P38","Positiva",0.255,0.053,0.076,0.126,0
"P38","Neutral",0.249,0.475,0.58,0.822,0.127
"P38","Algo negativa",0.049,0.108,0.082,0,0.348
"P38","Negativa",0.021,0.098,0.087,0,0.454
"P38","No sabe",0.18,0.105,0.068,0,0.044
"P39","Muy positiva",0.504,0.237,0.489,0.075,0.042
"P39","Positiva",0.265,0.117,0.06,0.277,0.475
"P39","Neutral",0.129,0.414,0.365,0.648,0.456
"P39","Algo negativa",0.058,0.073,0.069,0,0
"P39","Negativa",0.002,0.132,0.017,0,0.027
"P39","No sabe",0.042,0.027,0,0,0
"P40","Muy positiva",0.537,0.15,0.48,0.075,0.025
"P40","Positiva",0.215,0.288,0.177,0.389,0.028
"P40","Neutral",0.067,0.357,0.281,0.275,0.49
"P40","Algo negativa",0.029,0.042,0.011,0,0
"P40","Negativa",0.058,0.132,0.051,0.261,0
"P40","No sabe",0.094,0.031,0,0,0.457
"P41","Lo votaría",0.415,0.083,0.119,0.298,0
"P41","Puede que lo vote",0.257,0.022,0.027,0.038,0
"P41","Nunca lo votaría",0.206,0.857,0.732,0.664,0.523
"P41","No sabe",0.122,0.038,0.122,0,0.477
"P42","Lo votaría",0.02,0.533,0.128,0.459,0
"P42","Puede que lo vote",0.051,0.198,0.239,0,0.027
"P42","Nunca lo votaría",0.776,0.235,0.502,0.541,0.497
"P42","No sabe",0.153,0.034,0.131,0,0.476
"P43","Lo votaría",0.063,0.309,0.662,0.159,0
"P43","Puede que lo vote",0.064,0.15,0.106,0,0.365
"P43","Nunca lo votaría",0.828,0.431,0.102,0.841,0.615
"P43","No sabe",0.045,0.11,0.13,0,0.02
"P44","Lo votaría",0.125,0.235,0.217,0,0.001
"P44","Puede que lo vote",0.151,0.125,0.08,0.159,0.389
"P44","Nunca lo votaría",0.627,0.563,0.534,0.841,0.127
"P44","No sabe",0.097,0.077,0.169,0,0.483
"P45","Si",0.473,0.324,0.414,0.795,0.545
"P45","No",0.527,0.676,0.586,0.205,0.455
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.607,0.12,0.163,0.023,0.353
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.149,0.455,0.091,0.142,0
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.106,0.359,0.746,0.14,0.412
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.038,0,0,0.695,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.069,0.054,0,0,0.063
"PRESIDENTE_imputada","En blanco",0.031,0.012,0,0,0.172
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",1,0,0,0,0
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0,1,0,0,0
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0,0,1,0,0
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0,0,0,1,0
"GOBERNADOR_imputada","En blanco",0,0,0,0,1
"INTENDENTE_imputada","Gustavo Menéndez a intendente por Unión por la Patria.",0.405,0.123,0.243,0.075,0.437
"INTENDENTE_imputada","Zencich a intendente por Juntos por el Cambio",0.116,0.495,0.068,0,0.014
"INTENDENTE_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.078,0.168,0.493,0,0.019
"INTENDENTE_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.095,0.207,0.125,0.117,0.03
"INTENDENTE_imputada","El candidato a intendente de la Izquierda",0.19,0,0.069,0.791,0.089
"INTENDENTE_imputada","En blanco",0.116,0.007,0.002,0.017,0.411
