"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén","Sandro Badilla a diputado nacional por el movimiento popular neuquino","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente","En blanco"
"P23","No sabe",0.037,0.016,0.032,0,0.034,0.063,0.11
"P24","Ha aumentado significativamente",0.225,0.094,0.118,0.139,0.014,0.064,0
"P24","Ha aumentado ligeramente",0.257,0.215,0.151,0.144,0.271,0.233,0.064
"P24","Se mantiene igual",0.343,0.236,0.276,0.138,0.305,0.165,0.334
"P24","Ha disminuido ligeramente",0.112,0.207,0.162,0.014,0.199,0.33,0.043
"P24","Ha disminuido significativamente",0.063,0.248,0.293,0.565,0.211,0.208,0.559
"P25","No, ninguna dificultad",0.56,0.353,0.274,0.584,0.276,0.213,0.108
"P25","Alguna dificultad ocasional",0.297,0.373,0.31,0.145,0.263,0.227,0.607
"P25","Sí, dificultades frecuentes",0.143,0.274,0.416,0.271,0.461,0.56,0.285
"P26","Sí, absolutamente",0.713,0.362,0.393,0.623,0.568,0.456,0.863
"P26","Sí, en cierta medida",0.216,0.378,0.279,0.356,0.379,0.082,0
"P26","No, en absoluto",0.071,0.26,0.328,0.021,0.053,0.462,0.137
"P27","Reducir la inflación",0.481,0.39,0.488,0.503,0.504,0.655,0.049
"P27","Implementar reformas fiscales",0.115,0.134,0.087,0,0.155,0.141,0
"P27","Establecer políticas de control de precios",0.279,0.074,0.024,0.297,0.098,0,0.74
"P27","Reducir el gasto público",0.06,0.359,0.352,0.131,0.153,0.204,0.211
"P27","Estimular la inversión extranjera",0.04,0.043,0.047,0.069,0.09,0,0
"P27","Aumentar los subsidios a los servicios públicos",0.025,0,0.002,0,0,0,0
"P28","Muy positiva",0.4,0.165,0.168,0.366,0.231,0.501,0
"P28","Positiva",0.243,0.174,0.19,0.217,0.32,0.319,0.542
"P28","Neutral",0.194,0.358,0.331,0.027,0.237,0.035,0.168
"P28","Algo negativa",0.04,0.095,0.081,0.057,0.052,0.042,0
"P28","Negativa",0.045,0.131,0.141,0,0.09,0.065,0.14
"P28","No sabe",0.078,0.077,0.089,0.333,0.07,0.038,0.15
"P29","Muy positiva",0.674,0.172,0.224,0.249,0.202,0.597,0.208
"P29","Positiva",0.188,0.204,0.241,0.389,0.25,0.039,0.605
"P29","Neutral",0.055,0.262,0.286,0.135,0.375,0.181,0
"P29","Algo negativa",0.015,0.134,0.092,0,0.028,0.043,0
"P29","Negativa",0.043,0.179,0.15,0,0.108,0.14,0.048
"P29","No sabe",0.025,0.049,0.007,0.227,0.037,0,0.139
"P30","Muy positiva",0.47,0.13,0.165,0.268,0.233,0.372,0
"P30","Positiva",0.279,0.193,0.183,0.235,0.201,0.083,0.641
"P30","Neutral",0.122,0.288,0.297,0.086,0.373,0.181,0
"P30","Algo negativa",0.031,0.099,0.127,0.169,0.136,0.164,0
"P30","Negativa",0.053,0.221,0.169,0,0.005,0.16,0.116
"P30","No sabe",0.045,0.069,0.059,0.242,0.052,0.04,0.243
"P31","Muy positiva",0.725,0.24,0.423,0.497,0.478,0.573,0.11
"P31","Positiva",0.106,0.235,0.228,0.188,0.068,0.124,0.068
"P31","Neutral",0.063,0.201,0.195,0.073,0.162,0,0.109
"P31","Algo negativa",0.017,0.128,0.081,0,0.288,0.224,0.533
"P31","Negativa",0.055,0.189,0.073,0,0.004,0.079,0.047
"P31","No sabe",0.034,0.007,0,0.242,0,0,0.133
"P32","Muy positiva",0.681,0.329,0.296,0.55,0.354,0.532,0.109
"P32","Positiva",0.172,0.236,0.226,0.19,0.218,0.125,0.067
"P32","Neutral",0.045,0.236,0.213,0,0.205,0.151,0
"P32","Algo negativa",0.011,0.101,0.117,0.024,0.105,0.06,0
"P32","Negativa",0.036,0.084,0.123,0,0.004,0.132,0.16
"P32","No sabe",0.055,0.014,0.025,0.236,0.114,0,0.664
"P33","Muy buena",0.192,0.142,0.232,0.219,0.138,0.064,0
"P33","Buena",0.308,0.126,0.17,0.313,0.22,0.769,0.638
"P33","Ni buena ni mala",0.362,0.506,0.325,0.431,0.364,0.167,0.315
"P33","Mala",0.071,0.117,0.139,0,0.175,0,0
"P33","Muy mala",0.035,0.078,0.127,0.037,0.103,0,0.047
"P33","No sabe",0.032,0.031,0.007,0,0,0,0
"P34","Muy buena",0.187,0.078,0.087,0.065,0.109,0,0.131
"P34","Buena",0.347,0.173,0.159,0.344,0.099,0.325,0.116
"P34","Ni buena ni mala",0.317,0.276,0.339,0.294,0.247,0.486,0.108
"P34","Mala",0.087,0.226,0.205,0.26,0.269,0.189,0.068
"P34","Muy mala",0.054,0.219,0.192,0.037,0.27,0,0.577
"P34","No sabe",0.008,0.028,0.018,0,0.006,0,0
"P35","Muy buena",0.084,0.078,0.055,0.193,0.13,0,0
"P35","Buena",0.163,0.122,0.107,0.637,0.051,0.085,0
"P35","Ni buena ni mala",0.361,0.245,0.28,0.17,0.116,0.262,0.109
"P35","Mala",0.204,0.309,0.254,0,0.51,0.274,0.134
"P35","Muy mala",0.178,0.241,0.288,0,0.193,0.379,0.642
"P35","No sabe",0.01,0.005,0.016,0,0,0,0.115
"P36","Muy buena",0.115,0.112,0.093,0.39,0.125,0,0.108
"P36","Buena",0.232,0.235,0.104,0.205,0.046,0.24,0
"P36","Ni buena ni mala",0.334,0.313,0.405,0.362,0.155,0.346,0.136
"P36","Mala",0.162,0.228,0.164,0,0.291,0.106,0.114
"P36","Muy mala",0.122,0.089,0.212,0.043,0.354,0.308,0.642
"P36","No sabe",0.035,0.023,0.022,0,0.029,0,0
"P37","Muy buena",0.03,0.07,0.051,0.177,0.092,0,0
"P37","Buena",0.118,0.064,0.037,0.028,0.004,0.087,0
"P37","Ni buena ni mala",0.462,0.16,0.274,0.427,0.232,0.221,0.108
"P37","Mala",0.182,0.281,0.242,0.25,0.475,0.13,0.777
"P37","Muy mala",0.161,0.396,0.357,0.118,0.161,0.273,0.115
"P37","No sabe",0.047,0.029,0.039,0,0.036,0.289,0
"P38","Muy buena",0.109,0.051,0.033,0,0.101,0.044,0
"P38","Buena",0.103,0.071,0.024,0,0.025,0.087,0
"P38","Ni buena ni mala",0.476,0.232,0.306,0.507,0.328,0.133,0
"P38","Mala",0.134,0.224,0.255,0.258,0.25,0.234,0.885
"P38","Muy mala",0.116,0.371,0.326,0.235,0.269,0.214,0.115
"P38","No sabe",0.062,0.051,0.056,0,0.027,0.288,0
"P39","Si",0.338,0.39,0.302,0.709,0.38,0.284,0.072
"P39","No",0.662,0.61,0.698,0.291,0.62,0.716,0.928
"PRESIDENTE_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",1,0,0,0.262,0,0,0
"PRESIDENTE_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0,1,0,0.497,0,0,0
"PRESIDENTE_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0,0,1,0.101,0,0,0
"PRESIDENTE_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0,0,0,0.016,1,0,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0,0,0,0.028,0,1,0
"PRESIDENTE_imputada","En blanco",0,0,0,0.096,0,0,1
"DIPUTADOS_imputada","Pablo Todero a Diputado Nacional por Unión por la Patria",0.68,0.06,0.05,0,0.032,0.064,0.161
"DIPUTADOS_imputada","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.041,0.749,0.056,0,0.017,0.093,0
"DIPUTADOS_imputada","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.081,0.055,0.71,0,0.088,0.148,0.219
"DIPUTADOS_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.14,0.039,0.113,1,0.099,0.015,0.312
"DIPUTADOS_imputada","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.047,0.044,0.024,0,0.752,0.077,0.041
"DIPUTADOS_imputada","En blanco",0.011,0.053,0.047,0,0.012,0.603,0.267
