"var","categoria","No estaba enterado del tema","Un tema de la vida privada de él","Un hecho vergonzoso de exclusiva responsabilidad de él","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa","No sabe"
"P27","Estimular la inversión extranjera",0.033,0.055,0.036,0.034,0.041,0.22
"P27","Aumentar los subsidios a los servicios públicos",0.022,0.011,0.008,0,0,0.051
"P28","Muy positiva",0.451,0.32,0.304,0.097,0.112,0.136
"P28","Positiva",0.145,0.279,0.29,0.287,0.127,0.1
"P28","Neutral",0.201,0.132,0.291,0.297,0.406,0.106
"P28","Algo negativa",0.057,0.061,0.022,0.185,0.088,0
"P28","Negativa",0.073,0.164,0.014,0.088,0.154,0.282
"P28","No sabe",0.073,0.044,0.079,0.046,0.113,0.376
"P29","Muy positiva",0.496,0.477,0.56,0.111,0.119,0.35
"P29","Positiva",0.246,0.273,0.232,0.214,0.155,0.03
"P29","Neutral",0.137,0.058,0.127,0.353,0.355,0.374
"P29","Algo negativa",0.08,0.008,0.034,0.106,0.128,0
"P29","Negativa",0.024,0.167,0.033,0.199,0.193,0.042
"P29","No sabe",0.017,0.017,0.014,0.017,0.05,0.204
"P30","Muy positiva",0.498,0.383,0.352,0.059,0.063,0.26
"P30","Positiva",0.105,0.35,0.303,0.201,0.13,0.161
"P30","Neutral",0.168,0.098,0.211,0.321,0.358,0.124
"P30","Algo negativa",0.08,0.039,0.067,0.102,0.148,0.049
"P30","Negativa",0.083,0.121,0.015,0.287,0.193,0.28
"P30","No sabe",0.066,0.009,0.052,0.03,0.108,0.126
"P31","Muy positiva",0.569,0.622,0.641,0.222,0.305,0.474
"P31","Positiva",0.082,0.149,0.158,0.293,0.194,0.13
"P31","Neutral",0.191,0.021,0.103,0.186,0.216,0.146
"P31","Algo negativa",0.057,0.089,0.07,0.098,0.149,0
"P31","Negativa",0.087,0.102,0.018,0.201,0.107,0.057
"P31","No sabe",0.014,0.017,0.01,0,0.029,0.193
"P32","Muy positiva",0.512,0.599,0.595,0.199,0.253,0.483
"P32","Positiva",0.159,0.144,0.233,0.232,0.216,0.236
"P32","Neutral",0.141,0.077,0.078,0.344,0.207,0.153
"P32","Algo negativa",0.115,0.011,0.015,0.058,0.165,0
"P32","Negativa",0.049,0.093,0.022,0.13,0.115,0
"P32","No sabe",0.024,0.076,0.057,0.037,0.044,0.128
"P33","Muy buena",0.329,0.187,0.159,0.172,0.092,0.499
"P33","Buena",0.206,0.326,0.277,0.172,0.18,0.165
"P33","Ni buena ni mala",0.329,0.359,0.408,0.466,0.349,0.336
"P33","Mala",0.053,0.055,0.097,0.092,0.203,0
"P33","Muy mala",0.083,0.066,0.022,0.077,0.152,0
"P33","No sabe",0,0.007,0.037,0.021,0.024,0
"P34","Muy buena",0.239,0.176,0.113,0.043,0.055,0.126
"P34","Buena",0.221,0.275,0.322,0.115,0.137,0.328
"P34","Ni buena ni mala",0.348,0.324,0.349,0.255,0.239,0.347
"P34","Mala",0.057,0.107,0.171,0.34,0.212,0.142
"P34","Muy mala",0.135,0.106,0.033,0.231,0.33,0.057
"P34","No sabe",0,0.012,0.012,0.016,0.027,0
"P35","Muy buena",0.218,0.067,0.047,0.051,0.032,0.206
"P35","Buena",0.204,0.149,0.174,0.029,0.074,0
"P35","Ni buena ni mala",0.267,0.263,0.409,0.285,0.14,0.418
"P35","Mala",0.144,0.189,0.251,0.355,0.377,0.235
"P35","Muy mala",0.154,0.313,0.113,0.274,0.366,0.141
"P35","No sabe",0.013,0.019,0.006,0.006,0.011,0
"P36","Muy buena",0.224,0.134,0.097,0.052,0.056,0.144
"P36","Buena",0.256,0.187,0.22,0.108,0.113,0.057
"P36","Ni buena ni mala",0.306,0.265,0.383,0.24,0.398,0.141
"P36","Mala",0.143,0.116,0.208,0.358,0.154,0.173
"P36","Muy mala",0.061,0.258,0.077,0.192,0.259,0.335
"P36","No sabe",0.01,0.04,0.015,0.05,0.02,0.15
"P37","Muy buena",0.197,0.03,0.037,0.015,0.013,0
"P37","Buena",0.092,0.166,0.072,0.006,0.003,0.123
"P37","Ni buena ni mala",0.434,0.338,0.393,0.214,0.189,0.142
"P37","Mala",0.105,0.159,0.333,0.26,0.302,0.251
"P37","Muy mala",0.172,0.235,0.129,0.449,0.455,0.267
"P37","No sabe",0,0.072,0.036,0.056,0.038,0.217
"P38","Muy buena",0.184,0.113,0.066,0.023,0,0
"P38","Buena",0.101,0.097,0.089,0.023,0.01,0
"P38","Ni buena ni mala",0.397,0.32,0.519,0.188,0.194,0.364
"P38","Mala",0.144,0.217,0.169,0.283,0.265,0.231
"P38","Muy mala",0.126,0.186,0.114,0.417,0.487,0
"P38","No sabe",0.048,0.067,0.043,0.066,0.044,0.405
"P39","Si",0.294,0.274,0.393,0.289,0.392,0.275
"P39","No",0.706,0.726,0.607,0.711,0.608,0.725
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.308,0.528,0.545,0.078,0.024,0.368
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.247,0.083,0.125,0.362,0.283,0.097
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.288,0.214,0.205,0.331,0.544,0.311
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.032,0.101,0.094,0.101,0.113,0.101
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.008,0.034,0.007,0.064,0.013,0.038
"PRESIDENTE","En blanco",0.026,0.03,0.001,0.015,0.012,0.049
"PRESIDENTE","No sabe",0.091,0.01,0.023,0.049,0.011,0.036
"DIPUTADOS","Pablo Todero a Diputado Nacional por Unión por la Patria",0.231,0.397,0.414,0.045,0.037,0.328
"DIPUTADOS","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.22,0.086,0.081,0.379,0.259,0.083
"DIPUTADOS","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.274,0.239,0.153,0.237,0.389,0.247
"DIPUTADOS","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.145,0.13,0.157,0.064,0.072,0
"DIPUTADOS","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.036,0.111,0.101,0.156,0.106,0.09
"DIPUTADOS","En blanco",0.012,0.032,0.022,0.079,0.071,0.195
"DIPUTADOS","No sabe",0.082,0.005,0.072,0.04,0.066,0.057
"CORTA_DIPUTADOS","Si",0.358,0.221,0.341,0.362,0.265,0.129
"CORTA_DIPUTADOS","No",0.642,0.779,0.659,0.638,0.735,0.871
"P11_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria",0.327,0.524,0.553,0.09,0.028,0.404
"P11_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.25,0.08,0.125,0.362,0.28,0.097
"P11_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén",0.288,0.214,0.211,0.363,0.538,0.311
"P11_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.042,0.017,0.005,0.005,0.016,0
"P11_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.066,0.106,0.095,0.101,0.113,0.101
"P11_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.008,0.033,0.007,0.064,0.013,0.038
"P11_imputada","En blanco",0.019,0.026,0.004,0.015,0.012,0.049
"P19_imputada","Pablo Todero a Diputado Nacional por Unión por la Patria",0.261,0.253,0.282,0.045,0.055,0.259
"P19_imputada","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.277,0.043,0.061,0.37,0.244,0.091
"P19_imputada","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.206,0.165,0.149,0.205,0.3,0
"P19_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.212,0.355,0.332,0.157,0.175,0.025
"P19_imputada","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.035,0.184,0.123,0.105,0.095,0.167
"P19_imputada","En blanco",0.009,0,0.053,0.118,0.131,0.458
"PRESIDENTE_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.327,0.533,0.558,0.09,0.03,0.404
"PRESIDENTE_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.285,0.083,0.125,0.362,0.283,0.097
"PRESIDENTE_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.288,0.214,0.211,0.363,0.549,0.311
"PRESIDENTE_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.066,0.106,0.094,0.101,0.113,0.101
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.008,0.034,0.007,0.069,0.013,0.038
"PRESIDENTE_imputada","En blanco",0.026,0.03,0.005,0.015,0.012,0.049
"DIPUTADOS_imputada","Pablo Todero a Diputado Nacional por Unión por la Patria",0.24,0.397,0.444,0.044,0.041,0.374
"DIPUTADOS_imputada","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.246,0.086,0.084,0.391,0.266,0.083
"DIPUTADOS_imputada","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.274,0.238,0.19,0.254,0.415,0.247
"DIPUTADOS_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.158,0.13,0.159,0.077,0.078,0.011
"DIPUTADOS_imputada","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.07,0.117,0.101,0.155,0.118,0.09
"DIPUTADOS_imputada","En blanco",0.012,0.032,0.022,0.079,0.082,0.195
