"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Santiago del Estero","La Banda","Resto"
"Pablo Mirolo","Negativa",0.141,0.176,0.106,0.167,0.108,0.139,0.186,0.095,0.167,0.198,0.088,0.298,0.145
"Pablo Mirolo","No sabe",0.194,0.152,0.235,0.15,0.256,0.193,0.103,0.213,0.14,0.236,0.18,0.06,0.223
"Emilio Pichon Neder","Positiva",0.356,0.307,0.4,0.329,0.379,0.309,0.434,0.395,0.391,0.217,0.395,0.326,0.34
"Emilio Pichon Neder","Neutra",0.291,0.286,0.295,0.308,0.284,0.308,0.234,0.248,0.289,0.384,0.266,0.35,0.294
"Emilio Pichon Neder","Negativa",0.197,0.264,0.137,0.188,0.202,0.22,0.164,0.187,0.127,0.332,0.184,0.056,0.227
"Emilio Pichon Neder","No sabe",0.156,0.143,0.168,0.175,0.135,0.163,0.168,0.17,0.193,0.067,0.155,0.268,0.139
"Horacio Rodriguez Larreta","Positiva",0.29,0.319,0.264,0.209,0.27,0.395,0.413,0.208,0.339,0.422,0.329,0.083,0.303
"Horacio Rodriguez Larreta","Neutra",0.27,0.235,0.302,0.281,0.268,0.267,0.248,0.273,0.291,0.226,0.244,0.408,0.262
"Horacio Rodriguez Larreta","Negativa",0.173,0.196,0.15,0.148,0.184,0.157,0.23,0.134,0.17,0.276,0.204,0.07,0.171
"Horacio Rodriguez Larreta","No sabe",0.267,0.25,0.284,0.362,0.278,0.181,0.109,0.385,0.2,0.076,0.223,0.439,0.264
"Facundo Perez Carletti","Positiva",0.128,0.091,0.164,0.09,0.111,0.154,0.246,0.15,0.139,0.067,0.127,0.252,0.11
"Facundo Perez Carletti","Neutra",0.353,0.389,0.32,0.328,0.372,0.303,0.449,0.296,0.441,0.338,0.385,0.268,0.349
"Facundo Perez Carletti","Negativa",0.081,0.089,0.072,0.106,0.068,0.081,0.054,0.068,0.057,0.144,0.078,0.067,0.085
"Facundo Perez Carletti","No sabe",0.438,0.431,0.444,0.476,0.449,0.462,0.251,0.486,0.363,0.451,0.41,0.413,0.456
"Alberto Fernandez","Positiva",0.44,0.367,0.51,0.441,0.438,0.458,0.41,0.444,0.483,0.362,0.474,0.453,0.42
"Alberto Fernandez","Neutra",0.219,0.221,0.217,0.258,0.256,0.143,0.118,0.274,0.175,0.151,0.201,0.278,0.22
"Alberto Fernandez","Negativa",0.306,0.367,0.247,0.242,0.279,0.37,0.472,0.218,0.338,0.478,0.265,0.265,0.333
"Alberto Fernandez","No sabe",0.035,0.045,0.026,0.059,0.027,0.029,0,0.064,0.004,0.009,0.06,0.004,0.027
"Emilio Rached","Positiva",0.257,0.248,0.266,0.187,0.171,0.36,0.549,0.275,0.252,0.226,0.291,0.264,0.238
"Emilio Rached","Neutra",0.301,0.343,0.261,0.335,0.361,0.209,0.174,0.34,0.28,0.253,0.276,0.295,0.316
"Emilio Rached","Negativa",0.19,0.169,0.209,0.148,0.185,0.24,0.225,0.067,0.252,0.349,0.164,0.138,0.211
"Emilio Rached","No sabe",0.252,0.24,0.264,0.33,0.283,0.191,0.052,0.318,0.216,0.172,0.269,0.303,0.235
"Natalia Meme","Positiva",0.168,0.173,0.162,0.183,0.159,0.196,0.104,0.197,0.154,0.126,0.145,0.221,0.172
"Natalia Meme","Neutra",0.364,0.371,0.357,0.361,0.322,0.464,0.329,0.344,0.366,0.402,0.403,0.326,0.348
"Natalia Meme","Negativa",0.127,0.155,0.101,0.076,0.153,0.083,0.259,0.081,0.147,0.195,0.141,0.053,0.131
"Natalia Meme","No sabe",0.341,0.301,0.38,0.38,0.366,0.257,0.308,0.378,0.333,0.277,0.311,0.4,0.349
"CFK","Positiva",0.456,0.375,0.533,0.471,0.51,0.348,0.427,0.549,0.434,0.263,0.532,0.367,0.43
"CFK","Neutra",0.142,0.138,0.146,0.163,0.148,0.13,0.084,0.132,0.163,0.134,0.113,0.296,0.134
"CFK","Negativa",0.354,0.411,0.3,0.272,0.305,0.502,0.489,0.24,0.382,0.59,0.313,0.202,0.4
"CFK","No sabe",0.048,0.076,0.021,0.094,0.037,0.02,0,0.079,0.021,0.013,0.042,0.135,0.036
"Maria Eugenia Vidal","Positiva",0.302,0.32,0.285,0.217,0.26,0.413,0.477,0.254,0.356,0.323,0.267,0.238,0.331
"Maria Eugenia Vidal","Neutra",0.283,0.285,0.282,0.362,0.237,0.335,0.132,0.28,0.273,0.305,0.271,0.353,0.279
"Maria Eugenia Vidal","Negativa",0.236,0.232,0.24,0.118,0.335,0.195,0.293,0.209,0.258,0.262,0.269,0.162,0.229
"Maria Eugenia Vidal","No sabe",0.179,0.163,0.193,0.303,0.168,0.057,0.098,0.257,0.113,0.11,0.193,0.247,0.161
"Hector Chabay Ruiz","Positiva",0.256,0.217,0.291,0.3,0.237,0.22,0.267,0.252,0.295,0.199,0.146,0.548,0.268
"Hector Chabay Ruiz","Neutra",0.312,0.374,0.254,0.282,0.29,0.363,0.373,0.281,0.38,0.269,0.351,0.184,0.312
"Hector Chabay Ruiz","Negativa",0.255,0.214,0.294,0.228,0.283,0.234,0.272,0.208,0.214,0.425,0.262,0.167,0.265
"Hector Chabay Ruiz","No sabe",0.177,0.195,0.161,0.19,0.19,0.183,0.088,0.259,0.111,0.107,0.241,0.101,0.155
"Ricardo Rodrigo Posse","Positiva",0.111,0.093,0.128,0.083,0.097,0.071,0.31,0.12,0.115,0.083,0.088,0.2,0.109
"Ricardo Rodrigo Posse","Neutra",0.381,0.402,0.361,0.318,0.445,0.391,0.312,0.407,0.372,0.339,0.367,0.306,0.4
"Ricardo Rodrigo Posse","Negativa",0.124,0.156,0.093,0.117,0.104,0.144,0.173,0.034,0.167,0.249,0.155,0.07,0.116
"Ricardo Rodrigo Posse","No sabe",0.384,0.349,0.418,0.482,0.354,0.394,0.205,0.439,0.346,0.329,0.39,0.424,0.375
"Sergio Massa","Positiva",0.275,0.307,0.246,0.253,0.19,0.39,0.419,0.305,0.276,0.203,0.268,0.438,0.255
"Sergio Massa","Neutra",0.273,0.209,0.334,0.339,0.33,0.126,0.167,0.259,0.302,0.263,0.301,0.365,0.245
"Sergio Massa","Negativa",0.317,0.382,0.254,0.215,0.321,0.433,0.369,0.269,0.276,0.493,0.281,0.107,0.367
"Sergio Massa","No sabe",0.135,0.102,0.166,0.193,0.159,0.051,0.045,0.167,0.146,0.041,0.15,0.09,0.133
"Patricia Bullrich","Positiva",0.208,0.24,0.178,0.071,0.2,0.312,0.437,0.179,0.213,0.272,0.235,0.171,0.199
"Patricia Bullrich","Neutra",0.28,0.285,0.277,0.439,0.193,0.262,0.16,0.29,0.278,0.261,0.22,0.375,0.298
"Patricia Bullrich","Negativa",0.308,0.3,0.315,0.143,0.42,0.359,0.307,0.246,0.363,0.371,0.321,0.126,0.329
"Patricia Bullrich","No sabe",0.204,0.175,0.23,0.347,0.187,0.067,0.096,0.285,0.146,0.096,0.224,0.328,0.174
"Mauricio Macri","Positiva",0.21,0.217,0.202,0.181,0.173,0.294,0.265,0.144,0.24,0.327,0.18,0.088,0.245
"Mauricio Macri","Neutra",0.252,0.246,0.258,0.261,0.257,0.223,0.26,0.291,0.222,0.201,0.245,0.335,0.243
"Mauricio Macri","Negativa",0.448,0.408,0.487,0.379,0.516,0.446,0.431,0.428,0.477,0.457,0.504,0.439,0.42
"Mauricio Macri","No sabe",0.09,0.129,0.053,0.179,0.054,0.037,0.044,0.137,0.061,0.015,0.071,0.138,0.092
