"var","categoria","Toloza Paz","Diego Santilli","Facundo Manes","Florencio Randazzo","A los candidatos de la izquierda","Jose Luis Espert","Otros candidatos","Votaría en blanco o anularía"
"P42","Mala",0.01,0.12,0.172,0.45,0.259,0.025,0.294,0.131
"P42","Muy mala",0.056,0.807,0.686,0.399,0.343,0.868,0.344,0.478
"P42","No sabe",0.045,0,0,0,0.214,0.013,0.033,0
"P43","Muy buena",0.662,0.029,0.047,0.094,0.046,0.093,0.15,0.447
"P43","Buena",0.176,0.008,0,0.12,0.033,0.069,0.121,0.05
"P43","Ni buena ni mala",0.071,0.021,0.098,0.043,0.058,0.016,0.082,0.123
"P43","Mala",0.021,0.053,0.057,0.111,0.402,0.003,0.229,0.104
"P43","Muy mala",0.069,0.882,0.798,0.632,0.25,0.819,0.399,0.276
"P43","No sabe",0.001,0.007,0,0,0.211,0,0.019,0
"P44","Muy buena",0.011,0.258,0.126,0.014,0,0.034,0.124,0.103
"P44","Buena",0.05,0.35,0.106,0.013,0.036,0.166,0,0.02
"P44","Ni buena ni mala",0.038,0.182,0.297,0.074,0,0.305,0.114,0.099
"P44","Mala",0.114,0.133,0.304,0.459,0.402,0.135,0.21,0.148
"P44","Muy mala",0.778,0.07,0.144,0.376,0.357,0.36,0.393,0.598
"P44","No sabe",0.009,0.007,0.023,0.064,0.205,0,0.159,0.032
"P45","Muy buena",0.07,0.554,0.229,0.058,0,0.087,0.117,0.182
"P45","Buena",0.088,0.318,0.391,0.557,0.179,0.196,0.228,0.202
"P45","Ni buena ni mala",0.175,0.08,0.324,0.241,0.089,0.355,0.324,0.214
"P45","Mala",0.209,0.037,0.023,0.011,0.266,0.105,0.151,0.077
"P45","Muy mala",0.437,0.011,0.033,0.133,0.26,0.241,0.176,0.262
"P45","No sabe",0.021,0,0,0,0.206,0.016,0.004,0.063
"P64","Totalmente de acuerdo",0.599,0.049,0.036,0.071,0.027,0,0.143,0.301
"P64","Bastante de acuerdo",0.278,0.07,0.005,0.107,0.18,0.005,0.155,0.167
"P64","Poco de acuerdo",0.045,0.275,0.35,0.568,0.31,0.2,0.22,0.072
"P64","Nada de acuerdo",0.029,0.519,0.552,0.144,0.457,0.646,0.341,0.337
"P64","No sabe",0.049,0.087,0.057,0.11,0.026,0.149,0.141,0.123
"P67","Si, hay mucha información en los medios y comprendo las medidas preventivas",0.636,0.479,0.269,0.553,0.124,0.503,0.318,0.527
"P67","Si, hay mucha información, aunque muchas veces es contradictoria",0.201,0.322,0.331,0.418,0.782,0.089,0.405,0.249
"P67","Mas o menos. Es difícil creerle a los que informan",0.123,0.133,0.325,0.029,0.094,0.358,0.139,0.068
"P67","No, la información es escasa y difícil de entender",0.001,0.02,0.016,0,0,0.023,0,0
"P67","No, la información no es confiable y es imposible de entender",0.039,0.043,0.045,0,0,0.023,0.015,0.156
"P67","No sabe",0,0.003,0.014,0,0,0.004,0.123,0
"P74","La Pfizer, fabricada en Estados Unidos",0.075,0.637,0.604,0.066,0.163,0.412,0.237,0.092
"P74","La Sputnik, fabricada en Rusia",0.579,0.095,0.1,0.692,0.399,0.126,0.165,0.533
"P74","La vacuna de Oxford, fabricada por AstraZeneca en Argentina y México",0.015,0.035,0.043,0.04,0,0.116,0.13,0.014
"P74","La vacuna de Oxford, fabricada por AstraZeneca en India",0.017,0.006,0.011,0.15,0,0,0,0
"P74","La vacuna China fabricada en China",0.024,0.006,0.07,0.033,0,0,0.136,0.052
"P74","Me resultan todas confiables",0.231,0.133,0.072,0,0.079,0.136,0.218,0.222
"P74","No sabe",0.059,0.088,0.1,0.019,0.359,0.21,0.114,0.087
