"var","categoria","Toloza Paz","Diego Santilli","Facundo Manes","Florencio Randazzo","A los candidatos de la izquierda","Jose Luis Espert por los liberales","Otros candidatos","Votaría en blanco o anularía"
"P44","Mala",0.162,0.066,0.21,0.33,0.301,0.181,0.373,0.132
"P44","Muy mala",0.709,0.125,0.222,0.227,0.679,0.183,0.412,0.495
"P44","No sabe",0.015,0.013,0.012,0.421,0,0,0.031,0.046
"P45","Muy buena",0.042,0.466,0.316,0.108,0.057,0.052,0.081,0.063
"P45","Buena",0.127,0.341,0.32,0.37,0,0.519,0.223,0.114
"P45","Ni buena ni mala",0.139,0.13,0.218,0.334,0.087,0.231,0.238,0.164
"P45","Mala",0.307,0.028,0.059,0.148,0.252,0.176,0.254,0.298
"P45","Muy mala",0.367,0.01,0.083,0.04,0.163,0.022,0.195,0.339
"P45","No sabe",0.018,0.025,0.004,0,0.441,0,0.009,0.022
"P64","Totalmente de acuerdo",0.59,0.03,0.083,0.077,0.729,0,0.411,0.194
"P64","Bastante de acuerdo",0.275,0.065,0.017,0.25,0.184,0.018,0.221,0.175
"P64","Poco de acuerdo",0.037,0.305,0.398,0.161,0.064,0.285,0.162,0.508
"P64","Nada de acuerdo",0.066,0.525,0.473,0.512,0.023,0.685,0.196,0.123
"P64","No sabe",0.032,0.075,0.029,0,0,0.012,0.01,0
"P67","Si, hay mucha información en los medios y comprendo las medidas preventivas",0.691,0.422,0.38,0.684,0.35,0.451,0.647,0.448
"P67","Si, hay mucha información, aunque muchas veces es contradictoria",0.16,0.309,0.484,0.272,0.376,0.188,0.309,0.385
"P67","Mas o menos. Es difícil creerle a los que informan",0.071,0.179,0.085,0,0.229,0.13,0.026,0.138
"P67","No, la información es escasa y difícil de entender",0.003,0.034,0.025,0.031,0.045,0.106,0,0.009
"P67","No, la información no es confiable y es imposible de entender",0.049,0.047,0.025,0,0,0.019,0,0
"P67","No sabe",0.026,0.009,0.001,0.013,0,0.106,0.018,0.02
"P74","La Pfizer, fabricada en Estados Unidos",0.058,0.642,0.494,0.44,0.117,0.721,0.354,0.067
"P74","La Sputnik, fabricada en Rusia",0.396,0.087,0.092,0.192,0.292,0.089,0.22,0.171
"P74","La vacuna de Oxford, fabricada por AstraZeneca en Argentina y México",0.047,0.031,0.101,0.053,0,0,0.019,0.039
"P74","La vacuna de Oxford, fabricada por AstraZeneca en India",0.019,0.004,0.023,0,0,0.037,0,0.073
"P74","La vacuna China fabricada en China",0.052,0,0.006,0.024,0,0,0.02,0.344
"P74","Me resultan todas confiables",0.408,0.141,0.086,0.291,0.377,0.019,0.373,0.133
"P74","No sabe",0.02,0.095,0.198,0,0.214,0.134,0.014,0.173
