"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Victoria Villarruel","Negativa",0.507,0.399,0.651,0.322,0.596,0.43,0.503,0.593,0.584,0.436,0.55,0.066,0.899,0.849,0.206,0,0,0
"Victoria Villarruel","No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"María Emilia Soria","Positiva",0.287,0.302,0.267,0,0.289,0.174,0.564,0.512,0.269,0.219,0.238,0.048,0.695,0.503,0.106,0,0,0
"María Emilia Soria","Neutra",0.306,0.307,0.306,0.322,0.369,0.342,0.129,0.214,0.356,0.312,0.435,0.189,0.272,0.401,0.131,0,0,0
"María Emilia Soria","Negativa",0.38,0.365,0.399,0.678,0.326,0.473,0.228,0.214,0.366,0.445,0.298,0.763,0.033,0.072,0.758,0,0,0
"María Emilia Soria","No sabe",0.027,0.026,0.028,0,0.016,0.011,0.079,0.06,0.009,0.024,0.029,0,0,0.024,0.005,0,0,0
"Axel Kicillof","Positiva",0.387,0.376,0.403,0,0.427,0.397,0.522,0.592,0.329,0.346,0.356,0.013,0.966,0.769,0.02,0,0,0
"Axel Kicillof","Neutra",0.039,0.034,0.046,0,0.051,0.056,0.019,0,0.015,0.065,0.036,0.054,0,0.032,0.049,0,0,0
"Axel Kicillof","Negativa",0.572,0.59,0.547,1,0.522,0.547,0.45,0.408,0.656,0.585,0.608,0.933,0.034,0.199,0.931,0,0,0
"Axel Kicillof","No sabe",0.002,0,0.004,0,0,0,0.009,0,0,0.004,0,0,0,0,0,0,0,0
"CFK","Positiva",0.379,0.34,0.432,0,0.437,0.385,0.47,0.592,0.424,0.282,0.362,0.013,0.967,0.78,0.005,0,0,0
"CFK","Neutra",0.054,0.056,0.052,0,0.08,0.04,0.047,0,0.047,0.077,0.069,0,0,0.093,0.024,0,0,0
"CFK","Negativa",0.567,0.604,0.516,1,0.483,0.575,0.483,0.408,0.529,0.641,0.569,0.987,0.033,0.127,0.971,0,0,0
"CFK","No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Patricia Bullrich","Positiva",0.347,0.401,0.274,0.44,0.239,0.484,0.379,0.347,0.249,0.398,0.268,0.758,0.034,0.097,0.664,0,0,0
"Patricia Bullrich","Neutra",0.121,0.148,0.084,0.119,0.154,0.085,0.089,0.06,0.145,0.13,0.154,0.151,0,0.015,0.098,0,0,0
"Patricia Bullrich","Negativa",0.532,0.451,0.642,0.441,0.607,0.431,0.532,0.593,0.606,0.472,0.578,0.091,0.966,0.888,0.238,0,0,0
"Patricia Bullrich","No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Javier Milei","Positiva",0.337,0.42,0.226,0.559,0.216,0.447,0.351,0.347,0.235,0.387,0.265,0.727,0.034,0.083,0.676,0,0,0
"Javier Milei","Neutra",0.102,0.115,0.085,0,0.145,0.101,0.071,0.06,0.143,0.095,0.139,0.114,0,0.014,0.076,0,0,0
"Javier Milei","Negativa",0.561,0.465,0.689,0.441,0.639,0.452,0.578,0.593,0.622,0.518,0.596,0.159,0.966,0.903,0.248,0,0,0
"Javier Milei","No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sergio Massa","Positiva",0.29,0.269,0.317,0,0.334,0.352,0.302,0.428,0.266,0.254,0.313,0.013,0.627,0.593,0.009,0,0,0
"Sergio Massa","Neutra",0.173,0.192,0.147,0,0.232,0.056,0.267,0.164,0.34,0.09,0.181,0.045,0.339,0.253,0.02,0,0,0
"Sergio Massa","Negativa",0.537,0.539,0.536,1,0.434,0.592,0.431,0.408,0.394,0.656,0.506,0.942,0.034,0.154,0.971,0,0,0
"Sergio Massa","No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Juan Schiaretti","Positiva",0.194,0.213,0.169,0.238,0.121,0.167,0.348,0.193,0.067,0.261,0.151,0.389,0,0.042,0.33,0,0,0
"Juan Schiaretti","Neutra",0.41,0.518,0.264,0.44,0.421,0.614,0.16,0.429,0.452,0.381,0.5,0.52,0.18,0.37,0.407,0,0,0
"Juan Schiaretti","Negativa",0.39,0.269,0.553,0.322,0.45,0.207,0.492,0.378,0.472,0.351,0.344,0.091,0.82,0.583,0.254,0,0,0
"Juan Schiaretti","No sabe",0.006,0,0.014,0,0.008,0.012,0,0,0.009,0.007,0.005,0,0,0.005,0.009,0,0,0
"Mauricio Macri","Positiva",0.221,0.23,0.208,0.322,0.145,0.382,0.156,0.214,0.221,0.223,0.186,0.522,0.034,0.092,0.418,0,0,0
"Mauricio Macri","Neutra",0.073,0.097,0.041,0.119,0.056,0.101,0.055,0,0.008,0.132,0.039,0.106,0,0,0.102,0,0,0
"Mauricio Macri","Negativa",0.704,0.673,0.746,0.559,0.799,0.508,0.789,0.786,0.771,0.641,0.775,0.362,0.966,0.908,0.475,0,0,0
"Mauricio Macri","No sabe",0.002,0,0.005,0,0,0.009,0,0,0,0.004,0,0.01,0,0,0.005,0,0,0
