"var","categoria","Es parte de una persecución ideológica","Deja a los argentinos sin una importante oficina de defensa de los derechos de los discapacitados","Representa una reasignación del gasto público en algo mas necesario","Logra disminuir los cargos militantes presentes en el estado","Contribuye a la libertad de pensamiento","No sabe"
"P21","No sabe",0.011,0.026,0.071,0.008,0.019,0.195
"P23","Si",0.32,0.147,0.708,0.741,0.719,0.479
"P23","No",0.62,0.74,0.198,0.183,0.164,0.408
"P23","No sabe",0.06,0.113,0.094,0.076,0.117,0.113
"P27","Inflación",0.319,0.297,0.271,0.192,0.276,0.138
"P27","Desempleo",0.098,0.152,0.071,0.1,0.106,0.062
"P27","Corrupción",0.179,0.171,0.452,0.461,0.324,0.382
"P27","Inseguridad",0.068,0.054,0.122,0.124,0.153,0.258
"P27","Precio del dólar",0.016,0.019,0.009,0.015,0.046,0
"P27","Pobreza",0.194,0.181,0.042,0.047,0.055,0.036
"P27","Narcotráfico",0.003,0.007,0.005,0.021,0.012,0.051
"P27","Tarifas",0.022,0.039,0.009,0.006,0.002,0.056
"P27","Otro",0.097,0.074,0.016,0.033,0.016,0.017
"P27","No sabe",0.004,0.006,0.003,0.001,0.01,0
"P31","Sin deuda",0.345,0.243,0.359,0.336,0.323,0.337
"P31","Menos de 10%",0.12,0.139,0.16,0.19,0.153,0.155
"P31","Entre 10 y 20%",0.091,0.113,0.159,0.143,0.102,0.088
"P31","Entre 20 y 30%",0.077,0.091,0.094,0.09,0.101,0.035
"P31","Entre 30 y 40%",0.083,0.13,0.069,0.062,0.084,0.095
"P31","Mas del 40%",0.228,0.246,0.135,0.143,0.211,0.085
"P31","No sabe",0.056,0.038,0.024,0.036,0.026,0.205
"P32","Gran excedente habitual",0.005,0.002,0.007,0.023,0.009,0
"P32","Gran excedente excepcional",0.006,0.003,0.001,0.008,0.003,0
"P32","Pequeño excedente habitual",0.056,0.047,0.076,0.072,0.047,0.131
"P32","Pequeño excedente excepcional",0.049,0.038,0.064,0.07,0.097,0.037
"P32","Alcanza gastos familia",0.119,0.093,0.146,0.154,0.133,0.022
"P32","No alcanza gastos familia",0.085,0.138,0.147,0.096,0.099,0.055
"P32","Solo NBFamiliares",0.291,0.256,0.27,0.363,0.29,0.218
"P32","No alcanza NBFamiliares",0.38,0.421,0.263,0.2,0.318,0.478
"P32","No sabe",0.009,0.002,0.026,0.014,0.004,0.059
"P33","Muy buena",0.071,0.026,0.078,0.049,0.105,0.014
"P33","Buena",0.081,0.077,0.23,0.224,0.145,0.189
"P33","Ni buena ni mala",0.393,0.364,0.395,0.446,0.43,0.334
"P33","Mala",0.352,0.408,0.231,0.23,0.16,0.296
"P33","Muy mala",0.083,0.116,0.057,0.032,0.154,0.036
"P33","No sabe",0.02,0.009,0.009,0.019,0.006,0.131
"P34","Mejor",0.138,0.037,0.175,0.17,0.137,0.079
"P34","Igual",0.139,0.132,0.371,0.463,0.386,0.346
"P34","Peor",0.704,0.788,0.417,0.355,0.456,0.474
"P34","No sabe",0.019,0.043,0.037,0.012,0.021,0.101
"P35","Mejor",0.17,0.074,0.497,0.484,0.399,0.211
"P35","Igual",0.098,0.141,0.17,0.243,0.183,0.391
"P35","Peor",0.691,0.719,0.247,0.199,0.327,0.21
"P35","No sabe",0.041,0.066,0.086,0.074,0.091,0.188
"P36","Muy buena",0.032,0.05,0.072,0.065,0.132,0.006
"P36","Buena",0.027,0.032,0.103,0.116,0.092,0.092
"P36","Ni buena ni mala",0.174,0.13,0.318,0.262,0.28,0.396
"P36","Mala",0.33,0.363,0.339,0.359,0.322,0.422
"P36","Muy mala",0.436,0.414,0.162,0.174,0.169,0.084
"P36","No sabe",0.001,0.011,0.006,0.024,0.005,0
"P37","Mejor",0.14,0.063,0.367,0.328,0.344,0.164
"P37","Igual",0.085,0.076,0.23,0.302,0.255,0.141
"P37","Peor",0.732,0.829,0.354,0.262,0.324,0.399
"P37","No sabe",0.043,0.032,0.049,0.108,0.077,0.296
"P38","Mejor",0.175,0.091,0.548,0.618,0.501,0.375
"P38","Igual",0.097,0.076,0.192,0.151,0.15,0.158
"P38","Peor",0.698,0.76,0.221,0.171,0.237,0.328
"P38","No sabe",0.03,0.073,0.039,0.06,0.112,0.139
"P39","Muy buena",0.14,0.081,0.385,0.416,0.378,0.178
"P39","Buena",0.092,0.049,0.212,0.272,0.204,0.177
"P39","Ni buena ni mala",0.074,0.164,0.193,0.174,0.15,0.387
"P39","Mala",0.189,0.228,0.126,0.06,0.143,0.171
"P39","Muy mala",0.489,0.462,0.078,0.072,0.11,0.045
"P39","No sabe",0.016,0.016,0.006,0.006,0.015,0.042
"P41","Muy buena",0.124,0.05,0.359,0.37,0.338,0.07
"P41","Buena",0.077,0.068,0.212,0.295,0.23,0.127
"P41","Ni buena ni mala",0.086,0.188,0.179,0.169,0.126,0.377
"P41","Mala",0.246,0.282,0.125,0.083,0.122,0.269
"P41","Muy mala",0.465,0.407,0.088,0.078,0.175,0.036
"P41","No sabe",0.002,0.005,0.037,0.005,0.009,0.121
"P42","Muy buena",0.125,0.057,0.322,0.258,0.238,0.114
"P42","Buena",0.093,0.043,0.217,0.295,0.289,0.162
"P42","Ni buena ni mala",0.078,0.168,0.201,0.24,0.197,0.388
"P42","Mala",0.178,0.264,0.169,0.12,0.091,0.248
"P42","Muy mala",0.517,0.46,0.09,0.073,0.182,0.039
"P42","No sabe",0.009,0.008,0.001,0.014,0.003,0.049
"P43","Muy buena",0.122,0.074,0.385,0.34,0.414,0.135
"P43","Buena",0.083,0.06,0.222,0.303,0.208,0.141
"P43","Ni buena ni mala",0.135,0.179,0.163,0.181,0.201,0.364
"P43","Mala",0.212,0.272,0.153,0.105,0.085,0.32
"P43","Muy mala",0.439,0.393,0.07,0.063,0.089,0.04
"P43","No sabe",0.009,0.022,0.007,0.008,0.003,0
"P44","Muy buena",0.031,0.082,0.03,0.035,0.09,0
"P44","Buena",0.147,0.129,0.05,0.057,0.049,0.133
"P44","Ni buena ni mala",0.263,0.301,0.098,0.095,0.088,0.251
"P44","Mala",0.286,0.325,0.287,0.226,0.202,0.488
"P44","Muy mala",0.273,0.162,0.535,0.587,0.566,0.128
"P44","No sabe",0,0.001,0,0,0.005,0
"P45","Muy buena",0.362,0.392,0.108,0.05,0.154,0.071
"P45","Buena",0.193,0.17,0.039,0.07,0.022,0.119
"P45","Ni buena ni mala",0.118,0.168,0.056,0.05,0.107,0.281
"P45","Mala",0.126,0.134,0.215,0.219,0.209,0.365
"P45","Muy mala",0.201,0.126,0.577,0.609,0.491,0.164
"P45","No sabe",0,0.01,0.005,0.002,0.017,0
"P46","Muy buena",0.088,0.049,0.154,0.176,0.206,0.087
"P46","Buena",0.095,0.043,0.213,0.293,0.226,0.053
"P46","Ni buena ni mala",0.101,0.128,0.197,0.29,0.199,0.329
"P46","Mala",0.168,0.275,0.249,0.14,0.138,0.456
"P46","Muy mala",0.547,0.499,0.187,0.098,0.213,0.075
"P46","No sabe",0.001,0.006,0,0.003,0.018,0
"P47","Muy buena",0.055,0.03,0.055,0.073,0.089,0.01
"P47","Buena",0.094,0.098,0.099,0.109,0.165,0.029
"P47","Ni buena ni mala",0.268,0.342,0.296,0.344,0.232,0.379
"P47","Mala",0.394,0.279,0.265,0.29,0.243,0.374
"P47","Muy mala",0.187,0.204,0.261,0.174,0.239,0.065
"P47","No sabe",0.002,0.047,0.024,0.01,0.032,0.143
"P48","Muy buena",0.156,0.238,0.096,0.069,0.132,0.052
"P48","Buena",0.212,0.211,0.038,0.048,0.027,0.09
"P48","Ni buena ni mala",0.311,0.272,0.1,0.104,0.119,0.327
"P48","Mala",0.13,0.178,0.265,0.229,0.19,0.327
"P48","Muy mala",0.19,0.1,0.486,0.547,0.525,0.204
"P48","No sabe",0.001,0.001,0.015,0.003,0.007,0
"P49","Muy buena",0.123,0.084,0.11,0.148,0.158,0.04
"P49","Buena",0.06,0.05,0.184,0.254,0.254,0.108
"P49","Ni buena ni mala",0.173,0.254,0.296,0.354,0.214,0.468
"P49","Mala",0.207,0.246,0.199,0.13,0.186,0.324
"P49","Muy mala",0.434,0.346,0.17,0.111,0.185,0.06
"P49","No sabe",0.003,0.02,0.041,0.003,0.003,0
"P50","Muy buena",0.449,0.373,0.114,0.053,0.123,0.018
"P50","Buena",0.134,0.216,0.036,0.082,0.086,0.057
"P50","Ni buena ni mala",0.111,0.188,0.072,0.116,0.095,0.602
"P50","Mala",0.089,0.105,0.232,0.194,0.11,0.142
"P50","Muy mala",0.213,0.089,0.534,0.552,0.576,0.181
"P50","No sabe",0.004,0.029,0.012,0.003,0.01,0
"P51","Muy buena",0.06,0.066,0.218,0.23,0.254,0.131
"P51","Buena",0.134,0.065,0.167,0.264,0.163,0.066
"P51","Ni buena ni mala",0.146,0.183,0.359,0.308,0.287,0.55
"P51","Mala",0.116,0.147,0.106,0.072,0.082,0.066
"P51","Muy mala",0.533,0.482,0.147,0.113,0.188,0.047
"P51","No sabe",0.011,0.057,0.003,0.013,0.026,0.14
"P52","Muy buena",0.146,0.069,0.504,0.5,0.504,0.184
"P52","Buena",0.113,0.072,0.143,0.199,0.105,0.07
"P52","Ni buena ni mala",0.064,0.096,0.157,0.13,0.147,0.439
"P52","Mala",0.101,0.191,0.087,0.087,0.106,0.254
"P52","Muy mala",0.568,0.554,0.108,0.083,0.137,0.045
"P52","No sabe",0.008,0.018,0.001,0.001,0.001,0.008
"P53","Muy buena",0.137,0.041,0.325,0.457,0.413,0.163
"P53","Buena",0.121,0.076,0.245,0.256,0.202,0.049
"P53","Ni buena ni mala",0.075,0.144,0.202,0.103,0.134,0.436
"P53","Mala",0.089,0.178,0.12,0.096,0.056,0.253
"P53","Muy mala",0.573,0.559,0.106,0.084,0.195,0.092
"P53","No sabe",0.005,0.002,0.002,0.004,0,0.007
"P54","Muy buena",0.254,0.2,0.045,0.059,0.102,0.008
"P54","Buena",0.211,0.197,0.093,0.085,0.11,0.029
"P54","Ni buena ni mala",0.26,0.289,0.306,0.312,0.248,0.555
"P54","Mala",0.064,0.155,0.214,0.194,0.177,0.109
"P54","Muy mala",0.191,0.089,0.305,0.301,0.316,0.051
"P54","No sabe",0.02,0.07,0.037,0.049,0.047,0.248
"P55","Muy buena",0.08,0.05,0.009,0.029,0.03,0.024
"P55","Buena",0.169,0.223,0.066,0.088,0.043,0.008
"P55","Ni buena ni mala",0.431,0.416,0.248,0.216,0.224,0.45
"P55","Mala",0.101,0.11,0.201,0.18,0.12,0.129
"P55","Muy mala",0.195,0.104,0.421,0.444,0.513,0.136
"P55","No sabe",0.024,0.097,0.055,0.043,0.07,0.253
"P56","Muy buena",0.026,0.032,0.013,0.045,0.04,0.01
"P56","Buena",0.131,0.104,0.119,0.123,0.111,0.011
"P56","Ni buena ni mala",0.466,0.478,0.324,0.342,0.23,0.64
"P56","Mala",0.253,0.23,0.173,0.245,0.175,0.181
"P56","Muy mala",0.119,0.118,0.29,0.207,0.422,0.081
"P56","No sabe",0.005,0.038,0.081,0.038,0.022,0.077
"P58","Muy buena",0.185,0.064,0.435,0.509,0.409,0.124
"P58","Buena",0.073,0.092,0.195,0.195,0.152,0.096
"P58","Ni buena ni mala",0.097,0.195,0.127,0.104,0.163,0.634
"P58","Mala",0.115,0.143,0.088,0.09,0.087,0.061
"P58","Muy mala",0.525,0.463,0.113,0.094,0.175,0.044
"P58","No sabe",0.005,0.043,0.042,0.008,0.014,0.041
"P59","Muy buena",0.109,0.069,0.153,0.126,0.2,0.28
"P59","Buena",0.147,0.143,0.231,0.218,0.159,0.155
"P59","Ni buena ni mala",0.329,0.322,0.396,0.414,0.392,0.473
"P59","Mala",0.224,0.261,0.116,0.114,0.101,0.048
"P59","Muy mala",0.185,0.17,0.06,0.102,0.077,0.012
"P59","No sabe",0.006,0.035,0.044,0.026,0.071,0.032
"P60","Muy buena",0.054,0.016,0.206,0.213,0.322,0.106
"P60","Buena",0.077,0.057,0.288,0.267,0.192,0.076
"P60","Ni buena ni mala",0.19,0.174,0.243,0.306,0.233,0.399
"P60","Mala",0.094,0.177,0.125,0.076,0.07,0.097
"P60","Muy mala",0.563,0.546,0.114,0.123,0.153,0.276
"P60","No sabe",0.022,0.03,0.024,0.015,0.03,0.046
"P61","Muy buena",0.035,0.016,0.164,0.184,0.156,0.113
"P61","Buena",0.102,0.018,0.168,0.208,0.165,0.035
"P61","Ni buena ni mala",0.275,0.348,0.337,0.378,0.385,0.465
"P61","Mala",0.164,0.217,0.15,0.072,0.064,0.063
"P61","Muy mala",0.376,0.323,0.095,0.069,0.1,0.235
"P61","No sabe",0.048,0.078,0.086,0.089,0.13,0.089
"P64","Muy buena",0.052,0.048,0.026,0.053,0.091,0.199
"P64","Buena",0.069,0.106,0.118,0.101,0.11,0.098
"P64","Ni buena ni mala",0.521,0.441,0.469,0.441,0.381,0.381
"P64","Mala",0.123,0.167,0.203,0.165,0.14,0.117
"P64","Muy mala",0.172,0.132,0.103,0.109,0.172,0.079
"P64","No sabe",0.063,0.106,0.081,0.131,0.106,0.126
"P65","Radio",0.161,0.191,0.102,0.104,0.127,0.236
"P65","Televisión",0.299,0.275,0.377,0.419,0.477,0.467
"P65","Diario",0.118,0.073,0.032,0.056,0.036,0.03
"P65","Medio digital",0.219,0.232,0.22,0.268,0.13,0.056
"P65","Redes Sociales",0.12,0.178,0.243,0.126,0.196,0.202
"P65","Ninguno en particular",0.083,0.05,0.024,0.025,0.034,0.009
"P65","No sabe",0,0.001,0.002,0.002,0,0
"P66","Muy buena",0.056,0.093,0.074,0.029,0.062,0.047
"P66","Buena",0.229,0.217,0.113,0.123,0.112,0.091
"P66","Ni buena ni mala",0.308,0.397,0.244,0.355,0.273,0.454
"P66","Mala",0.286,0.198,0.329,0.307,0.207,0.279
"P66","Muy mala",0.073,0.091,0.218,0.177,0.328,0.078
"P66","No sabe",0.048,0.004,0.022,0.009,0.018,0.051
"P67","Muy buena",0.013,0.011,0.067,0.016,0.056,0.053
"P67","Buena",0.059,0.083,0.081,0.069,0.089,0.03
"P67","Ni buena ni mala",0.263,0.254,0.309,0.346,0.193,0.398
"P67","Mala",0.311,0.313,0.322,0.331,0.294,0.102
"P67","Muy mala",0.34,0.333,0.213,0.23,0.364,0.417
"P67","No sabe",0.014,0.006,0.008,0.008,0.004,0
