"var","categoria","Mejor","Igual","Peor","No sabe"
"P32","Gran excedente excepcional",0.006,0.006,0.005,0.002
"P32","Pequeño excedente habitual",0.066,0.067,0.046,0.039
"P32","Pequeño excedente excepcional",0.079,0.067,0.04,0.04
"P32","Alcanza gastos familia",0.172,0.138,0.107,0.103
"P32","No alcanza gastos familia",0.11,0.138,0.124,0.186
"P32","Solo NBFamiliares",0.318,0.342,0.232,0.234
"P32","No alcanza NBFamiliares",0.219,0.222,0.436,0.352
"P32","No sabe",0.015,0.008,0.006,0.042
"P33","Muy buena",0.067,0.061,0.034,0.021
"P33","Buena",0.217,0.189,0.096,0.078
"P33","Ni buena ni mala",0.479,0.471,0.306,0.407
"P33","Mala",0.193,0.203,0.414,0.379
"P33","Muy mala",0.041,0.06,0.14,0.088
"P33","No sabe",0.003,0.016,0.01,0.027
"P34","Mejor",0.23,0.062,0.03,0.078
"P34","Igual",0.486,0.518,0.055,0.31
"P34","Peor",0.249,0.387,0.888,0.5
"P34","No sabe",0.035,0.033,0.027,0.112
"P36","Muy buena",0.064,0.03,0.068,0.002
"P36","Buena",0.14,0.183,0.008,0.033
"P36","Ni buena ni mala",0.363,0.286,0.087,0.205
"P36","Mala",0.317,0.332,0.374,0.519
"P36","Muy mala",0.104,0.157,0.457,0.172
"P36","No sabe",0.012,0.012,0.006,0.069
"P37","Mejor",0.464,0.208,0.039,0.129
"P37","Igual",0.29,0.353,0.04,0.277
"P37","Peor",0.181,0.368,0.876,0.463
"P37","No sabe",0.065,0.071,0.045,0.131
"P38","Mejor",0.856,0.392,0.04,0.229
"P38","Igual",0.077,0.362,0.061,0.152
"P38","Peor",0.032,0.208,0.862,0.192
"P38","No sabe",0.035,0.038,0.037,0.427
"P39","Muy buena",0.549,0.243,0.088,0.121
"P39","Buena",0.274,0.308,0.043,0.18
"P39","Ni buena ni mala",0.144,0.269,0.085,0.357
"P39","Mala",0.017,0.111,0.294,0.188
"P39","Muy mala",0.005,0.058,0.477,0.071
"P39","No sabe",0.011,0.011,0.013,0.083
"P41","Muy buena",0.477,0.218,0.054,0.121
"P41","Buena",0.33,0.295,0.052,0.157
"P41","Ni buena ni mala",0.121,0.288,0.102,0.324
"P41","Mala",0.036,0.118,0.313,0.221
"P41","Muy mala",0.026,0.062,0.462,0.072
"P41","No sabe",0.01,0.019,0.017,0.105
"P42","Muy buena",0.374,0.162,0.049,0.112
"P42","Buena",0.351,0.274,0.039,0.119
"P42","Ni buena ni mala",0.215,0.343,0.104,0.406
"P42","Mala",0.032,0.118,0.281,0.187
"P42","Muy mala",0.012,0.081,0.512,0.112
"P42","No sabe",0.016,0.022,0.015,0.064
"P43","Muy buena",0.485,0.235,0.06,0.138
"P43","Buena",0.283,0.294,0.049,0.199
"P43","Ni buena ni mala",0.157,0.239,0.158,0.293
"P43","Mala",0.05,0.153,0.291,0.196
"P43","Muy mala",0.021,0.064,0.435,0.104
"P43","No sabe",0.004,0.015,0.007,0.07
"P44","Muy buena",0.012,0.034,0.088,0.04
"P44","Buena",0.019,0.069,0.14,0.074
"P44","Ni buena ni mala",0.078,0.136,0.289,0.234
"P44","Mala",0.247,0.319,0.256,0.284
"P44","Muy mala",0.642,0.437,0.222,0.345
"P44","No sabe",0.002,0.005,0.005,0.023
"P45","Muy buena",0.028,0.083,0.406,0.075
"P45","Buena",0.028,0.099,0.163,0.102
"P45","Ni buena ni mala",0.056,0.099,0.15,0.212
"P45","Mala",0.194,0.222,0.129,0.231
"P45","Muy mala",0.685,0.483,0.146,0.357
"P45","No sabe",0.009,0.014,0.006,0.023
"P46","Muy buena",0.212,0.106,0.043,0.082
"P46","Buena",0.296,0.239,0.039,0.132
"P46","Ni buena ni mala",0.294,0.312,0.085,0.342
"P46","Mala",0.121,0.237,0.275,0.245
"P46","Muy mala",0.074,0.095,0.555,0.17
"P46","No sabe",0.003,0.011,0.003,0.029
"P47","Muy buena",0.057,0.052,0.048,0.072
"P47","Buena",0.092,0.166,0.102,0.143
"P47","Ni buena ni mala",0.273,0.358,0.323,0.361
"P47","Mala",0.289,0.246,0.295,0.253
"P47","Muy mala",0.262,0.161,0.214,0.099
"P47","No sabe",0.027,0.017,0.018,0.072
"P48","Muy buena",0.021,0.07,0.227,0.064
"P48","Buena",0.019,0.073,0.221,0.108
"P48","Ni buena ni mala",0.08,0.16,0.263,0.225
"P48","Mala",0.222,0.251,0.144,0.219
"P48","Muy mala",0.651,0.443,0.141,0.362
"P48","No sabe",0.007,0.003,0.004,0.022
"P49","Muy buena",0.189,0.104,0.053,0.082
"P49","Buena",0.244,0.266,0.051,0.188
"P49","Ni buena ni mala",0.329,0.345,0.186,0.401
"P49","Mala",0.132,0.158,0.272,0.188
"P49","Muy mala",0.094,0.112,0.423,0.096
"P49","No sabe",0.012,0.015,0.015,0.045
"P50","Muy buena",0.017,0.073,0.438,0.1
"P50","Buena",0.024,0.069,0.189,0.065
"P50","Ni buena ni mala",0.094,0.197,0.149,0.276
"P50","Mala",0.187,0.198,0.086,0.175
"P50","Muy mala",0.665,0.457,0.125,0.34
"P50","No sabe",0.013,0.006,0.013,0.044
"P51","Muy buena",0.328,0.145,0.057,0.081
"P51","Buena",0.236,0.207,0.043,0.184
"P51","Ni buena ni mala",0.299,0.394,0.174,0.426
"P51","Mala",0.039,0.106,0.208,0.084
"P51","Muy mala",0.064,0.125,0.495,0.095
"P51","No sabe",0.034,0.023,0.023,0.13
"P52","Muy buena",0.709,0.317,0.053,0.25
"P52","Buena",0.18,0.251,0.029,0.227
"P52","Ni buena ni mala",0.076,0.22,0.09,0.294
"P52","Mala",0.018,0.097,0.221,0.112
"P52","Muy mala",0.014,0.112,0.599,0.095
"P52","No sabe",0.003,0.003,0.008,0.022
"P53","Muy buena",0.489,0.304,0.046,0.234
"P53","Buena",0.312,0.273,0.041,0.247
"P53","Ni buena ni mala",0.131,0.222,0.104,0.212
"P53","Mala",0.039,0.087,0.203,0.17
"P53","Muy mala",0.026,0.113,0.602,0.116
"P53","No sabe",0.003,0.001,0.004,0.021
"P54","Muy buena",0.031,0.056,0.208,0.047
"P54","Buena",0.088,0.112,0.179,0.085
"P54","Ni buena ni mala",0.282,0.319,0.314,0.339
"P54","Mala",0.177,0.195,0.118,0.204
"P54","Muy mala",0.351,0.265,0.146,0.142
"P54","No sabe",0.071,0.053,0.035,0.183
"P55","Muy buena",0.013,0.006,0.075,0.002
"P55","Buena",0.031,0.102,0.173,0.048
"P55","Ni buena ni mala",0.205,0.296,0.427,0.303
"P55","Mala",0.146,0.167,0.121,0.186
"P55","Muy mala",0.526,0.382,0.156,0.273
"P55","No sabe",0.079,0.047,0.048,0.188
"P56","Muy buena",0.03,0.035,0.041,0.05
"P56","Buena",0.093,0.147,0.111,0.1
"P56","Ni buena ni mala",0.307,0.37,0.428,0.468
"P56","Mala",0.192,0.203,0.235,0.124
"P56","Muy mala",0.333,0.21,0.14,0.095
"P56","No sabe",0.045,0.035,0.045,0.163
"P58","Muy buena",0.641,0.353,0.051,0.277
"P58","Buena",0.16,0.215,0.057,0.183
"P58","Ni buena ni mala",0.112,0.237,0.174,0.275
"P58","Mala",0.033,0.078,0.184,0.072
"P58","Muy mala",0.039,0.098,0.5,0.094
"P58","No sabe",0.015,0.019,0.034,0.099
"P59","Muy buena",0.156,0.12,0.069,0.143
"P59","Buena",0.256,0.244,0.096,0.128
"P59","Ni buena ni mala",0.412,0.42,0.362,0.481
"P59","Mala",0.091,0.093,0.226,0.077
"P59","Muy mala",0.048,0.078,0.207,0.051
"P59","No sabe",0.037,0.045,0.04,0.12
"P60","Muy buena",0.297,0.113,0.034,0.116
"P60","Buena",0.299,0.256,0.04,0.124
"P60","Ni buena ni mala",0.292,0.371,0.134,0.386
"P60","Mala",0.054,0.099,0.151,0.116
"P60","Muy mala",0.031,0.139,0.611,0.136
"P60","No sabe",0.027,0.022,0.03,0.122
"P61","Muy buena",0.257,0.135,0.026,0.102
"P61","Buena",0.213,0.141,0.041,0.097
"P61","Ni buena ni mala",0.36,0.461,0.3,0.437
"P61","Mala",0.04,0.083,0.187,0.068
"P61","Muy mala",0.038,0.088,0.371,0.063
"P61","No sabe",0.092,0.092,0.075,0.233
"P64","Muy buena",0.031,0.049,0.056,0.043
"P64","Buena",0.098,0.114,0.092,0.082
"P64","Ni buena ni mala",0.457,0.514,0.438,0.458
"P64","Mala",0.143,0.148,0.159,0.104
"P64","Muy mala",0.145,0.08,0.164,0.069
"P64","No sabe",0.126,0.095,0.091,0.244
"P65","Radio",0.109,0.135,0.164,0.109
"P65","Televisión",0.414,0.4,0.319,0.412
"P65","Diario",0.055,0.085,0.074,0.064
"P65","Medio digital",0.211,0.156,0.203,0.121
"P65","Redes Sociales",0.163,0.182,0.179,0.199
"P65","Ninguno en particular",0.048,0.041,0.06,0.095
"P65","No sabe",0,0.001,0.001,0
"P66","Muy buena",0.071,0.033,0.091,0.04
"P66","Buena",0.118,0.186,0.224,0.098
"P66","Ni buena ni mala",0.271,0.316,0.352,0.421
"P66","Mala",0.291,0.327,0.194,0.278
"P66","Muy mala",0.227,0.132,0.116,0.102
"P66","No sabe",0.022,0.006,0.023,0.061
"P67","Muy buena",0.04,0.012,0.04,0.001
"P67","Buena",0.116,0.08,0.069,0.099
"P67","Ni buena ni mala",0.317,0.39,0.226,0.403
"P67","Mala",0.281,0.313,0.276,0.277
"P67","Muy mala",0.222,0.194,0.374,0.171
"P67","No sabe",0.024,0.011,0.015,0.049
