"var","categoria","Salva muchas vidas","Logra disminuir la cantidad de abortos que se producen","Representa una reasignación del gasto público en algo más necesario","Deja desprotegidas a las mujeres que lo hacen clandestinamente","Representa un retroceso en la lucha de los derechos de las mujeres","No sabe"
"P35","Igual",0.16,0.291,0.216,0.145,0.121,0.25
"P35","Peor",0.236,0.346,0.207,0.562,0.655,0.21
"P35","No sabe",0.101,0.037,0.094,0.055,0.068,0.119
"P36","Muy buena",0.094,0.034,0.088,0.077,0.046,0.006
"P36","Buena",0.112,0.112,0.091,0.067,0.029,0.081
"P36","Ni buena ni mala",0.263,0.281,0.347,0.181,0.163,0.265
"P36","Mala",0.373,0.411,0.313,0.335,0.291,0.495
"P36","Muy mala",0.152,0.16,0.127,0.331,0.468,0.12
"P36","No sabe",0.006,0.002,0.034,0.009,0.003,0.033
"P37","Mejor",0.32,0.278,0.404,0.163,0.13,0.321
"P37","Igual",0.241,0.216,0.3,0.126,0.103,0.341
"P37","Peor",0.36,0.368,0.221,0.673,0.726,0.258
"P37","No sabe",0.079,0.138,0.075,0.038,0.041,0.08
"P38","Mejor",0.523,0.425,0.636,0.272,0.193,0.621
"P38","Igual",0.164,0.159,0.159,0.108,0.113,0.111
"P38","Peor",0.24,0.359,0.14,0.564,0.639,0.189
"P38","No sabe",0.073,0.057,0.065,0.056,0.055,0.079
"P39","Muy buena",0.438,0.234,0.441,0.197,0.132,0.395
"P39","Buena",0.189,0.241,0.215,0.161,0.086,0.22
"P39","Ni buena ni mala",0.141,0.188,0.178,0.163,0.145,0.204
"P39","Mala",0.125,0.18,0.108,0.151,0.173,0.081
"P39","Muy mala",0.087,0.155,0.05,0.319,0.454,0.067
"P39","No sabe",0.02,0.002,0.008,0.009,0.01,0.033
"P41","Muy buena",0.405,0.18,0.381,0.172,0.119,0.358
"P41","Buena",0.221,0.183,0.259,0.176,0.091,0.239
"P41","Ni buena ni mala",0.15,0.217,0.156,0.149,0.132,0.267
"P41","Mala",0.124,0.215,0.112,0.203,0.213,0.065
"P41","Muy mala",0.085,0.2,0.075,0.283,0.429,0.063
"P41","No sabe",0.015,0.005,0.017,0.017,0.016,0.008
"P42","Muy buena",0.318,0.148,0.329,0.152,0.074,0.301
"P42","Buena",0.272,0.173,0.26,0.13,0.125,0.237
"P42","Ni buena ni mala",0.155,0.274,0.227,0.201,0.132,0.202
"P42","Mala",0.154,0.225,0.111,0.173,0.194,0.144
"P42","Muy mala",0.096,0.178,0.064,0.338,0.467,0.07
"P42","No sabe",0.005,0.002,0.009,0.006,0.008,0.046
"P43","Muy buena",0.4,0.252,0.391,0.213,0.138,0.187
"P43","Buena",0.225,0.163,0.227,0.149,0.136,0.292
"P43","Ni buena ni mala",0.165,0.193,0.158,0.195,0.146,0.277
"P43","Mala",0.103,0.242,0.157,0.166,0.208,0.139
"P43","Muy mala",0.081,0.145,0.062,0.272,0.365,0.085
"P43","No sabe",0.026,0.005,0.005,0.005,0.007,0.02
"P44","Muy buena",0.043,0.052,0.057,0.073,0.025,0.081
"P44","Buena",0.07,0.071,0.066,0.094,0.127,0.022
"P44","Ni buena ni mala",0.105,0.192,0.054,0.233,0.251,0.059
"P44","Mala",0.206,0.284,0.246,0.249,0.349,0.323
"P44","Muy mala",0.576,0.401,0.577,0.351,0.247,0.503
"P44","No sabe",0,0,0,0,0.001,0.012
"P45","Muy buena",0.118,0.134,0.063,0.305,0.327,0.076
"P45","Buena",0.076,0.093,0.037,0.117,0.155,0.057
"P45","Ni buena ni mala",0.063,0.106,0.023,0.118,0.175,0.043
"P45","Mala",0.183,0.259,0.272,0.147,0.144,0.146
"P45","Muy mala",0.549,0.401,0.605,0.305,0.198,0.666
"P45","No sabe",0.011,0.007,0,0.008,0.001,0.012
"P46","Muy buena",0.148,0.115,0.254,0.107,0.076,0.116
"P46","Buena",0.24,0.201,0.245,0.144,0.083,0.223
"P46","Ni buena ni mala",0.245,0.224,0.21,0.18,0.124,0.263
"P46","Mala",0.195,0.251,0.196,0.192,0.187,0.257
"P46","Muy mala",0.172,0.2,0.094,0.368,0.529,0.122
"P46","No sabe",0,0.009,0.001,0.009,0.001,0.019
"P47","Muy buena",0.018,0.03,0.108,0.084,0.051,0.053
"P47","Buena",0.104,0.113,0.089,0.114,0.112,0.122
"P47","Ni buena ni mala",0.298,0.39,0.297,0.323,0.272,0.282
"P47","Mala",0.269,0.282,0.272,0.286,0.315,0.39
"P47","Muy mala",0.253,0.185,0.204,0.161,0.241,0.151
"P47","No sabe",0.058,0,0.03,0.032,0.009,0.002
"P48","Muy buena",0.123,0.095,0.084,0.187,0.156,0.1
"P48","Buena",0.068,0.127,0.03,0.119,0.178,0.024
"P48","Ni buena ni mala",0.132,0.154,0.114,0.241,0.239,0.053
"P48","Mala",0.164,0.279,0.234,0.178,0.213,0.217
"P48","Muy mala",0.511,0.345,0.537,0.257,0.213,0.594
"P48","No sabe",0.002,0,0.001,0.018,0.001,0.012
"P49","Muy buena",0.171,0.119,0.125,0.118,0.087,0.087
"P49","Buena",0.172,0.133,0.217,0.151,0.122,0.234
"P49","Ni buena ni mala",0.313,0.372,0.336,0.194,0.181,0.484
"P49","Mala",0.206,0.213,0.194,0.225,0.165,0.095
"P49","Muy mala",0.123,0.163,0.111,0.285,0.437,0.083
"P49","No sabe",0.015,0,0.017,0.027,0.008,0.017
"P50","Muy buena",0.114,0.14,0.079,0.268,0.372,0.083
"P50","Buena",0.073,0.12,0.063,0.13,0.164,0.064
"P50","Ni buena ni mala",0.108,0.134,0.143,0.181,0.103,0.072
"P50","Mala",0.162,0.242,0.173,0.113,0.113,0.202
"P50","Muy mala",0.529,0.363,0.54,0.285,0.239,0.556
"P50","No sabe",0.014,0.001,0.002,0.023,0.009,0.023
"P51","Muy buena",0.249,0.123,0.274,0.135,0.079,0.172
"P51","Buena",0.181,0.206,0.213,0.144,0.108,0.144
"P51","Ni buena ni mala",0.266,0.315,0.312,0.26,0.184,0.418
"P51","Mala",0.062,0.147,0.107,0.126,0.11,0.041
"P51","Muy mala",0.173,0.199,0.08,0.319,0.517,0.154
"P51","No sabe",0.069,0.01,0.014,0.016,0.002,0.071
"P52","Muy buena",0.482,0.287,0.632,0.221,0.165,0.447
"P52","Buena",0.158,0.187,0.102,0.125,0.072,0.243
"P52","Ni buena ni mala",0.153,0.147,0.103,0.134,0.106,0.093
"P52","Mala",0.078,0.2,0.108,0.133,0.119,0.053
"P52","Muy mala",0.11,0.178,0.054,0.381,0.538,0.155
"P52","No sabe",0.019,0.001,0.001,0.006,0,0.009
"P53","Muy buena",0.37,0.297,0.416,0.202,0.157,0.294
"P53","Buena",0.252,0.182,0.26,0.139,0.088,0.279
"P53","Ni buena ni mala",0.133,0.157,0.131,0.14,0.119,0.222
"P53","Mala",0.099,0.155,0.093,0.153,0.105,0.061
"P53","Muy mala",0.143,0.209,0.097,0.363,0.531,0.125
"P53","No sabe",0.003,0,0.003,0.003,0,0.019
"P54","Muy buena",0.097,0.075,0.101,0.136,0.196,0.004
"P54","Buena",0.092,0.115,0.052,0.17,0.217,0.04
"P54","Ni buena ni mala",0.267,0.385,0.302,0.336,0.228,0.27
"P54","Mala",0.156,0.198,0.237,0.141,0.127,0.204
"P54","Muy mala",0.297,0.19,0.276,0.167,0.21,0.365
"P54","No sabe",0.091,0.037,0.032,0.05,0.022,0.117
"P55","Muy buena",0.021,0.052,0.001,0.055,0.056,0.008
"P55","Buena",0.094,0.089,0.08,0.166,0.167,0.002
"P55","Ni buena ni mala",0.175,0.369,0.187,0.4,0.384,0.244
"P55","Mala",0.169,0.172,0.234,0.125,0.089,0.118
"P55","Muy mala",0.446,0.276,0.439,0.212,0.255,0.474
"P55","No sabe",0.095,0.042,0.059,0.042,0.049,0.154
"P56","Muy buena",0.029,0.031,0.014,0.051,0.033,0
"P56","Buena",0.098,0.154,0.083,0.112,0.133,0.109
"P56","Ni buena ni mala",0.369,0.405,0.27,0.418,0.395,0.424
"P56","Mala",0.173,0.228,0.272,0.252,0.201,0.134
"P56","Muy mala",0.283,0.175,0.281,0.142,0.207,0.239
"P56","No sabe",0.048,0.007,0.08,0.025,0.031,0.094
"P58","Muy buena",0.513,0.329,0.509,0.19,0.132,0.437
"P58","Buena",0.145,0.13,0.093,0.191,0.124,0.242
"P58","Ni buena ni mala",0.116,0.187,0.154,0.158,0.146,0.106
"P58","Mala",0.058,0.18,0.149,0.083,0.106,0.057
"P58","Muy mala",0.123,0.164,0.076,0.37,0.468,0.094
"P58","No sabe",0.045,0.01,0.019,0.008,0.024,0.064
"P59","Muy buena",0.212,0.17,0.079,0.088,0.098,0.155
"P59","Buena",0.197,0.181,0.234,0.191,0.155,0.104
"P59","Ni buena ni mala",0.379,0.354,0.393,0.4,0.322,0.482
"P59","Mala",0.114,0.155,0.217,0.157,0.193,0.079
"P59","Muy mala",0.067,0.1,0.052,0.145,0.186,0.096
"P59","No sabe",0.031,0.04,0.025,0.019,0.046,0.084
"P60","Muy buena",0.238,0.156,0.264,0.081,0.096,0.108
"P60","Buena",0.241,0.213,0.228,0.172,0.064,0.304
"P60","Ni buena ni mala",0.256,0.288,0.25,0.229,0.174,0.322
"P60","Mala",0.109,0.101,0.163,0.097,0.11,0.076
"P60","Muy mala",0.136,0.232,0.081,0.4,0.523,0.117
"P60","No sabe",0.02,0.01,0.014,0.021,0.033,0.073
"P61","Muy buena",0.179,0.098,0.167,0.066,0.063,0.185
"P61","Buena",0.178,0.204,0.121,0.128,0.051,0.174
"P61","Ni buena ni mala",0.311,0.41,0.346,0.388,0.304,0.41
"P61","Mala",0.115,0.131,0.19,0.157,0.118,0.038
"P61","Muy mala",0.082,0.138,0.036,0.21,0.389,0.089
"P61","No sabe",0.135,0.019,0.14,0.051,0.075,0.104
"P64","Muy buena",0.048,0.05,0.026,0.06,0.078,0.031
"P64","Buena",0.164,0.118,0.093,0.079,0.068,0.107
"P64","Ni buena ni mala",0.427,0.482,0.422,0.534,0.395,0.416
"P64","Mala",0.128,0.173,0.254,0.118,0.168,0.18
"P64","Muy mala",0.117,0.11,0.096,0.106,0.189,0.166
"P64","No sabe",0.116,0.067,0.109,0.103,0.102,0.1
"P65","Radio",0.128,0.122,0.082,0.179,0.14,0.177
"P65","Televisión",0.351,0.456,0.436,0.312,0.333,0.409
"P65","Diario",0.058,0.07,0.03,0.081,0.06,0.056
"P65","Medio digital",0.251,0.212,0.274,0.213,0.191,0.142
"P65","Redes Sociales",0.188,0.112,0.15,0.156,0.217,0.195
"P65","Ninguno en particular",0.022,0.028,0.028,0.056,0.059,0.021
"P65","No sabe",0.002,0,0,0.003,0,0
"P66","Muy buena",0.098,0.05,0.043,0.07,0.049,0.033
"P66","Buena",0.124,0.174,0.051,0.231,0.199,0.043
"P66","Ni buena ni mala",0.27,0.303,0.31,0.379,0.358,0.292
"P66","Mala",0.255,0.27,0.411,0.217,0.23,0.302
"P66","Muy mala",0.243,0.182,0.144,0.102,0.142,0.299
"P66","No sabe",0.01,0.021,0.041,0.001,0.022,0.031
"P67","Muy buena",0.055,0.007,0.047,0.034,0.017,0
"P67","Buena",0.097,0.119,0.042,0.076,0.059,0.051
"P67","Ni buena ni mala",0.29,0.273,0.289,0.316,0.242,0.351
"P67","Mala",0.31,0.321,0.356,0.261,0.32,0.371
"P67","Muy mala",0.245,0.277,0.253,0.308,0.354,0.203
"P67","No sabe",0.003,0.003,0.013,0.005,0.008,0.024
