"var","categoria","Logra disminuir los cargos militantes presentes en el estado","Evita la manipulación de la información por parte del estado","Representa una reasignación del gasto público en algo más necesario","Constituye una grave violación al derecho de libertad de expresión en Argentina","Es parte de la persecución ideológica","No sabe"
"P27","Precio del dólar",0.03,0.024,0.007,0.015,0.007,0.068
"P27","Pobreza",0.027,0.057,0.039,0.186,0.173,0.05
"P27","Narcotráfico",0.009,0.003,0.012,0.009,0.015,0.062
"P27","Tarifas",0.005,0.005,0.005,0.032,0.03,0.041
"P27","Otro",0.023,0.033,0.017,0.08,0.07,0.015
"P27","No sabe",0.001,0.004,0.014,0.002,0.003,0
"P31","Sin deuda",0.362,0.369,0.297,0.284,0.296,0.292
"P31","Menos de 10%",0.156,0.145,0.258,0.128,0.126,0.051
"P31","Entre 10 y 20%",0.116,0.146,0.163,0.097,0.114,0.183
"P31","Entre 20 y 30%",0.063,0.094,0.08,0.107,0.097,0.131
"P31","Entre 30 y 40%",0.087,0.063,0.069,0.103,0.084,0.144
"P31","Mas del 40%",0.171,0.156,0.107,0.247,0.238,0.059
"P31","No sabe",0.045,0.027,0.026,0.034,0.045,0.14
"P32","Gran excedente habitual",0.013,0.013,0.014,0.004,0.002,0.034
"P32","Gran excedente excepcional",0.003,0.004,0.005,0.003,0.008,0
"P32","Pequeño excedente habitual",0.078,0.073,0.047,0.047,0.081,0.021
"P32","Pequeño excedente excepcional",0.086,0.059,0.066,0.065,0.022,0.025
"P32","Alcanza gastos familia",0.134,0.108,0.144,0.117,0.151,0.065
"P32","No alcanza gastos familia",0.097,0.144,0.096,0.132,0.096,0.149
"P32","Solo NBFamiliares",0.282,0.289,0.379,0.263,0.302,0.205
"P32","No alcanza NBFamiliares",0.279,0.293,0.243,0.364,0.334,0.464
"P32","No sabe",0.028,0.017,0.006,0.005,0.004,0.037
"P33","Muy buena",0.086,0.042,0.07,0.018,0.084,0.14
"P33","Buena",0.181,0.201,0.197,0.094,0.176,0.063
"P33","Ni buena ni mala",0.447,0.423,0.459,0.393,0.27,0.456
"P33","Mala",0.217,0.232,0.235,0.364,0.342,0.262
"P33","Muy mala",0.051,0.059,0.039,0.117,0.128,0.053
"P33","No sabe",0.018,0.043,0,0.014,0,0.026
"P34","Mejor",0.241,0.08,0.182,0.067,0.071,0.128
"P34","Igual",0.439,0.401,0.461,0.153,0.122,0.315
"P34","Peor",0.302,0.491,0.344,0.725,0.791,0.52
"P34","No sabe",0.018,0.028,0.013,0.055,0.016,0.037
"P35","Mejor",0.546,0.322,0.542,0.147,0.105,0.395
"P35","Igual",0.19,0.296,0.205,0.111,0.136,0.127
"P35","Peor",0.158,0.314,0.183,0.673,0.723,0.334
"P35","No sabe",0.106,0.068,0.07,0.069,0.036,0.144
"P36","Muy buena",0.075,0.025,0.063,0.071,0.099,0
"P36","Buena",0.105,0.12,0.101,0.021,0.053,0.135
"P36","Ni buena ni mala",0.323,0.23,0.344,0.139,0.152,0.299
"P36","Mala",0.373,0.417,0.364,0.331,0.253,0.346
"P36","Muy mala",0.102,0.2,0.114,0.432,0.442,0.189
"P36","No sabe",0.022,0.008,0.014,0.006,0.001,0.031
"P37","Mejor",0.425,0.269,0.329,0.104,0.117,0.279
"P37","Igual",0.269,0.214,0.32,0.1,0.074,0.247
"P37","Peor",0.213,0.398,0.303,0.75,0.766,0.42
"P37","No sabe",0.093,0.119,0.048,0.046,0.043,0.054
"P38","Mejor",0.64,0.478,0.63,0.157,0.134,0.283
"P38","Igual",0.152,0.166,0.196,0.064,0.108,0.252
"P38","Peor",0.117,0.298,0.148,0.704,0.732,0.298
"P38","No sabe",0.091,0.058,0.026,0.075,0.026,0.167
"P39","Muy buena",0.431,0.262,0.45,0.124,0.183,0.217
"P39","Buena",0.256,0.265,0.253,0.053,0.055,0.205
"P39","Ni buena ni mala",0.202,0.226,0.172,0.111,0.096,0.284
"P39","Mala",0.072,0.128,0.089,0.226,0.184,0.178
"P39","Muy mala",0.031,0.117,0.026,0.46,0.479,0.094
"P39","No sabe",0.008,0.002,0.01,0.026,0.003,0.022
"P41","Muy buena",0.395,0.217,0.417,0.105,0.173,0.043
"P41","Buena",0.283,0.257,0.269,0.061,0.058,0.266
"P41","Ni buena ni mala",0.172,0.22,0.157,0.141,0.103,0.307
"P41","Mala",0.083,0.154,0.12,0.249,0.228,0.184
"P41","Muy mala",0.047,0.133,0.03,0.435,0.433,0.124
"P41","No sabe",0.02,0.019,0.007,0.009,0.005,0.076
"P42","Muy buena",0.353,0.207,0.266,0.077,0.129,0.14
"P42","Buena",0.285,0.224,0.344,0.052,0.086,0.168
"P42","Ni buena ni mala",0.205,0.281,0.259,0.113,0.109,0.307
"P42","Mala",0.109,0.133,0.097,0.267,0.202,0.206
"P42","Muy mala",0.038,0.142,0.026,0.485,0.473,0.138
"P42","No sabe",0.01,0.013,0.008,0.006,0.001,0.041
"P43","Muy buena",0.408,0.257,0.428,0.088,0.191,0.223
"P43","Buena",0.295,0.25,0.262,0.077,0.053,0.175
"P43","Ni buena ni mala",0.186,0.231,0.183,0.156,0.134,0.182
"P43","Mala",0.069,0.146,0.1,0.27,0.225,0.283
"P43","Muy mala",0.037,0.107,0.021,0.393,0.387,0.093
"P43","No sabe",0.005,0.009,0.006,0.016,0.01,0.044
"P44","Muy buena",0.068,0.032,0.008,0.059,0.077,0.04
"P44","Buena",0.038,0.098,0.039,0.113,0.142,0.077
"P44","Ni buena ni mala",0.059,0.117,0.086,0.287,0.275,0.12
"P44","Mala",0.213,0.266,0.271,0.296,0.294,0.432
"P44","Muy mala",0.622,0.487,0.596,0.244,0.212,0.308
"P44","No sabe",0,0,0,0.001,0,0.023
"P45","Muy buena",0.04,0.126,0.059,0.346,0.397,0.221
"P45","Buena",0.028,0.107,0.032,0.148,0.191,0.032
"P45","Ni buena ni mala",0.045,0.102,0.053,0.181,0.078,0.174
"P45","Mala",0.227,0.159,0.223,0.149,0.178,0.21
"P45","Muy mala",0.656,0.494,0.626,0.172,0.156,0.329
"P45","No sabe",0.004,0.012,0.007,0.004,0,0.034
"P46","Muy buena",0.239,0.09,0.206,0.038,0.098,0.16
"P46","Buena",0.292,0.272,0.241,0.06,0.041,0.212
"P46","Ni buena ni mala",0.235,0.271,0.26,0.133,0.107,0.159
"P46","Mala",0.142,0.216,0.183,0.235,0.241,0.22
"P46","Muy mala",0.092,0.149,0.099,0.527,0.512,0.227
"P46","No sabe",0,0.002,0.011,0.007,0.001,0.022
"P47","Muy buena",0.101,0.049,0.029,0.028,0.068,0.143
"P47","Buena",0.119,0.136,0.096,0.086,0.12,0.067
"P47","Ni buena ni mala",0.327,0.333,0.254,0.338,0.258,0.343
"P47","Mala",0.256,0.243,0.335,0.288,0.35,0.339
"P47","Muy mala",0.17,0.237,0.254,0.229,0.174,0.064
"P47","No sabe",0.027,0.002,0.032,0.031,0.03,0.044
"P48","Muy buena",0.067,0.14,0.018,0.19,0.234,0.228
"P48","Buena",0.016,0.082,0.038,0.183,0.204,0.07
"P48","Ni buena ni mala",0.077,0.146,0.142,0.263,0.252,0.153
"P48","Mala",0.22,0.191,0.248,0.198,0.151,0.349
"P48","Muy mala",0.602,0.44,0.553,0.165,0.157,0.178
"P48","No sabe",0.018,0.001,0.001,0.001,0.002,0.022
"P49","Muy buena",0.173,0.125,0.131,0.093,0.077,0.124
"P49","Buena",0.277,0.184,0.216,0.055,0.071,0.271
"P49","Ni buena ni mala",0.293,0.399,0.406,0.208,0.108,0.293
"P49","Mala",0.145,0.142,0.125,0.237,0.312,0.202
"P49","Muy mala",0.087,0.15,0.115,0.39,0.417,0.082
"P49","No sabe",0.025,0,0.007,0.017,0.015,0.028
"P50","Muy buena",0.047,0.128,0.026,0.369,0.442,0.087
"P50","Buena",0.043,0.073,0.036,0.202,0.171,0.119
"P50","Ni buena ni mala",0.095,0.177,0.109,0.142,0.126,0.154
"P50","Mala",0.178,0.149,0.227,0.094,0.111,0.363
"P50","Muy mala",0.623,0.452,0.598,0.178,0.15,0.246
"P50","No sabe",0.014,0.021,0.004,0.015,0,0.031
"P51","Muy buena",0.293,0.114,0.232,0.1,0.089,0.132
"P51","Buena",0.22,0.229,0.228,0.078,0.087,0.137
"P51","Ni buena ni mala",0.285,0.372,0.341,0.179,0.194,0.35
"P51","Mala",0.063,0.105,0.066,0.147,0.107,0.219
"P51","Muy mala",0.117,0.165,0.098,0.459,0.511,0.136
"P51","No sabe",0.022,0.015,0.035,0.037,0.012,0.026
"P52","Muy buena",0.573,0.337,0.541,0.139,0.171,0.325
"P52","Buena",0.195,0.238,0.164,0.052,0.026,0.15
"P52","Ni buena ni mala",0.122,0.139,0.173,0.112,0.084,0.181
"P52","Mala",0.064,0.1,0.084,0.149,0.183,0.219
"P52","Muy mala",0.04,0.181,0.038,0.536,0.535,0.108
"P52","No sabe",0.006,0.005,0,0.012,0.001,0.017
"P53","Muy buena",0.49,0.283,0.414,0.083,0.165,0.17
"P53","Buena",0.243,0.227,0.296,0.092,0.068,0.237
"P53","Ni buena ni mala",0.174,0.184,0.142,0.1,0.095,0.216
"P53","Mala",0.029,0.138,0.095,0.166,0.14,0.217
"P53","Muy mala",0.056,0.166,0.053,0.558,0.531,0.16
"P53","No sabe",0.008,0.002,0,0.001,0.001,0
"P54","Muy buena",0.07,0.079,0.034,0.149,0.291,0.062
"P54","Buena",0.08,0.106,0.112,0.175,0.204,0.046
"P54","Ni buena ni mala",0.253,0.287,0.305,0.338,0.235,0.506
"P54","Mala",0.172,0.19,0.194,0.145,0.131,0.221
"P54","Muy mala",0.357,0.286,0.308,0.139,0.118,0.095
"P54","No sabe",0.068,0.052,0.047,0.054,0.021,0.07
"P55","Muy buena",0.038,0.032,0.004,0.052,0.058,0
"P55","Buena",0.04,0.099,0.057,0.176,0.233,0.05
"P55","Ni buena ni mala",0.165,0.288,0.196,0.458,0.376,0.316
"P55","Mala",0.156,0.131,0.212,0.093,0.146,0.314
"P55","Muy mala",0.544,0.385,0.472,0.153,0.141,0.149
"P55","No sabe",0.057,0.065,0.059,0.068,0.046,0.171
"P56","Muy buena",0.042,0.032,0.017,0.03,0.026,0.062
"P56","Buena",0.111,0.184,0.053,0.119,0.121,0.057
"P56","Ni buena ni mala",0.287,0.367,0.315,0.466,0.419,0.489
"P56","Mala",0.188,0.155,0.277,0.197,0.297,0.189
"P56","Muy mala",0.318,0.208,0.31,0.146,0.123,0.129
"P56","No sabe",0.054,0.054,0.028,0.042,0.014,0.074
"P58","Muy buena",0.558,0.347,0.519,0.117,0.126,0.233
"P58","Buena",0.156,0.211,0.211,0.081,0.12,0.074
"P58","Ni buena ni mala",0.121,0.232,0.108,0.142,0.104,0.377
"P58","Mala",0.059,0.064,0.086,0.149,0.15,0.133
"P58","Muy mala",0.069,0.135,0.07,0.473,0.488,0.141
"P58","No sabe",0.037,0.011,0.006,0.038,0.012,0.042
"P59","Muy buena",0.215,0.112,0.105,0.086,0.118,0.134
"P59","Buena",0.166,0.264,0.235,0.152,0.131,0.179
"P59","Ni buena ni mala",0.41,0.386,0.441,0.352,0.28,0.403
"P59","Mala",0.112,0.109,0.124,0.205,0.249,0.156
"P59","Muy mala",0.05,0.104,0.047,0.182,0.202,0.012
"P59","No sabe",0.047,0.025,0.048,0.023,0.02,0.116
"P60","Muy buena",0.283,0.117,0.236,0.068,0.087,0.109
"P60","Buena",0.244,0.263,0.298,0.064,0.08,0.219
"P60","Ni buena ni mala",0.307,0.352,0.236,0.18,0.112,0.297
"P60","Mala",0.079,0.07,0.133,0.099,0.173,0.244
"P60","Muy mala",0.056,0.186,0.062,0.565,0.538,0.077
"P60","No sabe",0.031,0.012,0.035,0.024,0.01,0.054
"P61","Muy buena",0.215,0.113,0.183,0.031,0.052,0.063
"P61","Buena",0.205,0.187,0.214,0.039,0.062,0.027
"P61","Ni buena ni mala",0.358,0.41,0.353,0.35,0.254,0.479
"P61","Mala",0.078,0.073,0.109,0.195,0.195,0.159
"P61","Muy mala",0.044,0.117,0.048,0.324,0.369,0.108
"P61","No sabe",0.1,0.1,0.093,0.061,0.068,0.164
"P64","Muy buena",0.065,0.064,0.034,0.033,0.074,0.094
"P64","Buena",0.098,0.11,0.143,0.068,0.112,0.118
"P64","Ni buena ni mala",0.44,0.46,0.406,0.502,0.407,0.459
"P64","Mala",0.181,0.11,0.155,0.175,0.179,0.162
"P64","Muy mala",0.092,0.132,0.14,0.147,0.161,0.042
"P64","No sabe",0.124,0.124,0.122,0.075,0.067,0.125
"P65","Radio",0.102,0.146,0.099,0.165,0.158,0.203
"P65","Televisión",0.377,0.412,0.429,0.277,0.384,0.44
"P65","Diario",0.076,0.076,0.032,0.071,0.044,0.028
"P65","Medio digital",0.247,0.191,0.226,0.238,0.196,0.136
"P65","Redes Sociales",0.171,0.135,0.19,0.196,0.165,0.112
"P65","Ninguno en particular",0.026,0.037,0.022,0.052,0.053,0.081
"P65","No sabe",0.001,0.003,0.002,0.001,0,0
"P66","Muy buena",0.038,0.044,0.041,0.093,0.092,0.007
"P66","Buena",0.087,0.126,0.111,0.229,0.215,0.112
"P66","Ni buena ni mala",0.291,0.377,0.252,0.337,0.331,0.61
"P66","Mala",0.285,0.258,0.381,0.229,0.242,0.115
"P66","Muy mala",0.275,0.178,0.204,0.103,0.104,0.053
"P66","No sabe",0.024,0.017,0.011,0.009,0.016,0.103
"P67","Muy buena",0.017,0.02,0.039,0.026,0.059,0.031
"P67","Buena",0.074,0.117,0.047,0.076,0.047,0.154
"P67","Ni buena ni mala",0.274,0.315,0.322,0.254,0.245,0.513
"P67","Mala",0.373,0.279,0.363,0.276,0.299,0.186
"P67","Muy mala",0.246,0.265,0.229,0.356,0.349,0.116
"P67","No sabe",0.016,0.004,0,0.012,0.001,0
