"var","categoria","A Tolosa Paz por el Frente de Todos","A Santilli y Manes por Juntos","A del Caño por el Frente de Izquierda","A Espert por Avanza libertad","A Randazzo por ""Vamos con vos""","A Hotton por “+Valores”","Votaría en blanco o anularía"
"P19","Ninguna en particular",0.042,0.029,0.097,0.268,0.018,0.101,0.195
"P19","No sabe",0.068,0.029,0.021,0.024,0,0,0.188
"P20","No alcanzan para cubrir las necesidades básicas familiares",0.404,0.435,0.509,0.488,0.399,0.08,0.526
"P20","Solo alcanzan para cubrir las necesidades básicas familiares",0.254,0.289,0.3,0.226,0.286,0.685,0.398
"P20","No alcanzan para cubrir los gastos totales de la familia",0.182,0.158,0.087,0.137,0.227,0.235,0.039
"P20","Alcanzan para cubrir los gastos totales de la familia",0.113,0.062,0.09,0.046,0.052,0,0.009
"P20","Tenemos un pequeño excedente, pero es excepcional",0.01,0.004,0,0.049,0,0,0
"P20","Tenemos un pequeño excedente habitual que ahorramos o invertimos",0.012,0.009,0,0.029,0.036,0,0
"P20","Tenemos un gran excedente pero es excepcional",0.002,0.022,0.014,0,0,0,0.014
"P20","Tenemos un gran excedente habitual que ahorramos o invertimos",0.015,0.014,0,0.025,0,0,0
"P20","No sabe",0.008,0.007,0,0,0,0,0.014
"P21","Muy buena",0.292,0.049,0.388,0.054,0.274,0,0
"P21","Buena",0.402,0.014,0.173,0,0.043,0,0.021
"P21","Ni buena ni mala",0.235,0.106,0.203,0.287,0.342,0.142,0.285
"P21","Mala",0.031,0.291,0.088,0.173,0.062,0.13,0.039
"P21","Muy mala",0.013,0.538,0.148,0.47,0.268,0.707,0.513
"P21","No sabe",0.027,0.002,0,0.016,0.011,0.021,0.142
"P22","Muy buena",0.652,0.039,0.31,0.085,0.237,0,0
"P22","Buena",0.219,0.011,0.061,0.021,0.091,0,0
"P22","Ni buena ni mala",0.073,0.089,0.097,0,0.157,0.167,0.241
"P22","Mala",0.031,0.11,0.274,0.241,0,0.062,0.101
"P22","Muy mala",0.023,0.747,0.258,0.653,0.504,0.751,0.521
"P22","No sabe",0.002,0.004,0,0,0.011,0.02,0.137
"P23","Muy buena",0.189,0.051,0.1,0.032,0.339,0,0
"P23","Buena",0.271,0.055,0.192,0.271,0.053,0,0.016
"P23","Ni buena ni mala",0.328,0.155,0.106,0.049,0.172,0.143,0.28
"P23","Mala",0.114,0.177,0.079,0.21,0.116,0.051,0.025
"P23","Muy mala",0.067,0.548,0.513,0.438,0.275,0.214,0.557
"P23","No sabe",0.031,0.014,0.01,0,0.045,0.592,0.122
"P24","Muy buena",0.051,0.16,0.019,0.022,0,0,0
"P24","Buena",0.021,0.321,0.302,0.111,0.007,0.11,0.131
"P24","Ni buena ni mala",0.04,0.299,0.033,0.264,0.254,0.201,0.087
"P24","Mala",0.207,0.141,0.225,0.105,0.296,0.616,0.168
"P24","Muy mala",0.667,0.078,0.382,0.498,0.443,0.052,0.481
"P24","No sabe",0.014,0.001,0.039,0,0,0.021,0.133
"P25","Muy buena",0.071,0.411,0.109,0.064,0.03,0.15,0.146
"P25","Buena",0.046,0.334,0.165,0.284,0.099,0.052,0.092
"P25","Ni buena ni mala",0.147,0.18,0.303,0.257,0.188,0.102,0.426
"P25","Mala",0.213,0.042,0.276,0.229,0.094,0,0.149
"P25","Muy mala",0.482,0.029,0.11,0.145,0.456,0.113,0.181
"P25","No sabe",0.041,0.004,0.037,0.021,0.133,0.583,0.006
