"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"Ramon Rioseco","Ni buena ni mala",0.278,0.23,0.332,0.179,0.322,0.314,0.233,0.279,0.292,0.261,0.307,0.311,0.234,0.199,0.301,0.266,0.308,0.252
"Ramon Rioseco","Mala",0.167,0.164,0.17,0.117,0.173,0.187,0.199,0.215,0.114,0.194,0.156,0.207,0.077,0.261,0.111,0.197,0.209,0.13
"Ramon Rioseco","Muy mala",0.2,0.223,0.175,0.318,0.201,0.15,0.084,0.128,0.247,0.203,0.185,0.158,0.104,0.35,0.075,0.28,0.2,0.2
"Ramon Rioseco","No sabe",0.037,0.047,0.026,0.025,0.041,0.03,0.057,0.044,0.036,0.032,0.028,0.022,0.02,0.022,0.028,0.04,0.021,0.051
"Karina Milei","Muy buena",0.202,0.216,0.187,0.376,0.132,0.189,0.165,0.257,0.193,0.164,0.141,0.201,0.26,0.427,0.064,0.302,0.193,0.211
"Karina Milei","Buena",0.174,0.137,0.216,0.165,0.178,0.167,0.192,0.123,0.23,0.15,0.196,0.227,0.095,0.185,0.047,0.264,0.136,0.208
"Karina Milei","Ni buena ni mala",0.234,0.236,0.231,0.197,0.237,0.245,0.265,0.252,0.218,0.236,0.263,0.166,0.183,0.244,0.168,0.282,0.251,0.218
"Karina Milei","Mala",0.122,0.132,0.112,0.068,0.137,0.135,0.143,0.186,0.111,0.079,0.137,0.143,0.11,0.031,0.216,0.053,0.176,0.075
"Karina Milei","Muy mala",0.247,0.255,0.237,0.183,0.295,0.239,0.205,0.153,0.234,0.348,0.241,0.246,0.35,0.107,0.485,0.082,0.218,0.272
"Karina Milei","No sabe",0.021,0.024,0.017,0.011,0.021,0.025,0.03,0.029,0.014,0.023,0.022,0.017,0.002,0.006,0.02,0.017,0.026,0.016
"Patricia Bullrich","Muy buena",0.279,0.296,0.261,0.331,0.2,0.34,0.353,0.33,0.274,0.24,0.243,0.357,0.157,0.515,0.068,0.431,0.26,0.297
"Patricia Bullrich","Buena",0.211,0.189,0.234,0.291,0.215,0.167,0.137,0.108,0.279,0.216,0.25,0.129,0.161,0.266,0.052,0.325,0.201,0.219
"Patricia Bullrich","Ni buena ni mala",0.115,0.125,0.104,0.127,0.102,0.118,0.134,0.174,0.08,0.106,0.088,0.123,0.176,0.067,0.097,0.127,0.111,0.118
"Patricia Bullrich","Mala",0.103,0.085,0.124,0.052,0.135,0.076,0.135,0.14,0.097,0.079,0.129,0.116,0.099,0.037,0.213,0.024,0.147,0.064
"Patricia Bullrich","Muy mala",0.284,0.295,0.272,0.199,0.334,0.299,0.228,0.223,0.27,0.357,0.281,0.275,0.402,0.115,0.558,0.093,0.267,0.299
"Patricia Bullrich","No sabe",0.008,0.01,0.005,0,0.014,0,0.013,0.025,0,0.002,0.009,0,0.005,0,0.012,0,0.014,0.003
"Toto Caputo","Muy buena",0.162,0.176,0.148,0.268,0.113,0.17,0.139,0.241,0.143,0.116,0.169,0.16,0.064,0.355,0.069,0.227,0.179,0.148
"Toto Caputo","Buena",0.162,0.164,0.159,0.128,0.141,0.201,0.219,0.185,0.144,0.164,0.128,0.207,0.155,0.237,0.038,0.252,0.151,0.172
"Toto Caputo","Ni buena ni mala",0.244,0.22,0.271,0.241,0.28,0.186,0.228,0.188,0.287,0.24,0.271,0.201,0.198,0.222,0.146,0.312,0.243,0.244
"Toto Caputo","Mala",0.127,0.104,0.152,0.087,0.142,0.125,0.149,0.172,0.117,0.1,0.145,0.154,0.091,0.106,0.212,0.062,0.164,0.094
"Toto Caputo","Muy mala",0.267,0.277,0.255,0.193,0.304,0.286,0.23,0.18,0.256,0.357,0.249,0.246,0.488,0.077,0.511,0.099,0.24,0.29
"Toto Caputo","No sabe",0.038,0.059,0.015,0.083,0.02,0.032,0.035,0.034,0.053,0.023,0.038,0.032,0.004,0.003,0.024,0.048,0.023,0.052
"Javier Milei","Muy buena",0.338,0.404,0.263,0.463,0.287,0.344,0.281,0.369,0.349,0.295,0.324,0.256,0.326,0.527,0.084,0.531,0.317,0.356
"Javier Milei","Buena",0.124,0.112,0.139,0.112,0.1,0.137,0.209,0.068,0.139,0.157,0.128,0.144,0.111,0.099,0.056,0.177,0.112,0.136
"Javier Milei","Ni buena ni mala",0.101,0.088,0.116,0.066,0.11,0.122,0.097,0.137,0.086,0.09,0.113,0.099,0.06,0.02,0.115,0.087,0.126,0.08
"Javier Milei","Mala",0.129,0.118,0.141,0.115,0.133,0.112,0.168,0.159,0.115,0.118,0.179,0.129,0.11,0.035,0.199,0.078,0.152,0.107
"Javier Milei","Muy mala",0.299,0.262,0.34,0.244,0.362,0.271,0.225,0.24,0.307,0.34,0.246,0.372,0.372,0.319,0.527,0.126,0.282,0.313
"Javier Milei","No sabe",0.009,0.016,0.001,0,0.008,0.014,0.02,0.027,0.004,0,0.01,0,0.021,0,0.019,0.001,0.011,0.008
"Omar Gutierrez","Muy buena",0.098,0.097,0.099,0.124,0.075,0.103,0.123,0.245,0.047,0.035,0.098,0.227,0.021,0.058,0.179,0.046,0.134,0.065
"Omar Gutierrez","Buena",0.141,0.121,0.164,0.144,0.124,0.111,0.253,0.138,0.17,0.107,0.149,0.197,0.117,0.092,0.165,0.132,0.16,0.125
"Omar Gutierrez","Ni buena ni mala",0.248,0.22,0.278,0.238,0.266,0.239,0.218,0.2,0.287,0.237,0.201,0.258,0.364,0.228,0.239,0.244,0.23,0.264
"Omar Gutierrez","Mala",0.272,0.286,0.256,0.239,0.269,0.331,0.229,0.214,0.257,0.342,0.324,0.149,0.275,0.373,0.25,0.286,0.263,0.279
"Omar Gutierrez","Muy mala",0.215,0.233,0.196,0.225,0.24,0.211,0.122,0.146,0.222,0.269,0.216,0.14,0.178,0.228,0.145,0.266,0.188,0.24
"Omar Gutierrez","No sabe",0.026,0.043,0.007,0.03,0.026,0.005,0.055,0.057,0.017,0.01,0.012,0.029,0.045,0.021,0.022,0.026,0.025,0.027
"Mauricio Macri","Muy buena",0.15,0.156,0.145,0.22,0.116,0.109,0.22,0.206,0.12,0.139,0.138,0.178,0.046,0.253,0.111,0.186,0.161,0.141
"Mauricio Macri","Buena",0.15,0.141,0.16,0.144,0.144,0.157,0.172,0.074,0.176,0.187,0.146,0.17,0.114,0.197,0.029,0.24,0.133,0.166
"Mauricio Macri","Ni buena ni mala",0.186,0.197,0.173,0.15,0.186,0.217,0.192,0.252,0.169,0.145,0.226,0.082,0.2,0.164,0.099,0.25,0.183,0.188
"Mauricio Macri","Mala",0.2,0.187,0.214,0.173,0.206,0.231,0.169,0.188,0.222,0.183,0.228,0.199,0.171,0.09,0.253,0.16,0.213,0.188
"Mauricio Macri","Muy mala",0.295,0.289,0.301,0.269,0.332,0.285,0.228,0.255,0.284,0.346,0.251,0.365,0.437,0.296,0.493,0.147,0.285,0.304
"Mauricio Macri","No sabe",0.019,0.03,0.007,0.044,0.016,0.001,0.019,0.025,0.029,0,0.011,0.006,0.032,0,0.015,0.017,0.025,0.013
"Sergio Massa","Muy buena",0.153,0.162,0.144,0.159,0.15,0.124,0.209,0.265,0.126,0.085,0.183,0.206,0.152,0.085,0.328,0.036,0.174,0.135
"Sergio Massa","Buena",0.164,0.14,0.191,0.119,0.173,0.176,0.195,0.143,0.163,0.186,0.171,0.243,0.21,0.039,0.294,0.083,0.17,0.159
"Sergio Massa","Ni buena ni mala",0.146,0.146,0.145,0.123,0.147,0.143,0.188,0.164,0.147,0.126,0.157,0.085,0.199,0.025,0.202,0.107,0.139,0.151
"Sergio Massa","Mala",0.149,0.14,0.158,0.133,0.139,0.209,0.098,0.103,0.155,0.183,0.171,0.082,0.188,0.07,0.088,0.186,0.141,0.156
"Sergio Massa","Muy mala",0.37,0.394,0.343,0.448,0.361,0.344,0.304,0.291,0.391,0.415,0.307,0.355,0.194,0.781,0.058,0.578,0.348,0.389
"Sergio Massa","No sabe",0.018,0.018,0.019,0.018,0.03,0.004,0.006,0.034,0.018,0.005,0.011,0.029,0.057,0,0.03,0.01,0.028,0.01
"CFK","Muy buena",0.231,0.243,0.217,0.184,0.234,0.25,0.269,0.317,0.174,0.224,0.25,0.277,0.349,0.065,0.531,0.03,0.265,0.2
"CFK","Buena",0.081,0.082,0.08,0.052,0.102,0.063,0.093,0.073,0.063,0.112,0.078,0.127,0.085,0.044,0.141,0.039,0.079,0.083
"CFK","Ni buena ni mala",0.136,0.121,0.153,0.097,0.148,0.147,0.145,0.165,0.168,0.067,0.117,0.123,0.14,0.136,0.171,0.111,0.106,0.163
"CFK","Mala",0.161,0.148,0.175,0.157,0.151,0.196,0.141,0.116,0.171,0.19,0.194,0.128,0.181,0.071,0.082,0.215,0.173,0.151
"CFK","Muy mala",0.375,0.386,0.363,0.492,0.346,0.338,0.333,0.312,0.404,0.397,0.348,0.345,0.189,0.68,0.055,0.593,0.359,0.389
"CFK","No sabe",0.016,0.02,0.012,0.018,0.019,0.006,0.019,0.017,0.02,0.01,0.013,0,0.056,0.004,0.02,0.012,0.018,0.014
