"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna"
"Nicolás Massot","Muy mala",0.189,0.196,0.183,0.289,0.209,0.152,0.076,0.114,0.25,0.168,0.278,0.089,0.199
"Nicolás Massot","No sabe",0.095,0.08,0.11,0.036,0.107,0.092,0.138,0.089,0.095,0.101,0.097,0.101,0
"Wado de Pedro","Muy buena",0.188,0.181,0.194,0.138,0.205,0.21,0.162,0.214,0.184,0.167,0.353,0.06,0.113
"Wado de Pedro","Buena",0.106,0.082,0.129,0.118,0.113,0.103,0.08,0.058,0.123,0.129,0.195,0.046,0.183
"Wado de Pedro","Ni buena ni mala",0.136,0.144,0.129,0.146,0.136,0.139,0.121,0.151,0.125,0.139,0.112,0.143,0.414
"Wado de Pedro","Mala",0.118,0.131,0.105,0.119,0.121,0.084,0.16,0.104,0.093,0.173,0.102,0.127,0.117
"Wado de Pedro","Muy mala",0.402,0.43,0.375,0.418,0.393,0.413,0.391,0.409,0.423,0.359,0.187,0.581,0.083
"Wado de Pedro","No sabe",0.05,0.032,0.068,0.061,0.032,0.051,0.086,0.064,0.052,0.033,0.051,0.043,0.09
"Néstor Grindetti","Muy buena",0.123,0.11,0.136,0.109,0.102,0.15,0.157,0.168,0.092,0.129,0.086,0.176,0.054
"Néstor Grindetti","Buena",0.16,0.167,0.154,0.133,0.122,0.183,0.263,0.172,0.149,0.165,0.064,0.257,0.018
"Néstor Grindetti","Ni buena ni mala",0.268,0.226,0.309,0.267,0.296,0.238,0.239,0.206,0.299,0.284,0.29,0.242,0.816
"Néstor Grindetti","Mala",0.103,0.129,0.078,0.141,0.112,0.095,0.049,0.119,0.093,0.103,0.133,0.034,0.093
"Néstor Grindetti","Muy mala",0.24,0.285,0.196,0.311,0.243,0.22,0.176,0.229,0.247,0.238,0.316,0.171,0
"Néstor Grindetti","No sabe",0.106,0.083,0.127,0.039,0.125,0.114,0.116,0.106,0.12,0.081,0.111,0.12,0.019
"Alberto Fernández","Muy buena",0.096,0.113,0.08,0.134,0.079,0.086,0.113,0.14,0.091,0.057,0.141,0.058,0.094
"Alberto Fernández","Buena",0.141,0.112,0.17,0.183,0.14,0.144,0.092,0.094,0.176,0.135,0.249,0.069,0
"Alberto Fernández","Ni buena ni mala",0.131,0.128,0.134,0.14,0.146,0.118,0.099,0.17,0.094,0.152,0.184,0.079,0.213
"Alberto Fernández","Mala",0.111,0.122,0.099,0.091,0.103,0.117,0.147,0.059,0.153,0.096,0.166,0.073,0.203
"Alberto Fernández","Muy mala",0.509,0.522,0.496,0.452,0.514,0.534,0.521,0.527,0.469,0.554,0.25,0.711,0.49
"Alberto Fernández","No sabe",0.012,0.003,0.021,0,0.018,0.001,0.028,0.01,0.017,0.006,0.01,0.01,0
"Sergio Massa","Muy buena",0.118,0.102,0.133,0.115,0.14,0.088,0.104,0.158,0.122,0.069,0.195,0.05,0.052
"Sergio Massa","Buena",0.116,0.093,0.14,0.08,0.115,0.133,0.139,0.093,0.132,0.115,0.186,0.072,0.019
"Sergio Massa","Ni buena ni mala",0.145,0.169,0.121,0.214,0.121,0.159,0.105,0.167,0.117,0.168,0.198,0.076,0.504
"Sergio Massa","Mala",0.101,0.093,0.109,0.097,0.077,0.106,0.169,0.051,0.13,0.106,0.085,0.122,0.191
"Sergio Massa","Muy mala",0.514,0.539,0.49,0.494,0.547,0.5,0.465,0.515,0.498,0.539,0.334,0.671,0.234
"Sergio Massa","No sabe",0.006,0.004,0.007,0,0,0.014,0.018,0.016,0.001,0.003,0.002,0.009,0
