"var","categoria","Menos de 30 minutos por día","Entre 30 minutos y 1 hora por día","Entre 1 y 2 horas por día","Más de 2 horas por día"
"P20","A veces me siento seguro/a, a veces no",0.266,0.292,0.279,0.235
"P20","No me siento seguro/a la mayoría de las veces",0.164,0.195,0.216,0.191
"P20","No me siento seguro/a en absoluto",0.092,0.058,0.091,0.209
"P21","Sí, en más de una ocasión",0.157,0.198,0.309,0.304
"P21","Sí, en una ocasión",0.163,0.24,0.235,0.206
"P21","No, nunca he presenciado un incidente de seguridad en el trasporte público",0.555,0.478,0.378,0.347
"P21","Prefiero no responder",0.125,0.084,0.078,0.143
"P22","Sí, en más de una ocasión",0.113,0.12,0.183,0.198
"P22","Sí, en una ocasión",0.098,0.17,0.222,0.21
"P22","No, nunca he sido víctima de un incidente de seguridad en el trasporte público",0.685,0.628,0.52,0.479
"P22","Prefiero no responder",0.104,0.082,0.075,0.113
