"var","categoria","Colectivo","Subte","Tren","Premetro","Taxi","Aplicaciones como Uber, Cabify, Didi o similares"
"P10","Ocasionalmente/ A veces",0.296,0.367,0.333,0.271,0.26,0.434
"P10","Nunca",0.092,0.104,0.124,0.084,0.087,0.049
"P10","No existen esos servicios donde vivo",0.491,0.398,0.408,0.491,0.558,0.364
"P11","Taxis tradicionales",0.205,0.21,0.156,0.293,0.296,0.104
"P11","Aplicaciones de transporte",0.288,0.333,0.383,0.218,0.214,0.457
"P11","No tengo preferencia por ninguna",0.314,0.295,0.322,0.24,0.221,0.253
"P11","No existen servicios de aplicaciones donde vivo",0.193,0.162,0.139,0.249,0.269,0.186
"P12","Más de 5000 pesos mensuales",0.357,0.309,0.256,0.261,0.238,0.183
"P12","Entre 5000 y 2500 pesos mensuales",0.26,0.346,0.293,0.197,0.19,0.164
"P12","Menos de 2500 pesos mensuales",0.383,0.345,0.451,0.542,0.572,0.653
"P13","Muy caro",0.379,0.228,0.251,0.177,0.294,0.229
"P13","Caro",0.225,0.253,0.193,0.245,0.148,0.183
"P13","Ni caro ni barato",0.274,0.328,0.366,0.42,0.319,0.287
"P13","Barato",0.051,0.082,0.093,0.048,0.04,0.046
"P13","Muy barato",0.027,0.041,0.053,0.029,0.041,0.082
"P13","No sabe",0.044,0.068,0.044,0.081,0.158,0.173
"P14","Sí, han aumentado significativamente",0.494,0.415,0.424,0.324,0.392,0.345
"P14","Sí, han aumentado ligeramente",0.259,0.352,0.296,0.233,0.164,0.206
"P14","No, se han mantenido iguales",0.141,0.104,0.127,0.248,0.13,0.103
"P14","No sabe",0.106,0.129,0.153,0.195,0.314,0.346
"P15","Muy buena",0.132,0.13,0.141,0.158,0.108,0.1
"P15","Buena",0.203,0.212,0.226,0.304,0.202,0.197
"P15","Ni buena ni mala",0.309,0.295,0.321,0.287,0.313,0.304
"P15","Mala",0.228,0.226,0.213,0.123,0.222,0.204
"P15","Muy mala",0.128,0.137,0.099,0.128,0.155,0.195
"P16","Falta de mantenimiento de estaciones y vehículos",0.224,0.203,0.26,0.131,0.231,0.186
"P16","Insuficiente cantidad de paradas/estaciones",0.083,0.082,0.055,0.113,0.086,0.044
"P16","Escasez de señalización",0.076,0.106,0.059,0.206,0.073,0.055
"P16","Insuficiencia en los horarios",0.353,0.239,0.303,0.318,0.191,0.278
"P16","Malas conexiones entre medios de transporte",0.052,0.087,0.086,0.037,0.044,0.096
"P16","Falta de seguridad de estaciones y vehículos",0.062,0.077,0.101,0.074,0.056,0.074
"P16","Mala accesibilidad para personas con movilidad reducida",0.044,0.079,0.018,0.025,0.073,0.085
"P16","No sabe",0.106,0.127,0.118,0.096,0.246,0.182
"P17","WiFi gratuito en estaciones y vehículos",0.27,0.241,0.26,0.273,0.342,0.256
"P17","Cargadores USB en los vehículos",0.082,0.091,0.054,0.13,0.108,0.095
"P17","Pantallas de información en tiempo real en estaciones y vehículos",0.203,0.279,0.28,0.208,0.17,0.233
"P17","Buenas instalaciones de espera y descanso en las estaciones",0.445,0.389,0.406,0.389,0.38,0.416
"P18","Muy buena",0.081,0.1,0.071,0.113,0.115,0.087
"P18","Buena",0.19,0.177,0.203,0.181,0.103,0.127
"P18","Ni buena ni mala",0.394,0.393,0.409,0.444,0.497,0.479
"P18","Mala",0.219,0.237,0.177,0.167,0.19,0.154
"P18","Muy mala",0.116,0.093,0.14,0.095,0.095,0.153
"P19","Sí, con frecuencia",0.439,0.403,0.375,0.24,0.257,0.296
"P19","Sí, ocasionalmente",0.282,0.349,0.306,0.329,0.198,0.26
"P19","No, rara vez",0.202,0.159,0.222,0.321,0.295,0.252
"P19","No, nunca he experimentado problemas de congestión o demoras",0.077,0.089,0.097,0.11,0.25,0.192
"P20","Sí, siempre me siento seguro/a",0.233,0.204,0.208,0.187,0.277,0.194
"P20","Sí, en su mayoría me siento seguro/a",0.228,0.248,0.212,0.247,0.203,0.143
"P20","A veces me siento seguro/a, a veces no",0.273,0.268,0.297,0.248,0.246,0.264
"P20","No me siento seguro/a la mayoría de las veces",0.183,0.185,0.164,0.241,0.178,0.201
"P20","No me siento seguro/a en absoluto",0.083,0.095,0.119,0.077,0.096,0.198
"P21","Sí, en más de una ocasión",0.212,0.207,0.301,0.185,0.16,0.209
"P21","Sí, en una ocasión",0.22,0.223,0.218,0.149,0.121,0.137
"P21","No, nunca he presenciado un incidente de seguridad en el trasporte público",0.461,0.468,0.427,0.508,0.586,0.512
"P21","Prefiero no responder",0.107,0.102,0.054,0.158,0.133,0.142
"P22","Sí, en más de una ocasión",0.143,0.144,0.164,0.089,0.119,0.115
"P22","Sí, en una ocasión",0.173,0.148,0.146,0.127,0.101,0.094
"P22","No, nunca he sido víctima de un incidente de seguridad en el trasporte público",0.6,0.636,0.592,0.677,0.63,0.67
"P22","Prefiero no responder",0.084,0.072,0.098,0.107,0.15,0.121
