"var","categoria","Sí, con frecuencia","Sí, ocasionalmente","No, rara vez","No, nunca he experimentado problemas de congestión o demoras"
"P11","Aplicaciones de transporte",0.332,0.356,0.285,0.26
"P11","No tengo preferencia por ninguna",0.29,0.299,0.297,0.263
"P11","No existen servicios de aplicaciones donde vivo",0.167,0.158,0.197,0.28
"P12","Más de 5000 pesos mensuales",0.449,0.247,0.218,0.214
"P12","Entre 5000 y 2500 pesos mensuales",0.252,0.322,0.202,0.171
"P12","Menos de 2500 pesos mensuales",0.299,0.431,0.58,0.615
"P13","Muy caro",0.487,0.243,0.206,0.209
"P13","Caro",0.198,0.274,0.223,0.183
"P13","Ni caro ni barato",0.212,0.341,0.366,0.303
"P13","Barato",0.04,0.069,0.08,0.044
"P13","Muy barato",0.027,0.029,0.047,0.057
"P13","No sabe",0.036,0.044,0.078,0.204
"P14","Sí, han aumentado significativamente",0.615,0.388,0.316,0.287
"P14","Sí, han aumentado ligeramente",0.204,0.339,0.303,0.211
"P14","No, se han mantenido iguales",0.093,0.15,0.178,0.192
"P14","No sabe",0.088,0.123,0.203,0.31
"P15","Muy buena",0.108,0.118,0.144,0.163
"P15","Buena",0.118,0.31,0.277,0.164
"P15","Ni buena ni mala",0.247,0.336,0.354,0.324
"P15","Mala",0.299,0.175,0.156,0.226
"P15","Muy mala",0.228,0.061,0.069,0.123
"P16","Falta de mantenimiento de estaciones y vehículos",0.28,0.196,0.177,0.162
"P16","Insuficiente cantidad de paradas/estaciones",0.071,0.085,0.103,0.05
"P16","Escasez de señalización",0.059,0.1,0.08,0.074
"P16","Insuficiencia en los horarios",0.365,0.337,0.293,0.228
"P16","Malas conexiones entre medios de transporte",0.078,0.049,0.04,0.078
"P16","Falta de seguridad de estaciones y vehículos",0.062,0.07,0.066,0.047
"P16","Mala accesibilidad para personas con movilidad reducida",0.039,0.062,0.058,0.053
"P16","No sabe",0.046,0.101,0.183,0.308
"P17","WiFi gratuito en estaciones y vehículos",0.276,0.259,0.293,0.276
"P17","Cargadores USB en los vehículos",0.076,0.084,0.092,0.069
"P17","Pantallas de información en tiempo real en estaciones y vehículos",0.178,0.275,0.216,0.21
"P17","Buenas instalaciones de espera y descanso en las estaciones",0.47,0.382,0.399,0.445
"P18","Muy buena",0.081,0.072,0.088,0.146
"P18","Buena",0.096,0.289,0.209,0.119
"P18","Ni buena ni mala",0.317,0.451,0.571,0.36
"P18","Mala",0.288,0.151,0.096,0.255
"P18","Muy mala",0.218,0.037,0.036,0.12
"P20","Sí, siempre me siento seguro/a",0.245,0.168,0.22,0.334
"P20","Sí, en su mayoría me siento seguro/a",0.125,0.375,0.225,0.135
"P20","A veces me siento seguro/a, a veces no",0.245,0.264,0.375,0.173
"P20","No me siento seguro/a la mayoría de las veces",0.228,0.147,0.131,0.232
"P20","No me siento seguro/a en absoluto",0.157,0.046,0.049,0.126
"P21","Sí, en más de una ocasión",0.35,0.122,0.121,0.137
"P21","Sí, en una ocasión",0.218,0.263,0.138,0.105
"P21","No, nunca he presenciado un incidente de seguridad en el trasporte público",0.342,0.512,0.623,0.579
"P21","Prefiero no responder",0.09,0.103,0.118,0.179
"P22","Sí, en más de una ocasión",0.223,0.063,0.104,0.094
"P22","Sí, en una ocasión",0.195,0.174,0.088,0.072
"P22","No, nunca he sido víctima de un incidente de seguridad en el trasporte público",0.49,0.688,0.72,0.666
"P22","Prefiero no responder",0.092,0.075,0.088,0.168
