"var","categoria","Todos los días","Hasta 5 veces por semana","Entre 4 y 1 vez por semana","Ocasionalmente/ A veces","No existen esos servicios donde vivo","Nunca"
"P16","Malas conexiones entre medios de transporte",0.021,0.035,0.06,0.07,0.059,0.065
"P16","Falta de seguridad de estaciones y vehículos",0.085,0.044,0.066,0.068,0.061,0.094
"P16","Mala accesibilidad para personas con movilidad reducida",0.058,0.155,0.014,0.054,0.042,0.074
"P16","No sabe",0.084,0.03,0.085,0.116,0.143,0.186
"P17","WiFi gratuito en estaciones y vehículos",0.5,0.399,0.22,0.26,0.264,0.234
"P17","Cargadores USB en los vehículos",0.153,0.133,0.134,0.089,0.079,0.037
"P17","Pantallas de información en tiempo real en estaciones y vehículos",0.119,0.201,0.249,0.237,0.198,0.272
"P17","Buenas instalaciones de espera y descanso en las estaciones",0.228,0.267,0.397,0.414,0.459,0.457
"P18","Muy buena",0.374,0.057,0.056,0.061,0.084,0.054
"P18","Buena",0.075,0.226,0.252,0.206,0.159,0.155
"P18","Ni buena ni mala",0.219,0.437,0.427,0.437,0.409,0.462
"P18","Mala",0.157,0.199,0.201,0.225,0.2,0.207
"P18","Muy mala",0.175,0.081,0.064,0.071,0.148,0.122
"P19","Sí, con frecuencia",0.601,0.42,0.383,0.365,0.391,0.4
"P19","Sí, ocasionalmente",0.123,0.338,0.323,0.352,0.241,0.285
"P19","No, rara vez",0.19,0.087,0.242,0.209,0.232,0.202
"P19","No, nunca he experimentado problemas de congestión o demoras",0.086,0.155,0.052,0.074,0.136,0.113
"P20","Sí, siempre me siento seguro/a",0.417,0.286,0.219,0.18,0.252,0.15
"P20","Sí, en su mayoría me siento seguro/a",0.09,0.245,0.243,0.238,0.21,0.243
"P20","A veces me siento seguro/a, a veces no",0.178,0.219,0.313,0.324,0.24,0.282
"P20","No me siento seguro/a la mayoría de las veces",0.098,0.184,0.163,0.18,0.197,0.197
"P20","No me siento seguro/a en absoluto",0.217,0.066,0.062,0.078,0.101,0.128
"P21","Sí, en más de una ocasión",0.572,0.235,0.215,0.197,0.198,0.159
"P21","Sí, en una ocasión",0.106,0.347,0.251,0.243,0.166,0.215
"P21","No, nunca he presenciado un incidente de seguridad en el trasporte público",0.278,0.302,0.427,0.472,0.506,0.513
"P21","Prefiero no responder",0.044,0.116,0.107,0.088,0.13,0.113
"P22","Sí, en más de una ocasión",0.528,0.272,0.203,0.105,0.123,0.063
"P22","Sí, en una ocasión",0.108,0.143,0.17,0.181,0.138,0.148
"P22","No, nunca he sido víctima de un incidente de seguridad en el trasporte público",0.345,0.457,0.565,0.607,0.652,0.65
"P22","Prefiero no responder",0.019,0.128,0.062,0.107,0.087,0.139
