"var","categoria","A Gustavo Menendez por el Frente de Todos","A David Zencich por Juntos por el Cambio","A Pablo Cocuzza por Juntos por el Cambio","Al candidato de Javier Milei","A Cristian Franco por el Frente de Izquierda","A otro candidato"
"P35","No sabe",0.006,0,0,0.005,0,0.029
"P36","Muy buena",0.112,0.319,0.361,0.12,0.107,0.048
"P36","Buena",0.051,0.208,0.196,0.194,0.168,0.069
"P36","Ni buena ni mala",0.191,0.232,0.144,0.294,0.081,0.303
"P36","Mala",0.238,0.141,0.223,0.24,0.261,0.077
"P36","Muy mala",0.368,0.091,0.076,0.139,0.383,0.461
"P36","No sabe",0.04,0.009,0,0.013,0,0.042
"P37","Muy buena",0.172,0.117,0.146,0.024,0.09,0.188
"P37","Buena",0.348,0.104,0.051,0.038,0.099,0.167
"P37","Ni buena ni mala",0.241,0.115,0.253,0.305,0.397,0.298
"P37","Mala",0.09,0.233,0.193,0.105,0.27,0.125
"P37","Muy mala",0.134,0.426,0.357,0.506,0.144,0.205
"P37","No sabe",0.015,0.005,0,0.022,0,0.017
"P38","Muy buena",0.044,0.404,0.433,0.311,0.185,0.056
"P38","Buena",0.084,0.186,0.137,0.187,0.02,0.047
"P38","Ni buena ni mala",0.111,0.149,0.177,0.231,0.234,0.153
"P38","Mala",0.216,0.081,0.116,0.057,0.115,0.102
"P38","Muy mala",0.519,0.151,0.137,0.175,0.446,0.618
"P38","No sabe",0.026,0.029,0,0.039,0,0.024
"P39","Muy buena",0.068,0.204,0.374,0.598,0.061,0.029
"P39","Buena",0.072,0.143,0.144,0.244,0.108,0.007
"P39","Ni buena ni mala",0.161,0.319,0.258,0.095,0.181,0.236
"P39","Mala",0.213,0.12,0.148,0,0.071,0.121
"P39","Muy mala",0.451,0.148,0.076,0.059,0.568,0.581
"P39","No sabe",0.035,0.066,0,0.004,0.011,0.026
