"var","categoria","Que continúe el intendente Julio Zamora","Que continúe Julio Zamora pero con mejoras","Que cambie Julio Zamora pero que se mantengan los avances","Que cambie el intendente Julio Zamora"
"P16","Muy buena",0.179,0.068,0.122,0.239
"P16","Buena",0.082,0.161,0.186,0.186
"P16","Ni buena ni mala",0.244,0.369,0.401,0.284
"P16","Mala",0.137,0.146,0.115,0.068
"P16","Muy mala",0.161,0.176,0.05,0.125
"P16","No sabe",0.197,0.08,0.126,0.098
"P17","Muy buena",0.1,0.067,0.111,0.065
"P17","Buena",0.057,0.104,0.025,0.008
"P17","Ni buena ni mala",0.322,0.318,0.388,0.284
"P17","Mala",0.139,0.036,0.062,0.126
"P17","Muy mala",0.033,0.052,0.022,0.098
"P17","No sabe",0.349,0.423,0.392,0.419
"P18","Muy buena",0.117,0.07,0.076,0.152
"P18","Buena",0.052,0.091,0.132,0.086
"P18","Ni buena ni mala",0.419,0.404,0.524,0.319
"P18","Mala",0.096,0.086,0.026,0.103
"P18","Muy mala",0.083,0.139,0.069,0.141
"P18","No sabe",0.233,0.21,0.173,0.199
"P19","Muy buena",0.62,0.2,0.093,0.045
"P19","Buena",0.269,0.463,0.216,0.019
"P19","Ni buena ni mala",0.051,0.25,0.447,0.229
"P19","Mala",0.047,0.039,0.089,0.369
"P19","Muy mala",0.01,0.003,0.045,0.323
"P19","No sabe",0.003,0.045,0.11,0.015
"P21","Es kirchnerista",0.317,0.018,0.154,0.148
"P21","Forma parte del Frente de Todos",0.28,0.379,0.2,0.151
"P21","Es un hombre de Massa",0.211,0.242,0.214,0.103
"P21","Es un peronista independiente de centro",0.061,0.1,0.172,0.183
"P21","Es un oportunista y está donde le conviene",0.031,0.094,0.095,0.34
"P21","No sabe",0.1,0.167,0.165,0.075
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.201,0.146,0.185,0.197
"P22","Son aliados tácticos pero lo ocultan",0.047,0.09,0.189,0.171
"P22","Son adversarios políticos",0.427,0.373,0.357,0.432
"P22","No sabe",0.325,0.391,0.269,0.2
"P23","Son lo mismo, ambos son de Massa",0.237,0.167,0.183,0.354
"P23","Son aliados en el Frente de Todos pero compiten",0.355,0.423,0.355,0.31
"P23","Son enemigos porque Zamora traicionó a Massa",0.085,0.098,0.261,0.217
"P23","No sabe",0.323,0.312,0.201,0.119
"P24","La seguridad",0.301,0.245,0.381,0.282
"P24","El tránsito",0.158,0.131,0.055,0.051
"P24","El arreglo de las calles",0.21,0.093,0.079,0.043
"P24","El estado de las escuelas y la educación",0.06,0.07,0.012,0.005
"P24","El sistema de salud",0.073,0.024,0.031,0.081
"P24","El deporte y la cultura",0.039,0.209,0.101,0.123
"P24","La obra pública",0.019,0.047,0.04,0.005
"P24","La luminaria",0.066,0.057,0.111,0.117
"P24","No sabe",0.074,0.124,0.19,0.293
"P25","La seguridad",0.099,0.191,0.189,0.17
"P25","El tránsito",0.122,0.078,0.065,0.131
"P25","El arreglo de las calles",0.205,0.212,0.24,0.252
"P25","El estado de las escuelas y la educación",0.098,0.115,0.124,0.096
"P25","El sistema de salud",0.154,0.219,0.234,0.147
"P25","El deporte y la cultura",0.067,0.071,0.011,0.042
"P25","La obra pública",0.019,0.029,0.03,0.047
"P25","La luminaria",0.036,0.006,0.008,0.041
"P25","No sabe",0.2,0.079,0.099,0.074
"P26","Agua corriente y cloacas",0.37,0.402,0.348,0.486
"P26","Energía eléctrica",0.105,0.066,0.191,0.184
"P26","Red de gas natural",0.118,0.159,0.018,0.035
"P26","Recolección de residuos",0.069,0.164,0.135,0.129
"P26","Ninguno",0.338,0.209,0.308,0.166
"P27","Los robos",0.215,0.244,0.168,0.341
"P27","El narcotráfico",0.311,0.224,0.266,0.294
"P27","La ausencia de patrulleros y personal policial",0.089,0.18,0.283,0.134
"P27","Otro",0.117,0.21,0.149,0.12
"P27","Ninguno",0.268,0.142,0.134,0.111
"P28","Frente de Todos y el peronismo",0.657,0.488,0.252,0.095
"P28","Cambiemos",0.124,0.099,0.364,0.399
"P28","Liberales Libertarios",0.043,0.163,0.245,0.358
"P28","Izquierda",0.016,0.057,0.052,0.062
"P28","No sabe",0.16,0.193,0.087,0.086
"P30","A Alberto Fernández",0.219,0.267,0.263,0.093
"P30","A Sergio Massa",0.49,0.243,0.172,0.225
"P30","A algún candidato del peronismo",0.041,0.259,0.437,0.598
"P30","A algún candidato del kirchnerismo",0.25,0.231,0.128,0.084
"P31","A Alberto Fernández",0.28,0.604,0.09,0.076
"P31","A Sergio Massa",0.447,0.14,0.172,0.26
"P31","A algún candidato del peronismo",0.08,0.089,0.43,0.487
"P31","A Cristina Fernández de Kirchner",0.193,0.167,0.308,0.177
"P32","A Horacio Rodriguez Larreta",0.2,0.358,0.385,0.167
"P32","A Mauricio Macri",0.051,0.13,0.192,0.3
"P32","A Patricia Bullrich",0.215,0.168,0.294,0.348
"P32","A Facundo Manes",0.239,0.304,0.098,0.101
"P32","A Gerardo Morales",0.295,0.04,0.031,0.084
"P33","Seguro lo votaria",0.147,0.114,0.252,0.354
"P33","Quizás lo votaría",0.098,0.308,0.214,0.228
"P33","Nunca lo votaría",0.755,0.578,0.534,0.418
"P34","Muy buena",0.231,0.122,0.059,0.082
"P34","Buena",0.188,0.237,0.194,0.037
"P34","Ni buena ni mala",0.247,0.292,0.201,0.129
"P34","Mala",0.101,0.118,0.199,0.098
"P34","Muy mala",0.233,0.208,0.336,0.653
"P34","No sabe",0,0.023,0.011,0.001
"P35","Muy buena",0.197,0.034,0.128,0.286
"P35","Buena",0.065,0.114,0.23,0.222
"P35","Ni buena ni mala",0.168,0.217,0.125,0.148
"P35","Mala",0.193,0.132,0.238,0.137
"P35","Muy mala",0.377,0.465,0.269,0.204
"P35","No sabe",0,0.038,0.01,0.003
"P36","Muy buena",0.394,0.33,0.254,0.152
"P36","Buena",0.1,0.176,0.136,0.029
"P36","Ni buena ni mala",0.216,0.161,0.043,0.048
"P36","Mala",0.043,0.025,0.098,0.034
"P36","Muy mala",0.247,0.277,0.456,0.735
"P36","No sabe",0,0.031,0.013,0.002
"P37","Muy buena",0.103,0.13,0.053,0.124
"P37","Buena",0.159,0.163,0.245,0.204
"P37","Ni buena ni mala",0.233,0.334,0.286,0.172
"P37","Mala",0.075,0.093,0.132,0.167
"P37","Muy mala",0.266,0.254,0.273,0.322
"P37","No sabe",0.164,0.026,0.011,0.011
"P38","Muy buena",0.203,0.086,0.099,0.084
"P38","Buena",0.256,0.23,0.07,0.061
"P38","Ni buena ni mala",0.213,0.306,0.309,0.14
"P38","Mala",0.107,0.197,0.166,0.1
"P38","Muy mala",0.221,0.149,0.356,0.612
"P38","No sabe",0,0.032,0,0.003
"P39","Muy buena",0.14,0.076,0.268,0.378
"P39","Buena",0.112,0.141,0.145,0.167
"P39","Ni buena ni mala",0.171,0.253,0.198,0.165
"P39","Mala",0.217,0.083,0.063,0.067
"P39","Muy mala",0.351,0.368,0.323,0.218
"P39","No sabe",0.009,0.079,0.003,0.005
"P40","Muy buena",0.102,0.13,0.136,0.335
"P40","Buena",0.044,0.094,0.187,0.166
"P40","Ni buena ni mala",0.176,0.221,0.263,0.199
"P40","Mala",0.212,0.12,0.143,0.126
"P40","Muy mala",0.395,0.371,0.266,0.166
"P40","No sabe",0.071,0.064,0.005,0.008
