"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P20","Puede que la vote",0.038,0.309,0.164
"P20","Nunca la votaría",0.887,0.107,0.649
"P20","No sabe",0.055,0.04,0.109
"P21","Lo votaría",0.048,0.292,0.249
"P21","Puede que lo vote",0.042,0.286,0.115
"P21","Nunca lo votaría",0.855,0.357,0.525
"P21","No sabe",0.055,0.065,0.111
"P22","La votaría",0.027,0.228,0.031
"P22","Puede que la vote",0.038,0.381,0.168
"P22","Nunca la votaría",0.892,0.305,0.68
"P22","No sabe",0.043,0.086,0.121
"P23","Lo votaría",0.389,0.031,0.064
"P23","Puede que lo vote",0.272,0.077,0.127
"P23","Nunca lo votaría",0.243,0.831,0.632
"P23","No sabe",0.096,0.061,0.177
"P24","Lo votaría",0.081,0.049,0.034
"P24","Puede que lo vote",0.106,0.28,0.102
"P24","Nunca lo votaría",0.686,0.566,0.616
"P24","No sabe",0.127,0.105,0.248
"P25","Mauricio Macri por Juntos por el Cambio",0.019,0.277,0.023
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.03,0.137,0.099
"P25","Patricia Bullrich por Juntos por el Cambio",0.001,0.327,0.05
"P25","Facundo Manes por Juntos por el Cambio",0.014,0.036,0.12
"P25","Alberto Fernández por el Frente de Todos",0.104,0.002,0.024
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.734,0.013,0.235
"P25","Javier Milei por los liberales libertarios",0.01,0.159,0.236
"P25","Nicolás del Caño por la izquierda",0.021,0.001,0.016
"P25","Otros candidatos",0.032,0.017,0.096
"P25","Aún no lo tengo decidido",0.035,0.031,0.101
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.037,0.178,0.091
"P26","Patricia Bullrich por Juntos por el Cambio",0,0.506,0.081
"P26","Facundo Manes por Juntos por el Cambio",0.028,0.078,0.128
"P26","Wado de Pedro por el Frente de Todos",0.376,0.004,0.162
"P26","Sergio Massa por el Frente de Todos",0.452,0.011,0.052
"P26","Javier Milei por los liberales libertarios",0.02,0.167,0.208
"P26","Nicolás del Caño por la izquierda",0.015,0.024,0.044
"P26","Otros candidatos",0.03,0.008,0.051
"P26","Aún no lo tengo decidido",0.042,0.024,0.183
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.835,0.019,0.289
"P27","Mauricio Macri por Juntos por el Cambio",0.021,0.574,0.046
"P27","Javier Milei por los liberales libertarios",0.035,0.241,0.278
"P27","Nicolás del Caño por la izquierda",0.026,0.005,0.04
"P27","Otro candidato",0.038,0.091,0.158
"P27","Aún no lo tengo decidido",0.045,0.07,0.189
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.109,0.465,0.164
"P29","Wado de Pedro por el Frente de Todos",0.67,0.073,0.111
"P29","Javier Milei por los liberales libertarios",0.039,0.291,0.273
"P29","Nicolás del Caño por la izquierda",0.032,0.003,0.03
"P29","Otro candidato",0.06,0.086,0.186
"P29","Aún no lo tengo decidido",0.09,0.082,0.236
"P31","Sergio Massa por el Frente de Todos",0.75,0.046,0.087
"P31","Patricia Bullrich por Juntos por el Cambio",0.055,0.662,0.06
"P31","Javier Milei por los liberales libertarios",0.028,0.215,0.279
"P31","Nicolás del Caño por la izquierda",0.052,0.002,0.061
"P31","Otro candidato",0.046,0.036,0.266
"P31","Aún no lo tengo decidido",0.069,0.039,0.247
"P33","Sergio Massa por el Frente de Todos",0.715,0.045,0.059
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.101,0.505,0.125
"P33","Javier Milei por los liberales libertarios",0.035,0.298,0.272
"P33","Nicolás del Caño por la izquierda",0.039,0.004,0.054
"P33","Otro candidato",0.055,0.089,0.257
"P33","Aún no lo tengo decidido",0.055,0.059,0.233
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.834,0.054,0.24
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.062,0.497,0.116
"P35","Javier Milei por los liberales libertarios",0.016,0.312,0.294
"P35","Nicolás del Caño por la izquierda",0.025,0.001,0.028
"P35","Otro candidato",0.03,0.088,0.149
"P35","Aún no lo tengo decidido",0.033,0.048,0.173
"P36","Sergio Massa por el Frente de Todos",0.796,0.021,0.096
"P36","Mauricio Macri por Juntos por el Cambio",0.063,0.589,0.047
"P36","Javier Milei por los liberales libertarios",0.018,0.261,0.284
"P36","Nicolás del Caño por la izquierda",0.039,0.002,0.055
"P36","Otro candidato",0.053,0.072,0.299
"P36","Aún no lo tengo decidido",0.031,0.055,0.219
"P37","Wado de Pedro por el Frente de Todos",0.741,0.012,0.139
"P37","Mauricio Macri por Juntos por el Cambio",0.042,0.607,0.053
"P37","Javier Milei por los liberales libertarios",0.027,0.241,0.278
"P37","Nicolás del Caño por la izquierda",0.047,0.006,0.049
"P37","Otro candidato",0.07,0.091,0.245
"P37","Aún no lo tengo decidido",0.073,0.043,0.236
"P38","Wado de Pedro por el Frente de Todos",0.724,0.008,0.173
"P38","Patricia Bullrich por Juntos por el Cambio",0.029,0.701,0.051
"P38","Javier Milei por los liberales libertarios",0.033,0.212,0.276
"P38","Nicolás del Caño por la izquierda",0.041,0.001,0.033
"P38","Otro candidato",0.085,0.035,0.238
"P38","Aún no lo tengo decidido",0.088,0.043,0.229
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.804,0.016,0.261
"P39","Patricia Bullrich por Juntos por el Cambio",0.051,0.683,0.062
"P39","Javier Milei por los liberales libertarios",0.018,0.227,0.269
"P39","Nicolás del Caño por la izquierda",0.033,0.001,0.029
"P39","Otro candidato",0.063,0.034,0.173
"P39","Aún no lo tengo decidido",0.031,0.039,0.206
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.822,0.073,0.253
"P40","Mauricio Macri por Juntos por el Cambio",0.112,0.775,0.191
"P40","No sabe",0.066,0.152,0.556
"P41","Wado de Pedro por el Frente de Todos",0.822,0.026,0.16
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.063,0.782,0.17
"P41","No sabe",0.115,0.192,0.67
"P43","Sergio Massa por el Frente de Todos",0.921,0.023,0.114
"P43","Mauricio Macri por Juntos por el Cambio",0.026,0.882,0.142
"P43","No sabe",0.053,0.095,0.744
"P44","Sergio Massa por el Frente de Todos",0.925,0.023,0.085
"P44","Javier Milei por los liberales libertarios",0.035,0.631,0.297
"P44","No sabe",0.04,0.346,0.618
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.464,0.262,0.123
"P45","Javier Milei por los liberales libertarios",0.067,0.496,0.281
"P45","No sabe",0.469,0.242,0.596
"P46","Patricia Bullrich por Juntos por el Cambio",0.104,0.856,0.087
"P46","Wado de Pedro por el Frente de Todos",0.667,0.065,0.238
"P46","No sabe",0.229,0.079,0.675
"P47","Patricia Bullrich por Juntos por el Cambio",0.067,0.932,0.161
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.864,0.027,0.27
"P47","No sabe",0.069,0.041,0.569
"P48","Muy buena",0.117,0.098,0.053
"P48","Buena",0.433,0.014,0.073
"P48","Ni buena ni mala",0.287,0.016,0.235
"P48","Mala",0.124,0.063,0.142
"P48","Muy mala",0.038,0.808,0.439
"P48","No sabe",0.001,0.001,0.058
"P49","Muy buena",0.146,0.012,0.026
"P49","Buena",0.373,0.005,0.064
"P49","Ni buena ni mala",0.325,0.023,0.242
"P49","Mala",0.111,0.097,0.139
"P49","Muy mala",0.044,0.858,0.489
"P49","No sabe",0.001,0.005,0.04
"P50","Muy buena",0.614,0.017,0.224
"P50","Buena",0.189,0.002,0.044
"P50","Ni buena ni mala",0.11,0.024,0.117
"P50","Mala",0.044,0.042,0.055
"P50","Muy mala",0.041,0.914,0.534
"P50","No sabe",0.002,0.001,0.026
"P51","Muy buena",0.124,0.297,0.057
"P51","Buena",0.054,0.286,0.08
"P51","Ni buena ni mala",0.042,0.207,0.158
"P51","Mala",0.187,0.068,0.18
"P51","Muy mala",0.576,0.141,0.492
"P51","No sabe",0.017,0.001,0.033
"P52","Muy buena",0.052,0.271,0.08
"P52","Buena",0.047,0.278,0.117
"P52","Ni buena ni mala",0.08,0.26,0.241
"P52","Mala",0.213,0.087,0.151
"P52","Muy mala",0.587,0.097,0.364
"P52","No sabe",0.021,0.007,0.047
"P53","Muy buena",0.211,0.024,0.031
"P53","Buena",0.38,0.045,0.072
"P53","Ni buena ni mala",0.24,0.099,0.183
"P53","Mala",0.09,0.15,0.184
"P53","Muy mala",0.073,0.678,0.476
"P53","No sabe",0.006,0.004,0.054
"P54","Muy buena",0.066,0.457,0.051
"P54","Buena",0.045,0.325,0.059
"P54","Ni buena ni mala",0.118,0.096,0.245
"P54","Mala",0.126,0.035,0.172
"P54","Muy mala",0.636,0.076,0.418
"P54","No sabe",0.009,0.011,0.055
"P55","Muy buena",0.032,0.236,0.204
"P55","Buena",0.023,0.246,0.078
"P55","Ni buena ni mala",0.119,0.32,0.22
"P55","Mala",0.143,0.1,0.164
"P55","Muy mala",0.673,0.08,0.289
"P55","No sabe",0.01,0.018,0.045
"P56","Muy buena",0.027,0.3,0.081
"P56","Buena",0.009,0.35,0.087
"P56","Ni buena ni mala",0.079,0.178,0.202
"P56","Mala",0.169,0.094,0.217
"P56","Muy mala",0.708,0.07,0.375
"P56","No sabe",0.008,0.008,0.038
"P57","Muy buena",0.38,0.043,0.072
"P57","Buena",0.238,0.034,0.108
"P57","Ni buena ni mala",0.174,0.153,0.203
"P57","Mala",0.081,0.193,0.206
"P57","Muy mala",0.077,0.524,0.329
"P57","No sabe",0.05,0.053,0.082
"P58","Muy buena",0.115,0.06,0.085
"P58","Buena",0.149,0.181,0.181
"P58","Ni buena ni mala",0.342,0.375,0.284
"P58","Mala",0.156,0.164,0.127
"P58","Muy mala",0.158,0.207,0.219
"P58","No sabe",0.08,0.013,0.104
"P59","Muy buena",0.028,0.057,0.053
"P59","Buena",0.036,0.229,0.079
"P59","Ni buena ni mala",0.247,0.355,0.279
"P59","Mala",0.163,0.126,0.076
"P59","Muy mala",0.438,0.137,0.356
"P59","No sabe",0.088,0.096,0.157
"P60","Siempre",0.295,0.28,0.252
"P60","Casi siempre",0.404,0.371,0.366
"P60","Casi nunca",0.226,0.252,0.284
"P60","Nunca, pero esta es una excepción",0.075,0.097,0.098
"P61","Si",0.613,0.498,0.508
"P61","No",0.387,0.502,0.492
