"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","No sabe"
"P14","No sabe",0.045,0.057,0.195
"P15","Lo votaría",0.256,0.035,0.054
"P15","Puede que lo vote",0.381,0.091,0.146
"P15","Nunca lo votaría",0.302,0.851,0.674
"P15","No sabe",0.061,0.023,0.126
"P16","Lo votaría",0.255,0.033,0.008
"P16","Puede que lo vote",0.396,0.056,0.109
"P16","Nunca lo votaría",0.283,0.894,0.775
"P16","No sabe",0.066,0.017,0.108
"P17","La votaría",0.741,0.052,0.011
"P17","Puede que la vote",0.124,0.03,0.05
"P17","Nunca la votaría",0.119,0.904,0.83
"P17","No sabe",0.016,0.014,0.109
"P18","Lo votaría",0.108,0.232,0.079
"P18","Puede que lo vote",0.079,0.375,0.314
"P18","Nunca lo votaría",0.797,0.335,0.481
"P18","No sabe",0.016,0.058,0.126
"P19","Lo votaría",0.048,0.058,0.166
"P19","Puede que lo vote",0.164,0.328,0.245
"P19","Nunca lo votaría",0.673,0.547,0.395
"P19","No sabe",0.115,0.067,0.194
"P20","La votaría",0.053,0.526,0.152
"P20","Puede que la vote",0.046,0.264,0.259
"P20","Nunca la votaría",0.853,0.168,0.478
"P20","No sabe",0.048,0.042,0.111
"P21","Lo votaría",0.066,0.265,0.298
"P21","Puede que lo vote",0.061,0.266,0.185
"P21","Nunca lo votaría",0.832,0.41,0.388
"P21","No sabe",0.041,0.059,0.129
"P22","La votaría",0.037,0.21,0.066
"P22","Puede que la vote",0.062,0.36,0.212
"P22","Nunca la votaría",0.874,0.35,0.549
"P22","No sabe",0.027,0.08,0.173
"P23","Lo votaría",0.345,0.032,0.061
"P23","Puede que lo vote",0.274,0.078,0.081
"P23","Nunca lo votaría",0.289,0.831,0.678
"P23","No sabe",0.092,0.059,0.18
"P24","Lo votaría",0.062,0.047,0.052
"P24","Puede que lo vote",0.086,0.263,0.171
"P24","Nunca lo votaría",0.74,0.582,0.524
"P24","No sabe",0.112,0.108,0.253
"P25","Mauricio Macri por Juntos por el Cambio",0.044,0.283,0.018
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.128,0.162
"P25","Patricia Bullrich por Juntos por el Cambio",0.04,0.294,0.085
"P25","Facundo Manes por Juntos por el Cambio",0.021,0.022,0.136
"P25","Alberto Fernández por el Frente de Todos",0.106,0.007,0.005
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.714,0.082,0.014
"P25","Javier Milei por los liberales libertarios",0.006,0.144,0.303
"P25","Nicolás del Caño por la izquierda",0.017,0.001,0.019
"P25","Otros candidatos",0.012,0.014,0.129
"P25","Aún no lo tengo decidido",0.023,0.025,0.129
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.034,0.171,0.138
"P26","Patricia Bullrich por Juntos por el Cambio",0.035,0.492,0.127
"P26","Facundo Manes por Juntos por el Cambio",0.042,0.058,0.148
"P26","Wado de Pedro por el Frente de Todos",0.376,0.021,0.055
"P26","Sergio Massa por el Frente de Todos",0.352,0.063,0.046
"P26","Javier Milei por los liberales libertarios",0.03,0.131,0.297
"P26","Nicolás del Caño por la izquierda",0.027,0.021,0.036
"P26","Otros candidatos",0.024,0.007,0.055
"P26","Aún no lo tengo decidido",0.08,0.036,0.098
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.817,0.098,0.036
"P27","Mauricio Macri por Juntos por el Cambio",0.065,0.587,0.04
"P27","Javier Milei por los liberales libertarios",0.032,0.202,0.383
"P27","Nicolás del Caño por la izquierda",0.018,0.002,0.07
"P27","Otro candidato",0.025,0.064,0.24
"P27","Aún no lo tengo decidido",0.043,0.047,0.231
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.118,0.478,0.171
"P29","Wado de Pedro por el Frente de Todos",0.619,0.099,0.036
"P29","Javier Milei por los liberales libertarios",0.045,0.267,0.356
"P29","Nicolás del Caño por la izquierda",0.03,0.002,0.031
"P29","Otro candidato",0.081,0.083,0.179
"P29","Aún no lo tengo decidido",0.107,0.071,0.227
"P31","Sergio Massa por el Frente de Todos",0.608,0.106,0.084
"P31","Patricia Bullrich por Juntos por el Cambio",0.124,0.611,0.147
"P31","Javier Milei por los liberales libertarios",0.029,0.184,0.371
"P31","Nicolás del Caño por la izquierda",0.04,0.001,0.077
"P31","Otro candidato",0.087,0.05,0.169
"P31","Aún no lo tengo decidido",0.112,0.048,0.152
"P33","Sergio Massa por el Frente de Todos",0.622,0.062,0.072
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.089,0.52,0.173
"P33","Javier Milei por los liberales libertarios",0.037,0.274,0.367
"P33","Nicolás del Caño por la izquierda",0.041,0.004,0.044
"P33","Otro candidato",0.102,0.092,0.177
"P33","Aún no lo tengo decidido",0.109,0.048,0.167
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.787,0.132,0.035
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.083,0.469,0.205
"P35","Javier Milei por los liberales libertarios",0.035,0.288,0.37
"P35","Nicolás del Caño por la izquierda",0.02,0.001,0.029
"P35","Otro candidato",0.028,0.069,0.198
"P35","Aún no lo tengo decidido",0.047,0.041,0.163
"P36","Sergio Massa por el Frente de Todos",0.638,0.098,0.063
"P36","Mauricio Macri por Juntos por el Cambio",0.092,0.605,0.054
"P36","Javier Milei por los liberales libertarios",0.039,0.217,0.369
"P36","Nicolás del Caño por la izquierda",0.038,0,0.058
"P36","Otro candidato",0.106,0.056,0.254
"P36","Aún no lo tengo decidido",0.087,0.024,0.202
"P37","Wado de Pedro por el Frente de Todos",0.649,0.072,0.041
"P37","Mauricio Macri por Juntos por el Cambio",0.098,0.621,0.021
"P37","Javier Milei por los liberales libertarios",0.037,0.204,0.368
"P37","Nicolás del Caño por la izquierda",0.036,0.003,0.071
"P37","Otro candidato",0.068,0.075,0.291
"P37","Aún no lo tengo decidido",0.112,0.025,0.208
"P38","Wado de Pedro por el Frente de Todos",0.644,0.066,0.046
"P38","Patricia Bullrich por Juntos por el Cambio",0.096,0.639,0.17
"P38","Javier Milei por los liberales libertarios",0.023,0.187,0.37
"P38","Nicolás del Caño por la izquierda",0.032,0.002,0.049
"P38","Otro candidato",0.095,0.055,0.202
"P38","Aún no lo tengo decidido",0.11,0.051,0.163
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.772,0.103,0.022
"P39","Patricia Bullrich por Juntos por el Cambio",0.112,0.626,0.176
"P39","Javier Milei por los liberales libertarios",0.015,0.196,0.377
"P39","Nicolás del Caño por la izquierda",0.021,0.002,0.041
"P39","Otro candidato",0.044,0.034,0.192
"P39","Aún no lo tengo decidido",0.036,0.039,0.192
"P41","Wado de Pedro por el Frente de Todos",0.752,0.076,0.044
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.094,0.726,0.315
"P41","No sabe",0.154,0.198,0.641
"P42","Sergio Massa por el Frente de Todos",0.742,0.079,0.096
"P42","Patricia Bullrich por Juntos por el Cambio",0.099,0.826,0.335
"P42","No sabe",0.159,0.095,0.569
"P43","Sergio Massa por el Frente de Todos",0.739,0.09,0.131
"P43","Mauricio Macri por Juntos por el Cambio",0.108,0.871,0.158
"P43","No sabe",0.153,0.039,0.711
"P44","Sergio Massa por el Frente de Todos",0.757,0.082,0.113
"P44","Javier Milei por los liberales libertarios",0.094,0.584,0.385
"P44","No sabe",0.149,0.334,0.502
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.457,0.234,0.168
"P45","Javier Milei por los liberales libertarios",0.077,0.449,0.425
"P45","No sabe",0.466,0.317,0.407
"P46","Patricia Bullrich por Juntos por el Cambio",0.167,0.771,0.274
"P46","Wado de Pedro por el Frente de Todos",0.679,0.062,0.145
"P46","No sabe",0.154,0.167,0.581
"P47","Patricia Bullrich por Juntos por el Cambio",0.14,0.834,0.375
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.825,0.113,0.034
"P47","No sabe",0.035,0.053,0.591
"P48","Muy buena",0.154,0.068,0.055
"P48","Buena",0.352,0.078,0.011
"P48","Ni buena ni mala",0.268,0.024,0.209
"P48","Mala",0.123,0.065,0.132
"P48","Muy mala",0.091,0.755,0.573
"P48","No sabe",0.012,0.01,0.02
"P49","Muy buena",0.13,0.02,0.017
"P49","Buena",0.319,0.038,0.031
"P49","Ni buena ni mala",0.304,0.053,0.169
"P49","Mala",0.114,0.093,0.14
"P49","Muy mala",0.132,0.783,0.621
"P49","No sabe",0.001,0.013,0.022
"P50","Muy buena",0.641,0.054,0.019
"P50","Buena",0.145,0.027,0.035
"P50","Ni buena ni mala",0.084,0.034,0.126
"P50","Mala",0.028,0.037,0.092
"P50","Muy mala",0.101,0.847,0.701
"P50","No sabe",0.001,0.001,0.027
"P51","Muy buena",0.158,0.304,0.008
"P51","Buena",0.061,0.294,0.084
"P51","Ni buena ni mala",0.039,0.171,0.263
"P51","Mala",0.175,0.069,0.18
"P51","Muy mala",0.55,0.16,0.436
"P51","No sabe",0.017,0.002,0.029
"P52","Muy buena",0.056,0.261,0.126
"P52","Buena",0.066,0.255,0.169
"P52","Ni buena ni mala",0.108,0.245,0.25
"P52","Mala",0.211,0.086,0.139
"P52","Muy mala",0.534,0.147,0.277
"P52","No sabe",0.025,0.006,0.039
"P53","Muy buena",0.158,0.045,0.047
"P53","Buena",0.333,0.05,0.095
"P53","Ni buena ni mala",0.236,0.106,0.154
"P53","Mala",0.129,0.138,0.157
"P53","Muy mala",0.129,0.652,0.52
"P53","No sabe",0.015,0.009,0.027
"P54","Muy buena",0.078,0.445,0.109
"P54","Buena",0.041,0.293,0.174
"P54","Ni buena ni mala",0.126,0.103,0.214
"P54","Mala",0.102,0.049,0.168
"P54","Muy mala",0.639,0.096,0.295
"P54","No sabe",0.014,0.014,0.04
"P55","Muy buena",0.066,0.208,0.239
"P55","Buena",0.038,0.219,0.146
"P55","Ni buena ni mala",0.138,0.294,0.276
"P55","Mala",0.129,0.126,0.12
"P55","Muy mala",0.609,0.135,0.19
"P55","No sabe",0.02,0.018,0.029
"P56","Muy buena",0.033,0.284,0.143
"P56","Buena",0.041,0.315,0.159
"P56","Ni buena ni mala",0.093,0.152,0.251
"P56","Mala",0.191,0.113,0.129
"P56","Muy mala",0.639,0.126,0.277
"P56","No sabe",0.003,0.01,0.041
"P57","Muy buena",0.327,0.071,0.048
"P57","Buena",0.234,0.041,0.072
"P57","Ni buena ni mala",0.202,0.141,0.18
"P57","Mala",0.105,0.194,0.178
"P57","Muy mala",0.096,0.505,0.403
"P57","No sabe",0.036,0.048,0.119
"P58","Muy buena",0.047,0.083,0.139
"P58","Buena",0.147,0.176,0.201
"P58","Ni buena ni mala",0.355,0.37,0.277
"P58","Mala",0.201,0.151,0.083
"P58","Muy mala",0.178,0.201,0.204
"P58","No sabe",0.072,0.019,0.096
"P59","Muy buena",0.033,0.051,0.063
"P59","Buena",0.032,0.217,0.141
"P59","Ni buena ni mala",0.223,0.352,0.343
"P59","Mala",0.171,0.117,0.078
"P59","Muy mala",0.458,0.175,0.189
"P59","No sabe",0.083,0.088,0.186
"P60","Siempre",0.318,0.258,0.263
"P60","Casi siempre",0.407,0.376,0.345
"P60","Casi nunca",0.216,0.274,0.253
"P60","Nunca, pero esta es una excepción",0.059,0.092,0.139
"P61","Si",0.617,0.503,0.473
"P61","No",0.383,0.497,0.527
