"var","categoria","Mauricio Macri presidente Javier Milei vice","Sergio Massa presidente Gerardo Morales vice","Nicolas del Caño presidente Myriam Bregman vice","No sabe"
"P21","Otros candidatos",0.022,0.066,0.158,0.14
"P22","Muy buena",0.048,0.157,0.085,0.073
"P22","Buena",0.016,0.396,0.237,0.195
"P22","Ni buena ni mala",0.021,0.229,0.224,0.183
"P22","Mala",0.13,0.135,0.23,0.182
"P22","Muy mala",0.782,0.071,0.21,0.348
"P22","No sabe",0.003,0.012,0.014,0.019
"P23","Si",0.511,0.85,0.764,0.706
"P23","No",0.275,0.072,0.146,0.134
"P23","No sabe",0.214,0.078,0.09,0.16
"P24","El kirchnerismo",0.704,0.19,0.202,0.384
"P24","Cambiemos",0.071,0.385,0.291,0.185
"P24","Los medios de comunicación",0.049,0.293,0.355,0.209
"P24","Otros",0.092,0.049,0.074,0.088
"P24","No sabe",0.084,0.083,0.078,0.134
"P25","Sin deuda",0.287,0.355,0.342,0.284
"P25","Menos de 10%",0.182,0.171,0.152,0.166
"P25","Entre 10 y 20%",0.133,0.144,0.149,0.149
"P25","Entre 20 y 30%",0.14,0.056,0.097,0.089
"P25","Entre 30 y 40%",0.075,0.094,0.081,0.114
"P25","Mas del 40%",0.151,0.169,0.133,0.16
"P25","No sabe",0.032,0.011,0.046,0.038
"P26","Gran excedente habitual",0.005,0.003,0,0.006
"P26","Gran excedente excepcional",0.002,0.024,0.013,0.007
"P26","Pequeño excedente habitual",0.046,0.107,0.11,0.064
"P26","Pequeño excedente excepcional",0.056,0.076,0.078,0.061
"P26","Alcanza gastos familia",0.125,0.182,0.216,0.168
"P26","No alcanza gastos familia",0.156,0.116,0.147,0.171
"P26","Solo NBFamiliares",0.317,0.258,0.211,0.248
"P26","No alcanza NBFamiliares",0.285,0.224,0.222,0.266
"P26","No sabe",0.008,0.01,0.003,0.009
"P27","Muy buena",0.036,0.054,0.029,0.045
"P27","Buena",0.115,0.228,0.189,0.153
"P27","Ni buena ni mala",0.374,0.396,0.371,0.398
"P27","Mala",0.358,0.232,0.273,0.276
"P27","Muy mala",0.109,0.078,0.105,0.116
"P27","No sabe",0.008,0.012,0.033,0.012
"P28","Mejor",0.058,0.204,0.111,0.125
"P28","Igual",0.122,0.473,0.39,0.335
"P28","Peor",0.779,0.298,0.481,0.513
"P28","No sabe",0.041,0.025,0.018,0.027
"P29","Mejor",0.033,0.321,0.124,0.17
"P29","Igual",0.142,0.319,0.291,0.256
"P29","Peor",0.772,0.238,0.49,0.453
"P29","No sabe",0.053,0.122,0.095,0.121
"P30","Muy buena",0.056,0.042,0.067,0.039
"P30","Buena",0.028,0.131,0.081,0.091
"P30","Ni buena ni mala",0.025,0.343,0.157,0.187
"P30","Mala",0.203,0.342,0.345,0.293
"P30","Muy mala",0.687,0.134,0.345,0.377
"P30","No sabe",0.001,0.008,0.005,0.013
"P31","Muy buena",0.028,0.501,0.347,0.305
"P31","Buena",0.017,0.15,0.184,0.103
"P31","Ni buena ni mala",0.021,0.142,0.132,0.082
"P31","Mala",0.056,0.077,0.057,0.066
"P31","Muy mala",0.878,0.129,0.28,0.436
"P31","No sabe",0,0.001,0,0.008
"P32","Muy buena",0.013,0.216,0.085,0.096
"P32","Buena",0.035,0.351,0.206,0.19
"P32","Ni buena ni mala",0.045,0.237,0.289,0.182
"P32","Mala",0.122,0.086,0.145,0.178
"P32","Muy mala",0.784,0.107,0.275,0.349
"P32","No sabe",0.001,0.003,0,0.005
"P33","Muy buena",0.024,0.2,0.038,0.038
"P33","Buena",0.031,0.314,0.126,0.112
"P33","Ni buena ni mala",0.07,0.308,0.248,0.279
"P33","Mala",0.193,0.067,0.233,0.209
"P33","Muy mala",0.673,0.102,0.321,0.328
"P33","No sabe",0.009,0.009,0.034,0.034
"P34","Muy buena",0.039,0.367,0.355,0.235
"P34","Buena",0.044,0.251,0.183,0.134
"P34","Ni buena ni mala",0.031,0.165,0.115,0.131
"P34","Mala",0.095,0.077,0.097,0.093
"P34","Muy mala",0.789,0.135,0.247,0.394
"P34","No sabe",0.002,0.005,0.003,0.013
"P35","Muy buena",0.231,0.046,0.063,0.043
"P35","Buena",0.276,0.033,0.032,0.093
"P35","Ni buena ni mala",0.266,0.052,0.105,0.17
"P35","Mala",0.102,0.148,0.106,0.167
"P35","Muy mala",0.121,0.721,0.694,0.51
"P35","No sabe",0.004,0,0,0.017
"P36","Muy buena",0.235,0.05,0.101,0.074
"P36","Buena",0.286,0.072,0.085,0.182
"P36","Ni buena ni mala",0.238,0.191,0.134,0.23
"P36","Mala",0.104,0.232,0.17,0.172
"P36","Muy mala",0.133,0.449,0.503,0.298
"P36","No sabe",0.004,0.006,0.007,0.044
"P37","Muy buena",0.233,0.03,0.083,0.072
"P37","Buena",0.296,0.04,0.036,0.126
"P37","Ni buena ni mala",0.203,0.106,0.104,0.177
"P37","Mala",0.11,0.189,0.175,0.148
"P37","Muy mala",0.152,0.621,0.602,0.456
"P37","No sabe",0.006,0.014,0,0.021
"P38","Muy buena",0.275,0.05,0.094,0.104
"P38","Buena",0.23,0.074,0.082,0.097
"P38","Ni buena ni mala",0.284,0.169,0.073,0.231
"P38","Mala",0.073,0.131,0.09,0.108
"P38","Muy mala",0.113,0.544,0.636,0.387
"P38","No sabe",0.025,0.032,0.025,0.073
"P39","Muy buena",0.517,0.029,0.058,0.129
"P39","Buena",0.251,0.03,0.048,0.159
"P39","Ni buena ni mala",0.119,0.08,0.1,0.139
"P39","Mala",0.041,0.126,0.081,0.101
"P39","Muy mala",0.049,0.698,0.707,0.434
"P39","No sabe",0.023,0.037,0.006,0.038
"P40","Muy buena",0.024,0.095,0.066,0.058
"P40","Buena",0.082,0.253,0.175,0.171
"P40","Ni buena ni mala",0.227,0.34,0.241,0.268
"P40","Mala",0.342,0.186,0.266,0.23
"P40","Muy mala",0.307,0.102,0.246,0.231
"P40","No sabe",0.018,0.024,0.006,0.042
"P41","Muy buena",0.03,0.026,0.007,0.019
"P41","Buena",0.08,0.098,0.047,0.062
"P41","Ni buena ni mala",0.229,0.097,0.093,0.168
"P41","Mala",0.283,0.268,0.182,0.249
"P41","Muy mala",0.364,0.466,0.659,0.45
"P41","No sabe",0.014,0.045,0.012,0.052
