"var","categoria","Frente de Todos y el peronismo","Cambiemos","Liberales y Javier Milei","Izquierda","No sabe"
"P19","Horacio Rodríguez Larreta por Cambiemos",0.138,0.596,0.112,0.125,0.201
"P19","Alberto Fernández por el Frente de Todos",0.62,0.147,0.031,0.113,0.074
"P19","Javier Milei por los liberales",0.026,0.07,0.781,0.004,0.085
"P19","Nicolás del Caño por la izquierda",0.029,0.004,0.007,0.458,0.038
"P19","Otro candidato",0.187,0.183,0.069,0.3,0.602
"P20","Mauricio Macri presidente Javier Milei vice",0.052,0.639,0.632,0.066,0.128
"P20","Sergio Massa presidente Gerardo Morales vice",0.341,0.043,0.058,0.154,0.112
"P20","Nicolas del Caño presidente Myriam Bregman vice",0.099,0.015,0.035,0.549,0.044
"P20","No sabe",0.508,0.303,0.275,0.231,0.716
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.026,0.717,0.241,0.027,0.13
"P21","Alberto Fernández presidente Sergio Massa vice",0.397,0.034,0.011,0.148,0.09
"P21","Javier Milei presidente José Luis Espert vice",0.033,0.02,0.634,0.087,0.07
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.074,0.173,0.068,0.07,0.212
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.425,0.01,0.01,0.229,0.117
"P21","Otros candidatos",0.045,0.046,0.036,0.439,0.381
"P22","Muy buena",0.134,0.049,0.045,0.126,0.024
"P22","Buena",0.411,0.029,0.012,0.119,0.055
"P22","Ni buena ni mala",0.265,0.029,0.036,0.214,0.191
"P22","Mala",0.126,0.15,0.165,0.386,0.219
"P22","Muy mala",0.054,0.734,0.741,0.155,0.457
"P22","No sabe",0.01,0.009,0.001,0,0.054
"P23","Si",0.864,0.551,0.499,0.812,0.598
"P23","No",0.064,0.215,0.312,0.053,0.186
"P23","No sabe",0.072,0.234,0.189,0.135,0.216
"P24","El kirchnerismo",0.144,0.725,0.643,0.309,0.391
"P24","Cambiemos",0.35,0.066,0.089,0.287,0.109
"P24","Los medios de comunicación",0.359,0.062,0.034,0.266,0.148
"P24","Otros",0.06,0.07,0.112,0.068,0.135
"P24","No sabe",0.087,0.077,0.122,0.07,0.217
"P25","Sin deuda",0.367,0.313,0.228,0.287,0.211
"P25","Menos de 10%",0.156,0.206,0.139,0.148,0.192
"P25","Entre 10 y 20%",0.138,0.164,0.127,0.111,0.147
"P25","Entre 20 y 30%",0.071,0.09,0.146,0.126,0.12
"P25","Entre 30 y 40%",0.083,0.093,0.093,0.149,0.084
"P25","Mas del 40%",0.14,0.114,0.232,0.144,0.216
"P25","No sabe",0.045,0.02,0.035,0.035,0.03
"P26","Gran excedente habitual",0.004,0.007,0.004,0,0.016
"P26","Gran excedente excepcional",0.021,0.002,0.001,0.004,0.001
"P26","Pequeño excedente habitual",0.086,0.05,0.072,0.041,0.029
"P26","Pequeño excedente excepcional",0.069,0.076,0.046,0.033,0.039
"P26","Alcanza gastos familia",0.195,0.137,0.121,0.134,0.155
"P26","No alcanza gastos familia",0.141,0.167,0.175,0.12,0.177
"P26","Solo NBFamiliares",0.259,0.267,0.305,0.33,0.271
"P26","No alcanza NBFamiliares",0.215,0.285,0.272,0.325,0.306
"P26","No sabe",0.01,0.009,0.004,0.013,0.006
"P27","Muy buena",0.059,0.031,0.04,0.019,0.022
"P27","Buena",0.226,0.152,0.076,0.104,0.096
"P27","Ni buena ni mala",0.398,0.405,0.342,0.454,0.35
"P27","Mala",0.231,0.303,0.367,0.294,0.348
"P27","Muy mala",0.072,0.099,0.159,0.124,0.157
"P27","No sabe",0.014,0.01,0.016,0.005,0.027
"P28","Mejor",0.214,0.055,0.05,0.048,0.069
"P28","Igual",0.489,0.16,0.134,0.302,0.24
"P28","Peor",0.265,0.762,0.757,0.624,0.647
"P28","No sabe",0.032,0.023,0.059,0.026,0.044
"P29","Mejor",0.311,0.047,0.033,0.066,0.073
"P29","Igual",0.336,0.163,0.146,0.367,0.164
"P29","Peor",0.212,0.725,0.774,0.436,0.635
"P29","No sabe",0.141,0.065,0.047,0.131,0.128
"P30","Muy buena",0.029,0.045,0.084,0.078,0.041
"P30","Buena",0.162,0.023,0.015,0.031,0.039
"P30","Ni buena ni mala",0.334,0.052,0.018,0.123,0.114
"P30","Mala",0.337,0.228,0.208,0.472,0.292
"P30","Muy mala",0.125,0.652,0.674,0.296,0.491
"P30","No sabe",0.013,0,0.001,0,0.023
"P31","Muy buena",0.59,0.036,0.021,0.165,0.125
"P31","Buena",0.168,0.023,0.025,0.186,0.077
"P31","Ni buena ni mala",0.095,0.016,0.073,0.274,0.18
"P31","Mala",0.034,0.074,0.072,0.063,0.107
"P31","Muy mala",0.106,0.849,0.807,0.312,0.483
"P31","No sabe",0.007,0.002,0.002,0,0.028
"P32","Muy buena",0.207,0.023,0.002,0.046,0.055
"P32","Buena",0.359,0.049,0.024,0.141,0.09
"P32","Ni buena ni mala",0.238,0.05,0.089,0.249,0.238
"P32","Mala",0.105,0.17,0.137,0.254,0.211
"P32","Muy mala",0.084,0.707,0.747,0.31,0.369
"P32","No sabe",0.007,0.001,0.001,0,0.037
"P33","Muy buena",0.12,0.023,0.021,0.038,0.063
"P33","Buena",0.234,0.036,0.029,0.148,0.105
"P33","Ni buena ni mala",0.355,0.098,0.1,0.314,0.231
"P33","Mala",0.133,0.214,0.202,0.232,0.211
"P33","Muy mala",0.111,0.614,0.643,0.262,0.348
"P33","No sabe",0.047,0.015,0.005,0.006,0.042
"P34","Muy buena",0.46,0.051,0.021,0.188,0.054
"P34","Buena",0.242,0.035,0.046,0.208,0.101
"P34","Ni buena ni mala",0.133,0.045,0.059,0.169,0.222
"P34","Mala",0.04,0.105,0.127,0.18,0.15
"P34","Muy mala",0.103,0.76,0.746,0.248,0.423
"P34","No sabe",0.022,0.004,0.001,0.007,0.05
"P35","Muy buena",0.03,0.283,0.066,0.104,0.045
"P35","Buena",0.027,0.306,0.166,0.023,0.08
"P35","Ni buena ni mala",0.055,0.22,0.327,0.146,0.19
"P35","Mala",0.121,0.07,0.198,0.102,0.237
"P35","Muy mala",0.765,0.115,0.238,0.621,0.388
"P35","No sabe",0.002,0.006,0.005,0.004,0.06
"P36","Muy buena",0.035,0.296,0.106,0.066,0.089
"P36","Buena",0.046,0.39,0.192,0.122,0.184
"P36","Ni buena ni mala",0.145,0.189,0.31,0.18,0.372
"P36","Mala",0.235,0.05,0.185,0.16,0.134
"P36","Muy mala",0.502,0.065,0.192,0.472,0.148
"P36","No sabe",0.037,0.01,0.015,0,0.073
"P37","Muy buena",0.025,0.285,0.117,0.054,0.06
"P37","Buena",0.023,0.361,0.177,0.055,0.12
"P37","Ni buena ni mala",0.052,0.206,0.243,0.111,0.312
"P37","Mala",0.175,0.056,0.185,0.238,0.173
"P37","Muy mala",0.694,0.091,0.26,0.534,0.295
"P37","No sabe",0.031,0.001,0.018,0.008,0.04
"P38","Muy buena",0.027,0.062,0.498,0.133,0.062
"P38","Buena",0.054,0.23,0.184,0.04,0.109
"P38","Ni buena ni mala",0.116,0.404,0.177,0.058,0.303
"P38","Mala",0.1,0.134,0.029,0.181,0.13
"P38","Muy mala",0.621,0.143,0.099,0.553,0.281
"P38","No sabe",0.082,0.027,0.013,0.035,0.115
"P39","Muy buena",0.022,0.506,0.337,0.15,0.137
"P39","Buena",0.027,0.241,0.308,0.024,0.087
"P39","Ni buena ni mala",0.061,0.127,0.163,0.03,0.244
"P39","Mala",0.086,0.044,0.082,0.15,0.159
"P39","Muy mala",0.744,0.061,0.1,0.641,0.32
"P39","No sabe",0.06,0.021,0.01,0.005,0.053
"P40","Muy buena",0.095,0.025,0.029,0.03,0.042
"P40","Buena",0.26,0.103,0.082,0.114,0.053
"P40","Ni buena ni mala",0.335,0.277,0.147,0.301,0.259
"P40","Mala",0.174,0.351,0.267,0.326,0.312
"P40","Muy mala",0.084,0.23,0.448,0.229,0.253
"P40","No sabe",0.052,0.014,0.027,0,0.081
"P41","Muy buena",0.019,0.036,0.017,0,0.022
"P41","Buena",0.063,0.112,0.044,0.052,0.053
"P41","Ni buena ni mala",0.098,0.251,0.186,0.121,0.183
"P41","Mala",0.218,0.307,0.253,0.299,0.287
"P41","Muy mala",0.544,0.282,0.46,0.523,0.389
"P41","No sabe",0.058,0.012,0.04,0.005,0.066
