"var","categoria","Derecha","Centro derecha","Centro izquierda","Izquierda","No sabe"
"P17","Puede que la vote",0.063,0.057,0.102,0.101,0.085
"P17","Nunca la votaría",0.734,0.788,0.263,0.381,0.574
"P17","No sabe",0.005,0.02,0.02,0.02,0.067
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.178,0.129,0.669,0.525,0.301
"P18","Mauricio Macri por Cambiemos",0.311,0.427,0.109,0.147,0.215
"P18","Javier Milei por los liberales",0.36,0.272,0.059,0.148,0.243
"P18","Nicolás del Caño por la izquierda",0.011,0.009,0.023,0.071,0.012
"P18","Otro candidato",0.14,0.163,0.14,0.109,0.229
"P19","Horacio Rodríguez Larreta por Cambiemos",0.283,0.403,0.167,0.221,0.269
"P19","Alberto Fernández por el Frente de Todos",0.191,0.16,0.479,0.362,0.25
"P19","Javier Milei por los liberales",0.369,0.274,0.064,0.129,0.227
"P19","Nicolás del Caño por la izquierda",0.011,0.01,0.043,0.118,0.018
"P19","Otro candidato",0.146,0.153,0.247,0.17,0.236
"P20","Mauricio Macri presidente Javier Milei vice",0.584,0.614,0.12,0.231,0.293
"P20","Sergio Massa presidente Gerardo Morales vice",0.081,0.112,0.288,0.169,0.161
"P20","Nicolas del Caño presidente Myriam Bregman vice",0.052,0.017,0.116,0.2,0.035
"P20","No sabe",0.283,0.257,0.476,0.4,0.511
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.403,0.5,0.122,0.175,0.243
"P21","Alberto Fernández presidente Sergio Massa vice",0.113,0.069,0.249,0.192,0.188
"P21","Javier Milei presidente José Luis Espert vice",0.28,0.2,0.05,0.093,0.195
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.118,0.123,0.122,0.126,0.098
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.041,0.047,0.389,0.312,0.148
"P21","Otros candidatos",0.045,0.061,0.068,0.102,0.128
"P22","Muy buena",0.046,0.074,0.104,0.115,0.073
"P22","Buena",0.091,0.067,0.315,0.244,0.148
"P22","Ni buena ni mala",0.069,0.059,0.204,0.163,0.162
"P22","Mala",0.162,0.116,0.141,0.214,0.17
"P22","Muy mala",0.619,0.681,0.233,0.252,0.429
"P22","No sabe",0.013,0.003,0.003,0.012,0.018
"P23","Si",0.568,0.613,0.81,0.718,0.641
"P23","No",0.245,0.2,0.092,0.147,0.181
"P23","No sabe",0.187,0.187,0.098,0.135,0.178
"P24","El kirchnerismo",0.602,0.701,0.267,0.254,0.423
"P24","Cambiemos",0.154,0.09,0.338,0.228,0.146
"P24","Los medios de comunicación",0.101,0.076,0.325,0.306,0.141
"P24","Otros",0.068,0.062,0.024,0.105,0.124
"P24","No sabe",0.075,0.071,0.046,0.107,0.166
"P25","Sin deuda",0.325,0.326,0.389,0.339,0.211
"P25","Menos de 10%",0.177,0.197,0.213,0.211,0.112
"P25","Entre 10 y 20%",0.133,0.141,0.152,0.115,0.16
"P25","Entre 20 y 30%",0.118,0.123,0.059,0.083,0.119
"P25","Entre 30 y 40%",0.087,0.066,0.07,0.093,0.108
"P25","Mas del 40%",0.127,0.132,0.089,0.132,0.244
"P25","No sabe",0.033,0.015,0.028,0.027,0.046
"P26","Gran excedente habitual",0.003,0.008,0.006,0.004,0.006
"P26","Gran excedente excepcional",0.006,0.005,0.007,0.002,0.013
"P26","Pequeño excedente habitual",0.093,0.065,0.098,0.053,0.032
"P26","Pequeño excedente excepcional",0.055,0.08,0.104,0.076,0.028
"P26","Alcanza gastos familia",0.141,0.181,0.24,0.177,0.096
"P26","No alcanza gastos familia",0.209,0.139,0.104,0.096,0.197
"P26","Solo NBFamiliares",0.261,0.29,0.24,0.324,0.272
"P26","No alcanza NBFamiliares",0.223,0.221,0.19,0.253,0.351
"P26","No sabe",0.009,0.011,0.011,0.015,0.005
"P27","Muy buena",0.033,0.029,0.057,0.033,0.044
"P27","Buena",0.125,0.173,0.263,0.221,0.077
"P27","Ni buena ni mala",0.449,0.419,0.39,0.355,0.353
"P27","Mala",0.29,0.271,0.206,0.292,0.359
"P27","Muy mala",0.09,0.089,0.066,0.089,0.156
"P27","No sabe",0.013,0.019,0.018,0.01,0.011
"P28","Mejor",0.113,0.072,0.18,0.137,0.079
"P28","Igual",0.238,0.195,0.416,0.378,0.246
"P28","Peor",0.618,0.709,0.376,0.444,0.621
"P28","No sabe",0.031,0.024,0.028,0.041,0.054
"P29","Mejor",0.097,0.071,0.258,0.213,0.109
"P29","Igual",0.197,0.169,0.325,0.255,0.216
"P29","Peor",0.627,0.714,0.323,0.443,0.551
"P29","No sabe",0.079,0.046,0.094,0.089,0.124
"P30","Muy buena",0.053,0.043,0.033,0.037,0.058
"P30","Buena",0.064,0.042,0.131,0.086,0.052
"P30","Ni buena ni mala",0.089,0.082,0.253,0.199,0.153
"P30","Mala",0.242,0.192,0.335,0.349,0.286
"P30","Muy mala",0.551,0.641,0.24,0.325,0.436
"P30","No sabe",0.001,0,0.008,0.004,0.015
"P31","Muy buena",0.13,0.069,0.485,0.402,0.193
"P31","Buena",0.067,0.052,0.13,0.096,0.087
"P31","Ni buena ni mala",0.041,0.059,0.053,0.068,0.132
"P31","Mala",0.057,0.033,0.061,0.07,0.09
"P31","Muy mala",0.7,0.784,0.268,0.361,0.485
"P31","No sabe",0.005,0.003,0.003,0.003,0.013
"P32","Muy buena",0.052,0.046,0.123,0.081,0.103
"P32","Buena",0.099,0.076,0.282,0.204,0.147
"P32","Ni buena ni mala",0.088,0.055,0.213,0.232,0.18
"P32","Mala",0.143,0.15,0.169,0.187,0.128
"P32","Muy mala",0.614,0.672,0.212,0.293,0.427
"P32","No sabe",0.004,0.001,0.001,0.003,0.015
"P33","Muy buena",0.048,0.038,0.083,0.078,0.059
"P33","Buena",0.059,0.083,0.23,0.172,0.083
"P33","Ni buena ni mala",0.137,0.097,0.283,0.232,0.253
"P33","Mala",0.178,0.21,0.144,0.225,0.19
"P33","Muy mala",0.554,0.548,0.244,0.29,0.371
"P33","No sabe",0.024,0.024,0.016,0.003,0.044
"P34","Muy buena",0.097,0.068,0.382,0.364,0.15
"P34","Buena",0.091,0.073,0.207,0.145,0.109
"P34","Ni buena ni mala",0.109,0.038,0.068,0.098,0.146
"P34","Mala",0.068,0.118,0.058,0.093,0.121
"P34","Muy mala",0.623,0.694,0.282,0.297,0.447
"P34","No sabe",0.012,0.009,0.003,0.003,0.027
"P35","Muy buena",0.188,0.15,0.054,0.081,0.101
"P35","Buena",0.16,0.253,0.084,0.107,0.125
"P35","Ni buena ni mala",0.211,0.278,0.095,0.116,0.191
"P35","Mala",0.146,0.109,0.095,0.085,0.176
"P35","Muy mala",0.288,0.204,0.668,0.61,0.387
"P35","No sabe",0.007,0.006,0.004,0.001,0.02
"P36","Muy buena",0.186,0.175,0.061,0.08,0.135
"P36","Buena",0.222,0.334,0.108,0.154,0.177
"P36","Ni buena ni mala",0.23,0.214,0.166,0.15,0.267
"P36","Mala",0.136,0.133,0.221,0.203,0.141
"P36","Muy mala",0.205,0.124,0.44,0.4,0.233
"P36","No sabe",0.021,0.02,0.004,0.013,0.047
"P37","Muy buena",0.156,0.166,0.071,0.092,0.125
"P37","Buena",0.215,0.306,0.086,0.108,0.14
"P37","Ni buena ni mala",0.191,0.199,0.111,0.128,0.187
"P37","Mala",0.127,0.104,0.117,0.162,0.18
"P37","Muy mala",0.289,0.21,0.608,0.506,0.337
"P37","No sabe",0.022,0.015,0.007,0.004,0.031
"P38","Muy buena",0.286,0.152,0.045,0.104,0.149
"P38","Buena",0.155,0.217,0.053,0.109,0.152
"P38","Ni buena ni mala",0.262,0.295,0.116,0.163,0.262
"P38","Mala",0.058,0.118,0.117,0.078,0.11
"P38","Muy mala",0.199,0.18,0.651,0.535,0.234
"P38","No sabe",0.04,0.038,0.018,0.011,0.093
"P39","Muy buena",0.357,0.415,0.096,0.231,0.193
"P39","Buena",0.223,0.265,0.089,0.07,0.141
"P39","Ni buena ni mala",0.126,0.108,0.057,0.056,0.181
"P39","Mala",0.072,0.056,0.073,0.084,0.107
"P39","Muy mala",0.186,0.129,0.677,0.552,0.318
"P39","No sabe",0.036,0.027,0.008,0.007,0.06
"P40","Muy buena",0.036,0.025,0.074,0.092,0.048
"P40","Buena",0.114,0.088,0.245,0.189,0.133
"P40","Ni buena ni mala",0.232,0.257,0.29,0.306,0.258
"P40","Mala",0.318,0.357,0.199,0.226,0.233
"P40","Muy mala",0.279,0.256,0.174,0.168,0.247
"P40","No sabe",0.021,0.017,0.018,0.019,0.081
"P41","Muy buena",0.024,0.019,0.009,0.023,0.031
"P41","Buena",0.052,0.087,0.084,0.069,0.065
"P41","Ni buena ni mala",0.208,0.234,0.079,0.133,0.191
"P41","Mala",0.252,0.34,0.243,0.222,0.246
"P41","Muy mala",0.409,0.306,0.566,0.544,0.396
"P41","No sabe",0.055,0.014,0.019,0.009,0.071
