"var","categoria","Mejor","Igual","Peor","No sabe"
"P15","No sabe",0.057,0.081,0.034,0
"P16","Sí, lo votaría",0.142,0.133,0.442,0.25
"P16","Puede que lo vote",0.074,0.075,0.163,0.127
"P16","Nunca lo votaría",0.748,0.734,0.342,0.529
"P16","No sabe",0.036,0.058,0.053,0.094
"P17","Sí, la votaría",0.59,0.517,0.172,0.341
"P17","Puede que la vote",0.086,0.098,0.067,0.154
"P17","Nunca la votaría",0.31,0.343,0.732,0.409
"P17","No sabe",0.014,0.042,0.029,0.096
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.643,0.623,0.146,0.252
"P18","Mauricio Macri por Cambiemos",0.102,0.103,0.34,0.201
"P18","Javier Milei por los liberales",0.121,0.119,0.296,0.375
"P18","Nicolás del Caño por la izquierda",0.015,0.03,0.017,0.005
"P18","Otro candidato",0.119,0.125,0.201,0.167
"P19","Horacio Rodríguez Larreta por Cambiemos",0.159,0.211,0.324,0.248
"P19","Alberto Fernández por el Frente de Todos",0.538,0.443,0.147,0.175
"P19","Javier Milei por los liberales",0.126,0.116,0.287,0.365
"P19","Nicolás del Caño por la izquierda",0.02,0.049,0.025,0.028
"P19","Otro candidato",0.157,0.181,0.217,0.184
"P20","Mauricio Macri presidente Javier Milei vice",0.19,0.159,0.499,0.48
"P20","Sergio Massa presidente Gerardo Morales vice",0.292,0.268,0.083,0.13
"P20","Nicolas del Caño presidente Myriam Bregman vice",0.068,0.095,0.058,0.04
"P20","No sabe",0.45,0.478,0.36,0.35
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.126,0.127,0.401,0.303
"P21","Alberto Fernández presidente Sergio Massa vice",0.354,0.274,0.077,0.104
"P21","Javier Milei presidente José Luis Espert vice",0.065,0.104,0.226,0.276
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.139,0.118,0.112,0.043
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.274,0.314,0.078,0.216
"P21","Otros candidatos",0.042,0.063,0.106,0.058
"P22","Muy buena",0.193,0.097,0.05,0.007
"P22","Buena",0.33,0.321,0.053,0.185
"P22","Ni buena ni mala",0.171,0.221,0.085,0.1
"P22","Mala",0.115,0.164,0.167,0.125
"P22","Muy mala",0.176,0.185,0.636,0.563
"P22","No sabe",0.015,0.012,0.009,0.02
"P23","Si",0.828,0.802,0.567,0.545
"P23","No",0.08,0.097,0.227,0.316
"P23","No sabe",0.092,0.101,0.206,0.139
"P24","El kirchnerismo",0.254,0.269,0.597,0.406
"P24","Cambiemos",0.33,0.283,0.103,0.188
"P24","Los medios de comunicación",0.302,0.3,0.083,0.221
"P24","Otros",0.052,0.057,0.103,0.052
"P24","No sabe",0.062,0.091,0.114,0.133
"P25","Sin deuda",0.461,0.357,0.238,0.212
"P25","Menos de 10%",0.167,0.191,0.155,0.124
"P25","Entre 10 y 20%",0.135,0.134,0.15,0.171
"P25","Entre 20 y 30%",0.088,0.09,0.117,0.097
"P25","Entre 30 y 40%",0.063,0.066,0.109,0.056
"P25","Mas del 40%",0.085,0.12,0.201,0.221
"P25","No sabe",0.001,0.042,0.03,0.119
"P26","Gran excedente habitual",0.01,0.014,0.001,0
"P26","Gran excedente excepcional",0.027,0.01,0.002,0.015
"P26","Pequeño excedente habitual",0.1,0.097,0.037,0.103
"P26","Pequeño excedente excepcional",0.097,0.076,0.049,0.061
"P26","Alcanza gastos familia",0.224,0.221,0.106,0.106
"P26","No alcanza gastos familia",0.145,0.129,0.186,0.209
"P26","Solo NBFamiliares",0.25,0.272,0.272,0.233
"P26","No alcanza NBFamiliares",0.133,0.174,0.34,0.233
"P26","No sabe",0.014,0.007,0.007,0.04
"P27","Muy buena",0.097,0.027,0.038,0.013
"P27","Buena",0.253,0.266,0.071,0.087
"P27","Ni buena ni mala",0.51,0.468,0.35,0.179
"P27","Mala",0.094,0.171,0.371,0.638
"P27","Muy mala",0.033,0.057,0.156,0.048
"P27","No sabe",0.013,0.011,0.014,0.035
"P29","Mejor",0.537,0.196,0.032,0.087
"P29","Igual",0.22,0.472,0.122,0.217
"P29","Peor",0.149,0.175,0.795,0.449
"P29","No sabe",0.094,0.157,0.051,0.247
"P30","Muy buena",0.089,0.008,0.049,0.166
"P30","Buena",0.202,0.118,0.021,0.034
"P30","Ni buena ni mala",0.32,0.294,0.049,0.162
"P30","Mala",0.265,0.371,0.242,0.244
"P30","Muy mala",0.114,0.198,0.635,0.368
"P30","No sabe",0.01,0.011,0.004,0.026
"P31","Muy buena",0.503,0.416,0.095,0.266
"P31","Buena",0.123,0.16,0.043,0.061
"P31","Ni buena ni mala",0.085,0.109,0.062,0.166
"P31","Mala",0.058,0.045,0.081,0.076
"P31","Muy mala",0.229,0.266,0.71,0.412
"P31","No sabe",0.002,0.004,0.009,0.019
"P32","Muy buena",0.277,0.125,0.03,0.064
"P32","Buena",0.269,0.299,0.069,0.102
"P32","Ni buena ni mala",0.177,0.239,0.099,0.255
"P32","Mala",0.106,0.138,0.16,0.155
"P32","Muy mala",0.171,0.196,0.63,0.421
"P32","No sabe",0,0.003,0.012,0.003
"P33","Muy buena",0.175,0.075,0.027,0.102
"P33","Buena",0.241,0.188,0.06,0.039
"P33","Ni buena ni mala",0.269,0.33,0.129,0.301
"P33","Mala",0.122,0.161,0.208,0.16
"P33","Muy mala",0.176,0.2,0.549,0.395
"P33","No sabe",0.017,0.046,0.027,0.003
"P34","Muy buena",0.458,0.323,0.073,0.151
"P34","Buena",0.161,0.193,0.072,0.172
"P34","Ni buena ni mala",0.096,0.161,0.083,0.121
"P34","Mala",0.074,0.075,0.107,0.14
"P34","Muy mala",0.209,0.228,0.652,0.413
"P34","No sabe",0.002,0.02,0.013,0.003
"P35","Muy buena",0.055,0.057,0.154,0.159
"P35","Buena",0.087,0.083,0.188,0.051
"P35","Ni buena ni mala",0.067,0.126,0.233,0.172
"P35","Mala",0.1,0.109,0.157,0.125
"P35","Muy mala",0.672,0.617,0.256,0.49
"P35","No sabe",0.019,0.008,0.012,0.003
"P36","Muy buena",0.089,0.075,0.175,0.104
"P36","Buena",0.129,0.123,0.246,0.143
"P36","Ni buena ni mala",0.116,0.189,0.261,0.191
"P36","Mala",0.186,0.198,0.126,0.153
"P36","Muy mala",0.463,0.38,0.165,0.396
"P36","No sabe",0.017,0.035,0.027,0.013
"P37","Muy buena",0.041,0.068,0.176,0.16
"P37","Buena",0.077,0.097,0.221,0.15
"P37","Ni buena ni mala",0.074,0.126,0.209,0.08
"P37","Mala",0.134,0.149,0.145,0.136
"P37","Muy mala",0.663,0.539,0.229,0.432
"P37","No sabe",0.011,0.021,0.02,0.042
"P38","Muy buena",0.071,0.086,0.202,0.167
"P38","Buena",0.087,0.103,0.167,0.135
"P38","Ni buena ni mala",0.126,0.159,0.279,0.296
"P38","Mala",0.112,0.102,0.097,0.128
"P38","Muy mala",0.565,0.47,0.209,0.262
"P38","No sabe",0.039,0.08,0.046,0.012
"P39","Muy buena",0.104,0.082,0.367,0.213
"P39","Buena",0.087,0.103,0.202,0.126
"P39","Ni buena ni mala",0.05,0.099,0.144,0.138
"P39","Mala",0.102,0.1,0.07,0.13
"P39","Muy mala",0.637,0.578,0.187,0.278
"P39","No sabe",0.02,0.038,0.03,0.115
"P40","Muy buena",0.152,0.068,0.02,0.09
"P40","Buena",0.27,0.193,0.104,0.102
"P40","Ni buena ni mala",0.293,0.349,0.218,0.232
"P40","Mala",0.161,0.218,0.301,0.337
"P40","Muy mala",0.099,0.117,0.32,0.189
"P40","No sabe",0.025,0.055,0.037,0.05
"P41","Muy buena",0.028,0.017,0.024,0.027
"P41","Buena",0.082,0.049,0.076,0.064
"P41","Ni buena ni mala",0.16,0.145,0.193,0.167
"P41","Mala",0.219,0.24,0.28,0.27
"P41","Muy mala",0.469,0.507,0.386,0.384
"P41","No sabe",0.042,0.042,0.041,0.088
