"var","categoria","Muy importante","Algo importante","Nada importante","No sabe"
"P19","Horacio Rodríguez Larreta por Cambiemos",0.262,0.318,0.248,0.287
"P19","Alberto Fernández por el Frente de Todos",0.33,0.216,0.108,0.228
"P19","Javier Milei por los liberales",0.162,0.248,0.501,0.197
"P19","Nicolás del Caño por la izquierda",0.04,0.015,0.011,0.023
"P19","Otro candidato",0.206,0.203,0.132,0.265
"P20","Mauricio Macri presidente Javier Milei vice",0.292,0.495,0.617,0.289
"P20","Sergio Massa presidente Gerardo Morales vice",0.191,0.12,0.067,0.134
"P20","Nicolas del Caño presidente Myriam Bregman vice",0.081,0.068,0.029,0.021
"P20","No sabe",0.436,0.317,0.287,0.556
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.242,0.405,0.398,0.236
"P21","Alberto Fernández presidente Sergio Massa vice",0.211,0.1,0.04,0.091
"P21","Javier Milei presidente José Luis Espert vice",0.127,0.17,0.425,0.179
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.113,0.169,0.047,0.119
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.217,0.081,0.042,0.216
"P21","Otros candidatos",0.09,0.075,0.048,0.159
"P22","Muy buena",0.09,0.061,0.026,0.115
"P22","Buena",0.21,0.098,0.046,0.083
"P22","Ni buena ni mala",0.155,0.09,0.033,0.25
"P22","Mala",0.156,0.179,0.154,0.142
"P22","Muy mala",0.378,0.556,0.74,0.386
"P22","No sabe",0.011,0.016,0.001,0.024
"P23","Si",0.71,0.672,0.466,0.498
"P23","No",0.145,0.134,0.381,0.208
"P23","No sabe",0.145,0.194,0.153,0.294
"P24","El kirchnerismo",0.398,0.634,0.625,0.242
"P24","Cambiemos",0.211,0.129,0.134,0.109
"P24","Los medios de comunicación",0.221,0.116,0.046,0.087
"P24","Otros",0.082,0.064,0.084,0.134
"P24","No sabe",0.088,0.057,0.111,0.428
"P25","Sin deuda",0.302,0.337,0.259,0.249
"P25","Menos de 10%",0.165,0.215,0.153,0.114
"P25","Entre 10 y 20%",0.146,0.151,0.117,0.169
"P25","Entre 20 y 30%",0.096,0.099,0.139,0.117
"P25","Entre 30 y 40%",0.091,0.107,0.077,0.051
"P25","Mas del 40%",0.17,0.064,0.22,0.217
"P25","No sabe",0.03,0.027,0.035,0.083
"P26","Gran excedente habitual",0.006,0.01,0.001,0.003
"P26","Gran excedente excepcional",0.007,0.01,0.003,0.024
"P26","Pequeño excedente habitual",0.066,0.092,0.051,0.005
"P26","Pequeño excedente excepcional",0.063,0.087,0.033,0.037
"P26","Alcanza gastos familia",0.159,0.19,0.107,0.095
"P26","No alcanza gastos familia",0.153,0.206,0.131,0.174
"P26","Solo NBFamiliares",0.267,0.24,0.346,0.316
"P26","No alcanza NBFamiliares",0.272,0.16,0.322,0.317
"P26","No sabe",0.007,0.005,0.006,0.029
"P27","Muy buena",0.039,0.038,0.057,0.034
"P27","Buena",0.16,0.181,0.1,0.092
"P27","Ni buena ni mala",0.398,0.447,0.286,0.303
"P27","Mala",0.291,0.242,0.387,0.336
"P27","Muy mala",0.105,0.069,0.152,0.17
"P27","No sabe",0.007,0.023,0.018,0.065
"P28","Mejor",0.122,0.106,0.076,0.061
"P28","Igual",0.323,0.235,0.124,0.252
"P28","Peor",0.517,0.642,0.74,0.63
"P28","No sabe",0.038,0.017,0.06,0.057
"P29","Mejor",0.168,0.086,0.044,0.132
"P29","Igual",0.255,0.221,0.107,0.215
"P29","Peor",0.474,0.619,0.8,0.492
"P29","No sabe",0.103,0.074,0.049,0.161
"P30","Muy buena",0.049,0.03,0.085,0.02
"P30","Buena",0.08,0.074,0.026,0.057
"P30","Ni buena ni mala",0.188,0.079,0.035,0.165
"P30","Mala",0.305,0.224,0.218,0.235
"P30","Muy mala",0.373,0.584,0.634,0.484
"P30","No sabe",0.005,0.009,0.002,0.039
"P31","Muy buena",0.31,0.089,0.062,0.205
"P31","Buena",0.108,0.059,0.013,0.054
"P31","Ni buena ni mala",0.078,0.078,0.07,0.139
"P31","Mala",0.053,0.075,0.11,0.081
"P31","Muy mala",0.446,0.698,0.745,0.468
"P31","No sabe",0.005,0.001,0,0.053
"P32","Muy buena",0.111,0.024,0.032,0.071
"P32","Buena",0.197,0.109,0.04,0.11
"P32","Ni buena ni mala",0.17,0.109,0.055,0.247
"P32","Mala",0.144,0.151,0.163,0.129
"P32","Muy mala",0.371,0.606,0.709,0.402
"P32","No sabe",0.007,0.001,0.001,0.041
"P33","Muy buena",0.073,0.028,0.017,0.102
"P33","Buena",0.139,0.102,0.048,0.013
"P33","Ni buena ni mala",0.234,0.127,0.123,0.338
"P33","Mala",0.185,0.172,0.212,0.132
"P33","Muy mala",0.344,0.537,0.591,0.337
"P33","No sabe",0.025,0.034,0.009,0.078
"P34","Muy buena",0.255,0.069,0.05,0.114
"P34","Buena",0.144,0.103,0.029,0.121
"P34","Ni buena ni mala",0.108,0.074,0.077,0.154
"P34","Mala",0.083,0.128,0.107,0.097
"P34","Muy mala",0.402,0.61,0.733,0.415
"P34","No sabe",0.008,0.016,0.004,0.099
"P35","Muy buena",0.097,0.126,0.177,0.133
"P35","Buena",0.123,0.202,0.2,0.11
"P35","Ni buena ni mala",0.154,0.235,0.248,0.209
"P35","Mala",0.123,0.157,0.156,0.142
"P35","Muy mala",0.494,0.274,0.212,0.362
"P35","No sabe",0.009,0.006,0.007,0.044
"P36","Muy buena",0.133,0.162,0.133,0.063
"P36","Buena",0.177,0.288,0.192,0.179
"P36","Ni buena ni mala",0.197,0.244,0.276,0.261
"P36","Mala",0.153,0.142,0.185,0.202
"P36","Muy mala",0.316,0.145,0.208,0.185
"P36","No sabe",0.024,0.019,0.006,0.11
"P37","Muy buena",0.124,0.107,0.144,0.123
"P37","Buena",0.152,0.23,0.204,0.094
"P37","Ni buena ni mala",0.145,0.229,0.202,0.218
"P37","Mala",0.132,0.158,0.162,0.191
"P37","Muy mala",0.433,0.249,0.277,0.295
"P37","No sabe",0.014,0.027,0.011,0.079
"P38","Muy buena",0.118,0.133,0.347,0.188
"P38","Buena",0.132,0.202,0.132,0.106
"P38","Ni buena ni mala",0.207,0.276,0.245,0.323
"P38","Mala",0.095,0.14,0.075,0.066
"P38","Muy mala",0.404,0.196,0.158,0.167
"P38","No sabe",0.044,0.053,0.043,0.15
"P39","Muy buena",0.206,0.336,0.374,0.224
"P39","Buena",0.123,0.222,0.286,0.165
"P39","Ni buena ni mala",0.101,0.15,0.164,0.175
"P39","Mala",0.086,0.077,0.06,0.097
"P39","Muy mala",0.45,0.178,0.109,0.232
"P39","No sabe",0.034,0.037,0.007,0.107
"P40","Muy buena",0.062,0.021,0.057,0.017
"P40","Buena",0.173,0.103,0.12,0.053
"P40","Ni buena ni mala",0.283,0.285,0.148,0.223
"P40","Mala",0.257,0.299,0.282,0.187
"P40","Muy mala",0.192,0.264,0.364,0.336
"P40","No sabe",0.033,0.028,0.029,0.184
"P41","Muy buena",0.022,0.019,0.021,0.053
"P41","Buena",0.06,0.084,0.099,0.084
"P41","Ni buena ni mala",0.157,0.234,0.16,0.177
"P41","Mala",0.25,0.323,0.266,0.191
"P41","Muy mala",0.476,0.306,0.406,0.352
"P41","No sabe",0.035,0.034,0.048,0.143
