"var","categoria","Sí, la votaría","Puede que la vote","Nunca la votaría","No sabe"
"P37","No sabe",0.005,0.099,0.01,0.052
"P38","Muy buena",0.066,0.065,0.226,0.025
"P38","Buena",0.08,0.047,0.184,0.23
"P38","Ni buena ni mala",0.116,0.248,0.292,0.229
"P38","Mala",0.079,0.15,0.103,0.152
"P38","Muy mala",0.599,0.402,0.165,0.219
"P38","No sabe",0.06,0.088,0.03,0.145
"P39","Muy buena",0.098,0.072,0.372,0.084
"P39","Buena",0.057,0.092,0.232,0.157
"P39","Ni buena ni mala",0.048,0.112,0.158,0.239
"P39","Mala",0.075,0.119,0.078,0.185
"P39","Muy mala",0.684,0.467,0.148,0.274
"P39","No sabe",0.038,0.138,0.012,0.061
"P40","Muy buena",0.104,0.07,0.019,0.059
"P40","Buena",0.266,0.16,0.09,0.073
"P40","Ni buena ni mala",0.323,0.331,0.224,0.23
"P40","Mala",0.159,0.273,0.322,0.265
"P40","Muy mala",0.112,0.112,0.325,0.166
"P40","No sabe",0.036,0.054,0.02,0.207
"P41","Muy buena",0.017,0.024,0.025,0.043
"P41","Buena",0.057,0.044,0.088,0
"P41","Ni buena ni mala",0.116,0.18,0.206,0.131
"P41","Mala",0.196,0.343,0.286,0.269
"P41","Muy mala",0.565,0.342,0.372,0.426
"P41","No sabe",0.049,0.067,0.023,0.131
